,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.575e-05,4.173e-05,7.389e-06,1.749e-05,2.341e-05,1.638e-05,1.039e-05,1.279e-05
std,1.997e-05,2.211e-05,2.300e-05,1.471e-05,1.811e-05,1.554e-05,1.071e-05,1.194e-05
min,0.000e+00,4.768e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.215e-08,2.980e-08
0.1%,0.000e+00,4.768e-07,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.215e-08,2.980e-08
25%,1.125e-05,2.575e-05,0.000e+00,6.668e-06,1.025e-05,5.573e-06,3.061e-06,4.275e-06
50%,2.220e-05,4.280e-05,0.000e+00,1.433e-05,1.860e-05,1.168e-05,6.778e-06,9.261e-06
75%,3.436e-05,5.627e-05,1.863e-09,2.363e-05,3.290e-05,2.098e-05,1.425e-05,1.765e-05
99.9%,1.698e-04,1.075e-04,2.204e-04,9.447e-05,1.063e-04,1.023e-04,7.470e-05,8.463e-05
max,1.698e-04,1.075e-04,2.204e-04,9.447e-05,1.063e-04,1.023e-04,7.470e-05,8.463e-05
