kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,0.0
228.24998,857.19476,462.25787,1740.1342,0.88419974,0.011016,0.014888048
233.92865,863.4001,464.57272,1740.2715,0.91868275,0.015381918,0.029554427
239.99927,869.61743,466.94263,1740.4119,0.95343995,0.019898422,0.044002473
246.43907,875.8451,469.36554,1740.5557,0.98846257,0.02456613,0.058235407
253.22565,882.0845,471.83963,1740.7028,1.023742,0.029385613,0.072256446
260.34042,888.3353,474.36304,1740.8531,1.0592698,0.034357395,0.08606875
267.7707,894.59607,476.93405,1741.0072,1.0950379,0.039481957,0.09967542
275.49042,900.8657,479.551,1741.1648,1.1310381,0.044759735,0.11307949
283.48798,907.1431,482.21222,1741.3259,1.1672622,0.05019113,0.126284
291.7522,913.426,484.91605,1741.4908,1.2037022,0.055776488,0.13929194
300.284,919.7109,487.661,1741.6594,1.2403502,0.061516117,0.15210623
309.04984,925.9961,490.44537,1741.8318,1.2771977,0.06741029,0.16472971
318.03854,932.2789,493.2676,1742.008,1.3142365,0.07345923,0.17716527
327.2552,938.556,496.1261,1742.1882,1.3514583,0.07966311,0.1894157
336.703,944.82434,499.0192,1742.3724,1.3888544,0.08602209,0.20148373
346.3678,951.0815,501.94537,1742.5605,1.4264163,0.09253625,0.21337211
356.25177,957.3245,504.90295,1742.7527,1.4641353,0.09920565,0.22508347
366.36426,963.5492,507.8904,1742.9489,1.5020026,0.1060303,0.23662049
376.67227,969.75244,510.90598,1743.1493,1.5400094,0.11301016,0.24798572
387.1709,975.9298,513.94806,1743.3538,1.5781465,0.12014516,0.25918174
397.8695,982.07837,517.01495,1743.5625,1.6164045,0.12743516,0.2702111
408.7623,988.1953,520.105,1743.7754,1.6547743,0.13488,0.28107625
419.85114,994.2772,523.21643,1743.9926,1.6932465,0.14247948,0.29177964
431.13837,1000.31903,526.3476,1744.2141,1.7318118,0.15023331,0.3023237
442.6173,1006.31537,529.49664,1744.4398,1.7704602,0.15814121,0.31271076
454.27682,1012.26196,532.66187,1744.6699,1.8091819,0.16620281,0.32294315
