con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
76.92654,0.0028556,105.17594,104.8756,27.934599,33.560917,10.8673725,0.3003404,36.160915
79.45489,0.0022726431,108.681564,108.43457,28.96515,34.167843,11.138744,0.24699442,36.70872
82.07119,0.0021063543,112.294655,112.05812,29.971474,34.705463,11.437765,0.23653233,37.188576
84.77469,0.002085288,116.007126,115.76522,30.973843,35.222458,11.7669525,0.24190827,37.64911
87.55749,0.0021192161,119.81649,119.56257,31.98702,35.73325,12.122654,0.25391707,38.10472
90.41702,0.0021750934,123.71754,123.44843,33.01186,36.2374,12.495335,0.26909718,38.55495
93.35039,0.0022402895,127.71011,127.423996,34.052513,36.738415,12.883188,0.2861076,39.003273
96.353485,0.0023098954,131.7919,131.48747,35.111263,37.235558,13.279536,0.3044255,39.448917
99.42364,0.0023820018,135.96092,135.63704,36.188988,37.725754,13.681601,0.32385916,39.888786
102.55781,0.0024558718,140.21693,139.87257,37.28857,38.20988,14.089596,0.34435484,40.323734
105.765816,0.002531221,144.55992,144.19402,38.400158,38.689495,14.520482,0.3659131,40.755283
109.050896,0.002607945,148.9868,148.59825,39.517456,39.162586,14.973812,0.38854936,41.181404
112.397675,0.0026860107,153.4939,153.0816,40.65209,39.626526,15.43916,0.41228628,41.59944
115.803276,0.0027654078,158.08228,157.64511,41.80795,40.080273,15.914123,0.43716192,42.008327
119.26711,0.0028461327,162.75375,162.29054,42.987396,40.524334,16.3975,0.4632188,42.40855
122.7918,0.0029281755,167.5081,167.0176,44.18752,40.95727,16.89357,0.4904931,42.798645
126.385185,0.0030115317,172.34425,171.82523,45.399426,41.37896,17.400938,0.5190202,43.178467
130.03934,0.0030961893,177.2612,176.71237,46.629963,41.788364,17.91886,0.5488342,43.54695
133.75266,0.0031821362,182.25883,181.67888,47.880535,42.1849,18.447111,0.5799725,43.903503
137.52837,0.0032693597,187.33734,186.72487,49.148113,42.56859,18.988897,0.61247325,44.24812
141.36911,0.0033578377,192.49666,191.85031,50.429916,42.93779,19.544514,0.64637256,44.57913
145.2714,0.0034475545,197.73578,197.05408,51.728386,43.293747,20.1097,0.6817049,44.897766
149.23239,0.003538483,203.05489,202.33638,53.04652,43.63648,20.684599,0.7185063,45.20402
153.24997,0.0036306027,208.45398,207.69717,54.38643,43.965786,21.268835,0.7568136,45.49769
157.32877,0.0037238905,213.93283,213.13615,55.743176,44.28107,21.863434,0.7966624,45.778145
