kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.46585,0.9832339,0.091757745,0.51889926,-0.39112142,-0.07453039,-0.012538314,-0.16049057
234.35185,0.98993725,0.090022646,0.51778615,-0.38946587,-0.074017525,-0.011839688,-0.16073851
240.68192,0.99539936,0.09132948,0.51733345,-0.3881106,-0.07356934,-0.011771932,-0.16131626
247.41264,0.9996433,0.09362718,0.5170261,-0.3867674,-0.0730065,-0.011968367,-0.16175587
254.50714,1.0031364,0.09622704,0.51674557,-0.38551125,-0.07258111,-0.012193009,-0.16213728
261.94705,1.0059751,0.09888658,0.51648676,-0.3843758,-0.07226403,-0.01246009,-0.16258903
269.71774,1.0082154,0.10151031,0.51624733,-0.38336056,-0.07196375,-0.012725532,-0.16313721
277.80157,1.0101138,0.104090534,0.5159856,-0.3824527,-0.07169,-0.012945943,-0.16372232
286.19058,1.0113459,0.10662405,0.5156889,-0.381572,-0.071366265,-0.013189644,-0.16431254
294.8778,1.0121496,0.109127864,0.5153706,-0.38067064,-0.07108576,-0.013436027,-0.1648741
303.8403,1.0126731,0.11162756,0.51506317,-0.37979192,-0.070801474,-0.013691142,-0.16541149
313.07077,1.0129151,0.1140589,0.5149263,-0.37906548,-0.070523046,-0.013826169,-0.16595146
322.57312,1.0129452,0.11643947,0.5148661,-0.37844944,-0.070324,-0.013966836,-0.16660911
332.32666,1.0127099,0.11877606,0.51486534,-0.3778964,-0.070178606,-0.014161766,-0.16731903
342.32574,1.0121546,0.12106908,0.5150975,-0.37751815,-0.070106074,-0.014335565,-0.16806948
352.5619,1.0115534,0.12337719,0.5153127,-0.37712517,-0.07000528,-0.014530361,-0.16887558
363.03006,1.0108625,0.12568419,0.5154964,-0.3767817,-0.06987508,-0.014728963,-0.16964272
373.72964,1.0101242,0.12802899,0.5157041,-0.37644118,-0.069745734,-0.014951579,-0.17035039
384.6617,1.0093334,0.13045327,0.5159886,-0.37611425,-0.06963113,-0.015165985,-0.17105402
395.82486,1.0084845,0.13295308,0.5162445,-0.37589222,-0.069520354,-0.015369974,-0.17169826
407.22534,1.0076634,0.13549696,0.51646215,-0.3757338,-0.06943446,-0.0155759305,-0.17235692
418.86258,1.0068004,0.1380728,0.5166582,-0.3756143,-0.06935099,-0.015758403,-0.17303938
430.72943,1.0059156,0.14069319,0.51687443,-0.37554026,-0.069276504,-0.015893698,-0.17384593
442.82352,1.0050317,0.1433596,0.5171418,-0.37553596,-0.06922128,-0.016023353,-0.17469282
455.14224,1.004161,0.14606674,0.517429,-0.37557814,-0.06917704,-0.016187154,-0.17558412
467.6842,1.003294,0.14881381,0.5177152,-0.37562114,-0.06913365,-0.016392387,-0.1764917
480.4605,1.0022869,0.15158653,0.51809734,-0.37571275,-0.06910914,-0.016577773,-0.17736335
493.4479,1.0012052,0.15444253,0.5185551,-0.37591195,-0.06905883,-0.016751722,-0.17823173
506.63132,1.0001357,0.15735313,0.518986,-0.3761124,-0.06905318,-0.016959071,-0.17908874
520.0195,0.9990897,0.16031002,0.51938534,-0.3762431,-0.069055244,-0.017144807,-0.17988147
533.62054,0.9980991,0.16329718,0.5198236,-0.3764256,-0.069073066,-0.017313734,-0.18068683
547.44617,0.9970907,0.16631469,0.52028096,-0.37659523,-0.069098525,-0.017448783,-0.18146366
561.4967,0.9960935,0.16940627,0.5207773,-0.37677848,-0.06913343,-0.017609924,-0.18230908
575.76636,0.99519867,0.17260419,0.5214095,-0.3770022,-0.06917083,-0.017769404,-0.18325852
590.2465,0.9943802,0.1758477,0.52208984,-0.37725967,-0.06919193,-0.017883122,-0.18419608
604.94507,0.99355376,0.17915556,0.52278334,-0.37755838,-0.06923393,-0.01801499,-0.18510033
619.8727,0.9927151,0.18253326,0.52348167,-0.37793404,-0.0693132,-0.018207572,-0.18595418
635.02966,0.9918993,0.18596573,0.5241939,-0.3783439,-0.06941637,-0.018402442,-0.18682207
650.4168,0.99113405,0.18944997,0.52492195,-0.3787542,-0.069562435,-0.018568896,-0.18772389
666.0361,0.9903773,0.19299142,0.5256568,-0.37917432,-0.06970762,-0.018736504,-0.18862225
681.88916,0.98962826,0.1965899,0.52639836,-0.37960526,-0.06985234,-0.01890523,-0.18951719
697.9848,0.9889306,0.20022954,0.5271672,-0.38010207,-0.0699704,-0.019091167,-0.19041614
714.3336,0.9882831,0.20389126,0.5279757,-0.38065684,-0.07005933,-0.019296229,-0.1913176
730.93384,0.98764163,0.20759629,0.52877533,-0.38120836,-0.07015108,-0.019488543,-0.1922044
747.77795,0.9870254,0.21132067,0.5295332,-0.3816938,-0.07025696,-0.019628748,-0.19303451
764.86475,0.9863892,0.21509427,0.5303256,-0.38219145,-0.0703465,-0.019759625,-0.19385885
782.196,0.98576,0.21892571,0.5311253,-0.38269976,-0.07043595,-0.019891925,-0.19468041
799.7744,0.9851562,0.22281343,0.53193915,-0.38323218,-0.07053547,-0.020039618,-0.19551192
817.60266,0.98457515,0.22676305,0.5327639,-0.38378212,-0.07063993,-0.020192072,-0.19634993
835.67786,0.98399675,0.23077144,0.53359735,-0.3843257,-0.070755035,-0.020357974,-0.19719492
853.9962,0.98342186,0.23484063,0.53444076,-0.38485655,-0.07088429,-0.020541877,-0.19805105
872.5659,0.98285633,0.23897286,0.5352993,-0.38541868,-0.071017355,-0.02071128,-0.19888169
891.40875,0.9822994,0.24316762,0.5361869,-0.38605875,-0.07116558,-0.020831212,-0.19963895
910.5309,0.981768,0.24739915,0.5370845,-0.38673216,-0.07131961,-0.02097182,-0.20042755
929.91455,0.98125184,0.25170812,0.53799975,-0.38739684,-0.071476154,-0.021133855,-0.20119458
949.5437,0.9807229,0.2560966,0.53895235,-0.3880498,-0.07162951,-0.021243878,-0.20190473
969.4207,0.98020303,0.26055086,0.5399149,-0.3887118,-0.07178136,-0.021355793,-0.20261137
989.548,0.9796859,0.265066,0.54088897,-0.38939053,-0.071934424,-0.02147559,-0.20331973
1009.93384,0.9791831,0.26963097,0.54186404,-0.39011246,-0.0721325,-0.02160617,-0.20406885
1030.5819,0.97867835,0.27430773,0.542851,-0.390786,-0.072308645,-0.02174738,-0.20481661
1051.4799,0.97818196,0.27906892,0.5438548,-0.39147413,-0.07249299,-0.021902815,-0.20558439
1072.6307,0.97769344,0.28389776,0.5448685,-0.39217076,-0.072675176,-0.022059761,-0.20634787
1094.0387,0.9772117,0.28879362,0.545892,-0.3928756,-0.07285537,-0.022218242,-0.20710711
1115.708,0.9767353,0.29375565,0.5469249,-0.3935888,-0.073033884,-0.022378035,-0.20786174
1137.6321,0.97626513,0.29878473,0.5479679,-0.3943327,-0.07322109,-0.022534646,-0.20856705
1159.8116,0.9758017,0.30388197,0.5490215,-0.3950948,-0.07341102,-0.022690997,-0.20924807
1182.2346,0.97532386,0.30904704,0.5500928,-0.3958602,-0.073576465,-0.022809036,-0.20987569
1204.9022,0.9748521,0.31428427,0.5511772,-0.3966328,-0.073733926,-0.022920877,-0.21048732
1227.8258,0.97440517,0.31957704,0.55228776,-0.39745808,-0.07392889,-0.023050107,-0.2111423
1251.0172,0.97397435,0.3249312,0.55341774,-0.39831668,-0.0741311,-0.023186058,-0.21181731
1274.4811,0.9735632,0.33034778,0.55456996,-0.39922416,-0.07431656,-0.023316666,-0.21250384
1298.2158,0.9731566,0.33582854,0.5557301,-0.40011445,-0.0745264,-0.023430534,-0.21319477
1322.2169,0.972762,0.34136868,0.556897,-0.40100116,-0.074754745,-0.02353239,-0.21389146
1346.4807,0.972391,0.3469572,0.55806965,-0.40192235,-0.07497607,-0.023639292,-0.21459056
1371.0094,0.9720229,0.3526108,0.55925184,-0.4028501,-0.07519546,-0.023747176,-0.21528368
1395.807,0.9716567,0.35832852,0.5604432,-0.40378428,-0.07541308,-0.02385579,-0.21597064
1420.8799,0.9713121,0.36412784,0.561657,-0.40475395,-0.07561488,-0.023935892,-0.21665962
1446.2314,0.97100294,0.37002033,0.5629091,-0.4057386,-0.07581252,-0.024019271,-0.2173395
1471.8591,0.9707202,0.37599894,0.5641994,-0.406698,-0.076026656,-0.024153426,-0.21799581
1497.7635,0.97043633,0.3820398,0.5654984,-0.407663,-0.076239154,-0.024288632,-0.21864553
1523.9485,0.970151,0.3881424,0.5668061,-0.408633,-0.07645044,-0.024424799,-0.2192887
1550.4146,0.96986324,0.39430565,0.568122,-0.40960783,-0.07665996,-0.024561755,-0.2199253
1577.1641,0.9695728,0.40052858,0.56944644,-0.4105877,-0.07686807,-0.024699464,-0.22055526
1604.1975,0.9692769,0.40682176,0.57077575,-0.41156948,-0.077074036,-0.02483648,-0.22117534
1631.5001,0.9689567,0.41328147,0.5720888,-0.4125322,-0.07726882,-0.024956256,-0.22174822
1659.0934,0.968649,0.41982478,0.57342356,-0.41350257,-0.077453315,-0.025055118,-0.2222805
1686.9819,0.9683496,0.4264342,0.5747678,-0.4144811,-0.07763897,-0.02515272,-0.22281297
1715.1761,0.9681128,0.43288586,0.5761505,-0.41549677,-0.077839166,-0.025233448,-0.22334054
1743.6819,0.96789587,0.4392928,0.57754934,-0.41652882,-0.07804414,-0.025307536,-0.22386257
1772.5009,0.96767974,0.4456972,0.5789534,-0.41756672,-0.078247964,-0.025380678,-0.2243774
1801.6211,0.96744937,0.45211953,0.58037096,-0.418618,-0.07844958,-0.025474168,-0.22489987
1831.0695,0.96720254,0.45865566,0.58179545,-0.41967636,-0.07866284,-0.025567956,-0.22542888
1860.8572,0.96695507,0.46524185,0.5832226,-0.42074814,-0.07888052,-0.025672741,-0.2259604
1890.9612,0.9666936,0.47186998,0.5846439,-0.4218527,-0.07907959,-0.02582401,-0.22646596
1921.3822,0.9664353,0.47852933,0.58605295,-0.4229405,-0.07930755,-0.025957055,-0.22697599
1952.1401,0.9661934,0.48521757,0.5874311,-0.4240222,-0.07955286,-0.026054017,-0.22750108
1983.2336,0.9659436,0.49192303,0.58881027,-0.42510754,-0.07979646,-0.026151672,-0.22802062
2014.6595,0.96569085,0.4986726,0.5901877,-0.4261914,-0.08003877,-0.026236333,-0.22851239
2046.4257,0.96545213,0.50555366,0.5915635,-0.42728126,-0.0802873,-0.026297964,-0.22892413
2078.5037,0.9651927,0.5124831,0.5929446,-0.4283636,-0.08053628,-0.026363023,-0.22928827
2110.8523,0.9648947,0.5195238,0.5943468,-0.42942435,-0.08076116,-0.026463658,-0.22957486
2143.5474,0.96459377,0.52666765,0.5957326,-0.43048322,-0.080975085,-0.026503414,-0.22991864
2176.5786,0.9642863,0.5338698,0.5971081,-0.43154418,-0.08119509,-0.026541308,-0.23028539
2209.8994,0.9639984,0.54144996,0.5985073,-0.4326331,-0.08145159,-0.026655965,-0.23079722
2243.5142,0.9637124,0.5490622,0.5999129,-0.43372467,-0.08170556,-0.026772559,-0.2313038
2277.427,0.9634316,0.5567299,0.60132444,-0.43481642,-0.08196185,-0.026888087,-0.23180865
2311.6538,0.96316314,0.56449836,0.6027217,-0.4359127,-0.08222238,-0.02698917,-0.23231877
2346.2332,0.96290255,0.5723976,0.6040464,-0.43702197,-0.08247194,-0.02705878,-0.23282875
2381.1433,0.96262556,0.58031243,0.6053609,-0.43812218,-0.08273637,-0.027145974,-0.2333392
2416.345,0.9622997,0.5883258,0.6066723,-0.43919113,-0.082980104,-0.027235307,-0.23381436
2451.7522,0.9619007,0.59659755,0.60799646,-0.44024515,-0.083177626,-0.027261734,-0.23421924
2487.4001,0.96155345,0.6050753,0.6093144,-0.4412623,-0.08340462,-0.027314626,-0.23457293
2523.3372,0.9613012,0.6138427,0.6106105,-0.44227126,-0.0836443,-0.027379848,-0.23482712
2559.5764,0.9610499,0.62265325,0.6119159,-0.4432809,-0.0838927,-0.02744019,-0.23508395
2596.162,0.96081316,0.63151544,0.61323106,-0.4443013,-0.08416582,-0.027489252,-0.23536193
2633.094,0.9605676,0.6403769,0.61455077,-0.44532478,-0.08443535,-0.027539842,-0.2356349
2670.372,0.96031207,0.64923096,0.6158747,-0.44634897,-0.08470229,-0.027591772,-0.2359031
2707.9954,0.96007264,0.65814507,0.617198,-0.44739738,-0.08497181,-0.027642742,-0.2361806
2745.9636,0.95982665,0.66705686,0.61852485,-0.44844872,-0.08523918,-0.027694732,-0.23645514
2784.2747,0.9595715,0.6759583,0.6198555,-0.44950053,-0.08550389,-0.02774807,-0.23672524
2822.902,0.9593246,0.6848324,0.62117994,-0.45054168,-0.08577848,-0.027782947,-0.23697858
2861.8406,0.9590764,0.69369763,0.62250704,-0.4515811,-0.08605298,-0.02781514,-0.23722558
2901.097,0.95882344,0.70255655,0.62383896,-0.4526206,-0.08632434,-0.027848989,-0.23746897
2940.673,0.95856535,0.7114054,0.62517524,-0.4536602,-0.0865922,-0.02788458,-0.23770899
2980.5718,0.9583014,0.72024095,0.6265155,-0.45469958,-0.08685701,-0.027922079,-0.2379452
3020.797,0.95803106,0.7290596,0.62785935,-0.45573866,-0.08711847,-0.02796112,-0.23817782
3061.3494,0.95775425,0.7378582,0.62920666,-0.456777,-0.08737669,-0.028002024,-0.23840709
3102.2349,0.95747006,0.74663377,0.63055676,-0.45781466,-0.08763163,-0.028044432,-0.23863259
3143.4531,0.95717835,0.755383,0.63190955,-0.4588513,-0.0878834,-0.028088428,-0.23885466
3185.0076,0.9568792,0.764103,0.6332646,-0.4598867,-0.088131756,-0.028134115,-0.23907317
3226.8984,0.956572,0.7727905,0.63462156,-0.46092057,-0.08837699,-0.028181255,-0.23928805
3269.1287,0.9562569,0.78144336,0.6359803,-0.46195287,-0.088619,-0.028229997,-0.23949967
3311.6992,0.95593554,0.79005533,0.6373419,-0.46298712,-0.088857494,-0.028278112,-0.23970832
3354.5923,0.9556485,0.7986352,0.6387327,-0.46408114,-0.08907934,-0.028302945,-0.23992044
3397.8157,0.9553946,0.80732113,0.6401353,-0.46518445,-0.08928749,-0.028296493,-0.24012314
3441.379,0.95513374,0.8159676,0.641539,-0.4662854,-0.08949264,-0.028290853,-0.24032234
3485.2783,0.9548656,0.82457095,0.6429437,-0.4673842,-0.08969452,-0.028286032,-0.24051817
3529.5173,0.95458996,0.83312863,0.64434886,-0.46848047,-0.089893125,-0.02828212,-0.2407107
3574.0977,0.954307,0.8416381,0.6457544,-0.46957424,-0.0900889,-0.028278805,-0.24089985
3619.0051,0.95401466,0.8500844,0.6471573,-0.47065705,-0.090297066,-0.028284408,-0.24106562
3664.214,0.95371413,0.85846364,0.6485565,-0.47172517,-0.090525426,-0.028303541,-0.24119829
3709.7268,0.95341057,0.86680055,0.64995635,-0.47279006,-0.09075082,-0.028323501,-0.24132766
3755.6177,0.95313966,0.87515163,0.6513843,-0.4738807,-0.09099044,-0.028316103,-0.24143155
3801.8794,0.95286,0.88343865,0.65280956,-0.47497377,-0.09123043,-0.028309613,-0.2415427
3848.5034,0.9525887,0.8916816,0.65423036,-0.47610638,-0.09148918,-0.028304517,-0.24172045
3895.4895,0.952307,0.89985657,0.6556487,-0.47723347,-0.09174422,-0.028300345,-0.24189334
3942.8325,0.9520156,0.90796196,0.6570646,-0.4783554,-0.0919956,-0.028296992,-0.24206178
3990.5352,0.95171446,0.9159965,0.65847754,-0.47947168,-0.092243634,-0.028294317,-0.24222551
4038.5947,0.95140386,0.92395884,0.65988755,-0.48058224,-0.09248782,-0.028292485,-0.24238504
4087.0122,0.95108426,0.93184865,0.6612944,-0.4816869,-0.0927285,-0.028291538,-0.2425402
4135.7837,0.9507624,0.9396652,0.66270393,-0.48278165,-0.092968926,-0.028300136,-0.24268682
4184.909,0.950436,0.94740784,0.66411346,-0.48386776,-0.0932077,-0.02831477,-0.24282698
4234.3853,0.95010126,0.95507485,0.6655192,-0.4849478,-0.09344317,-0.02833014,-0.24296296
4284.23,0.9497683,0.9626481,0.666921,-0.48603505,-0.09368274,-0.028338417,-0.24311508
4334.441,0.94943404,0.97012293,0.66831565,-0.48712748,-0.09392539,-0.02833794,-0.243275
4385.0127,0.9490905,0.9775165,0.6697055,-0.48821265,-0.094164446,-0.028338492,-0.2434306
4435.946,0.948738,0.98482764,0.6710904,-0.48929048,-0.09439952,-0.028340444,-0.24358226
4487.221,0.9483723,0.9920308,0.672478,-0.4903751,-0.09461798,-0.02832897,-0.24373235
4538.809,0.94802535,0.99886286,0.6738548,-0.49146593,-0.09484832,-0.028264627,-0.243842
4590.599,0.94759846,1.0,0.675276,-0.49258298,-0.09508401,-0.028137475,-0.24393164
4642.6523,0.9471178,1.0,0.6768074,-0.49372995,-0.095344394,-0.028150037,-0.244166
4695.0303,0.9466428,1.0,0.6783464,-0.49487174,-0.09560528,-0.028149188,-0.24441381
4747.6772,0.94616765,1.0,0.67986524,-0.49601215,-0.095843256,-0.028178468,-0.24466607
4800.59,0.94569373,1.0,0.68136936,-0.49714315,-0.09607672,-0.028208077,-0.24491395
4853.7446,0.94522697,1.0,0.6828592,-0.49829376,-0.096311286,-0.028221056,-0.24514465
4907.146,0.94476455,1.0,0.68433625,-0.4994328,-0.09654252,-0.02823411,-0.24537237
4960.7964,0.94430655,1.0,0.68580055,-0.50056106,-0.096770555,-0.028247386,-0.24559727
5014.6963,0.9438556,1.0,0.68724823,-0.50167423,-0.09699647,-0.02825883,-0.2458158
5068.8403,0.9434118,1.0,0.68867964,-0.5027733,-0.09722009,-0.028268695,-0.2460285
5123.2285,0.9429734,1.0,0.69009966,-0.50386214,-0.09744095,-0.028278694,-0.246239
5177.875,0.9425453,1.0,0.6915101,-0.5049477,-0.09766115,-0.028289557,-0.2464494
5232.7935,0.9421313,1.0,0.6929122,-0.5060345,-0.09788178,-0.028302103,-0.24666138
5287.9814,0.9417205,1.0,0.6943026,-0.5071111,-0.09809987,-0.02831456,-0.24687111
5343.438,0.941313,1.0,0.69568145,-0.50817764,-0.098315716,-0.028327003,-0.2470784
5399.163,0.94090873,1.0,0.69704866,-0.5092344,-0.09852925,-0.028339759,-0.24728352
5455.156,0.94050777,1.0,0.69840467,-0.51028126,-0.09874047,-0.028352246,-0.24748647
5511.42,0.9401101,1.0,0.69974935,-0.5113188,-0.098949425,-0.028364837,-0.24768727
5567.9507,0.9397161,1.0,0.70108294,-0.5123465,-0.09915641,-0.02837734,-0.24788602
5624.7754,0.939343,1.0,0.7024255,-0.5133936,-0.09938039,-0.028360575,-0.24808516
5681.8877,0.93898726,1.0,0.70377016,-0.5144378,-0.099623695,-0.028337851,-0.24829933
5739.2515,0.9386437,1.0,0.70511115,-0.5154686,-0.09988068,-0.02831985,-0.24852891
5796.879,0.93829924,1.0,0.70644546,-0.5164972,-0.1001353,-0.028311789,-0.24874704
5854.785,0.9379538,1.0,0.7077716,-0.5175214,-0.100387305,-0.028312087,-0.24895523
5912.9653,0.9376105,1.0,0.7090867,-0.5185363,-0.10063676,-0.028312206,-0.2491613
5971.4185,0.9372694,1.0,0.71039075,-0.51954186,-0.100883976,-0.02831246,-0.24936514
6030.141,0.93693066,1.0,0.71168375,-0.5205382,-0.10112876,-0.028312832,-0.24956684
6089.128,0.9365944,1.0,0.7129658,-0.52152544,-0.101371326,-0.02831316,-0.24976629
6148.388,0.9362694,1.0,0.7142369,-0.5225025,-0.10161144,-0.0283169,-0.24996646
6207.964,0.9359606,1.0,0.71549153,-0.5234571,-0.10184242,-0.028328717,-0.25016454
6267.85,0.93565,1.0,0.7167345,-0.52440226,-0.1020713,-0.02834022,-0.25036022
6328.041,0.9353384,1.0,0.71796596,-0.5253383,-0.10229808,-0.02835156,-0.25055322
6388.529,0.93502605,1.0,0.71918577,-0.52626526,-0.10252258,-0.028362885,-0.2507439
6449.3096,0.93471336,1.0,0.72039443,-0.52718306,-0.10274504,-0.028373763,-0.2509324
6510.371,0.9344012,1.0,0.72159266,-0.5280928,-0.102965236,-0.028384209,-0.25111848
6571.6953,0.9340902,1.0,0.7227812,-0.5289947,-0.103182085,-0.028393432,-0.25130168
6633.2925,0.9337809,1.0,0.7239593,-0.52988845,-0.10339694,-0.028402552,-0.25148305
6695.146,0.93347293,1.0,0.72512704,-0.5307738,-0.103609875,-0.028411493,-0.25166234
6757.2573,0.933167,1.0,0.72628474,-0.531651,-0.10382077,-0.02842033,-0.2518397
6819.622,0.9328628,1.0,0.72743237,-0.5325202,-0.104029685,-0.028429031,-0.25201532
6882.234,0.9325607,1.0,0.7285699,-0.53338134,-0.10423671,-0.028437793,-0.2521892
6945.0957,0.9322606,1.0,0.7296977,-0.5342346,-0.10444163,-0.028446332,-0.25236103
7008.2046,0.9319618,1.0,0.730816,-0.5350793,-0.1046456,-0.028454214,-0.25253007
7071.604,0.9316696,1.0,0.731932,-0.53591686,-0.10485759,-0.02846001,-0.25268653
7135.319,0.9313862,1.0,0.73303545,-0.53676426,-0.10507143,-0.028458804,-0.25283957
7199.3584,0.93109643,1.0,0.73412603,-0.5376041,-0.10528539,-0.028457776,-0.252989
7263.719,0.9308088,1.0,0.7352089,-0.5384359,-0.10549784,-0.028461471,-0.25313872
7328.339,0.9305528,1.0,0.7362774,-0.5392708,-0.10570489,-0.028460756,-0.25327647
7393.2065,0.9303001,1.0,0.7373353,-0.5400989,-0.10590978,-0.028459206,-0.25341117
7458.34,0.9300442,1.0,0.73838836,-0.5409239,-0.106112525,-0.028465882,-0.2535578
7523.764,0.9297832,1.0,0.7394378,-0.5417464,-0.10631277,-0.028483465,-0.25371936
7589.4653,0.9295211,1.0,0.7404771,-0.54256064,-0.10651126,-0.028500944,-0.25387907
7655.441,0.92925787,1.0,0.7415061,-0.54336697,-0.10670796,-0.02851829,-0.25403675
7721.6797,0.9289939,1.0,0.74252534,-0.54416543,-0.106902786,-0.028535798,-0.25419256
7788.1763,0.92872965,1.0,0.7435348,-0.54495597,-0.10709606,-0.028553113,-0.25434655
7854.928,0.9284676,1.0,0.7445356,-0.5457409,-0.1072897,-0.028572768,-0.2545009
7921.9287,0.928209,1.0,0.74552894,-0.54652107,-0.10748525,-0.02859594,-0.254657
7989.115,0.9279142,1.0,0.7465122,-0.5472744,-0.10767523,-0.02859728,-0.2547944
8056.48,0.92762065,1.0,0.747487,-0.54801965,-0.107863486,-0.028596982,-0.25492927
8124.05,0.9273283,1.0,0.74845546,-0.5487577,-0.10804699,-0.028594106,-0.25506014
8191.8213,0.92703784,1.0,0.74941635,-0.5494888,-0.108227275,-0.028590381,-0.2551888
8259.796,0.92674994,1.0,0.7503689,-0.5502132,-0.108405784,-0.028586566,-0.25531635
8327.977,0.92646456,1.0,0.7513128,-0.550931,-0.108582795,-0.028582945,-0.25544256
8396.354,0.9261819,1.0,0.7522486,-0.55164254,-0.10875827,-0.028579444,-0.25556767
8464.915,0.92590964,1.0,0.7531737,-0.55235684,-0.10893138,-0.028576687,-0.25569323
8533.659,0.9256401,1.0,0.75409096,-0.5530647,-0.10910259,-0.02857396,-0.25581786
8602.597,0.9253734,1.0,0.75500005,-0.55376625,-0.10927239,-0.028571382,-0.25594124
8671.712,0.9251094,1.0,0.75590116,-0.55446136,-0.109440774,-0.028568968,-0.25606367
8741.013,0.9248481,1.0,0.75679433,-0.5551503,-0.109607294,-0.02856651,-0.2561847
8810.485,0.9245893,1.0,0.7576795,-0.55583274,-0.10977246,-0.028564185,-0.2563048
8880.144,0.9243333,1.0,0.75855684,-0.55650926,-0.10993606,-0.028562069,-0.25642356
8949.968,0.92407966,1.0,0.7594265,-0.55717945,-0.11009813,-0.028559983,-0.25654152
9019.967,0.9238288,1.0,0.76028824,-0.5578437,-0.110258766,-0.028557926,-0.25665832
9090.143,0.92357916,1.0,0.7611436,-0.5585002,-0.11041759,-0.028555721,-0.25677177
9160.495,0.92332876,1.0,0.76199526,-0.5591451,-0.11057444,-0.0285521,-0.25687814
9231.022,0.9230801,1.0,0.76283896,-0.5597842,-0.11072989,-0.028548568,-0.25698358
9301.731,0.92283344,1.0,0.7636749,-0.5604173,-0.11088377,-0.02854526,-0.25708792
9372.605,0.92258894,1.0,0.7645033,-0.56104463,-0.111036375,-0.028542161,-0.25719112
9443.651,0.9223464,1.0,0.76532394,-0.56166613,-0.11118734,-0.02853927,-0.25729346
9514.863,0.9221059,1.0,0.7661371,-0.56228197,-0.111337155,-0.028536275,-0.2573948
9586.242,0.9218674,1.0,0.7669427,-0.5628921,-0.11148539,-0.028533474,-0.25749516
9657.771,0.921631,1.0,0.7677409,-0.5634967,-0.11163231,-0.028530985,-0.25759467
9729.461,0.9213966,1.0,0.7685318,-0.5640956,-0.11177786,-0.028528422,-0.25769305
9801.299,0.9211642,1.0,0.7693153,-0.5646891,-0.11192216,-0.028526083,-0.25779065
9873.3125,0.92093384,1.0,0.7700934,-0.5652797,-0.1120653,-0.028525561,-0.25788832
9945.507,0.92070496,1.0,0.7708646,-0.56586635,-0.11220737,-0.028525978,-0.2579856
10017.857,0.9204771,1.0,0.77162826,-0.56644726,-0.11234805,-0.028526574,-0.25808176
10090.378,0.9202503,1.0,0.77238464,-0.5670229,-0.11248754,-0.028527454,-0.2581771
