foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
6.914e-06,8.690e-04,1.677e-04,5.103e-05,4.023e-05,2.176e-05,1.006e-06,3.399e-05
2.503e-05,6.447e-04,3.099e-05,2.082e-04,1.428e-04,3.868e-05,4.242e-05,2.204e-05
1.160e-04,4.864e-04,4.613e-05,6.243e-05,2.478e-04,1.311e-06,1.013e-05,2.085e-05
1.224e-04,5.569e-04,1.919e-05,1.348e-04,3.240e-04,1.687e-05,4.061e-05,4.406e-05
1.253e-04,4.399e-04,1.180e-05,2.096e-04,2.292e-04,5.740e-05,3.375e-06,1.387e-05
1.197e-04,4.992e-04,4.554e-05,2.221e-04,2.455e-04,6.881e-05,2.623e-06,4.622e-05
8.130e-05,5.085e-04,7.319e-05,1.087e-04,1.913e-04,6.789e-05,2.261e-05,1.005e-04
3.207e-05,4.630e-04,9.477e-05,3.687e-06,3.642e-05,2.980e-08,1.259e-06,7.589e-05
3.171e-05,4.685e-04,1.155e-04,3.622e-05,1.599e-04,9.319e-05,8.981e-05,1.389e-04
7.474e-05,4.950e-04,1.320e-04,1.182e-05,1.341e-04,1.103e-04,5.598e-05,1.133e-04
2.339e-04,4.408e-04,1.343e-04,5.920e-06,3.446e-04,6.163e-05,3.967e-05,9.017e-05
1.810e-04,3.197e-04,1.241e-04,4.885e-05,2.695e-04,4.676e-05,6.221e-06,5.057e-05
1.053e-04,2.913e-04,1.110e-04,1.717e-05,2.309e-04,6.020e-06,3.085e-05,2.477e-05
4.053e-05,3.610e-04,9.698e-05,2.614e-05,1.640e-04,1.737e-05,5.729e-05,8.240e-06
2.575e-05,3.960e-04,8.130e-05,1.255e-05,1.801e-04,3.320e-05,1.215e-05,1.550e-05
1.146e-04,3.781e-04,6.557e-05,6.275e-05,1.649e-04,3.269e-05,2.469e-05,7.257e-06
1.110e-04,3.750e-04,4.840e-05,7.677e-05,1.262e-04,3.725e-05,1.729e-05,5.722e-06
9.418e-05,3.686e-04,3.123e-05,8.641e-05,7.647e-05,4.709e-06,1.553e-05,1.439e-05
1.191e-04,3.667e-04,1.514e-05,5.016e-05,6.890e-05,4.569e-05,2.474e-06,5.171e-06
1.748e-04,3.786e-04,9.537e-07,5.868e-05,1.135e-04,9.885e-05,3.602e-05,2.465e-05
1.907e-04,3.715e-04,1.478e-05,8.799e-05,8.035e-05,6.747e-05,3.846e-05,1.907e-05
1.787e-04,3.819e-04,2.807e-05,9.295e-05,4.655e-05,2.804e-05,2.676e-05,1.130e-05
1.470e-04,3.829e-04,4.125e-05,9.980e-05,2.897e-05,2.348e-05,7.838e-06,1.054e-05
1.620e-04,3.462e-04,5.311e-05,1.252e-04,3.737e-05,4.327e-05,7.130e-06,8.270e-06
1.805e-04,3.414e-04,6.443e-05,1.499e-04,4.762e-05,6.154e-05,6.489e-06,6.601e-06
1.997e-04,3.691e-04,7.516e-05,1.755e-04,5.585e-05,7.671e-05,7.018e-06,2.563e-06
1.369e-04,4.222e-04,8.506e-05,2.060e-04,5.752e-05,5.165e-05,3.617e-05,4.108e-05
1.214e-04,3.655e-04,9.298e-05,2.181e-04,3.219e-05,3.290e-05,3.348e-05,1.216e-05
1.401e-04,3.316e-04,1.000e-04,2.038e-04,8.702e-06,5.126e-05,3.082e-05,2.356e-05
1.450e-04,3.278e-04,1.060e-04,1.858e-04,2.319e-05,7.686e-05,4.590e-06,1.201e-05
1.854e-04,3.505e-04,1.111e-04,1.756e-04,3.529e-05,8.744e-05,2.228e-05,2.548e-05
1.805e-04,4.268e-04,1.156e-04,1.489e-04,3.695e-06,3.481e-05,2.445e-05,5.484e-05
1.925e-04,4.287e-04,1.183e-04,1.478e-04,3.469e-05,2.947e-05,3.930e-05,6.321e-05
2.099e-04,4.063e-04,1.183e-04,1.580e-04,5.221e-05,4.685e-05,3.961e-05,6.269e-05
1.745e-04,4.160e-04,1.166e-04,1.721e-04,7.486e-05,8.217e-05,4.095e-05,5.366e-05
1.504e-04,4.177e-04,1.115e-04,1.920e-04,5.895e-05,6.795e-05,5.243e-05,8.801e-05
1.631e-04,4.327e-04,1.032e-04,1.671e-04,3.886e-05,7.167e-05,4.100e-05,7.533e-05
1.704e-04,4.585e-04,9.352e-05,1.471e-04,3.523e-05,9.748e-05,3.100e-05,3.479e-05
2.087e-04,4.556e-04,8.273e-05,1.518e-04,8.011e-05,7.063e-05,4.207e-05,6.124e-06
1.731e-04,4.971e-04,8.398e-05,1.412e-04,9.304e-05,9.304e-05,1.305e-05,6.318e-06
1.560e-04,4.830e-04,8.577e-05,1.429e-04,6.145e-05,1.114e-04,9.641e-06,7.540e-06
1.417e-04,4.637e-04,8.667e-05,1.413e-04,2.861e-05,1.278e-04,6.452e-06,1.003e-05
1.581e-04,4.420e-04,8.678e-05,1.346e-04,2.158e-05,1.290e-04,4.299e-06,1.112e-05
1.756e-04,4.466e-04,8.589e-05,1.286e-04,1.591e-05,1.292e-04,2.258e-06,1.192e-05
1.800e-04,4.723e-04,8.404e-05,1.259e-04,1.109e-05,1.088e-04,8.047e-07,1.645e-05
1.686e-04,5.238e-04,8.208e-05,1.098e-04,3.219e-05,9.811e-05,1.466e-05,7.570e-06
1.348e-04,5.758e-04,8.017e-05,1.077e-04,5.454e-05,1.094e-04,1.106e-05,2.977e-05
1.389e-04,5.505e-04,7.880e-05,1.212e-04,5.823e-05,1.263e-04,2.477e-05,2.393e-05
1.632e-04,4.869e-04,7.695e-05,1.335e-04,6.628e-05,1.228e-04,3.196e-06,4.850e-05
1.761e-04,4.680e-04,8.023e-05,1.257e-04,6.086e-05,1.193e-04,4.925e-06,4.661e-05
1.634e-04,4.675e-04,8.261e-05,1.155e-04,7.159e-05,8.830e-05,1.721e-06,3.797e-05
1.640e-04,4.656e-04,8.380e-05,1.127e-04,8.535e-05,7.218e-05,4.292e-06,3.012e-05
1.805e-04,4.704e-04,8.410e-05,1.209e-04,8.178e-05,8.646e-05,6.981e-06,7.004e-06
1.943e-04,4.826e-04,8.374e-05,1.153e-04,7.492e-05,8.622e-05,1.092e-05,7.153e-07
1.925e-04,5.088e-04,8.285e-05,1.062e-04,7.397e-05,6.819e-05,1.377e-05,1.317e-05
1.717e-04,5.319e-04,8.076e-05,9.765e-05,8.100e-05,3.523e-05,1.894e-05,4.236e-05
1.827e-04,5.276e-04,7.677e-05,9.074e-05,8.374e-05,3.377e-05,2.008e-05,4.365e-05
1.948e-04,5.393e-04,7.224e-05,8.516e-05,8.821e-05,3.180e-05,2.087e-05,4.554e-05
1.594e-04,5.667e-04,6.729e-05,8.441e-05,7.093e-05,8.404e-06,1.751e-06,6.895e-05
1.373e-04,5.527e-04,6.098e-05,6.605e-05,9.334e-05,7.331e-06,2.496e-06,6.984e-05
1.461e-04,4.961e-04,5.412e-05,6.542e-05,1.412e-04,6.348e-06,1.132e-06,3.605e-05
1.193e-04,5.331e-04,5.043e-05,7.967e-05,1.616e-04,7.004e-06,1.263e-05,2.548e-05
1.596e-04,5.322e-04,4.768e-05,9.771e-05,1.458e-04,2.205e-05,1.898e-05,3.625e-05
1.749e-04,5.548e-04,5.567e-05,8.035e-05,1.572e-04,2.655e-05,2.331e-05,2.809e-05
1.858e-04,5.715e-04,6.062e-05,6.433e-05,1.864e-04,3.883e-05,3.371e-05,1.302e-05
2.159e-04,5.658e-04,6.002e-05,3.402e-05,1.939e-04,2.337e-05,4.710e-05,2.466e-05
