kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,850.0,770.0,1444.0,1.1,0.27,0.0
228.62076,855.10583,773.38586,1445.3722,0.98131764,0.2776443,0.014888048
234.69475,860.2485,776.8579,1446.7709,0.94473433,0.28412515,0.029554427
241.15805,865.4127,780.4119,1448.1968,0.9399982,0.29020935,0.044002473
247.9861,870.5975,784.0432,1449.6505,0.9476143,0.29619393,0.058235407
255.13716,875.8053,787.74713,1451.1329,0.9600259,0.3021935,0.072256446
262.60565,881.03815,791.5199,1452.6443,0.97430754,0.30825213,0.08606875
270.37134,886.29834,795.3579,1454.1855,0.98932767,0.3143865,0.09967542
278.4172,891.5878,799.25806,1455.7566,1.0046506,0.3206027,0.11307949
286.73883,896.9073,803.21765,1457.3583,1.0201097,0.32690275,0.126284
295.33282,902.2573,807.23425,1458.9911,1.0356405,0.33328718,0.13929194
304.1755,907.6389,811.30566,1460.6553,1.051219,0.33975583,0.15210623
313.23993,913.0521,815.4298,1462.3513,1.0668365,0.3463084,0.16472971
322.53073,918.4963,819.60486,1464.0796,1.0824893,0.35294446,0.17716527
332.05804,923.9701,823.8291,1465.8405,1.098175,0.35966355,0.1894157
341.81793,929.47266,828.1009,1467.634,1.1138906,0.36646524,0.20148373
351.80145,935.00256,832.4187,1469.4609,1.1296339,0.37334904,0.21337211
361.99957,940.5582,836.78076,1471.3213,1.1454015,0.38031444,0.22508347
372.40936,946.1379,841.1856,1473.2156,1.1611903,0.3873609,0.23662049
383.03003,951.73956,845.63165,1475.1438,1.176997,0.3944879,0.24798572
393.85928,957.3612,850.1174,1477.1063,1.1928171,0.4016948,0.25918174
404.88812,963.00055,854.6411,1479.1033,1.2086473,0.40898106,0.2702111
416.11557,968.6556,859.20135,1481.1351,1.2244824,0.41634598,0.28107625
427.5402,974.32434,863.7964,1483.2019,1.2403189,0.42378893,0.29177964
439.15817,980.0049,868.42474,1485.3037,1.2561527,0.4313092,0.3023237
450.97208,985.6951,873.08453,1487.4409,1.2719803,0.438906,0.31271076
462.98404,991.3929,877.7743,1489.6136,1.2877975,0.44657862,0.32294315
475.1961,997.0961,882.49225,1491.8219,1.3036005,0.45432624,0.33302325
487.59708,1002.8026,887.2368,1494.0659,1.3193855,0.46214807,0.34295326
500.19186,1008.51025,892.00635,1496.3457,1.3351488,0.47004324,0.35273546
