con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
76.99833,0.0028556,105.17594,104.8756,27.77962,30.001389,36.366955,0.3003404,32.60139
79.46292,0.0034985412,108.64715,108.26704,28.698929,30.354044,37.398727,0.3801065,32.894928
82.01235,0.004099415,112.215904,111.755875,29.631168,30.723814,38.47813,0.46001956,33.206924
84.637794,0.0046552797,115.879234,115.33979,30.58252,31.100351,39.59836,0.5394503,33.527
87.33942,0.0051674685,119.63514,119.016914,31.549574,31.448408,40.76527,0.61821073,33.81988
90.11991,0.005639562,123.480286,122.78391,32.52632,31.769686,41.977036,0.6963748,34.087242
92.96101,0.0060761105,127.41779,126.643585,33.53518,32.096695,43.230618,0.77420455,34.361553
95.877754,0.006481904,131.4419,130.58992,34.554436,32.411934,44.525314,0.8519938,34.625294
98.885345,0.0068616215,135.55237,134.62227,35.56788,32.7076,45.875362,0.9301091,34.870632
101.93848,0.0072195833,139.75041,138.74147,36.622356,32.999332,47.25632,1.0089399,35.113186
105.05816,0.0075596357,144.03471,142.94586,37.695053,33.283726,48.676193,1.08885,35.349514
108.25452,0.007885159,148.40053,147.23038,38.7702,33.548023,50.139256,1.1701616,35.56684
111.50428,0.0081990715,152.84749,151.59428,39.87057,33.79634,51.63832,1.2532076,35.769257
114.81532,0.008503845,157.37921,156.04086,40.991417,34.02764,53.175762,1.3383284,35.9557
118.186966,0.008801556,161.9946,160.56877,42.13211,34.242878,54.751682,1.4258045,36.127098
121.61384,0.009093933,166.69133,165.17545,43.29575,34.446774,56.3675,1.5158798,36.288143
125.11282,0.009382406,171.46838,169.8596,44.464005,34.63629,58.02909,1.6087861,36.435795
128.67033,0.009668163,176.32672,174.62196,45.651047,34.80884,59.731678,1.7047555,36.56743
132.28581,0.009952173,181.26648,179.4625,46.857464,34.966705,61.47375,1.8039954,36.685307
135.96411,0.010235223,186.28435,184.37767,48.074722,35.106686,63.25768,1.9066619,36.78621
139.69398,0.010517949,191.38257,189.36963,49.316166,35.228848,65.07796,2.0129523,36.87019
143.48569,0.010800849,196.55885,194.43587,50.568718,35.32866,66.938835,2.1230025,36.93268
147.33383,0.0110843135,201.8137,199.57672,51.838257,35.408943,68.83866,2.2369664,36.97649
151.23837,0.011368634,207.14915,204.79414,53.126892,35.47242,70.77671,2.3550029,37.004322
155.19643,0.011654019,212.56453,210.0873,54.43653,35.517754,72.75051,2.4772308,37.014824
159.20738,0.011940625,218.05978,215.45601,55.767864,35.547596,74.764565,2.6037698,37.010628
163.27428,0.012228546,223.63493,220.90019,57.117607,35.561092,76.818634,2.7347298,36.990864
167.39856,0.012517852,229.28963,226.4194,58.483788,35.55743,78.91231,2.8702135,36.95469
171.57845,0.01280857,235.0262,232.01584,59.870316,35.53635,81.0441,3.0103495,36.90184
175.81459,0.013100696,240.8448,237.68958,61.27657,35.498108,83.21483,3.1552346,36.83255
180.10446,0.013394209,246.7453,243.44034,62.70485,35.44251,85.42434,3.3049583,36.74661
184.45268,0.013689063,252.72726,249.26767,64.14997,35.37014,87.672585,3.4595993,36.64459
188.86888,0.013985197,258.79016,255.17094,65.60181,35.281963,89.96929,3.6192317,36.52743
193.33821,0.014282532,264.93274,261.14883,67.07395,35.178806,92.30359,3.78391,36.39595
197.85646,0.014580984,271.1559,267.2022,68.571526,35.061443,94.671616,3.9537199,36.250916
202.42772,0.014880461,277.46158,273.3328,70.09129,34.921818,97.077995,4.1287556,36.084248
207.05644,0.01518087,283.84982,279.5407,71.62922,34.763702,99.527176,4.3090873,35.899704
211.73846,0.015482096,290.32245,285.8277,73.19102,34.58578,102.01934,4.4948,35.695946
216.48238,0.015784016,296.88022,292.19424,74.7686,34.388733,104.55955,4.6859617,35.47366
221.29012,0.016086489,303.52325,298.64066,76.35998,34.170807,107.15156,4.8826237,35.231064
226.14528,0.016389377,310.25122,305.1664,77.981575,33.936935,109.77899,5.0848246,34.973083
231.05269,0.01669253,317.06293,311.77036,79.62738,33.686813,112.442856,5.2925825,34.6994
236.01651,0.0169958,323.95795,318.45203,81.29265,33.420364,115.14453,5.5059247,34.40993
241.03662,0.01729904,330.93735,325.2124,82.97765,33.130726,117.900406,5.724898,34.097794
246.12251,0.017602107,338.00366,332.0541,84.67538,32.818554,120.719955,5.949577,33.76363
251.26955,0.01790484,345.15714,338.97714,86.39106,32.489277,123.57687,6.179983,33.41287
256.46582,0.01820707,352.3975,345.98138,88.13707,32.147564,126.473625,6.4161263,33.05015
