kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.461,0.98526156,0.18574582,1.7730513,-1.3463769,-0.26422524,-0.06100908,-0.3339259
234.2263,0.991953,0.19027373,1.7711898,-1.340888,-0.26242125,-0.06318216,-0.33415192
240.35123,0.9975828,0.19430281,1.7693418,-1.3358345,-0.2607858,-0.065090455,-0.3344415
246.81374,1.0023832,0.19808374,1.7674552,-1.331255,-0.25928468,-0.066807516,-0.33473358
253.58536,1.0064176,0.20249414,1.7659172,-1.3270468,-0.2578692,-0.06824913,-0.33512056
260.6817,1.0097034,0.20742393,1.7644131,-1.3231555,-0.25656527,-0.069620766,-0.33552402
268.05856,1.0125915,0.21205866,1.7633288,-1.3198836,-0.25538677,-0.07092445,-0.33598632
275.7106,1.0148861,0.21678865,1.7621872,-1.3168042,-0.254403,-0.072213344,-0.33646637
283.64276,1.0164115,0.22178318,1.7611629,-1.3139873,-0.25332204,-0.073488295,-0.33695027
291.8421,1.0178908,0.2266615,1.7606212,-1.3116791,-0.2524049,-0.07456485,-0.3376014
300.27414,1.0190359,0.23149589,1.7601787,-1.309497,-0.25171438,-0.0756323,-0.33829457
308.93387,1.0197395,0.23654246,1.7597576,-1.3075502,-0.2510066,-0.07667539,-0.33887583
317.84317,1.0203509,0.24169701,1.7596897,-1.3060074,-0.25033188,-0.07766182,-0.33954942
326.99155,1.0207793,0.24699074,1.7598555,-1.3047996,-0.24977262,-0.07856304,-0.340338
336.36188,1.0210528,0.25238794,1.7602484,-1.3039064,-0.24921252,-0.079405755,-0.34117603
345.9448,1.0212531,0.25776625,1.7609756,-1.3031813,-0.24869888,-0.08027554,-0.3419799
355.7448,1.0211898,0.2631884,1.7619076,-1.3026123,-0.24830012,-0.081075676,-0.3427753
365.76025,1.0210443,0.26870495,1.7630482,-1.3021879,-0.24798973,-0.0819651,-0.34360337
375.96722,1.0208338,0.27426872,1.764453,-1.3021024,-0.24770819,-0.08277733,-0.3444922
386.3787,1.0205145,0.2799255,1.7659833,-1.302275,-0.24743159,-0.083657905,-0.34538934
396.97696,1.0202174,0.28568187,1.7677768,-1.3026059,-0.24726315,-0.08448493,-0.3463363
407.76334,1.0198392,0.29161704,1.7696767,-1.3030702,-0.24707644,-0.08535441,-0.34735793
418.7502,1.019444,0.29767033,1.7717848,-1.3037417,-0.24689792,-0.08617949,-0.34833127
429.9307,1.0190368,0.30379423,1.774017,-1.3045344,-0.24676634,-0.08702749,-0.3493122
441.302,1.0186491,0.31000832,1.7764232,-1.3054763,-0.24669145,-0.08779665,-0.35026485
452.863,1.0182893,0.31626388,1.7790693,-1.30655,-0.2466835,-0.08855977,-0.35126808
464.60895,1.0179305,0.3225739,1.7818536,-1.3076957,-0.24676307,-0.08935608,-0.352302
476.55377,1.0175627,0.32895687,1.7846978,-1.3089998,-0.24684335,-0.09021994,-0.35332942
488.6969,1.0172054,0.33542022,1.7876502,-1.3104386,-0.24697189,-0.09105875,-0.35439876
501.03488,1.016855,0.3419625,1.7907028,-1.3119817,-0.2471378,-0.091885686,-0.35550863
513.56305,1.0165347,0.34858498,1.7938821,-1.3136275,-0.24729107,-0.092704065,-0.35666108
526.2768,1.0162082,0.35527802,1.7971004,-1.3153577,-0.2474448,-0.09352416,-0.35779482
539.1647,1.0158029,0.3620223,1.8004235,-1.3173144,-0.24761455,-0.094329014,-0.35893273
552.2317,1.0154403,0.36880177,1.8038409,-1.3193786,-0.24780722,-0.095118284,-0.36007112
565.48804,1.0151515,0.37560827,1.8073001,-1.3215226,-0.24802642,-0.09592734,-0.36122656
578.93353,1.0149043,0.38258994,1.8108795,-1.323702,-0.24834271,-0.09668927,-0.3623091
592.5778,1.0146658,0.38968042,1.8146279,-1.3260167,-0.24865986,-0.097348586,-0.36338872
606.4243,1.0144674,0.39690816,1.818491,-1.328397,-0.24899505,-0.09806057,-0.36446634
620.4724,1.0142496,0.4042622,1.8224742,-1.330878,-0.24935915,-0.098765664,-0.36557773
634.71826,1.014003,0.41177395,1.8266168,-1.3334928,-0.24975954,-0.09945513,-0.36674267
649.151,1.0138378,0.4193587,1.8308104,-1.3361591,-0.25018665,-0.10014895,-0.36787492
663.76697,1.0137206,0.4270226,1.835012,-1.3388872,-0.25060347,-0.10084386,-0.36901096
678.57104,1.0136238,0.43476796,1.8392062,-1.3416078,-0.25102147,-0.1015279,-0.3701334
693.5799,1.0135487,0.44271544,1.8436263,-1.3445017,-0.2514695,-0.10224622,-0.37124336
708.79175,1.0134392,0.45085734,1.848258,-1.347547,-0.2518643,-0.10305541,-0.37232056
724.20496,1.0133256,0.45910603,1.8528441,-1.3505144,-0.25222492,-0.10377625,-0.37332457
739.8185,1.0132781,0.46738565,1.8575383,-1.3535445,-0.25261173,-0.10443143,-0.37437814
755.6328,1.0132235,0.4757294,1.8622401,-1.3565857,-0.2530086,-0.105075516,-0.375421
771.6511,1.0131538,0.48412246,1.8669677,-1.3596501,-0.25342876,-0.10572407,-0.37645912
787.8756,1.0131278,0.49261475,1.8718913,-1.3628135,-0.2539398,-0.10641895,-0.37747514
804.3094,1.0131105,0.5011929,1.8769131,-1.3660219,-0.25450802,-0.10713002,-0.37847453
820.9512,1.0130787,0.5098332,1.8819383,-1.3692343,-0.25507164,-0.107832335,-0.37946737
837.78705,1.0130695,0.51855445,1.8870345,-1.3724357,-0.25560614,-0.10854802,-0.38046992
854.82007,1.0131328,0.5273349,1.8921632,-1.3756175,-0.25618473,-0.109231874,-0.3814511
872.05194,1.0131919,0.5361684,1.8972772,-1.3787949,-0.25676575,-0.10989944,-0.38241506
889.4881,1.0132706,0.5450551,1.9023927,-1.3819742,-0.25735363,-0.11054496,-0.38334626
907.1382,1.0133125,0.5541458,1.9075733,-1.3852249,-0.25795972,-0.111238204,-0.38423747
925.00824,1.0133232,0.5634343,1.9127537,-1.3885019,-0.25859404,-0.111968935,-0.38508344
943.0926,1.0133715,0.5728392,1.9179015,-1.3918257,-0.25922418,-0.11268852,-0.38594142
961.3755,1.0134406,0.58233553,1.9230506,-1.3952347,-0.2598429,-0.113376565,-0.38681585
979.87036,1.0135193,0.59192604,1.9282184,-1.3986728,-0.26045287,-0.11401221,-0.3876788
998.57715,1.013587,0.60155815,1.9333624,-1.4020969,-0.26106018,-0.114627145,-0.3885222
1017.4913,1.0136775,0.6112415,1.9385285,-1.4055245,-0.261633,-0.11519893,-0.38934726
1036.6144,1.0137961,0.6209855,1.9436839,-1.4089779,-0.26222268,-0.1157696,-0.39016545
1055.9458,1.013911,0.6307635,1.9488132,-1.4124217,-0.26281425,-0.11632214,-0.39096662
1075.4988,1.0140296,0.64065117,1.9540114,-1.4158294,-0.2634675,-0.11684268,-0.39172333
1095.2815,1.0141627,0.6506655,1.9592257,-1.4191937,-0.26405734,-0.11740992,-0.39235863
1115.2953,1.0143123,0.6608132,1.9644319,-1.4225855,-0.26468098,-0.11802153,-0.3930397
1135.5404,1.0144588,0.6710548,1.9696095,-1.4259909,-0.2653681,-0.11863724,-0.39376172
1156.0167,1.0145829,0.68131644,1.9747474,-1.429374,-0.26605123,-0.11923132,-0.394465
1176.7239,1.0146844,0.69159454,1.979845,-1.4327333,-0.26672998,-0.11980336,-0.3951496
1197.6487,1.0147696,0.7018929,1.984923,-1.4360776,-0.26742166,-0.120345116,-0.39578724
1218.7814,1.0148413,0.7122987,1.9900055,-1.4394295,-0.26810962,-0.12085862,-0.39634654
1240.1818,1.014984,0.7233092,1.9950441,-1.4426389,-0.26889384,-0.12131894,-0.39700866
