,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,3.981e-05,2.810e-04,5.996e-05,9.266e-05,1.065e-04,3.775e-05,1.715e-05,3.069e-05
std,3.455e-05,1.108e-04,9.752e-05,5.271e-05,5.434e-05,3.130e-05,1.643e-05,2.082e-05
min,0.000e+00,1.907e-06,0.000e+00,3.725e-08,2.861e-06,0.000e+00,5.960e-08,8.941e-08
0.1%,0.000e+00,1.907e-06,0.000e+00,3.725e-08,2.861e-06,0.000e+00,5.960e-08,8.941e-08
25%,1.529e-05,2.587e-04,0.000e+00,4.584e-05,7.311e-05,1.574e-05,5.588e-06,1.466e-05
50%,3.213e-05,3.099e-04,3.278e-05,9.908e-05,8.994e-05,3.415e-05,1.168e-05,2.849e-05
75%,5.461e-05,3.472e-04,9.350e-05,1.306e-04,1.212e-04,4.750e-05,2.364e-05,4.124e-05
99.9%,2.078e-04,6.034e-04,1.011e-03,3.462e-04,3.464e-04,2.037e-04,1.236e-04,1.228e-04
max,2.078e-04,6.034e-04,1.011e-03,3.462e-04,3.464e-04,2.037e-04,1.236e-04,1.228e-04
