kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,850.0,770.0,1444.0,1.1,0.27,0.0
228.37947,854.1349,773.38586,1445.3722,1.217552,0.2755693,0.014888048
234.14655,858.3022,776.79285,1446.7709,1.3179682,0.28189,0.029554427
240.27307,862.5064,780.22144,1448.1962,1.4044843,0.28884208,0.044002473
246.73705,866.7486,783.67267,1449.6482,1.4797314,0.29632804,0.058235407
253.50992,871.0203,787.1474,1451.127,1.5458477,0.3042687,0.072256446
260.60742,875.31433,790.6459,1452.6327,1.6045632,0.3125997,0.08606875
267.98538,879.6326,794.16785,1454.1654,1.6572777,0.32126877,0.09967542
275.63834,883.9723,797.7133,1455.7255,1.7051295,0.33023337,0.11307949
283.57123,888.3284,801.282,1457.3126,1.7490413,0.3394589,0.126284
291.77136,892.70074,804.87317,1458.9271,1.7897584,0.34891722,0.13929194
300.204,897.088,808.48645,1460.5692,1.8278865,0.35858527,0.15210623
308.86435,901.4855,812.1212,1462.2389,1.8639159,0.3684443,0.16472971
317.77405,905.88995,815.77655,1463.936,1.8982424,0.3784789,0.17716527
326.92307,910.2979,819.4515,1465.6611,1.9311843,0.38867652,0.1894157
336.29388,914.7065,823.14484,1467.4141,1.962998,0.39902675,0.20148373
345.8771,919.1139,826.85535,1469.1948,1.9938896,0.40952098,0.21337211
355.6774,923.51776,830.5818,1471.0034,2.0240254,0.4201521,0.22508347
365.6933,927.9151,834.3227,1472.8401,2.053539,0.4309141,0.23662049
375.9004,932.3035,838.07666,1474.7046,2.0825367,0.44180194,0.24798572
386.31216,936.6799,841.8422,1476.5972,2.1111035,0.45281127,0.25918174
396.91077,941.0412,845.61786,1478.5178,2.139306,0.46393842,0.2702111
407.69736,945.3832,849.4017,1480.4662,2.167197,0.47518012,0.28107625
418.68433,949.70276,853.192,1482.4426,2.194816,0.48653355,0.29177964
429.86496,953.9974,856.98706,1484.4469,2.2221935,0.49799612,0.3023237
441.23657,958.26434,860.7848,1486.479,2.2493525,0.5095655,0.31271076
452.79758,962.5018,864.58325,1488.5388,2.27631,0.52123946,0.32294315
464.5437,966.70734,868.38055,1490.6262,2.3030794,0.53301597,0.33302325
476.48862,970.8786,872.17474,1492.7411,2.3296695,0.5448931,0.34295326
488.63165,975.0132,875.9639,1494.8833,2.3560863,0.556869,0.35273546
500.96985,979.1087,879.74615,1497.0526,2.3823333,0.5689417,0.36237198
513.49817,983.1627,883.51935,1499.2493,2.4084125,0.5811095,0.37186503
526.21173,987.17303,887.2816,1501.4724,2.4343235,0.59337074,0.38121676
539.0996,991.1377,891.0309,1503.7223,2.4600651,0.6057235,0.39042926
552.16675,995.055,894.76544,1505.9985,2.4856353,0.61816615,0.3995046
565.42316,998.92346,898.48315,1508.3008,2.5110316,0.6306969,0.40844482
578.8686,1002.7393,902.18225,1510.6289,2.5362515,0.64331394,0.41725194
592.51276,1006.4999,905.86066,1512.9827,2.5612907,0.6560156,0.42592794
606.3593,1010.20215,909.5165,1515.3617,2.5861442,0.6688,0.43447477
620.40735,1013.8435,913.1475,1517.7655,2.6108062,0.6816654,0.44289434
634.6531,1017.4209,916.75183,1520.194,2.6352706,0.69461,0.45118856
649.08594,1020.93256,920.3274,1522.6467,2.659531,0.7076318,0.4593593
663.70166,1024.3766,923.8719,1525.1235,2.6835816,0.72072905,0.46740842
678.5059,1027.7512,927.3835,1527.6235,2.707416,0.73389983,0.47533768
693.51434,1031.0526,930.86005,1530.1467,2.731029,0.74714214,0.48314893
708.72626,1034.2773,934.2995,1532.6925,2.754414,0.760454,0.49084383
724.1393,1037.4233,937.6997,1535.2605,2.7775636,0.7738335,0.49842417
739.7526,1040.4901,941.05853,1537.8502,2.8004704,0.7872786,0.5058917
755.56714,1043.4764,944.37384,1540.4613,2.8231292,0.8007871,0.513248
771.58514,1046.3812,947.64374,1543.0931,2.8455348,0.814357,0.5204948
787.80945,1049.2028,950.86646,1545.745,2.8676827,0.8279862,0.5276337
804.24347,1051.9395,954.04004,1548.4166,2.8895686,0.84167254,0.53466636
820.88464,1054.5902,957.1627,1551.1074,2.9111881,0.855414,0.54159427
837.7206,1057.1536,960.2328,1553.8168,2.932537,0.8692082,0.54841906
854.7534,1059.6285,963.2484,1556.5443,2.9536116,0.8830532,0.5551423
871.9852,1062.0142,966.2081,1559.2892,2.974408,0.8969466,0.5617654
889.42096,1064.3094,969.11017,1562.0509,2.994923,0.91088635,0.5682899
907.0706,1066.5111,971.9531,1564.8289,3.0151536,0.92487025,0.5747172
924.9408,1068.6162,974.73535,1567.6224,3.0350957,0.93889606,0.58104885
943.02496,1070.6227,977.4551,1570.4308,3.0547438,0.95296156,0.58728623
961.30786,1072.5298,980.11066,1573.2534,3.0740926,0.9670645,0.59343076
979.80225,1074.3363,982.7003,1576.0897,3.0931375,0.98120266,0.59948385
998.5087,1076.0421,985.22253,1578.939,3.111874,0.9953737,0.60544676
1017.4232,1077.6466,987.67584,1581.8004,3.1302989,1.0095755,0.6113209
1036.5455,1079.1495,990.0589,1584.6736,3.148409,1.0238056,0.6171076
1055.877,1080.5507,992.37024,1587.5575,3.1662016,1.0380617,0.62280816
1075.4298,1081.8486,994.60876,1590.4514,3.1836743,1.0523416,0.6284238
1095.2117,1083.0419,996.77313,1593.3546,3.2008247,1.0666428,0.63395584
1115.2255,1084.1288,998.8621,1596.2665,3.21765,1.0809631,0.6394055
1135.4707,1085.1084,1000.8745,1599.1862,3.234146,1.0953003,0.6447741
1155.9468,1085.9813,1002.809,1602.1129,3.2503104,1.1096519,0.65006274
1176.6536,1086.7484,1004.6647,1605.046,3.26614,1.1240157,0.65527266
1197.5784,1087.4098,1006.4403,1607.9847,3.2816336,1.1383893,0.66040504
1218.7106,1087.9644,1008.1351,1610.9283,3.29679,1.1527705,0.665461
