con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.10226,0.0028556,0.00022309502,105.17594,104.8756,27.749956,32.894978,14.160901,15.443786,0.023464229,0.3003404,35.494976
79.640564,0.002278755,0.00021085405,108.72105,108.473305,28.809862,33.546165,14.514638,15.028004,0.022924274,0.24774861,36.08705
82.28435,0.0021243885,0.00021484026,112.38226,112.14352,29.835083,34.091026,14.910998,15.315809,0.024144232,0.23874357,36.574135
85.02501,0.0021175656,0.00022436913,116.15577,115.9098,30.858776,34.599453,15.338556,15.848051,0.02606177,0.24596748,37.026104
87.8437,0.002166911,0.00023580933,120.03665,119.776535,31.904598,35.09547,15.786537,16.462976,0.028305762,0.26010874,37.46694
90.73599,0.002238896,0.00024786073,124.020676,123.743004,32.976353,35.586464,16.254938,17.103119,0.030739855,0.2776694,37.90402
93.71659,0.0023206885,0.00026014363,128.10503,127.80773,34.0579,36.07368,16.734552,17.75217,0.033325706,0.29729187,38.338535
96.78203,0.0024073133,0.00027243755,132.28847,131.97,35.15201,36.557594,17.223864,18.401188,0.036040343,0.31845978,38.77095
99.92623,0.002496855,0.00028401375,136.56999,136.229,36.264088,37.04238,17.735023,19.020643,0.038787756,0.34099552,39.205414
103.15683,0.0025885915,0.0002949251,140.94872,140.58386,37.385567,37.526752,18.27131,19.613852,0.04156931,0.36485866,39.640602
106.45043,0.0026822716,0.00030576144,145.42247,145.0324,38.53762,38.005463,18.822714,20.205624,0.044464584,0.39006254,40.07125
109.80969,0.0027778281,0.00031653067,149.99033,149.5737,39.71666,38.47747,19.386671,20.796677,0.04747654,0.41664737,40.49629
113.24817,0.0028752505,0.0003269753,154.65208,154.20741,40.908806,38.944237,19.972097,21.376904,0.050567407,0.44466347,40.917152
116.77183,0.002974543,0.0003370263,159.4073,158.93314,42.107754,39.405735,20.584867,21.943941,0.053724453,0.47416386,41.33379
120.36255,0.0030757214,0.00034711236,164.25511,163.7499,43.33051,39.85823,21.21332,22.515293,0.057014976,0.50520295,41.742447
124.01979,0.0031787972,0.00035726954,169.19429,168.65646,44.576424,40.300632,21.85637,23.092604,0.06044797,0.53783435,42.142002
127.74192,0.0032837775,0.00036756796,174.22447,173.65234,45.8466,40.73219,22.513374,23.678717,0.06403933,0.57211435,42.531696
131.53616,0.0033906586,0.0003780684,179.34525,178.73714,47.133404,41.151814,23.187906,24.27623,0.06780477,0.60809845,42.910404
135.41646,0.0034994348,0.00038874766,184.55537,183.90953,48.4216,41.559307,23.88698,24.884245,0.07174548,0.6458396,43.27791
139.35985,0.003610093,0.00039966695,189.85672,189.17134,49.735886,41.9541,24.598799,25.50535,0.07587946,0.6854004,43.63363
143.37369,0.003722617,0.00041093034,195.24797,194.52113,51.067524,42.335,25.322657,26.143658,0.08023331,0.7268334,43.976337
147.45403,0.003836988,0.0004224463,200.72896,199.95876,52.420254,42.702393,26.060204,26.795649,0.0847972,0.7701946,44.30641
151.58926,0.003953182,0.00043454042,206.3002,205.48465,53.8061,43.053642,26.813221,27.474112,0.08964577,0.8155422,44.621185
155.788,0.0040711733,0.0004470794,211.96104,211.09811,55.21573,43.38944,27.579224,28.173832,0.09476341,0.86293006,44.92134
160.05258,0.0041909334,0.0004599048,217.712,216.79959,56.647305,43.710724,28.361135,28.888779,0.1001268,0.9124165,45.207794
164.38873,0.004312425,0.00047287857,223.55486,222.5908,58.096806,44.018932,29.156458,29.61364,0.1057143,0.9640636,45.481968
168.78659,0.0044356184,0.00048616802,229.49101,228.4731,59.575428,44.312653,29.970264,30.355093,0.1115712,1.0179346,45.74242
173.24431,0.004560481,0.0004998696,235.5217,234.4476,61.08612,44.591442,30.794172,31.116835,0.11773013,1.0740921,45.9887
177.77328,0.0046869814,0.0005135238,241.64746,240.51488,62.618073,44.85842,31.633007,31.881489,0.12409174,1.1325972,46.223907
