kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.67789,0.9874621,0.106003754,0.69897366,-0.5917896,-0.0828059,-0.012761721,-0.17544161
234.74419,0.9931255,0.10406597,0.69603884,-0.589183,-0.08221252,-0.012382964,-0.17580304
241.18942,0.9974633,0.10549871,0.6940833,-0.5866903,-0.08164987,-0.012219558,-0.17621632
247.9812,1.0007124,0.108009204,0.6926048,-0.5842893,-0.0810942,-0.012300203,-0.17675796
255.09041,1.003285,0.11087473,0.69136524,-0.5821296,-0.08062546,-0.012506733,-0.17736788
262.49854,1.0054072,0.11381986,0.6902383,-0.5802121,-0.08020627,-0.012781838,-0.17805089
270.20868,1.0071498,0.11682718,0.689136,-0.5784496,-0.07982304,-0.01304231,-0.17878632
278.2082,1.0085,0.11979156,0.68807465,-0.57681566,-0.07943277,-0.013323048,-0.17951341
286.47617,1.009426,0.12277792,0.6870224,-0.57534313,-0.07904675,-0.013635883,-0.18019678
295.00415,1.010052,0.12576768,0.6859339,-0.57395303,-0.078719094,-0.013949016,-0.18087533
303.78897,1.0103712,0.12869018,0.684951,-0.57265186,-0.07844703,-0.0141646955,-0.18166466
312.8213,1.0104593,0.13160849,0.68408906,-0.5714941,-0.078150705,-0.01438945,-0.18245961
322.09494,1.0103874,0.13451281,0.68328303,-0.5704651,-0.07789268,-0.014602447,-0.18324947
331.59985,1.0100967,0.1374464,0.6825723,-0.56954247,-0.07767312,-0.014789144,-0.18408811
341.33405,1.0096948,0.14037532,0.68191206,-0.56870055,-0.07746482,-0.014980951,-0.18492241
351.29477,1.0092095,0.1433036,0.681286,-0.56793696,-0.07727768,-0.015170315,-0.18575431
361.47943,1.0086515,0.14623772,0.6806919,-0.5672458,-0.077110454,-0.015356103,-0.18658616
371.858,1.0079818,0.1491913,0.6804352,-0.56672126,-0.07696921,-0.015536794,-0.18743484
382.44104,1.0069823,0.15217865,0.6804652,-0.5662853,-0.07685148,-0.015655646,-0.18832973
393.23376,1.006099,0.15525264,0.68050927,-0.56590664,-0.07672712,-0.015813032,-0.18925409
404.23096,1.0052552,0.15837413,0.68058056,-0.56562203,-0.0766093,-0.016031126,-0.1902119
415.43045,1.0044001,0.16153395,0.6806739,-0.5653795,-0.07650625,-0.016258309,-0.1911694
426.83203,1.0035275,0.16473877,0.68079346,-0.56517917,-0.07642506,-0.016469905,-0.19212148
438.42963,1.0026133,0.16794024,0.68100166,-0.5650444,-0.07637396,-0.016667405,-0.193103
450.22092,1.0016268,0.1711639,0.6813102,-0.56497836,-0.07634369,-0.016868303,-0.19410394
