,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,2.059e-04,1.007e-03,7.437e-05,1.398e-04,8.281e-05,3.022e-04,1.407e-05,3.432e-05
std,5.676e-05,1.788e-04,9.939e-05,1.166e-04,6.153e-05,7.039e-05,1.108e-05,2.365e-05
min,6.795e-06,3.314e-05,0.000e+00,1.714e-07,1.192e-07,7.749e-07,1.490e-08,8.941e-08
0.1%,6.795e-06,3.314e-05,0.000e+00,1.714e-07,1.192e-07,7.749e-07,1.490e-08,8.941e-08
25%,1.885e-04,9.487e-04,0.000e+00,3.210e-05,2.883e-05,2.758e-04,5.616e-06,1.355e-05
50%,2.111e-04,1.038e-03,1.189e-05,1.139e-04,7.150e-05,3.237e-04,1.135e-05,3.260e-05
75%,2.343e-04,1.121e-03,1.281e-04,2.156e-04,1.422e-04,3.514e-04,1.938e-05,5.126e-05
99.9%,5.218e-04,1.265e-03,5.158e-04,4.033e-04,2.788e-04,3.838e-04,6.048e-05,1.146e-04
max,5.218e-04,1.265e-03,5.158e-04,4.033e-04,2.788e-04,3.838e-04,6.048e-05,1.146e-04
