kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,403.0,894.0,1.1,0.27,0.0
228.59624,857.8055,405.18665,894.7022,0.98263633,0.2776443,0.014888048
234.66428,864.6289,407.50256,895.4199,0.9487859,0.28413728,0.029554427
241.11096,871.4526,409.93265,896.1541,0.9472835,0.29025868,0.044002473
247.90416,878.2792,412.46262,896.9057,0.95827806,0.2963099,0.058235407
255.01457,885.1162,415.08017,897.6755,0.97408056,0.30240664,0.072256446
262.42374,891.9718,417.77496,898.464,0.9917213,0.30859274,0.08606875
270.1348,898.8521,420.5385,899.2718,1.0100597,0.31488436,0.09967542
278.13528,905.76306,423.36368,900.0994,1.028662,0.32128692,0.11307949
286.40387,912.70844,426.2446,900.9474,1.0473669,0.32780185,0.126284
294.9326,919.691,429.1763,901.81604,1.0661168,0.33442903,0.13929194
303.71805,926.7133,432.15475,902.7056,1.0848925,0.34116787,0.15210623
312.751,933.7766,435.17648,903.6165,1.1036894,0.34801757,0.16472971
322.0249,940.8817,438.23853,904.54895,1.1225066,0.3549773,0.17716527
331.53043,948.0282,441.33835,905.5033,1.1413449,0.36204624,0.1894157
341.26514,955.2157,444.47375,906.47974,1.1602032,0.3692236,0.20148373
351.22604,962.44336,447.6427,907.4785,1.1790807,0.37650853,0.21337211
361.41095,969.7102,450.84348,908.4999,1.1979754,0.38390023,0.22508347
371.78995,977.0149,454.07443,909.54395,1.2168854,0.39139786,0.23662049
382.37314,984.3552,457.3341,910.6109,1.2358081,0.3990006,0.24798572
393.1661,991.72845,460.62103,911.7009,1.2547395,0.4067076,0.25918174
404.16348,999.13226,463.9338,912.8142,1.273675,0.414518,0.2702111
415.36313,1006.56464,467.27106,913.9508,1.2926099,0.42243084,0.28107625
426.76492,1014.02295,470.63147,915.1109,1.3115401,0.4304452,0.29177964
438.36258,1021.5055,474.01373,916.29456,1.3304613,0.4385601,0.3023237
450.1542,1029.01,477.4166,917.502,1.3493693,0.4467745,0.31271076
462.1408,1036.5339,480.83887,918.7332,1.368261,0.45508742,0.32294315
474.32196,1044.0746,484.27927,919.9884,1.3871316,0.46349776,0.33302325
486.68954,1051.6285,487.73663,921.2676,1.405977,0.47200444,0.34295326
499.2456,1059.1931,491.2097,922.57074,1.4247923,0.48060635,0.35273546
511.99496,1066.7655,494.6971,923.8981,1.4435724,0.4893023,0.36237198
524.9394,1074.3431,498.1977,925.2495,1.4623132,0.49809113,0.37186503
538.07355,1081.9237,501.7101,926.6252,1.4810101,0.5069716,0.38121676
551.3957,1089.5048,505.23312,928.025,1.4996603,0.5159425,0.39042926
564.90814,1097.0834,508.76553,929.4491,1.5182595,0.5250026,0.3995046
578.61383,1104.6565,512.30597,930.8974,1.5368042,0.53415054,0.40844482
592.51605,1112.2213,515.85333,932.37,1.5552902,0.54338497,0.41725194
606.619,1119.775,519.4063,933.8669,1.5737134,0.55270463,0.42592794
620.9265,1127.3151,522.96356,935.38794,1.5920703,0.5621081,0.43447477
635.44434,1134.8396,526.5238,936.9331,1.610357,0.57159406,0.44289434
650.1698,1142.3478,530.0859,938.50244,1.6285714,0.581161,0.45118856
665.0816,1149.8374,533.64856,940.09576,1.6467121,0.5908077,0.4593593
680.18286,1157.3053,537.21075,941.71313,1.6647768,0.6005326,0.46740842
695.477,1164.7485,540.77136,943.35443,1.6827627,0.6103343,0.47533768
710.9711,1172.1643,544.3292,945.0196,1.7006663,0.6202113,0.48314893
726.6709,1179.5496,547.88306,946.70856,1.7184842,0.6301623,0.49084383
742.57477,1186.903,551.4316,948.4212,1.7362127,0.6401858,0.49842417
758.7005,1194.2218,554.97375,950.15735,1.7538505,0.6502802,0.5058917
775.0435,1201.504,558.5085,951.91693,1.7713945,0.6604441,0.513248
791.6014,1208.7474,562.0344,953.6999,1.7888427,0.670676,0.5204948
808.3769,1215.9495,565.55054,955.506,1.8061931,0.6809743,0.5276337
825.37195,1223.1079,569.0557,957.33514,1.8234432,0.6913376,0.53466636
842.58923,1230.2207,572.54877,959.1871,1.8405905,0.7017643,0.54159427
860.0336,1237.2867,576.02856,961.06177,1.8576334,0.7122529,0.54841906
877.7017,1244.3038,579.4942,962.95905,1.8745708,0.72280186,0.5551423
895.5848,1251.27,582.9444,964.87866,1.8914013,0.73340964,0.5617654
913.66693,1258.183,586.37836,966.8205,1.9081233,0.74407476,0.5682899
931.99133,1265.0405,589.795,968.7843,1.9247344,0.7547957,0.5747172
950.5397,1271.8387,593.1933,970.7699,1.9412332,0.76557076,0.58104885
969.31384,1278.5758,596.572,972.77704,1.957616,0.77639866,0.58728623
988.30365,1285.2496,599.9302,974.80566,1.9738808,0.78727764,0.59343076
1007.4984,1291.8586,603.2666,976.85535,1.9900256,0.7982062,0.59948385
1026.9004,1298.4023,606.5803,978.92596,2.0060496,0.8091829,0.60544676
1046.5061,1304.878,609.8703,981.0172,2.0219522,0.82020605,0.6113209
1066.3215,1311.2834,613.1356,983.1289,2.0377316,0.8312741,0.6171076
1086.3467,1317.6162,616.37524,985.2608,2.0533862,0.8423856,0.62280816
1106.5952,1323.874,619.58826,987.4126,2.0689144,0.8535389,0.6284238
1127.0792,1330.0543,622.77356,989.58405,2.084314,0.8647325,0.63395584
1147.775,1336.156,625.9301,991.7748,2.0995827,0.8759648,0.6394055
1168.6898,1342.1781,629.057,993.9846,2.1147194,0.8872344,0.6447741
1189.8461,1348.1183,632.15326,996.2133,2.129724,0.89853954,0.65006274
1211.2252,1353.9784,635.21796,998.4604,2.1445947,0.90987873,0.65527266
1232.8252,1359.7573,638.2503,1000.72577,2.1593337,0.92125046,0.66040504
1254.6658,1365.4536,641.2497,1003.009,2.1739407,0.9326532,0.665461
1276.7466,1371.0659,644.21545,1005.3097,2.188416,0.9440854,0.6704416
1299.085,1376.5941,647.14685,1007.62775,2.2027588,0.9555457,0.6753481
1321.6694,1382.0352,650.0433,1009.9626,2.216969,0.96703255,0.6801815
1344.4961,1387.3876,652.90405,1012.3141,2.2310455,0.9785445,0.68494296
1367.566,1392.6499,655.72845,1014.6818,2.2449865,0.99008,0.6896336
1390.8838,1397.8209,658.5158,1017.0654,2.2587914,1.0016377,0.6942544
1414.4469,1402.9009,661.2654,1019.4646,2.272459,1.0132161,0.6988064
1438.2637,1407.8894,663.97656,1021.8791,2.2859898,1.0248138,0.70329064
1462.3495,1412.7852,666.6488,1024.3085,2.2993844,1.0364292,0.7077081
1486.663,1417.5881,669.2816,1026.7522,2.3126426,1.048061,0.71205986
1511.2216,1422.2961,671.87445,1029.2102,2.3257642,1.0597079,0.71634674
