con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.04685,0.0028556,105.17594,104.8756,27.673792,28.67166,48.654186,0.3003404,31.27166
79.48771,0.0035029713,108.63102,108.25048,28.595224,28.950554,49.95493,0.38053134,31.491436
82.01155,0.0041152867,112.18413,111.72246,29.531477,29.252913,51.320213,0.46166986,31.736021
84.61484,0.004689145,115.83243,115.289276,30.48273,29.554789,52.74798,0.543155,31.981434
87.29916,0.0052251695,119.57404,118.94925,31.446018,29.860056,54.23642,0.6247946,32.231533
90.05564,0.0057261577,123.40786,122.7012,32.42832,30.155367,55.782898,0.7066528,32.47292
92.88392,0.0061959554,127.33006,126.54113,33.42527,30.426817,57.388416,0.78893137,32.691673
95.78993,0.0066387504,131.34311,130.47116,34.433746,30.687943,59.05673,0.8719541,32.901302
98.75817,0.007058658,135.44185,134.48581,35.464043,30.94119,60.776577,0.9560377,33.104225
101.791084,0.007459531,139.62721,138.58568,36.514317,31.186804,62.552223,1.0415535,33.300655
104.90191,0.007844854,143.89746,142.76862,37.56773,31.40176,64.38847,1.1288545,33.46755
108.063896,0.008217712,148.2513,147.033,38.649094,31.58261,66.2733,1.2182864,33.601425
111.288994,0.008580748,152.69026,151.38005,39.74923,31.754036,68.215,1.3101966,33.726955
114.59017,0.008936188,157.21053,155.80566,40.851013,31.914442,70.224976,1.4048628,33.8425
117.9436,0.009285931,161.81076,160.30818,41.977,32.068096,72.28781,1.5025635,33.952312
121.3465,0.009631574,166.49254,164.88896,43.13067,32.20648,74.39438,1.6035852,34.047848
124.81876,0.009974466,171.25568,169.54747,44.290634,32.316822,76.55928,1.7081838,34.11633
128.34999,0.010315718,176.09904,174.28246,45.466637,32.40848,78.772514,1.816588,34.16707
131.9308,0.01065622,181.02391,179.09486,46.66904,32.481804,81.024284,1.9290305,34.200405
135.56978,0.01099668,186.03174,183.98601,47.89064,32.538948,83.328865,2.0457315,34.218475
139.27753,0.0113376705,191.12013,188.95328,49.11803,32.577213,85.7023,2.166857,34.21855
143.03618,0.011679639,196.2841,193.99158,50.36396,32.59566,88.12332,2.2925274,34.199677
146.84572,0.012022928,201.52551,199.10258,51.630444,32.598923,90.59174,2.422927,34.166466
150.71716,0.0123677915,206.84573,204.28752,52.90761,32.586784,93.12071,2.5582252,34.118687
154.64172,0.012714419,212.24661,209.54802,54.20508,32.55098,95.69569,2.6985924,34.04805
158.61636,0.0130629325,217.72688,214.8827,55.524902,32.496742,98.320274,2.8441515,33.959774
162.63722,0.013413405,223.28683,220.2918,56.870804,32.420647,100.985916,2.995037,33.850418
166.71037,0.013765856,228.92987,225.77843,58.240173,32.327404,103.696465,3.1514153,33.724663
170.83736,0.014120261,234.65485,231.34146,59.630264,32.216503,106.452705,3.3133876,33.58199
175.01875,0.014476576,240.46123,236.98015,61.039658,32.08733,109.2559,3.4810553,33.42177
179.26909,0.014834733,246.34894,242.69441,62.453007,31.933699,112.12849,3.6545208,33.237797
183.57098,0.015194639,252.31752,248.48364,63.887417,31.75973,115.045395,3.8338735,33.034176
187.92738,0.015556168,258.36902,254.3498,65.34289,31.57454,118.014336,4.019232,32.820004
192.33806,0.015919184,264.5018,260.29114,66.81754,31.37466,121.028786,4.210653,32.59181
196.80736,0.016283551,270.71793,266.3097,68.307884,31.151531,124.104805,4.4082494,32.341003
201.32922,0.016649129,277.01743,272.40533,69.82041,30.909967,127.23532,4.6120987,32.072395
205.91064,0.017015759,283.3979,278.57565,71.34515,30.646421,130.42531,4.82223,31.78242
210.54369,0.017383276,289.8599,284.82117,72.89068,30.361956,133.66054,5.0387144,31.472124
215.22801,0.017751487,296.40448,291.14285,74.45852,30.059937,136.94165,5.26162,31.144861
219.97058,0.018120209,303.03134,297.54034,76.04114,29.738495,140.2814,5.4909916,30.798754
224.78339,0.018489242,309.74173,304.01483,77.62869,29.405561,143.69731,5.7268896,30.441711
229.63245,0.018858388,316.5338,310.5645,79.25391,29.064732,147.14987,5.969318,30.077322
234.53043,0.019227456,323.4111,317.19275,80.90627,28.708025,150.64763,6.218373,29.69759
239.48532,0.019596286,330.3747,323.90057,82.577484,28.32754,154.19637,6.474117,29.294605
244.4845,0.019964693,337.4245,330.6879,84.27965,27.921099,157.78915,6.7365766,28.866175
249.54623,0.020332491,344.5601,337.55432,85.99521,27.49736,161.44342,7.005765,28.42095
254.6687,0.020699456,351.78284,344.5011,87.7272,27.056198,165.15831,7.281713,27.958786
259.84164,0.021065375,359.0926,351.52817,89.48546,26.596432,168.92125,7.56442,27.478497
265.07135,0.021430034,366.49106,358.63718,91.266106,26.123219,172.74516,7.853916,26.985228
270.35684,0.02179321,373.97916,365.82895,93.07054,25.634663,176.62764,8.150207,26.477072
275.6873,0.022154698,381.55646,373.10318,94.909546,25.132664,180.55745,8.453268,25.955917
281.07953,0.022514297,389.22534,380.46225,96.7683,24.616064,184.54575,8.763135,25.4206
286.5325,0.022871798,396.98456,387.90482,98.64768,24.090832,188.59746,9.079751,24.877075
292.07477,0.023227012,404.8314,395.42838,100.51702,23.559439,192.7468,9.403024,24.327805
297.6762,0.023579754,412.7669,403.03397,102.40625,23.015556,196.95973,9.732943,23.76645
303.32584,0.023929857,420.78983,410.72037,104.323616,22.451653,201.21864,10.06944,23.185474
309.02936,0.024277149,428.8986,418.48615,106.2615,21.866127,205.52971,10.412436,22.583263
314.78653,0.024621448,437.09558,426.33368,108.221825,21.257113,209.90147,10.761926,21.957941
320.60355,0.024962554,445.38416,434.26624,110.204056,20.636541,214.32811,11.117927,21.321434
326.4838,0.025300233,453.76425,442.28394,112.204895,20.005089,218.81119,11.480342,20.67441
332.42584,0.02563427,462.23563,450.3866,114.22394,19.355812,223.35391,11.849074,20.009916
338.42114,0.025964461,470.79794,458.5739,116.26594,18.673283,227.9418,12.224014,19.312513
344.46524,0.026290603,479.45517,466.84998,118.34522,17.985495,232.58832,12.6051655,18.61019
350.5411,0.026612433,488.20428,475.21198,120.47596,17.29149,237.29005,12.992304,17.901981
356.6885,0.026929734,497.04578,483.66046,122.617,16.583296,242.05495,13.385311,17.179907
362.90332,0.027242297,505.98135,492.19724,124.77492,15.864332,246.8764,13.784094,16.447376
369.18463,0.027549936,515.01013,500.82162,126.94974,15.134465,251.76596,14.188497,15.704253
375.54037,0.027852448,524.1336,509.5352,129.13364,14.388443,256.72687,14.598403,14.945277
381.93924,0.028149646,533.3519,518.3382,131.36067,13.635975,261.72882,15.013667,14.180147
388.40915,0.02844133,542.6673,527.23315,133.60034,12.859072,266.81403,15.434181,13.39087
394.94495,0.028727317,552.0755,536.2159,135.85896,12.077929,271.9576,15.859649,12.597635
401.5387,0.029007392,561.5762,545.2864,138.14442,11.292746,277.1617,16.28986,11.800635
408.19778,0.029281361,571.1742,554.4495,140.45314,10.499657,282.42825,16.724758,10.995998
414.9254,0.029549055,580.8701,563.706,142.78304,9.700915,287.75314,17.164164,10.185971
421.73465,0.0298103,590.6617,573.0539,145.12048,8.901172,293.17383,17.607803,9.375199
428.59692,0.030064953,600.5428,582.48755,147.4873,8.096866,298.63416,18.055292,8.560114
435.53275,0.030312862,610.51666,592.0102,149.86522,7.284234,304.15356,18.506506,7.73695
442.54294,0.030553898,620.5867,601.6253,152.25914,6.4717026,309.73874,18.961342,6.9141245
449.6377,0.030787924,630.75055,611.331,154.65756,5.660923,315.40082,19.419498,6.0932856
456.77884,0.031014822,641.0027,621.1221,157.09712,4.8633075,321.10052,19.880585,5.2858386
463.98145,0.031234477,651.3467,631.0022,159.5684,4.0842338,326.85883,20.344473,4.497158
471.29294,0.03144683,661.7851,640.97406,162.02681,3.3235288,332.73358,20.811043,3.727064
478.6926,0.031651862,672.319,651.0388,164.49986,2.5976007,338.69705,21.280148,2.9919603
486.18146,0.031849593,682.9407,661.1893,166.98079,1.9092685,344.73163,21.751383,2.2946613
493.76297,0.03204013,693.6471,671.42255,169.46484,1.2617532,350.88232,22.224543,1.638383
501.4149,0.03222361,704.43976,681.74023,171.99007,0.6949393,357.122,22.69959,1.0630053
509.1987,0.032400247,715.3171,692.1406,174.53473,0.327637,363.54663,23.176449,0.68733406
517.0575,0.03255454,726.28796,702.6439,177.16103,0.11454193,370.13016,23.643969,0.4660603
525.00885,0.032690123,737.36017,713.25574,179.83772,0.0,376.88272,24.104395,0.3435256
533.0723,0.032810327,748.54913,723.98895,182.56343,0.0,383.7758,24.560143,0.33571473
541.2163,0.032918096,759.84814,734.8354,185.32204,0.0,390.77643,25.012753,0.3280814
549.43427,0.03301607,771.25775,745.7938,188.11911,0.0,397.8594,25.4639,0.32062155
557.7443,0.033106327,782.77576,756.8609,190.93301,0.0,405.0512,25.914831,0.31333125
566.10315,0.03319052,794.4016,768.03503,193.80548,0.0,412.3149,26.366602,0.30620688
574.5619,0.03326992,806.13947,779.3193,196.68852,0.0,419.69922,26.820194,0.29924443
583.11316,0.03334554,817.9872,790.71094,199.5868,0.0,427.20792,27.276222,0.2924403
591.7328,0.03341816,829.9439,802.20874,202.52312,0.0,434.803,27.735199,0.28579083
600.41113,0.033488404,842.00836,813.8109,205.50534,0.0,442.47708,28.197514,0.2792926
609.1681,0.03355675,854.1817,825.5181,208.51443,0.0,450.24347,28.663559,0.27294213
618.0028,0.033623558,866.4622,837.32874,211.54935,0.0,458.10208,29.133543,0.26673612
626.9162,0.033689134,878.8492,849.2415,214.60828,0.0,466.06488,29.60767,0.26067114
635.90967,0.033753686,891.34265,861.2566,217.68933,0.0,474.13733,30.0861,0.2547441
644.9876,0.033817388,903.9433,873.37427,220.78908,0.0,482.3156,30.569004,0.2489518
654.1414,0.033880375,916.6506,885.5941,223.91524,0.0,490.59174,31.056465,0.24329126
663.3739,0.033942744,929.466,897.9174,227.06635,0.0,498.96545,31.548628,0.23775938
672.6852,0.034004565,942.3887,910.34314,230.24138,0.0,507.43695,32.045517,0.23235333
682.0696,0.03406591,955.41864,922.87146,233.44601,0.0,516.00366,32.547203,0.22707012
691.50415,0.034126814,968.5552,935.5014,236.70241,0.0,524.6516,33.053703,0.22190705
701.01154,0.034187313,981.79926,948.2342,239.98871,0.0,533.392,33.56508,0.21686128
710.6106,0.034247436,995.14984,961.0686,243.28531,0.0,542.2561,34.08133,0.21193029
720.2876,0.034307193,1008.6047,974.0023,246.60345,0.0,551.2188,34.602394,0.20711152
730.04114,0.034366596,1022.1632,987.03485,249.94391,0.0,560.2778,35.12827,0.20240226
739.87054,0.034425672,1035.8243,1000.1653,253.3065,0.0,569.433,35.658947,0.1978001
749.77594,0.034484416,1049.5875,1013.3931,256.69067,0.0,578.6841,36.194412,0.1933026
759.755,0.034542836,1063.4525,1026.7178,260.09818,0.0,588.0235,36.73467,0.1889073
769.8002,0.03460093,1077.4183,1040.1387,263.53574,0.0,597.42426,37.279675,0.18461207
779.8856,0.034658708,1091.4839,1053.6544,267.02805,0.0,606.89954,37.829422,0.1804144
790.02936,0.03471617,1105.6506,1067.2666,270.55847,0.0,616.45264,38.383953,0.17631216
800.2521,0.03477332,1119.9258,1080.9822,274.1133,0.0,626.1091,38.943535,0.17230324
810.55365,0.03483016,1134.3074,1094.7992,277.69086,0.0,635.86816,39.50811,0.16838545
820.9387,0.034886688,1148.7947,1108.7169,281.2855,0.0,645.73505,40.077637,0.16455683
831.3903,0.034942906,1163.3857,1122.7335,284.9123,0.0,655.6927,40.652077,0.16081521
841.91156,0.034998816,1178.0786,1136.8473,288.5667,0.0,665.74396,41.231358,0.15715867
852.5081,0.035054415,1192.8741,1151.0586,292.24326,0.0,675.89294,41.815502,0.15358528
863.1787,0.03510971,1207.7704,1165.366,295.94183,0.0,686.1381,42.404465,0.15009306
873.9235,0.035164703,1222.7671,1179.7689,299.6616,0.0,696.4805,42.998245,0.14668027
884.7437,0.03521939,1237.864,1194.2672,303.40146,0.0,706.9234,43.596817,0.14334513
895.63654,0.035273783,1253.062,1208.8617,307.16455,0.0,717.47473,44.200233,0.14008576
906.5944,0.03532787,1268.3617,1223.5532,310.95972,0.0,728.12524,44.80852,0.13690053
917.61566,0.035381656,1283.7609,1238.3392,314.78583,0.0,738.86426,45.421585,0.13378775
928.709,0.03543514,1299.2567,1253.2173,318.6317,0.0,749.6985,46.039337,0.13074575
939.87384,0.035488337,1314.8499,1268.1879,322.4986,0.0,760.63007,46.66183,0.12777293
951.10864,0.035541233,1330.5391,1283.25,326.38675,0.0,771.66345,47.289,0.1248677
962.40906,0.035593834,1346.3245,1298.4036,330.3007,0.0,782.78894,47.920853,0.122028455
973.7903,0.035646137,1362.2029,1313.6455,334.222,0.0,794.03174,48.55727,0.11925388
985.24817,0.035698157,1378.1772,1328.9788,338.1578,0.0,805.38184,49.198387,0.1165423
996.7772,0.035749882,1394.2474,1344.4032,342.11337,0.0,816.8286,49.844185,0.11389247
1008.3762,0.03580132,1410.4144,1359.9198,346.09094,0.0,828.37866,50.4947,0.11130284
1020.0311,0.035852473,1426.6755,1375.5255,350.1017,0.0,840.0403,51.149845,0.108772084
1031.7523,0.035903342,1443.0271,1391.2177,354.13217,0.0,851.79297,51.809494,0.1062988
1043.5134,0.035953928,1459.4694,1406.9957,358.20853,0.0,863.6236,52.473656,0.10388178
1055.3434,0.036004238,1476.0144,1422.8717,362.31357,0.0,875.5716,53.142776,0.10151975
1067.2488,0.03605426,1492.6652,1438.8483,366.4436,0.0,887.6256,53.81694,0.09921143
1079.2284,0.036104005,1509.4198,1454.9237,370.59805,0.0,899.7853,54.4961,0.09695557
1091.276,0.036153477,1526.277,1471.0966,374.78162,0.0,912.0494,55.180218,0.09475104
1103.3743,0.036202665,1543.2341,1487.365,379.00958,0.0,924.4172,55.869186,0.092596605
1115.5415,0.036251582,1560.2808,1503.718,383.2531,0.0,936.88257,56.56264,0.0904912
1127.7832,0.036300227,1577.4208,1520.1599,387.51068,0.0,949.45337,57.260727,0.08843359
1140.0925,0.036348596,1594.6531,1536.6896,391.788,0.0,962.1214,57.963398,0.086422846
1152.4713,0.036396697,1611.9797,1553.3091,396.08545,0.0,974.88837,58.670742,0.08445772
1164.9175,0.03644454,1629.3984,1570.0157,400.40253,0.0,987.7525,59.38268,0.08253733
1177.4316,0.036492106,1646.9097,1586.8105,404.73932,0.0,1000.7145,60.0992,0.0806606
1190.0131,0.036539413,1664.5123,1603.692,409.09512,0.0,1013.77374,60.820305,0.07882659
1202.6611,0.036586456,1682.2057,1620.6597,413.47034,0.0,1026.9292,61.54594,0.07703425
1215.377,0.036633234,1699.9907,1637.7145,417.8644,0.0,1040.1829,62.276157,0.07528265
1228.1586,0.03667975,1717.8655,1654.8547,422.27777,0.0,1053.5328,63.010876,0.073570944
1240.9918,0.03672601,1735.8298,1672.0797,426.72397,0.0,1066.9598,63.750095,0.07189812
1253.8878,0.03677201,1753.8834,1689.3895,431.19205,0.0,1080.4828,64.49382,0.070263304
1266.8553,0.036817756,1772.0251,1706.7832,435.6718,0.0,1094.1094,65.24199,0.06866568
1279.8995,0.03686324,1790.2573,1724.2626,440.1604,0.0,1107.819,65.99469,0.067104384
1292.9594,0.036908485,1808.5751,1741.8234,444.71442,0.0,1121.5752,66.75177,0.065578565
