kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.12453,0.97967005,0.22068407,2.3145547,-1.964307,-0.27837414,-0.06189914,-0.3501614
233.61964,0.98786896,0.22579059,2.3103945,-1.9567497,-0.2765969,-0.0642753,-0.35073277
239.51791,0.9949778,0.23069279,2.3064609,-1.949863,-0.27482176,-0.06640397,-0.35129404
245.81537,1.001116,0.2356145,2.3027456,-1.9436712,-0.27342403,-0.06825923,-0.35191166
252.49567,1.0061727,0.2406342,2.299368,-1.9379811,-0.27197954,-0.069996,-0.35259518
259.492,1.0103867,0.24541444,2.2963314,-1.93285,-0.27075332,-0.07159854,-0.35330582
266.8211,1.0138836,0.25038216,2.2935379,-1.9281408,-0.26964146,-0.073026106,-0.3541028
274.4738,1.0170959,0.25533843,2.291422,-1.9243208,-0.26858842,-0.07427556,-0.3549301
282.43817,1.0195837,0.26096272,2.2895489,-1.9206946,-0.26760095,-0.075607195,-0.35575813
290.69034,1.0214903,0.2670709,2.2877474,-1.9175003,-0.26667616,-0.07688773,-0.35654348
299.2224,1.0231354,0.2730252,2.286657,-1.9149289,-0.2658697,-0.07800673,-0.35739237
308.02527,1.0245658,0.2788983,2.2861166,-1.9128134,-0.26506412,-0.07921995,-0.3584565
317.09137,1.0256221,0.28496376,2.285622,-1.9110464,-0.2645137,-0.080417715,-0.35957003
326.39218,1.0263617,0.29123303,2.285519,-1.909626,-0.26398808,-0.08150617,-0.36076275
335.91873,1.0268587,0.29760844,2.28579,-1.9085637,-0.26346993,-0.0824975,-0.36185056
345.68463,1.0271835,0.3041723,2.2863624,-1.9079179,-0.26312312,-0.08349875,-0.36298597
355.6981,1.0275257,0.3108597,2.2872138,-1.9075003,-0.2628672,-0.08449634,-0.36419958
365.9478,1.0278656,0.31758344,2.2884877,-1.9074279,-0.26264164,-0.08542133,-0.3654384
376.42474,1.0280076,0.32443884,2.2900827,-1.9076924,-0.26245657,-0.08644728,-0.3666459
387.121,1.0280352,0.33145413,2.2920022,-1.9082406,-0.26230308,-0.0874656,-0.36798942
398.0326,1.02802,0.33856606,2.2941897,-1.9091,-0.2621451,-0.08842973,-0.3692593
409.16452,1.0279061,0.3457722,2.296531,-1.9101906,-0.2620228,-0.08948859,-0.37048268
420.50635,1.0277994,0.35292304,2.2990751,-1.9114401,-0.26190016,-0.090513274,-0.37170693
432.05975,1.0276601,0.36016577,2.3018186,-1.9129028,-0.26186526,-0.09155058,-0.3730023
443.8322,1.0275118,0.36745527,2.3047504,-1.914564,-0.26186895,-0.09260049,-0.37434125
455.82367,1.0273415,0.37482706,2.3077707,-1.9163285,-0.26188976,-0.09364045,-0.37567517
468.0171,1.0272032,0.3823406,2.311058,-1.918413,-0.2619639,-0.09456977,-0.37701273
