,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,5.546e-05,2.347e-04,2.894e-05,2.073e-04,9.806e-05,6.458e-05,2.365e-05,6.393e-05
std,4.329e-05,1.496e-04,1.239e-04,1.490e-04,7.110e-05,5.284e-05,2.231e-05,4.036e-05
min,1.192e-07,4.768e-07,0.000e+00,2.980e-07,4.768e-07,2.384e-07,2.086e-07,3.874e-07
0.1%,1.192e-07,4.768e-07,0.000e+00,2.980e-07,4.768e-07,2.384e-07,2.086e-07,3.874e-07
25%,2.110e-05,1.072e-04,0.000e+00,8.225e-05,4.005e-05,2.480e-05,7.302e-06,3.362e-05
50%,4.554e-05,2.472e-04,5.821e-11,1.863e-04,8.750e-05,5.436e-05,1.806e-05,5.960e-05
75%,7.662e-05,2.961e-04,1.863e-09,2.963e-04,1.496e-04,8.285e-05,3.216e-05,9.036e-05
99.9%,2.325e-04,6.547e-04,1.580e-03,6.624e-04,4.733e-04,2.856e-04,1.972e-04,1.868e-04
max,2.325e-04,6.547e-04,1.580e-03,6.624e-04,4.733e-04,2.856e-04,1.972e-04,1.868e-04
