kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,403.0,894.0,1.1,0.27,0.0
228.26646,856.64136,405.18665,894.7022,1.2183225,0.2755693,0.014888048
233.92569,862.2665,407.4339,895.4199,1.3205172,0.2818952,0.029554427
239.94963,867.8904,409.73322,896.15356,1.4095836,0.28886434,0.044002473
246.31735,873.51935,412.07803,896.90356,1.48797,0.29638436,0.058235407
253.01463,879.1598,414.46298,897.6702,1.5576707,0.3043799,0.072256446
260.0098,884.8133,416.88376,898.4538,1.6203101,0.3127895,0.08606875
267.31445,890.4772,419.33667,899.2545,1.6772089,0.32156295,0.09967542
274.8898,896.15216,421.8184,900.0726,1.7294383,0.33065933,0.11307949
282.73862,901.8389,424.32593,900.9082,1.777869,0.34004512,0.126284
290.84555,907.53827,426.85693,901.7616,1.8232089,0.34969294,0.13929194
299.19885,913.24414,429.40912,902.63275,1.8660336,0.35958025,0.15210623
307.8065,918.94946,431.98035,903.5219,1.9068062,0.36968857,0.16472971
316.64008,924.65436,434.5682,904.4291,1.9458983,0.38000265,0.17716527
325.68808,930.35803,437.17062,905.35443,1.983612,0.39050978,0.1894157
334.95883,936.0607,439.78577,906.298,2.020192,0.40119952,0.20148373
344.44885,941.76013,442.41208,907.25977,2.0558376,0.41206297,0.21337211
354.14877,947.45026,445.04794,908.2399,2.0907097,0.4230927,0.22508347
364.06448,953.1281,447.69168,909.23834,2.1249347,0.43428242,0.23662049
374.20404,958.7904,450.3417,910.25507,2.158613,0.4456267,0.24798572
384.54913,964.4348,452.99625,911.29016,2.1918252,0.45712084,0.25918174
395.06445,970.05786,455.65384,912.34357,2.2246346,0.4687607,0.2702111
405.76016,975.656,458.31287,913.4153,2.2570913,0.48054263,0.28107625
416.6438,981.2271,460.97168,914.50525,2.2892334,0.4924633,0.29177964
427.72565,986.7686,463.6288,915.6134,2.3210914,0.50451964,0.3023237
438.99506,992.2759,466.28275,916.7397,2.352688,0.51670885,0.31271076
450.45255,997.7458,468.93195,917.884,2.3840399,0.5290283,0.32294315
462.11847,1003.1742,471.5748,919.04626,2.4151583,0.5414755,0.33302325
473.98367,1008.5584,474.20978,920.22644,2.4460502,0.5540479,0.34295326
486.04233,1013.8954,476.83527,921.4243,2.47672,0.5667432,0.35273546
498.29236,1019.18207,479.4497,922.6399,2.5071704,0.57955915,0.36237198
510.72836,1024.4136,482.0516,923.8729,2.5374014,0.5924934,0.37186503
523.3627,1029.5864,484.6393,925.12335,2.5674105,0.60554373,0.38121676
536.18225,1034.6996,487.21124,926.39087,2.597194,0.6187079,0.39042926
549.19946,1039.7507,489.7658,927.6754,2.6267488,0.6319835,0.3995046
562.41174,1044.7355,492.3016,928.97675,2.6560714,0.6453684,0.40844482
575.8019,1049.6505,494.81717,930.29474,2.6851568,0.65886027,0.41725194
589.3719,1054.4918,497.3109,931.62915,2.7139997,0.67245674,0.42592794
603.1264,1059.2559,499.7813,932.9797,2.742593,0.6861555,0.43447477
617.0622,1063.9395,502.22678,934.34625,2.7709303,0.6999542,0.44289434
631.18555,1068.5396,504.6457,935.7285,2.799004,0.7138505,0.45118856
645.4824,1073.0548,507.03656,937.12616,2.8268077,0.72784185,0.4593593
659.97455,1077.485,509.39786,938.539,2.8543348,0.7419259,0.46740842
674.6681,1081.8275,511.7284,939.9668,2.8815813,0.7561002,0.47533768
689.5607,1086.0774,514.02686,941.4092,2.908542,0.77036214,0.48314893
704.64825,1090.2297,516.2919,942.8659,2.9352107,0.7847093,0.49084383
719.9376,1094.2815,518.5219,944.3367,2.96158,0.79913914,0.49842417
735.42615,1098.23,520.71545,945.82104,2.9876423,0.8136491,0.5058917
751.12396,1102.0721,522.87103,947.3188,3.0133905,0.8282366,0.513248
767.0361,1105.8063,524.9872,948.8296,3.0388174,0.84289896,0.5204948
783.15826,1109.4298,527.0625,950.3531,3.0639164,0.8576336,0.5276337
799.50464,1112.9412,529.09564,951.88885,3.088682,0.8724378,0.53466636
816.06573,1116.338,531.08527,953.4365,3.1131077,0.8873088,0.54159427
832.8209,1119.6199,533.03015,954.9958,3.137189,0.90224385,0.54841906
849.7761,1122.7865,534.9291,956.5662,3.1609209,0.9172403,0.5551423
866.92065,1125.8363,536.7812,958.1474,3.1843004,0.93229544,0.5617654
884.2432,1128.765,538.5854,959.73895,3.207324,0.9474064,0.5682899
901.7586,1131.5686,540.3405,961.34045,3.2299871,0.9625705,0.5747172
919.48834,1134.2422,542.04553,962.9514,3.2522843,0.9777849,0.58104885
937.4295,1136.7847,543.699,964.5715,3.2742078,0.99304676,0.58728623
955.5801,1139.1947,545.29956,966.20026,3.2957516,1.0083534,0.59343076
973.937,1141.4694,546.84625,967.8372,3.3169098,1.0237018,0.59948385
992.5263,1143.6012,548.33777,969.4819,3.3376768,1.0390892,0.60544676
1011.3237,1145.5908,549.77264,971.1339,3.3580432,1.0545127,0.6113209
1030.3344,1147.4382,551.14954,972.79266,3.378003,1.0699694,0.6171076
1049.5669,1149.1416,552.46747,974.4579,3.39755,1.0854564,0.62280816
1069.0148,1150.6992,553.7253,976.1289,3.4166799,1.1009705,0.6284238
1088.6871,1152.11,554.922,977.80524,3.4353871,1.116509,0.63395584
1108.5845,1153.371,556.0566,979.4864,3.453667,1.1320688,0.6394055
1128.7191,1154.482,557.1279,981.17194,3.4715142,1.1476467,0.6447741
1149.0621,1155.4381,558.13525,982.86127,3.4889243,1.1632398,0.65006274
1169.6094,1156.2395,559.0774,984.55396,3.5058904,1.1788452,0.65527266
1190.3945,1156.8871,559.9534,986.2493,3.5224078,1.1944597,0.66040504
1211.4196,1157.3796,560.76263,987.94696,3.5384722,1.2100803,0.665461
1232.6699,1157.7173,561.5042,989.64624,3.5540798,1.2257038,0.6704416
1254.0992,1157.9008,562.1774,991.34674,3.5692277,1.2413272,0.6753481
1275.731,1157.9303,562.78186,993.0478,3.583913,1.2569474,0.6801815
1297.5876,1157.8044,563.317,994.74884,3.5981338,1.2725614,0.68494296
1319.6516,1157.5244,563.7825,996.4494,3.6118875,1.288166,0.6896336
1341.8829,1157.0918,564.17773,998.1489,3.6251721,1.3037581,0.6942544
1364.306,1156.5109,564.50275,999.8468,3.6379867,1.3193349,0.6988064
1386.9403,1155.7871,564.7575,1001.5424,3.6503325,1.334893,0.70329064
1409.7887,1154.926,564.9424,1003.23535,3.6622133,1.3504295,0.7077081
1432.7987,1153.9369,565.058,1004.925,3.6736345,1.3659416,0.71205986
1455.9486,1152.8295,565.1055,1006.6108,3.6846066,1.3814263,0.71634674
1479.248,1151.6139,565.0866,1008.2922,3.6951416,1.3968806,0.72056985
1502.6846,1150.3109,565.00305,1009.9686,3.7052555,1.412302,0.7247301
1526.3218,1148.9725,564.8578,1011.63983,3.7140675,1.4276878,0.7288283
1550.211,1147.6356,564.6565,1013.30505,3.7217934,1.4430294,0.7328656
1574.4625,1146.3206,564.4063,1014.964,3.7286298,1.4583199,0.7368427
1599.0277,1145.0516,564.11456,1016.6162,3.7347484,1.4735537,0.74076056
1623.908,1143.8213,563.78925,1018.2614,3.740302,1.4887263,0.7446202
1649.0917,1142.6232,563.43677,1019.89935,3.7454112,1.5038342,0.7484224
1674.5726,1141.4524,563.06244,1021.53,3.7501705,1.5188752,0.75216794
1700.3795,1140.3048,562.67053,1023.15295,3.7546535,1.5338472,0.7558577
1726.5001,1139.177,562.2647,1024.7682,3.758918,1.5487489,0.7594925
1752.9252,1138.0662,561.84766,1026.3756,3.763009,1.5635791,0.76307327
1779.646,1136.9702,561.42206,1027.9752,3.7669618,1.5783373,0.76660067
1806.6726,1135.8872,560.9896,1029.5669,3.7708037,1.593023,0.77007556
1833.9924,1134.8154,560.55206,1031.1506,3.7745557,1.6076359,0.7734987
1861.5992,1133.7539,560.11066,1032.7263,3.7782345,1.6221759,0.7768709
1889.4949,1132.7015,559.6663,1034.2941,3.7818525,1.6366432,0.78019285
1917.6844,1131.6573,559.2201,1035.8539,3.7854197,1.6510375,0.7834654
