con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.01115,0.0028556,105.17594,104.8756,27.81545,31.595772,25.286104,0.3003404,34.195774
79.50882,0.003156683,108.654686,108.31169,28.748045,31.937908,25.967545,0.3429884,34.47879
82.07815,0.003429327,112.233925,111.849045,29.710306,32.297844,26.686712,0.38488686,34.780956
84.73866,0.0036791028,115.90973,115.48329,30.678251,32.666306,27.44578,0.42644382,35.092957
87.474,0.0039109713,119.68102,119.21296,31.66673,33.04116,28.238955,0.46806905,35.412632
90.29024,0.0041291444,123.54625,123.03611,32.667694,33.41909,29.068142,0.5101403,35.736645
93.18648,0.004337105,127.5034,126.95039,33.679703,33.798702,29.934313,0.5529956,36.063557
96.14552,0.004537675,131.5496,130.95267,34.71686,34.17981,30.829111,0.5969294,36.39317
99.18298,0.004733114,135.68318,135.04099,35.761307,34.552013,31.760473,0.642204,36.71505
102.281525,0.0049252193,139.903,139.21394,36.829067,34.916782,32.717525,0.68905294,37.030636
105.44938,0.0051153987,144.20863,143.47096,37.911118,35.268578,33.704952,0.73768467,37.334366
108.6871,0.005304745,148.59871,147.81041,39.005352,35.60906,34.722267,0.78827816,37.627876
111.982605,0.005494097,153.0727,152.23169,40.123436,35.941845,35.76343,0.8409962,37.914757
115.34283,0.0056840936,157.6283,156.73235,41.255726,36.261513,36.832687,0.89597404,38.18957
118.76213,0.0058752284,162.26678,161.31343,42.40907,36.570656,37.930466,0.95335436,38.454872
122.24107,0.0060678683,166.98743,165.97415,43.58204,36.86773,39.054043,1.0132576,38.7091
125.7938,0.0062622847,171.78853,170.71275,44.758644,37.150574,40.209045,1.0757887,38.95008
129.4051,0.0064586764,176.66867,175.52763,45.95252,37.41878,41.38805,1.1410459,39.17737
133.07312,0.0066571785,181.62854,180.4194,47.16612,37.673363,42.59014,1.2091336,39.391968
136.7973,0.006857875,186.66876,185.38863,48.400593,37.914062,43.81632,1.280151,39.59359
140.57227,0.00706081,191.78989,190.43571,49.66165,38.14011,45.065178,1.354192,39.78145
144.40628,0.0072660036,196.99269,195.56136,50.94167,38.350674,46.346024,1.4313496,39.954693
148.31036,0.007473446,202.27557,200.76389,52.228024,38.546436,47.65313,1.5116956,40.113983
152.27147,0.0076831114,207.63695,206.04164,53.532013,38.726307,48.982395,1.5952978,40.25821
156.2878,0.007894953,213.07724,211.39502,54.855785,38.889027,50.334206,1.6822348,40.386097
160.36366,0.008108914,218.59702,216.82443,56.195255,39.032143,51.70958,1.7725844,40.495174
164.49942,0.008324924,224.19829,222.33185,57.552036,39.156395,53.116566,1.8664336,40.58616
168.68703,0.00854289,229.88138,227.91754,58.934734,39.267223,54.5466,1.9638513,40.66448
172.93048,0.0087627135,235.64388,233.57901,60.33668,39.361874,55.99883,2.06488,40.727364
177.23495,0.008984298,241.48575,239.31615,61.75241,39.4363,57.484375,2.16958,40.77074
181.59851,0.009207544,247.40707,245.12906,63.184063,39.493706,58.99798,2.2780116,40.797806
186.01576,0.009432336,253.40965,251.0194,64.638596,39.53348,60.5348,2.390245,40.80793
190.48845,0.009658559,259.4921,256.98575,66.11286,39.55609,62.096607,2.5063198,40.801556
195.01761,0.009886097,265.65765,263.03134,67.6093,39.564945,63.681747,2.6263175,40.782097
199.59946,0.0101148235,271.9064,269.15613,69.13147,39.559513,65.29446,2.7502856,40.74898
204.23708,0.010344628,278.23947,275.36118,70.677246,39.536934,66.9337,2.8782837,40.69936
208.93631,0.010575396,284.65628,281.64594,72.24018,39.497955,68.60245,3.0103528,40.633957
213.70169,0.010807012,291.15704,288.0105,73.81584,39.442013,70.30807,3.1465375,40.55218
218.52818,0.0110393595,297.74142,294.45453,75.40885,39.36892,72.040634,3.2868745,40.453842
223.41766,0.011272316,304.40994,300.97852,77.0176,39.2761,73.800316,3.4314048,40.336357
228.3681,0.0115057565,311.16208,307.5819,78.643715,39.166855,75.58719,3.580155,40.203003
233.37514,0.011739548,317.9989,314.26572,80.29257,39.041225,77.40068,3.7331634,40.053814
238.44691,0.011973561,324.9219,321.03146,81.95761,38.900574,79.244644,3.8904727,39.890137
243.57219,0.012207662,331.93182,327.87973,83.650734,38.746014,81.112946,4.052111,39.713078
248.75536,0.012441727,339.0261,334.808,85.36492,38.57566,83.00734,4.2180705,39.52074
254.00084,0.012675634,346.20508,341.81668,87.0961,38.39059,84.929855,4.3883686,39.31418
259.31033,0.012909261,353.46957,348.90652,88.843636,38.1944,86.88165,4.5630307,39.09699
264.67618,0.013142489,360.82407,356.08197,90.6193,37.984474,88.85988,4.742126,38.86654
270.10208,0.013375207,368.266,363.34033,92.41678,37.76051,90.86543,4.925634,38.62252
275.58606,0.013607303,375.79504,370.6815,94.237785,37.522644,92.89401,5.1135564,38.36505
281.1323,0.013838671,383.41025,378.10437,96.07712,37.270218,94.950874,5.3058887,38.09347
286.7428,0.014069194,391.11353,385.61087,97.934586,37.003826,97.03745,5.5026517,37.808365
292.412,0.014298765,398.90598,393.20215,99.816734,36.722355,99.152885,5.703863,37.508595
298.1348,0.0145272715,406.78955,400.88007,101.730965,36.4301,101.29612,5.9095426,37.198463
303.9179,0.0147545915,414.76315,408.64346,103.66904,36.123814,103.46715,6.119661,36.874706
309.7726,0.014980626,422.82547,416.4913,105.618095,35.799248,105.67209,6.3341904,36.533066
315.69397,0.015205259,430.97687,424.42374,107.583565,35.459606,107.90315,6.5531154,36.176743
321.68054,0.015428371,439.22037,432.4439,109.57034,35.108547,110.1633,6.776455,35.809372
327.7325,0.015649838,447.55725,440.553,111.57936,34.746086,112.45627,7.0041986,35.430984
333.8493,0.015869547,455.98782,448.7515,113.61161,34.372425,114.7825,7.2363195,35.041748
340.02094,0.016087392,464.5123,457.0395,115.67708,33.98613,117.13891,7.4727917,34.640236
346.25153,0.01630326,473.12683,465.41333,117.768036,33.587986,119.52502,7.7135105,34.227215
352.54813,0.016517056,481.83133,473.8729,119.87744,33.178787,121.94236,7.958435,33.803486
358.90677,0.016728673,490.62726,482.41968,122.01041,32.757435,124.39214,8.207542,33.367924
365.32712,0.016938016,499.51495,491.05417,124.16768,32.32297,126.87021,8.460793,32.91958
371.80612,0.017144982,508.49643,499.77823,126.35371,31.87249,129.37271,8.718163,32.455536
378.35562,0.017349463,517.5735,508.59384,128.55952,31.413689,131.90956,8.979622,31.983473
384.9761,0.017551357,526.7467,517.5016,130.78525,30.94709,134.48112,9.245119,31.503922
391.67,0.017750552,536.01654,526.5019,133.02911,30.472956,137.09105,9.514589,31.017128
398.43436,0.017946966,545.3836,535.59564,135.2945,29.99079,139.74245,9.787982,30.522589
405.25253,0.018140512,554.84717,544.782,137.59682,29.496433,142.43134,10.065212,30.016144
412.13834,0.01833112,564.40515,554.05896,139.92075,28.9943,145.1557,10.346179,29.502192
419.0914,0.0185187,574.05743,563.42664,142.26642,28.481157,147.92102,10.630797,28.977499
426.11182,0.018703174,583.8028,572.8838,144.63242,27.957886,150.72334,10.918964,28.44294
433.18802,0.018884456,593.6423,582.43164,147.03165,27.42552,153.56038,11.21061,27.899544
440.33707,0.01906246,603.5827,592.077,149.45445,26.888006,156.43814,11.505772,27.351255
447.55832,0.019237109,613.62366,601.81934,151.90073,26.344463,159.35788,11.804345,26.79718
454.85352,0.01940832,623.76117,611.655,154.36491,25.793594,162.31247,12.106156,26.236017
462.22507,0.019576035,633.9969,621.58575,156.8459,25.233305,165.30025,12.411145,25.665667
469.65784,0.019740196,644.33307,631.6138,159.36163,24.667341,168.3249,12.719262,25.089872
477.15317,0.01990072,654.76715,641.7368,161.90858,24.096434,171.38246,13.030338,24.509356
484.71454,0.020057552,665.29865,651.95435,164.48158,23.513493,174.48016,13.344262,23.917028
492.34525,0.020210624,675.92896,662.268,167.07822,22.915617,177.60211,13.660946,23.309978
500.03522,0.020359868,686.66113,672.68085,169.71335,22.313044,180.74748,13.980331,22.698437
507.80347,0.020505192,697.4941,683.19183,172.36746,21.70894,183.93369,14.30225,22.085571
515.64233,0.02064652,708.42896,693.8024,175.04933,21.100765,187.16487,14.626594,21.468832
523.5726,0.02078379,719.4638,704.5106,177.73407,20.478125,190.44217,14.953185,20.837824
531.5538,0.020916948,730.5968,715.31494,180.4572,19.82333,193.74738,15.281857,20.17485
539.60657,0.021045923,741.8307,726.21814,183.20526,19.161255,197.0893,15.612513,19.504782
547.7387,0.02117057,753.16473,737.2198,185.97174,18.500284,200.47258,15.944925,18.835999
555.92914,0.021290764,764.5999,748.321,188.778,17.836018,203.88884,16.278915,18.164097
564.1753,0.02140643,776.1388,759.5244,191.62604,17.153763,207.33046,16.61436,17.474386
572.5194,0.021517504,787.7775,770.8265,194.46976,16.452553,210.81075,16.951006,16.765882
580.93164,0.021623883,799.5145,782.2258,197.3372,15.731438,214.2959,17.288609,16.037645
589.42554,0.021725448,811.35376,793.7266,200.2233,15.011788,217.81853,17.627022,15.311032
597.99475,0.021822061,823.2917,805.32574,203.13153,14.293798,221.37924,17.965921,14.58624
606.63696,0.02191363,835.32825,817.02313,206.0638,13.575778,224.96544,18.305075,13.861568
615.3508,0.022000106,847.4657,828.82135,209.0243,12.860099,228.5769,18.644337,13.139392
624.1482,0.022081437,859.7058,840.7223,212.00438,12.151379,232.23145,18.98354,12.42432
633.02026,0.022157606,872.04944,852.7269,215.01407,11.45148,235.92497,19.322527,11.718216
641.9344,0.022228627,884.49805,864.837,218.08788,10.759723,239.643,19.661179,11.020393
650.9234,0.022294525,897.04926,877.0499,221.1897,10.072733,243.40208,19.999287,10.327477
660.0356,0.022355353,909.7025,889.3658,224.2698,9.385484,247.24025,20.336721,9.634436
669.23914,0.022411166,922.45715,901.78375,227.36159,8.705732,251.13097,20.673342,8.949023
