tfp,gr_tfp,lab,gr_lab,sigma,theta1,Eland,Fex,beta_hat
5.1149154,0.0217,7403.0,0.01483177,0.35032,0.07410616,2.6000006,0.5045238,0.99011594
5.1930075,0.021591771,7511.3413,0.014231287,0.34503254,0.072623625,2.540883,0.5140894,0.9895698
5.271893,0.021484083,7616.8174,0.013663093,0.33981997,0.071169734,2.4831097,0.52354705,0.9890556
5.351574,0.02137693,7719.5044,0.013124842,0.33468065,0.06974379,2.42665,0.5329199,0.98857105
5.4320536,0.021270312,7819.476,0.012614404,0.32961428,0.068345435,2.3714743,0.54222363,0.98811394
5.5133324,0.021164225,7916.804,0.01212985,0.32461932,0.06697402,2.3175528,0.55147153,0.98768246
5.5954127,0.02105867,8011.558,0.011669419,0.31969544,0.065629184,2.2648573,0.5606732,0.9872747
5.6782975,0.020953638,8103.8066,0.011231508,0.3148417,0.06431042,2.21336,0.5698368,0.98688906
5.761987,0.020849131,8193.616,0.01081465,0.31005654,0.06301711,2.1630337,0.578969,0.98652416
5.846483,0.020745147,8281.05,0.010417501,0.3053391,0.061748803,2.1138518,0.58807117,0.9861786
5.9317884,0.020641679,8366.172,0.01003883,0.30068967,0.060505264,2.0657883,0.5971445,0.9858511
6.0179033,0.020538729,8449.043,0.0096775,0.29610565,0.05928569,2.0188172,0.60618776,0.9855406
6.1048293,0.02043629,8529.724,0.009332472,0.2915873,0.058089856,1.9729143,0.61520004,0.98524606
6.1925673,0.020334365,8608.27,0.009002783,0.28713372,0.05691732,1.9280552,0.6241817,0.98496646
6.28112,0.020232948,8684.738,0.00868754,0.28274405,0.055767637,1.8842161,0.6331307,0.984701
6.370488,0.020132035,8759.186,0.008385921,0.27841645,0.05464019,1.8413734,0.6420461,0.9844487
6.4606724,0.020031625,8831.664,0.008097161,0.27415162,0.053534854,1.7995052,0.65092593,0.98420894
6.551673,0.019931717,8902.226,0.007820555,0.2699472,0.052450925,1.7585888,0.6597673,0.98398095
6.6434927,0.019832307,8970.922,0.0075554443,0.2658039,0.051388297,1.7186029,0.66856736,0.9837642
6.7361317,0.019733394,9037.801,0.007301217,0.26171947,0.05034628,1.6795262,0.67732364,0.9835579
6.8295903,0.019634973,9102.911,0.007057301,0.25769404,0.04932468,1.641338,0.6860336,0.98336154
6.92387,0.019537043,9166.3,0.0068231635,0.25372684,0.04832311,1.604018,0.6946942,0.9831746
7.0189714,0.019439602,9228.013,0.0065983078,0.24981666,0.0473411,1.5675466,0.70330256,0.9829967
7.1148953,0.019342646,9288.093,0.0063822684,0.24596316,0.046378378,1.5319043,0.71185577,0.98282725
7.211641,0.019246174,9346.585,0.00617461,0.24216472,0.04543441,1.4970726,0.72035056,0.98266584
7.3092103,0.019150183,9403.53,0.005974925,0.2384219,0.044509087,1.4630328,0.7287836,0.98251206
7.4076037,0.01905467,9458.969,0.0057828305,0.23473269,0.04360182,1.4297671,0.7371505,0.98236555
7.50682,0.018959634,9512.942,0.0055979663,0.23109764,0.04271251,1.3972577,0.745447,0.982226
7.6068606,0.018865073,9565.488,0.005419995,0.22751473,0.041840572,1.3654875,0.75367177,0.982093
7.707726,0.018770983,9616.6455,0.005248598,0.22398414,0.040985845,1.3344394,0.76182204,0.98196626
7.8094153,0.018677363,9666.449,0.005083477,0.22050473,0.040147927,1.3040978,0.7698935,0.9818455
7.9119306,0.018584209,9714.936,0.0049243486,0.21707621,0.039326556,1.2744458,0.7778836,0.9817304
8.015268,0.01849152,9762.141,0.004770946,0.21369752,0.038521364,1.2454678,0.7857893,0.9816208
8.119431,0.01839929,9808.096,0.00462302,0.21036799,0.03773205,1.217149,0.7936077,0.9815163
8.224416,0.018307526,9852.837,0.004480331,0.20708735,0.036958374,1.189474,0.80133784,0.98141676
8.330227,0.018216215,9896.395,0.0043426543,0.20385452,0.03619996,1.1624283,0.80897814,0.981322
8.43686,0.01812536,9938.801,0.004209778,0.2006689,0.035456542,1.1359975,0.8165259,0.98123175
8.544316,0.018034961,9980.085,0.0040815,0.1975302,0.034727883,1.1101677,0.82397896,0.9811458
8.6525955,0.01794501,10020.277,0.0039576306,0.19443738,0.03401364,1.0849252,0.831335,0.98106396
8.761696,0.01785551,10059.408,0.0038379868,0.19138989,0.033313546,1.0602567,0.83859146,0.9809861
8.871616,0.017766455,10097.503,0.0037223971,0.1883871,0.032627333,1.0361491,0.84574515,0.980912
8.98236,0.017677845,10134.591,0.0036107004,0.18542871,0.031954784,1.0125897,0.85279375,0.9808416
9.093923,0.017589675,10170.697,0.0035027391,0.18251383,0.031295598,0.9895659,0.85973597,0.9807746
9.206303,0.017501947,10205.85,0.0033983672,0.17964213,0.030649554,0.9670655,0.8665702,0.9807109
9.319502,0.017414656,10240.072,0.0032974428,0.17681244,0.03001631,0.9450768,0.8732951,0.9806505
9.4335165,0.0173278,10273.391,0.0031998337,0.17402479,0.029395726,0.9235881,0.8799093,0.9805931
9.548347,0.017241377,10305.826,0.0031054127,0.1712783,0.028787497,0.9025879,0.88641167,0.98053867
9.663993,0.017155385,10337.406,0.0030140572,0.16857238,0.02819139,0.8820653,0.8928022,0.98048705
9.780454,0.017069822,10368.149,0.0029256518,0.16590683,0.027607234,0.8620093,0.89907956,0.9804381
9.897726,0.016984684,10398.08,0.0028400866,0.16328046,0.027034685,0.8424093,0.90524256,0.98039174
10.015807,0.016899973,10427.22,0.0027572564,0.16069333,0.02647363,0.823255,0.9112904,0.98034793
10.134699,0.016815685,10455.588,0.0026770597,0.15814462,0.025923794,0.80453616,0.9172217,0.9803065
10.254397,0.016731815,10483.207,0.0025994012,0.15563408,0.025385015,0.78624314,0.92303526,0.98026735
10.374904,0.016648365,10510.095,0.002524188,0.1531606,0.024856977,0.76836574,0.9287293,0.98023045
10.496212,0.016565332,10536.272,0.0024513323,0.15072426,0.024339572,0.75089496,0.93430406,0.98019564
10.618326,0.01648271,10561.758,0.0023807504,0.14832398,0.023832502,0.7338214,0.9397583,0.9801629
10.7412405,0.016400503,10586.568,0.002312361,0.14595982,0.02333566,0.7171359,0.9450891,0.98013216
10.864951,0.016318705,10610.723,0.002246088,0.143631,0.022848805,0.70083004,0.95029503,0.98010325
10.989462,0.016237315,10634.239,0.002181857,0.14133702,0.022371741,0.68489486,0.955376,0.9800762
11.114767,0.01615633,10657.134,0.002119596,0.13907765,0.021904316,0.6693221,0.9603317,0.9800509
11.240868,0.016075749,10679.423,0.002059238,0.13685194,0.02144627,0.6541032,0.9651614,0.9800273
11.367757,0.015995571,10701.122,0.0020007181,0.13465963,0.020997463,0.6392305,0.9698649,0.9800053
11.495432,0.015915794,10722.248,0.0019439734,0.13250054,0.02055775,0.624696,0.97444123,0.9799849
11.623899,0.015836412,10742.814,0.0018889433,0.13037392,0.02012691,0.61049193,0.97889024,0.979966
11.753147,0.015757428,10762.838,0.0018355702,0.12827912,0.01970475,0.59661067,0.9832109,0.97994846
11.883176,0.015678836,10782.332,0.0017837996,0.12621614,0.01929116,0.58304524,0.98740226,0.9799324
12.013988,0.0156006375,10801.31,0.0017335773,0.124184325,0.018885948,0.5697882,0.9914618,0.9799177
12.145574,0.015522829,10819.785,0.0016848523,0.12218321,0.01848894,0.5568327,0.99539036,0.97990423
12.27793,0.01544541,10837.773,0.0016375764,0.12021238,0.018099988,0.54417187,0.9991883,0.9798921
12.411064,0.015368376,10855.285,0.0015917,0.11827141,0.017718924,0.5317987,1.0028564,0.97988105
12.544966,0.015291725,10872.334,0.0015471785,0.1163599,0.017345604,0.5197068,1.0063951,0.9798713
12.679633,0.015215456,10888.933,0.0015039686,0.11447739,0.016979866,0.50788987,1.0098028,0.9798625
12.815064,0.015139569,10905.092,0.0014620275,0.112623505,0.016621575,0.49634168,1.0130798,0.9798549
12.951256,0.015064058,10920.824,0.0014213145,0.11079785,0.016270578,0.48505592,1.0162253,0.9798483
13.0882015,0.014988926,10936.139,0.0013817914,0.108999796,0.015926702,0.47402695,1.019239,0.9798427
13.225903,0.014914169,10951.05,0.0013434194,0.10722937,0.015589868,0.46324876,1.0221199,0.9798381
13.364355,0.014839784,10965.566,0.001306163,0.10548598,0.01525991,0.45271567,1.0248692,0.9798344
13.503554,0.014765771,10979.699,0.001269986,0.10376925,0.014936692,0.44242206,1.027488,0.9798316
13.643499,0.014692126,10993.458,0.0012348547,0.10207878,0.01462008,0.43236247,1.0299757,0.9798296
13.784188,0.014618848,11006.854,0.001200737,0.10041421,0.0143099455,0.42253157,1.0323317,0.9798285
13.925616,0.014545934,11019.895,0.0011676009,0.098775014,0.014006136,0.4129241,1.0345563,0.9798282
14.067774,0.014473387,11032.59,0.0011354163,0.097161144,0.0137085775,0.40353513,1.0366505,0.9798286
14.210668,0.014401199,11044.95,0.0011041539,0.09557193,0.0134171,0.39435962,1.0386119,0.9798298
14.35429,0.014329372,11056.984,0.0010737852,0.09400732,0.013131624,0.3853927,1.0404382,0.9798317
14.498634,0.014257903,11068.699,0.0010442834,0.092466675,0.0128519945,0.3766298,1.0421299,0.9798343
14.643701,0.01418679,11080.105,0.0010156211,0.09094978,0.012578112,0.36806604,1.0436885,0.9798376
14.789484,0.014116033,11091.209,0.000987774,0.08945631,0.012309865,0.35969707,1.0451149,0.97984153
14.935976,0.014045629,11102.019,0.0009607166,0.08798594,0.0120471455,0.3515184,1.0464063,0.97984606
15.083181,0.013975575,11112.543,0.0009344254,0.08653831,0.011789834,0.34352562,1.0475534,0.9798512
15.23109,0.013905873,11122.789,0.0009088774,0.08511297,0.011537815,0.33571473,1.048557,0.97985685
15.379701,0.013836517,11132.764,0.00088405015,0.08370988,0.011291018,0.3280814,1.0494194,0.9798631
15.529015,0.013767505,11142.476,0.00085992174,0.08232843,0.011049299,0.32062155,1.0501413,0.9798699
15.679019,0.013698839,11151.93,0.0008364719,0.080968454,0.010812577,0.31333128,1.0507187,0.97987723
15.829713,0.013630515,11161.135,0.0008136804,0.07962966,0.010580757,0.3062069,1.0511477,0.979885
15.981095,0.013562531,11170.096,0.0007915277,0.07831171,0.010353737,0.29924443,1.0514234,0.97989327
16.133156,0.013494888,11178.819,0.0007699948,0.07701417,0.010131402,0.2924403,1.0515487,0.979902
16.285896,0.013427581,11187.3125,0.0007490637,0.07573706,0.009913702,0.28579086,1.0515264,0.97991115
16.43931,0.01336061,11195.582,0.0007287166,0.07447976,0.009700501,0.27929264,1.051358,0.97992074
16.593393,0.013293973,11203.632,0.00070893654,0.073242,0.009491714,0.27294216,1.0510457,0.97993076
16.74814,0.013227669,11211.469,0.0006897068,0.072023764,0.009287285,0.26673612,1.0505929,0.9799412
16.90355,0.013161695,11219.1,0.0006710114,0.07082452,0.009087095,0.26067114,1.0500041,0.9799519
17.059612,0.01309605,11226.527,0.0006528348,0.06964422,0.008891091,0.25474414,1.0492827,0.97996306
17.216326,0.013030734,11233.759,0.0006351619,0.068482235,0.008699142,0.24895181,1.0484306,0.97997457
17.373692,0.012965742,11240.8,0.0006179784,0.06733866,0.008511213,0.24329126,1.0474479,0.97998637
17.531696,0.012901074,11247.654,0.0006012698,0.066212974,0.008327193,0.23775938,1.0463378,0.9799985
17.690336,0.012836731,11254.327,0.0005850226,0.06510504,0.008147018,0.23235333,1.0451038,0.980011
17.849619,0.012772705,11260.824,0.0005692234,0.06401461,0.007970612,0.22707012,1.0437506,0.98002374
18.009527,0.012709,11267.148,0.0005538595,0.0629413,0.0077978834,0.22190706,1.0422821,0.9800368
18.170061,0.0126456125,11273.307,0.00053891836,0.061884973,0.007628773,0.2168613,1.0407007,0.9800501
18.33121,0.012582541,11279.301,0.000524388,0.060845282,0.0074631968,0.21193029,1.0390093,0.9800637
18.492973,0.012519786,11285.137,0.000510257,0.05982218,0.007301108,0.20711154,1.0372113,0.9800775
18.655352,0.012457342,11290.819,0.00049651356,0.058815114,0.007142396,0.20240226,1.0353096,0.9800916
18.818333,0.01239521,11296.351,0.00048314693,0.057824153,0.006987033,0.1978001,1.0333071,0.9801059
18.98191,0.012333388,11301.736,0.00047014642,0.056848865,0.0068349256,0.19330262,1.0312076,0.98012036
19.14609,0.012271875,11306.9795,0.0004575014,0.055889115,0.006686021,0.18890731,1.029014,0.98013514
19.310852,0.012210669,11312.083,0.00044520237,0.05494467,0.0065402547,0.18461207,1.0267318,0.98015004
19.476202,0.012149768,11317.053,0.000433239,0.054015208,0.0063975495,0.1804144,1.0243677,0.9801652
19.64214,0.012089169,11321.891,0.00042160193,0.053100504,0.006257843,0.17631216,1.0219302,0.9801805
19.80865,0.012028873,11326.601,0.00041028226,0.05220044,0.006121089,0.17230324,1.0194463,0.980196
19.975725,0.011968879,11331.186,0.00039927094,0.05131479,0.005987226,0.16838545,1.0169734,0.9802117
20.143368,0.011909184,11335.65,0.00038855968,0.050443258,0.0058561843,0.16455683,1.0145587,0.98022753
20.311571,0.011849787,11339.996,0.00037813955,0.04958571,0.0057279174,0.16081522,1.0122058,0.9802435
20.480324,0.011790687,11344.228,0.0003680028,0.04874196,0.005602369,0.15715867,1.009912,0.98025966
20.64964,0.011731879,11348.347,0.0003581412,0.047911685,0.0054794713,0.15358528,1.0076731,0.9802759
20.819492,0.011673366,11352.357,0.0003485472,0.04709471,0.0053591738,0.15009306,1.0054835,0.9802923
20.989887,0.011615144,11356.262,0.00033921338,0.046290897,0.0052414304,0.14668028,1.0033386,0.98030883
21.160812,0.011557213,11360.0625,0.00033013264,0.045500074,0.005126192,0.14334513,1.0012349,0.9803255
21.332272,0.011499571,11363.763,0.00032129782,0.044721942,0.0050133946,0.14008576,0.9991682,0.98034227
21.504251,0.011442215,11367.365,0.0003127022,0.043956324,0.004902991,0.13690053,0.9971354,0.98035914
21.676752,0.0113851465,11370.873,0.00030433922,0.043203108,0.004794941,0.13378775,0.9951334,0.9803761
21.84976,0.011328363,11374.287,0.00029620226,0.042462107,0.004689195,0.13074575,0.9931601,0.98039323
22.02328,0.011271863,11377.612,0.00028828523,0.041732978,0.0045856903,0.12777293,0.99121344,0.98041034
22.1973,0.011215645,11380.849,0.00028058203,0.041015785,0.0044844057,0.1248677,0.9892911,0.9804276
22.371817,0.011159706,11383.999,0.00027308657,0.040310178,0.0043852776,0.12202846,0.9873912,0.98044497
22.546825,0.011104047,11387.066,0.0002657935,0.039615996,0.0042882636,0.11925388,0.9855119,0.9804624
22.722322,0.011048664,11390.053,0.00025869688,0.038933057,0.0041933195,0.1165423,0.98365176,0.98047984
22.898294,0.01099356,11392.961,0.0002517917,0.038261347,0.0041004186,0.11389247,0.9818093,0.98049736
23.074749,0.010938729,11395.791,0.00024507244,0.037600458,0.0040094946,0.11130284,0.9799833,0.980515
23.251663,0.010884172,11398.547,0.00023853406,0.0369504,0.0039205244,0.108772084,0.9781729,0.98053265
23.429056,0.0108298855,11401.2295,0.00023217141,0.036310907,0.0038334571,0.106298804,0.97637725,0.98055035
23.606905,0.01077587,11403.842,0.00022597998,0.035681847,0.0037482565,0.103881784,0.97459525,0.9805681
