kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.30888,0.9820926,0.14069505,1.1976142,-0.90576243,-0.13814586,-0.03853218,-0.24017486
233.96678,0.9893204,0.14633204,1.1941724,-0.90158206,-0.13720758,-0.039387967,-0.24048707
240.04492,0.9955793,0.1514926,1.1912404,-0.89810675,-0.13637552,-0.040104758,-0.24085474
246.51457,1.0008476,0.15624425,1.1886078,-0.8948545,-0.13545237,-0.04078651,-0.24112457
253.35446,1.0051914,0.16059798,1.1864411,-0.8920755,-0.1346631,-0.041281674,-0.24150062
260.5465,1.0087681,0.16469444,1.1848446,-0.88973945,-0.13402462,-0.041733634,-0.2419367
268.06915,1.0115359,0.1686055,1.1836313,-0.887598,-0.13326798,-0.04222202,-0.24240436
275.91687,1.0136588,0.17233591,1.1828303,-0.8856638,-0.13271473,-0.042756837,-0.24311566
284.0524,1.0154328,0.17597666,1.1822472,-0.88400847,-0.13225263,-0.04327324,-0.2437067
292.48166,1.0168155,0.17966168,1.1818361,-0.8825483,-0.13170242,-0.04385614,-0.24427769
301.20807,1.0179977,0.18335748,1.1816467,-0.88136154,-0.13125032,-0.04435761,-0.24500105
310.2166,1.0190014,0.18704176,1.1818212,-0.88044626,-0.13070571,-0.04478267,-0.24592993
319.49164,1.0193243,0.19078746,1.1822714,-0.87956995,-0.13029963,-0.045350093,-0.24689656
329.02075,1.0193782,0.19464284,1.182844,-0.87890583,-0.12987825,-0.04590139,-0.24774921
338.78732,1.0193176,0.19857588,1.1837624,-0.8786364,-0.1295295,-0.046453476,-0.24862084
348.78052,1.019178,0.20260857,1.1849612,-0.878369,-0.12927249,-0.04719745,-0.24955718
359.00906,1.0189154,0.20667946,1.1861985,-0.8781815,-0.12900631,-0.047965482,-0.25054556
369.4691,1.0184827,0.2108141,1.1874714,-0.87819153,-0.12879387,-0.04861946,-0.25150368
380.14456,1.0179746,0.21502966,1.1887782,-0.8782995,-0.12858759,-0.049191784,-0.25247207
391.03024,1.0174963,0.21933047,1.1902506,-0.8786072,-0.12854604,-0.049797434,-0.2535672
402.14267,1.017038,0.2237559,1.1917784,-0.87889403,-0.12850785,-0.050413806,-0.2547119
413.49655,1.0165343,0.22826709,1.1933787,-0.87917435,-0.12851793,-0.051023126,-0.25590524
425.0967,1.0160457,0.23281364,1.1951742,-0.87950915,-0.12856674,-0.05161686,-0.2571266
436.9251,1.0155706,0.23744266,1.1969848,-0.88001794,-0.12857154,-0.052234855,-0.25836703
448.9758,1.0150168,0.24220866,1.1988219,-0.8805941,-0.1285438,-0.052952763,-0.25961396
461.2493,1.0143849,0.2470938,1.2006876,-0.88122934,-0.1284869,-0.053706553,-0.2608149
473.73648,1.0137476,0.25206393,1.2026138,-0.88190234,-0.12843147,-0.054415092,-0.2619522
486.43488,1.0131854,0.25717416,1.2046072,-0.8826111,-0.1283953,-0.05508003,-0.26293597
499.33716,1.0126605,0.26247078,1.2066715,-0.88343626,-0.12836099,-0.055704277,-0.2638826
512.45496,1.0121143,0.26795724,1.2087528,-0.88447756,-0.12832257,-0.05634365,-0.26489002
525.7874,1.0115486,0.27352238,1.210906,-0.8854901,-0.12833263,-0.057020325,-0.26588726
539.33203,1.010998,0.27918363,1.2130532,-0.88653415,-0.12841588,-0.05762733,-0.26693425
553.07135,1.0104188,0.2849354,1.2152421,-0.8876168,-0.12848085,-0.05813637,-0.26799002
567.0178,1.0098283,0.29078186,1.2175395,-0.88871944,-0.12854275,-0.058758292,-0.26911122
581.18884,1.0092456,0.29676923,1.2199519,-0.88990504,-0.12866531,-0.05945993,-0.27032784
595.5843,1.0086875,0.30283025,1.2224028,-0.8911237,-0.12881958,-0.060116384,-0.27153832
610.20026,1.0081668,0.3089736,1.2249113,-0.8923716,-0.12900019,-0.060702752,-0.2727183
625.02655,1.00768,0.3152294,1.2274263,-0.89361423,-0.12912299,-0.061221536,-0.2738374
640.0607,1.0071952,0.32157448,1.2299588,-0.8948563,-0.12926376,-0.061716314,-0.27503443
655.289,1.0066952,0.32802567,1.2325002,-0.89608103,-0.12939775,-0.062304676,-0.27623758
670.7194,1.006264,0.33458778,1.2350421,-0.8973469,-0.12955329,-0.062925,-0.27738088
686.35803,1.0058644,0.34122986,1.2375778,-0.8986644,-0.12965705,-0.063526265,-0.2784914
702.2254,1.0055425,0.34797576,1.2400626,-0.900038,-0.12971151,-0.06413863,-0.2795376
718.341,1.0052199,0.3547576,1.2426118,-0.9014639,-0.12977625,-0.06477873,-0.280644
734.68805,1.004918,0.36157835,1.245209,-0.90290684,-0.12991196,-0.06538033,-0.28171653
751.2657,1.0046463,0.36842322,1.2478344,-0.90436774,-0.1300543,-0.065956034,-0.28277963
768.0745,1.0043808,0.37532738,1.2504619,-0.90584195,-0.13019943,-0.06652487,-0.28383642
785.11896,1.0041304,0.3823023,1.2530954,-0.9073271,-0.13035962,-0.06708036,-0.28488168
802.4111,1.0039171,0.38935548,1.2557665,-0.90885,-0.13053459,-0.067614205,-0.28599158
819.95984,1.0037341,0.3964697,1.2584718,-0.9104234,-0.13070682,-0.06812965,-0.2871914
837.75885,1.0035578,0.40373945,1.2611786,-0.9120961,-0.13091503,-0.06866201,-0.2883446
855.801,1.0033469,0.41111404,1.2639192,-0.91384864,-0.13112368,-0.069263354,-0.28946334
874.05096,1.0031524,0.41860875,1.2666233,-0.9156058,-0.13134043,-0.06985622,-0.29060352
892.50494,1.0030215,0.4261294,1.2692885,-0.9172998,-0.13159749,-0.070351705,-0.29177848
911.2026,1.0028895,0.43386298,1.2719917,-0.91896343,-0.13187587,-0.0707641,-0.29277772
930.166,1.0027626,0.44173336,1.2747234,-0.9206108,-0.13215324,-0.07112933,-0.29364437
949.34375,1.0026388,0.4497111,1.2774551,-0.9223588,-0.13237587,-0.07161851,-0.29442877
968.74963,1.0024987,0.45778912,1.2801752,-0.924163,-0.13262239,-0.072207674,-0.29514688
