foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
5.996e-05,4.220e-05,7.795e-04,1.264e-05,1.577e-04,1.650e-04,7.065e-05,2.262e-05
1.885e-04,1.884e-04,4.379e-04,1.981e-04,2.950e-04,2.914e-04,7.562e-05,7.528e-05
2.325e-05,8.821e-05,1.834e-04,9.601e-05,1.918e-04,5.770e-05,3.619e-05,1.051e-04
1.061e-04,1.888e-04,1.287e-05,6.121e-05,2.246e-04,1.345e-04,3.147e-05,2.891e-06
3.600e-05,2.649e-04,1.593e-04,6.240e-05,2.332e-04,5.698e-05,6.343e-05,1.702e-05
5.221e-05,3.655e-04,2.640e-04,9.242e-06,2.919e-04,6.557e-07,2.463e-05,1.758e-06
1.076e-04,4.249e-04,3.301e-04,1.506e-04,4.076e-04,1.591e-04,7.474e-05,1.749e-05
1.347e-05,3.695e-04,3.573e-04,7.461e-05,4.052e-04,2.052e-04,4.515e-06,3.532e-05
1.086e-04,4.215e-04,3.755e-04,7.926e-05,3.576e-04,1.783e-04,1.840e-05,6.059e-05
7.915e-05,4.449e-04,3.821e-04,2.751e-05,3.473e-04,1.116e-04,3.022e-05,4.742e-05
2.503e-05,4.663e-04,3.917e-04,6.686e-05,3.756e-04,1.164e-04,6.071e-05,3.928e-05
1.212e-04,5.534e-04,3.959e-04,1.797e-04,3.843e-04,1.827e-04,2.727e-06,1.353e-05
1.053e-04,4.864e-04,3.853e-04,1.799e-04,3.531e-04,1.727e-04,4.956e-05,4.017e-05
1.488e-04,5.443e-04,3.727e-04,1.394e-04,4.157e-04,2.222e-04,3.658e-05,2.971e-05
1.696e-04,5.622e-04,3.515e-04,1.600e-04,4.188e-04,1.854e-04,5.083e-05,5.847e-05
9.656e-06,4.950e-04,3.254e-04,1.444e-04,3.889e-04,1.221e-04,7.977e-05,5.913e-05
3.612e-05,4.811e-04,2.970e-04,1.937e-04,3.825e-04,9.668e-05,2.412e-05,3.847e-05
7.665e-05,5.057e-04,2.682e-04,2.323e-04,3.504e-04,9.179e-05,3.362e-05,6.223e-05
1.141e-04,5.546e-04,2.372e-04,2.447e-04,3.309e-04,1.534e-04,3.967e-05,4.780e-05
1.999e-04,6.101e-04,2.041e-04,2.535e-04,3.362e-04,2.112e-04,5.294e-05,1.553e-05
1.863e-04,6.454e-04,1.715e-04,1.941e-04,4.745e-04,2.630e-04,4.067e-05,1.033e-04
5.829e-05,6.034e-04,1.389e-04,2.200e-04,3.730e-04,3.310e-04,4.855e-05,4.977e-06
6.902e-05,5.720e-04,1.049e-04,2.480e-04,3.401e-04,2.718e-04,4.776e-05,4.560e-06
9.620e-05,5.550e-04,7.260e-05,2.562e-04,3.294e-04,2.425e-04,3.621e-06,7.439e-05
8.059e-05,5.403e-04,4.435e-05,2.901e-04,2.999e-04,1.163e-04,4.597e-05,5.323e-05
6.032e-05,6.211e-04,2.491e-05,2.633e-04,4.258e-04,1.349e-04,3.487e-06,6.443e-05
1.103e-04,7.174e-04,1.055e-05,3.378e-04,4.548e-04,1.280e-04,2.104e-05,5.302e-05
1.231e-04,6.638e-04,7.987e-06,3.596e-04,3.642e-04,9.382e-05,3.292e-05,2.891e-06
9.394e-05,5.929e-04,2.575e-05,2.706e-04,4.321e-04,1.830e-04,5.406e-05,2.369e-05
8.440e-05,5.472e-04,3.666e-05,3.054e-04,4.576e-04,3.006e-04,4.296e-05,1.979e-05
1.204e-04,5.646e-04,4.715e-05,2.615e-04,4.030e-04,2.089e-04,4.111e-05,4.023e-06
1.425e-04,5.026e-04,5.281e-05,2.072e-04,3.954e-04,1.642e-04,2.269e-05,5.817e-05
1.550e-04,5.405e-04,5.561e-05,3.048e-04,3.891e-04,1.755e-04,7.349e-05,8.756e-05
1.944e-04,5.560e-04,6.229e-05,2.428e-04,4.258e-04,1.218e-04,5.177e-05,7.573e-05
2.083e-04,5.655e-04,7.087e-05,2.655e-04,4.473e-04,1.478e-04,1.143e-05,6.384e-05
1.788e-04,5.381e-04,7.665e-05,2.621e-04,4.530e-04,1.589e-04,3.760e-05,6.181e-05
1.208e-04,5.147e-04,8.154e-05,2.371e-04,5.479e-04,2.326e-04,9.897e-05,2.593e-05
1.019e-04,5.100e-04,8.637e-05,2.511e-04,5.230e-04,2.096e-04,7.915e-05,2.369e-05
7.260e-05,5.209e-04,8.833e-05,2.768e-04,4.795e-04,1.796e-04,2.828e-05,1.973e-05
6.056e-05,5.260e-04,8.345e-05,2.753e-04,4.375e-04,1.633e-04,2.140e-05,2.021e-05
7.915e-05,5.560e-04,7.707e-05,2.443e-04,4.190e-04,2.090e-04,3.466e-05,1.299e-05
4.590e-05,6.120e-04,6.819e-05,2.143e-04,4.243e-04,2.401e-04,3.500e-05,3.698e-05
8.249e-05,6.950e-04,5.960e-05,2.363e-04,4.518e-04,2.083e-04,4.813e-06,4.590e-05
9.465e-05,6.628e-04,5.168e-05,2.621e-04,4.761e-04,1.936e-04,1.323e-05,3.284e-05
8.285e-05,6.287e-04,4.262e-05,2.826e-04,4.925e-04,2.372e-04,1.490e-08,1.797e-05
6.425e-05,6.161e-04,3.392e-05,3.278e-04,5.136e-04,2.623e-04,6.342e-05,7.868e-06
8.905e-05,7.260e-04,3.123e-05,3.575e-04,5.202e-04,2.872e-04,1.511e-05,3.317e-05
9.382e-05,7.358e-04,2.897e-05,3.577e-04,4.990e-04,2.682e-04,2.503e-06,5.105e-05
1.105e-04,7.265e-04,2.658e-05,3.770e-04,4.318e-04,2.415e-04,2.626e-05,5.713e-05
1.073e-04,6.738e-04,2.372e-05,3.704e-04,3.961e-04,2.326e-04,5.379e-05,5.037e-05
