kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,0.0
228.43224,856.4691,630.85046,1324.0083,1.1565368,0.27571872,0.014888048
234.27194,861.91113,633.7849,1325.0369,1.2054479,0.28178757,0.029554427
240.48386,867.3384,636.79565,1326.0863,1.2485759,0.28815162,0.044002473
247.05273,872.75946,639.8762,1327.1571,1.2873194,0.29476893,0.058235407
253.9616,878.1815,643.02124,1328.2499,1.3227386,0.30160758,0.072256446
261.19147,883.61,646.2259,1329.365,1.3556387,0.30864316,0.08606875
268.71808,889.0494,649.486,1330.5029,1.3866303,0.31585696,0.09967542
276.52594,894.50336,652.79816,1331.6641,1.4161768,0.3232346,0.11307949
284.6045,899.97266,656.15936,1332.8486,1.4446305,0.33076495,0.126284
292.94742,905.458,659.56665,1334.0571,1.4722574,0.33843946,0.13929194
301.54242,910.95844,663.0177,1335.2896,1.4992576,0.34625146,0.15210623
310.38382,916.47314,666.50995,1336.5466,1.5257808,0.35419565,0.16472971
319.45367,922.0025,670.04114,1337.8284,1.5519389,0.36226788,0.17716527
328.75775,927.54486,673.6093,1339.135,1.5778161,0.3704647,0.1894157
338.28918,933.0994,677.21246,1340.4668,1.6034745,0.37878335,0.20148373
348.0344,938.66504,680.84863,1341.8241,1.6289599,0.38722146,0.21337211
357.98184,944.23956,684.51605,1343.2068,1.6543057,0.39577702,0.22508347
368.1336,949.8208,688.21295,1344.6154,1.6795352,0.40444827,0.23662049
378.49237,955.4071,691.93744,1346.0498,1.7046639,0.41323364,0.24798572
389.05954,960.99634,695.6879,1347.5103,1.7297019,0.4221316,0.25918174
399.83844,966.5864,699.4627,1348.9968,1.7546552,0.43114075,0.2702111
410.81607,972.1749,703.25995,1350.5099,1.7795265,0.44025978,0.28107625
421.9799,977.75964,707.0781,1352.0492,1.8043158,0.44948733,0.29177964
433.3309,983.3381,710.91547,1353.615,1.8290213,0.4588221,0.3023237
444.87045,988.90735,714.77014,1355.2074,1.8536398,0.4682628,0.31271076
456.61072,994.46405,718.64056,1356.8265,1.8781667,0.47780803,0.32294315
468.552,1000.0049,722.52496,1358.4722,1.9025952,0.4874565,0.33302325
