con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.11565,0.0017051001,105.17594,104.996605,27.80652,30.682884,31.629318,0.17933552,33.28288
79.6101,0.0018256049,108.65118,108.45282,28.761621,31.038244,32.438232,0.19835413,33.57913
82.197815,0.0019516689,112.230835,112.011795,29.72605,31.400795,33.307804,0.21903741,33.883907
84.8698,0.002083366,115.90872,115.667244,30.702492,31.76576,34.229797,0.2414803,34.19241
87.61674,0.0022207685,119.68126,119.41547,31.696484,32.12972,35.19682,0.26578435,34.50119
90.43034,0.0023639465,123.54741,123.25535,32.715088,32.488697,36.202763,0.29205945,34.806248
93.31865,0.0025129681,127.505905,127.185486,33.748848,32.840607,37.2524,0.3204183,35.10546
96.284546,0.0026678967,131.55396,131.203,34.79209,33.188343,38.34856,0.35097238,35.401707
99.32335,0.002828793,135.69135,135.3075,35.84917,33.53135,39.487785,0.38384274,35.69438
102.42813,0.0029957127,139.91551,139.49635,36.924206,33.86479,40.666336,0.4191467,35.978645
105.60397,0.0031687096,144.22528,143.7683,38.010788,34.18761,41.887604,0.45700803,36.2534
108.846466,0.003347833,148.62039,148.12283,39.11276,34.49632,43.1507,0.4975562,36.515137
112.15004,0.0035331263,153.09874,152.55782,40.233574,34.79225,44.446274,0.5409172,36.765167
115.51329,0.0037246286,157.66005,157.07281,41.374138,35.074642,45.777035,0.58722514,37.002697
118.938965,0.0039223726,162.30246,161.66585,42.529613,35.33943,47.14635,0.6366107,37.223648
122.42651,0.0041263876,167.02463,166.33542,43.699165,35.58972,48.547462,0.6892083,37.43109
125.97421,0.0043366943,171.82812,171.08296,44.885956,35.826298,49.983788,0.74516606,37.625805
129.57631,0.004553307,176.71695,175.91231,46.09953,36.048996,51.457973,0.8046465,37.807587
133.24149,0.004776236,181.68875,180.82097,47.328564,36.254383,52.970875,0.86778843,37.97299
136.96416,0.005005485,186.73611,185.80139,48.571003,36.440178,54.514072,0.9347048,38.1197
140.73367,0.005241051,191.86127,190.85574,49.839687,36.608173,56.08581,1.0055547,38.249508
144.56508,0.0054829237,197.06761,195.98712,51.122757,36.759605,57.69514,1.0805067,38.363625
148.46242,0.0057310853,202.35497,201.19524,52.415684,36.892406,59.343723,1.1597135,38.459957
