kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.2861,0.9785236,0.16551833,1.5222969,-1.0620184,-0.018543102,-0.25576606,-0.037311986
233.99385,0.9858246,0.1706483,1.516792,-1.0564564,-0.018429298,-0.25935632,-0.037690848
240.13141,0.9918821,0.17554708,1.5121043,-1.0515122,-0.018351793,-0.2627727,-0.03772638
246.66759,0.9969702,0.1803939,1.5080836,-1.0471418,-0.018255029,-0.26621142,-0.037609354
253.53595,1.0012505,0.18509196,1.504513,-1.0431157,-0.018181916,-0.26929402,-0.037278626
260.78195,1.00473,0.18973696,1.5016013,-1.0395592,-0.018073585,-0.2728937,-0.037338346
268.38574,1.0074744,0.19430317,1.499067,-1.0363146,-0.017964873,-0.27653825,-0.0374118
276.30835,1.0096596,0.19882147,1.4970074,-1.0334836,-0.017885365,-0.28022555,-0.037542053
284.52606,1.0113341,0.20335874,1.4953036,-1.0309772,-0.017865777,-0.28378382,-0.037598748
293.0294,1.0126314,0.20795743,1.4939356,-1.0288701,-0.017774891,-0.2875178,-0.03772881
301.83673,1.0136695,0.21259223,1.4929909,-1.0269662,-0.017652493,-0.29138234,-0.037894495
310.91827,1.0142347,0.21724345,1.4923533,-1.0252676,-0.017534956,-0.29511607,-0.03805933
320.26114,1.0146159,0.22190769,1.4920232,-1.0238943,-0.017456945,-0.29897046,-0.03823471
329.8462,1.014846,0.22656377,1.4919612,-1.0228269,-0.017392084,-0.30297926,-0.03834656
339.68134,1.0147986,0.23126335,1.4921293,-1.0218561,-0.01733169,-0.30679297,-0.03839431
349.74768,1.0146445,0.23606779,1.492672,-1.0212384,-0.017320838,-0.31068793,-0.038509108
360.04565,1.0143591,0.24099147,1.4934638,-1.02091,-0.017360289,-0.3146124,-0.038668394
370.57175,1.0139312,0.2460315,1.494401,-1.0206504,-0.017369982,-0.3185042,-0.03882064
381.3132,1.0136042,0.25116336,1.4955934,-1.0205991,-0.017461862,-0.32239932,-0.03900881
392.29175,1.0131986,0.25629792,1.4971154,-1.0208669,-0.017479014,-0.32634428,-0.039076395
403.49744,1.0127624,0.2615273,1.4987662,-1.0211284,-0.017451376,-0.33038616,-0.039146192
414.9331,1.0124053,0.26692978,1.5005739,-1.0214673,-0.017394267,-0.33440217,-0.039314456
426.60812,1.0120199,0.27253345,1.5025817,-1.0220078,-0.01742158,-0.33844805,-0.039560407
