foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
8.225e-06,2.453e-04,4.719e-04,9.289e-05,1.343e-04,2.438e-04,6.747e-06,2.627e-05
1.390e-04,2.360e-05,2.637e-04,6.726e-05,4.053e-06,2.646e-05,1.071e-05,5.824e-05
1.559e-04,4.554e-05,1.104e-04,5.323e-05,1.943e-05,1.299e-05,6.793e-05,9.087e-05
5.817e-05,4.053e-06,1.431e-06,8.208e-05,4.053e-06,6.926e-05,7.806e-06,1.133e-05
1.247e-04,2.384e-07,8.309e-05,1.079e-05,4.327e-05,1.203e-04,6.182e-05,5.793e-07
1.206e-04,4.601e-05,1.491e-04,3.146e-04,7.415e-05,4.017e-05,4.067e-05,8.422e-05
3.731e-05,1.616e-04,2.014e-04,7.942e-05,8.309e-05,1.371e-05,1.497e-05,2.825e-05
1.669e-06,1.106e-04,2.258e-04,9.263e-05,7.236e-05,4.709e-05,1.990e-05,5.954e-05
3.767e-05,1.085e-04,2.249e-04,5.752e-06,4.220e-05,8.464e-05,1.265e-05,2.382e-05
2.265e-05,1.254e-04,2.132e-04,1.952e-05,5.126e-06,6.700e-05,5.694e-06,4.428e-05
3.934e-05,4.411e-05,1.915e-04,6.527e-06,8.440e-05,2.718e-05,8.859e-06,1.672e-05
2.980e-06,2.456e-05,1.691e-04,7.927e-06,4.315e-05,3.552e-05,2.030e-07,1.143e-05
4.339e-05,6.199e-06,1.439e-04,2.480e-05,4.256e-05,1.019e-04,2.095e-05,4.378e-05
3.397e-05,6.151e-05,1.160e-04,1.550e-06,2.229e-05,2.980e-06,1.197e-05,1.339e-04
2.396e-05,1.559e-04,9.364e-05,8.938e-05,1.249e-04,7.904e-05,2.193e-05,5.561e-05
2.420e-05,1.194e-04,6.837e-05,4.813e-05,1.438e-04,9.918e-05,7.201e-05,8.294e-05
7.296e-05,1.509e-04,3.797e-05,1.013e-04,5.960e-07,3.827e-05,4.068e-05,1.466e-04
7.629e-06,2.501e-04,3.576e-06,2.730e-04,2.921e-05,9.537e-06,2.844e-05,8.019e-05
1.025e-05,6.676e-06,2.724e-05,1.898e-04,5.186e-05,1.752e-05,5.213e-05,5.633e-05
1.237e-04,9.394e-05,5.090e-05,5.600e-05,2.182e-05,4.363e-05,1.137e-05,2.730e-05
6.533e-05,9.918e-05,7.075e-05,1.320e-05,1.204e-05,1.655e-04,1.214e-05,1.797e-05
3.564e-05,8.082e-05,9.161e-05,2.715e-05,3.505e-05,2.980e-05,4.180e-05,3.698e-05
1.258e-04,6.580e-05,1.094e-04,9.668e-05,9.656e-06,1.121e-04,3.750e-06,6.251e-06
2.813e-05,1.574e-05,1.248e-04,1.040e-04,8.583e-05,8.798e-05,1.789e-05,1.271e-05
4.566e-05,4.745e-05,1.367e-04,1.086e-04,7.308e-05,3.564e-05,1.387e-05,2.511e-06
2.885e-05,5.293e-05,1.457e-04,6.372e-05,1.845e-04,6.711e-05,4.440e-05,3.606e-05
4.971e-05,4.649e-05,1.472e-04,5.573e-05,7.343e-05,2.754e-05,2.753e-06,1.666e-04
1.142e-04,5.341e-05,1.602e-04,4.601e-05,9.155e-05,2.384e-06,7.562e-06,5.722e-05
