kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,1.0,0.0,0.0
228.20401,857.7042,462.25787,1740.1342,0.8795234,0.011016,1.0,0.0,0.014888048
233.9136,864.4173,464.585,1740.2715,0.90938634,0.0153585365,1.0,0.0,0.029554427
240.05269,871.1454,466.9788,1740.4119,0.9395733,0.019828675,1.0,0.0,0.044002473
246.59041,877.89124,469.43692,1740.5557,0.97007006,0.024427399,1.0,0.0,0.058235407
253.45996,884.6584,471.95718,1740.7029,1.0008637,0.029155612,1.0,0.0,0.072256446
260.70694,891.44836,474.53757,1740.8535,1.0319418,0.03401415,1.0,0.0,0.08606875
268.3119,898.2632,477.1762,1741.0078,1.0632927,0.03900379,1.0,0.0,0.09967542
276.23517,905.10394,479.87134,1741.1658,1.0949057,0.044125233,1.0,0.0,0.11307949
284.45364,911.9706,482.62125,1741.3274,1.1267701,0.049379136,1.0,0.0,0.126284
292.95767,918.86206,485.42438,1741.4929,1.1588757,0.054766092,1.0,0.0,0.13929194
301.76553,925.77747,488.27914,1741.6621,1.1912124,0.06028664,1.0,0.0,0.15210623
310.84763,932.7161,491.184,1741.8353,1.2237705,0.065941274,1.0,0.0,0.16472971
320.19083,939.6769,494.13748,1742.0126,1.2565401,0.07173042,1.0,0.0,0.17716527
329.7764,946.6588,497.13824,1742.194,1.2895114,0.07765447,1.0,0.0,0.1894157
339.6119,953.65985,500.18472,1742.3794,1.3226753,0.083713755,1.0,0.0,0.20148373
349.67853,960.6773,503.27563,1742.5691,1.3560224,0.08990856,1.0,0.0,0.21337211
359.9766,967.70807,506.40952,1742.7631,1.3895428,0.09623913,1.0,0.0,0.22508347
370.50305,974.74884,509.58496,1742.9613,1.423227,0.10270564,1.0,0.0,0.23662049
381.24463,981.79675,512.80054,1743.1641,1.457065,0.10930824,1.0,0.0,0.24798572
392.22336,988.84985,516.05475,1743.3711,1.491047,0.11604703,1.0,0.0,0.25918174
403.42908,995.90515,519.3462,1743.5829,1.525163,0.12292203,1.0,0.0,0.2702111
414.86508,1002.95844,522.67334,1743.799,1.5594032,0.12993324,1.0,0.0,0.28107625
426.54028,1010.005,526.0348,1744.0198,1.5937573,0.1370806,1.0,0.0,0.29177964
438.42975,1017.04034,529.42896,1744.2451,1.6282148,0.14436397,1.0,0.0,0.3023237
450.53354,1024.0609,532.85425,1744.4753,1.6627651,0.15178323,1.0,0.0,0.31271076
462.8527,1031.0627,536.309,1744.7102,1.6973976,0.15933813,1.0,0.0,0.32294315
475.37915,1038.0428,539.79156,1744.9498,1.732101,0.16702843,1.0,0.0,0.33302325
488.09625,1044.998,543.30035,1745.1942,1.7668647,0.1748538,1.0,0.0,0.34295326
501.0276,1051.9253,546.8337,1745.4435,1.8016776,0.18281385,1.0,0.0,0.35273546
514.1788,1058.8215,550.3899,1745.6976,1.836529,0.19090818,1.0,0.0,0.36237198
527.5427,1065.6831,553.9673,1745.9567,1.8714081,0.19913629,1.0,0.0,0.37186503
541.118,1072.5067,557.5642,1746.2206,1.906304,0.20749764,1.0,0.0,0.38121676
554.8808,1079.2896,561.1789,1746.4895,1.9412057,0.21599166,1.0,0.0,0.39042926
568.86273,1086.0277,564.80975,1746.7634,1.9761026,0.22461773,1.0,0.0,0.3995046
583.05743,1092.7183,568.45496,1747.0424,2.0109837,0.23337516,1.0,0.0,0.40844482
597.4474,1099.3574,572.11285,1747.3263,2.0458384,0.2422632,1.0,0.0,0.41725194
612.0352,1105.9417,575.7816,1747.6152,2.0806558,0.25128108,1.0,0.0,0.42592794
626.8326,1112.468,579.45953,1747.9092,2.115425,0.26042795,1.0,0.0,0.43447477
641.8493,1118.9357,583.1449,1748.2083,2.1501358,0.2697029,1.0,0.0,0.44289434
657.083,1125.3413,586.83594,1748.5123,2.1847773,0.27910507,1.0,0.0,0.45118856
672.51465,1131.6816,590.53094,1748.8217,2.2193396,0.28863344,1.0,0.0,0.4593593
688.1597,1137.9532,594.22815,1749.1359,2.2538123,0.29828694,1.0,0.0,0.46740842
704.035,1144.1525,597.92596,1749.4553,2.2881854,0.30806458,1.0,0.0,0.47533768
720.1375,1150.2765,601.6225,1749.7798,2.3224483,0.31796518,1.0,0.0,0.48314893
736.48737,1156.3215,605.31604,1750.1094,2.3565912,0.32798758,1.0,0.0,0.49084383
753.061,1162.2842,609.0048,1750.444,2.390604,0.3381306,1.0,0.0,0.49842417
769.8659,1168.162,612.6869,1750.7836,2.4244764,0.34839296,1.0,0.0,0.5058917
786.922,1173.953,616.36066,1751.1283,2.4581988,0.35877338,1.0,0.0,0.513248
804.2274,1179.6544,620.0244,1751.4781,2.4917612,0.3692705,1.0,0.0,0.5204948
821.75854,1185.2628,623.67633,1751.8331,2.5251539,0.37988296,1.0,0.0,0.5276337
839.50116,1190.7753,627.31476,1752.1929,2.5583675,0.39060932,1.0,0.0,0.53466636
857.4747,1196.1896,630.93774,1752.5576,2.5913925,0.40144813,1.0,0.0,0.54159427
875.6971,1201.5032,634.5438,1752.9274,2.6242194,0.41239786,1.0,0.0,0.54841906
894.15936,1206.7142,638.1311,1753.3021,2.6568394,0.42345697,1.0,0.0,0.5551423
912.8629,1211.8202,641.6978,1753.6816,2.689243,0.4346239,1.0,0.0,0.5617654
931.7901,1216.8188,645.2424,1754.0662,2.7214217,0.44589698,1.0,0.0,0.5682899
950.9407,1221.7076,648.7632,1754.4556,2.7533665,0.45727462,1.0,0.0,0.5747172
970.3253,1226.4839,652.2585,1754.8497,2.7850688,0.46875507,1.0,0.0,0.58104885
989.9685,1231.1449,655.7266,1755.2488,2.8165202,0.48033664,1.0,0.0,0.58728623
1009.84595,1235.6882,659.1659,1755.6526,2.8477123,0.49201757,1.0,0.0,0.59343076
1029.9149,1240.1115,662.57477,1756.0609,2.8786364,0.50379604,1.0,0.0,0.59948385
1050.2031,1244.4117,665.9515,1756.474,2.9092846,0.5156703,1.0,0.0,0.60544676
1070.7332,1248.5856,669.29443,1756.8917,2.9396484,0.5276383,1.0,0.0,0.6113209
1091.4819,1252.6311,672.6019,1757.314,2.9697194,0.5396984,1.0,0.0,0.6171076
1112.4487,1256.5438,675.8724,1757.7407,2.9994898,0.55184853,1.0,0.0,0.62280816
1133.646,1260.3225,679.104,1758.1718,3.0289512,0.56408674,1.0,0.0,0.6284238
1155.0911,1263.9679,682.29535,1758.6073,3.0580957,0.57641107,1.0,0.0,0.63395584
1176.8025,1267.4795,685.4447,1759.0471,3.0869155,0.5888195,1.0,0.0,0.6394055
1198.7562,1270.8553,688.55066,1759.4913,3.1154034,0.60130996,1.0,0.0,0.6447741
1220.9329,1274.0906,691.6116,1759.9397,3.143552,0.61388046,1.0,0.0,0.65006274
