con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.18905,0.0028556,105.17594,104.8756,27.686558,36.845238,33.738194,0.3003404,39.445236
79.66515,0.003272724,108.634056,108.27853,28.613377,37.48228,34.599148,0.35552928,40.023163
82.216125,0.0036534055,112.19207,111.78218,29.566057,38.1251,35.50231,0.4098831,40.60821
84.85428,0.004003978,115.848076,115.38423,30.529947,38.772114,36.45082,0.46385315,41.19876
87.57682,0.0043306896,119.59907,119.081116,31.5043,39.421562,37.447784,0.5179464,41.793034
90.37092,0.004639152,123.441414,122.86876,32.49784,40.071472,38.485313,0.5726635,42.389027
93.240715,0.0049341526,127.37454,126.74606,33.505356,40.721066,39.56982,0.62848544,42.98592
96.18046,0.005219648,131.39853,130.71266,34.532207,41.36973,40.693108,0.6858541,43.58309
99.19904,0.0054988493,135.5115,134.76634,35.567303,42.016224,41.861305,0.7451573,44.179256
102.28439,0.0057743243,139.71138,138.90463,36.62025,42.659348,43.062862,0.8067388,44.773197
105.438705,0.0060481112,143.9958,143.12491,37.686207,43.29805,44.30164,0.87090266,45.36384
108.658775,0.0063218144,148.36331,147.4254,38.766624,43.931213,45.57496,0.93792534,45.95003
111.937386,0.00659669,152.81386,151.80579,39.868393,44.558575,46.87731,1.0080657,46.531487
115.278496,0.0068737166,157.34724,156.26569,40.98719,45.1797,48.21096,1.0815604,47.107758
118.681305,0.0071536545,161.96246,160.80383,42.122528,45.793926,49.577362,1.1586236,47.67814
122.14131,0.00743709,166.65756,165.4181,43.276802,46.400208,50.974655,1.2394474,48.241577
125.66461,0.0077244784,171.4316,170.10738,44.44276,46.998245,52.407066,1.3242197,48.797752
129.24605,0.008016164,176.28825,174.8751,45.62905,47.588524,53.871872,1.4131557,49.34711
132.88884,0.008312409,181.22408,179.71765,46.82883,48.170063,55.371475,1.5064086,49.888668
136.59596,0.008613408,186.23901,184.63487,48.03889,48.742374,56.90191,1.6041526,50.4219
140.3577,0.008919308,191.33272,189.62617,49.268475,49.3053,58.46178,1.7065555,50.946644
144.17654,0.009230211,196.50723,194.69344,50.516884,49.85916,60.05263,1.8138032,51.46318
148.05646,0.009546189,201.76198,199.83594,51.779488,50.403503,61.672913,1.926058,51.97105
151.99045,0.009867285,207.0962,205.05272,53.062283,50.938034,63.319965,2.0434775,52.469936
155.98361,0.010193528,212.5095,210.34328,54.359665,51.462303,64.99935,2.1662216,52.959373
160.02682,0.010524923,218.00377,215.70929,55.682472,51.97687,66.707535,2.294473,53.439903
164.12968,0.010861468,223.57748,221.14911,57.019424,52.480946,68.44666,2.4283798,53.910713
168.29228,0.011203147,229.2276,226.65955,58.367245,52.973957,70.21586,2.5680704,54.371212
172.50827,0.011549934,234.95396,232.24025,59.731983,53.455482,72.00801,2.7137027,54.82097
176.77719,0.011901796,240.7586,237.89314,61.115967,53.926105,73.82744,2.8654597,55.260548
181.10297,0.012258689,246.64514,243.62158,62.518627,54.386417,75.67634,3.023546,55.690514
185.48047,0.012620568,252.61143,249.42334,63.942867,54.835934,77.55115,3.1880999,56.110382
189.91342,0.012987384,258.6579,255.29861,65.38518,55.274548,79.45118,3.3592892,56.520016
194.3959,0.013359084,264.78485,261.24756,66.85166,55.702255,81.37251,3.537283,56.919407
198.93747,0.013735611,270.99072,267.26852,68.33106,56.118748,83.32603,3.7222233,57.30822
203.5429,0.014116909,277.27972,273.3654,69.82252,56.52472,85.31442,3.9143324,57.687145
208.19461,0.01450291,283.6497,279.53598,71.341354,56.91967,87.31982,4.1137457,58.05567
212.90099,0.014893552,290.10147,285.78082,72.879845,57.303795,89.36089,4.320641,58.413967
217.6677,0.015288776,296.63568,292.10046,74.432785,57.677067,91.435036,4.5351963,58.761993
