kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.36928,0.9817337,1.6346421,-1.1261778,-0.017400486,-0.04180905,-0.31485075
234.0605,0.98830384,1.6286689,-1.1188922,-0.01726762,-0.04316209,-0.31578737
240.1358,0.9939996,1.6230887,-1.1121874,-0.017140722,-0.04440895,-0.3168183
246.56587,0.9986773,1.6177908,-1.1058893,-0.016954867,-0.045443192,-0.31786653
253.31937,1.0024642,1.6129267,-1.1001327,-0.016908234,-0.04638404,-0.31915736
260.387,1.0056396,1.608595,-1.0947375,-0.01676861,-0.047123827,-0.32045227
267.76385,1.0081902,1.6046997,-1.0897319,-0.016706621,-0.047975894,-0.32196695
275.4336,1.010258,1.6010431,-1.0851388,-0.016689887,-0.048915904,-0.32343233
283.37866,1.0117543,1.5976341,-1.0807489,-0.016693896,-0.04997019,-0.32498196
291.57953,1.0129031,1.5944996,-1.0766853,-0.016553102,-0.05087953,-0.32647866
300.02325,1.0137073,1.5916419,-1.0728986,-0.016451856,-0.05177172,-0.32813597
308.70718,1.014243,1.5890003,-1.069402,-0.016404582,-0.052683946,-0.3299032
317.62793,1.0146314,1.5865641,-1.0661981,-0.016350275,-0.05356133,-0.33171642
326.77542,1.0148377,1.584307,-1.063225,-0.016305728,-0.054424446,-0.33348197
336.135,1.0148917,1.5823205,-1.0604188,-0.016229784,-0.05523171,-0.33527583
345.6973,1.0148643,1.5806134,-1.0577861,-0.016195452,-0.056000743,-0.33723742
355.48605,1.0146945,1.5791495,-1.0553477,-0.016185826,-0.05678622,-0.3392616
365.475,1.014456,1.577898,-1.0531864,-0.016143372,-0.05760817,-0.34135643
375.6622,1.0141239,1.5768687,-1.0512519,-0.016092112,-0.058469012,-0.34353203
386.04324,1.0136766,1.5759283,-1.0494161,-0.016060008,-0.059301287,-0.3457202
396.62952,1.0132296,1.5752016,-1.0477153,-0.015997132,-0.060104985,-0.3479232
407.41522,1.0127609,1.5745875,-1.0462031,-0.01592922,-0.061002005,-0.35012376
418.39352,1.0122373,1.574019,-1.0449309,-0.015903061,-0.06192507,-0.35241228
429.56,1.0117335,1.5736309,-1.0436766,-0.015904887,-0.06273671,-0.3547245
440.92435,1.0112035,1.5733815,-1.0425451,-0.015906734,-0.063584246,-0.3570196
452.47534,1.0107374,1.5733424,-1.0415848,-0.015901549,-0.06441123,-0.35934335
464.19022,1.0102469,1.5733763,-1.0407562,-0.015872544,-0.06527908,-0.3617158
476.06583,1.0097365,1.5734726,-1.0400434,-0.015747434,-0.06617595,-0.36408058
488.1138,1.0092651,1.5735924,-1.0393629,-0.015674612,-0.06704454,-0.36646923
500.35712,1.0088363,1.5738546,-1.0387764,-0.01571255,-0.06784836,-0.36888608
512.77893,1.008418,1.5741473,-1.0382717,-0.015750995,-0.06873949,-0.37132227
525.3806,1.0080533,1.5744904,-1.0379252,-0.015777064,-0.069671035,-0.3738131
538.162,1.0077118,1.5749016,-1.0376096,-0.015834814,-0.07051024,-0.3763399
551.11127,1.0074391,1.575312,-1.0373607,-0.015851287,-0.071357824,-0.37893724
564.25366,1.0071628,1.5757989,-1.037164,-0.015809117,-0.07225913,-0.38155892
577.5739,1.0068517,1.5763792,-1.0371512,-0.01582872,-0.07315152,-0.38415572
591.0756,1.0066327,1.5769607,-1.0373056,-0.015845349,-0.07395932,-0.38671362
604.76086,1.0064452,1.5777274,-1.0374243,-0.01581159,-0.07480681,-0.38930207
618.63043,1.0062509,1.5785813,-1.0375853,-0.015826313,-0.075649604,-0.39190924
632.6779,1.0060613,1.5794617,-1.0378307,-0.01586598,-0.076494835,-0.3945576
646.90106,1.0058546,1.580424,-1.0380577,-0.015863834,-0.07731585,-0.39724874
661.30505,1.0056276,1.581447,-1.0382857,-0.015930837,-0.078160554,-0.3998713
675.8858,1.005509,1.5825615,-1.0387093,-0.015966436,-0.07900095,-0.4025565
690.63855,1.0053709,1.5837287,-1.0392379,-0.016012786,-0.079826295,-0.4052249
705.56177,1.0052567,1.5848913,-1.0397692,-0.016043989,-0.080646135,-0.40788352
720.6617,1.005218,1.5860968,-1.0403023,-0.01609139,-0.08153957,-0.41056824
735.9351,1.0052395,1.587401,-1.0409276,-0.016125722,-0.08242877,-0.4133376
751.39777,1.005264,1.5887462,-1.0415977,-0.01611842,-0.08325876,-0.41615134
767.0569,1.0053632,1.5901632,-1.0423106,-0.016146293,-0.084123954,-0.41890466
782.9045,1.0055029,1.5915698,-1.0430479,-0.016162915,-0.084988765,-0.42163944
798.93866,1.005632,1.5929408,-1.0438207,-0.016127167,-0.08593469,-0.424382
815.1334,1.0057638,1.5943983,-1.0446353,-0.016192479,-0.086826384,-0.42716253
831.5097,1.0059372,1.5959246,-1.045507,-0.016255645,-0.08763255,-0.43002087
848.0961,1.0061069,1.5974196,-1.0463706,-0.016308723,-0.08851764,-0.43281937
864.8837,1.0062373,1.5989194,-1.0472506,-0.016350506,-0.0894044,-0.43561542
881.84796,1.0064324,1.600435,-1.0481815,-0.016396834,-0.09030619,-0.4384036
899.00525,1.0067339,1.6019862,-1.0491573,-0.016461564,-0.09123039,-0.4412349
916.3671,1.0069888,1.6035677,-1.0502164,-0.016449733,-0.09206571,-0.44408187
933.9338,1.0072514,1.6051258,-1.0513133,-0.01645091,-0.09291734,-0.44688642
951.7062,1.0075312,1.6067306,-1.0525016,-0.01646821,-0.09381184,-0.44972408
969.6695,1.0078421,1.6083238,-1.0536885,-0.016477717,-0.09465403,-0.4525815
987.82214,1.0081292,1.6099752,-1.0548792,-0.016514687,-0.09543575,-0.45539474
1006.1718,1.0084362,1.6116236,-1.0559831,-0.01650892,-0.09629707,-0.4582851
1024.7319,1.0087318,1.6134136,-1.0572025,-0.016556276,-0.0970979,-0.46109343
1043.4928,1.0090446,1.6152678,-1.0584822,-0.016600741,-0.09788889,-0.4639063
1062.4426,1.0093744,1.6171436,-1.0598135,-0.01665066,-0.09872377,-0.46678472
1081.589,1.0097164,1.6190096,-1.061155,-0.01669888,-0.09957813,-0.4696771
1100.936,1.0100607,1.6208988,-1.0624923,-0.0167471,-0.100451745,-0.4725525
1120.4735,1.010412,1.6228142,-1.0638509,-0.016761286,-0.10129063,-0.47542316
1140.1665,1.010828,1.6247365,-1.0652237,-0.016755996,-0.10212216,-0.4782075
1160.0225,1.0112444,1.6266361,-1.0665883,-0.016784174,-0.10299976,-0.48098862
1180.0718,1.0116451,1.6285644,-1.068024,-0.016842557,-0.103920765,-0.4838529
1200.3203,1.0120661,1.6304113,-1.0693994,-0.01691511,-0.10474715,-0.4866036
1220.7592,1.012518,1.6323378,-1.0709332,-0.016934214,-0.10553025,-0.489357
1241.3981,1.0129933,1.6342835,-1.0724391,-0.016943155,-0.10634932,-0.49214604
1262.2493,1.0135225,1.6362258,-1.0739212,-0.016959323,-0.1071928,-0.49492028
1283.2948,1.0140452,1.638168,-1.0754478,-0.017026199,-0.10803711,-0.49771255
1304.5265,1.0145625,1.6401281,-1.0769894,-0.017085088,-0.108875275,-0.5004933
1325.9647,1.0150717,1.6420883,-1.0785712,-0.017108468,-0.10972477,-0.5032438
1347.5906,1.01565,1.6439888,-1.0802076,-0.017146377,-0.11053693,-0.50599754
1369.4332,1.0162311,1.6459614,-1.0818453,-0.01718275,-0.11126441,-0.5087714
1391.4978,1.0167958,1.6479821,-1.0835054,-0.017194523,-0.11203185,-0.51151735
1413.749,1.0173845,1.6501037,-1.0852394,-0.017261608,-0.11282465,-0.5142944
1436.2119,1.017966,1.6522381,-1.0869534,-0.017311973,-0.11359078,-0.517063
1458.8633,1.018537,1.6543577,-1.0886607,-0.017383946,-0.11437956,-0.51985514
1481.7095,1.0191109,1.6564745,-1.0903759,-0.017468048,-0.11519407,-0.5226562
1504.7574,1.0196927,1.6586046,-1.0921141,-0.017553551,-0.11604357,-0.5254625
1528.0212,1.0202593,1.6607727,-1.0938289,-0.017632497,-0.116834514,-0.52827424
1551.5138,1.0208048,1.6629201,-1.0955367,-0.017725391,-0.117654346,-0.5310778
1575.2228,1.0214871,1.6650698,-1.0973876,-0.017750053,-0.118433535,-0.5338212
1599.153,1.0221094,1.6672118,-1.0992268,-0.017756296,-0.11919184,-0.5365377
1623.3025,1.0226781,1.6693561,-1.101055,-0.017758174,-0.1199429,-0.53923553
1647.6611,1.0232296,1.671523,-1.1029088,-0.01780325,-0.12065189,-0.54190344
1672.2372,1.0237943,1.6737528,-1.1047894,-0.017782954,-0.12135254,-0.54460835
1697.0098,1.0243304,1.6760259,-1.1066436,-0.017762585,-0.122065,-0.5473159
1721.9653,1.0248554,1.678303,-1.1084895,-0.017762912,-0.1227813,-0.55001616
1747.1472,1.0254546,1.6806675,-1.110461,-0.017785324,-0.12352815,-0.5527254
1772.5769,1.0260566,1.6830617,-1.1124115,-0.017838476,-0.12423689,-0.5554576
1798.2502,1.0266397,1.6854662,-1.1143553,-0.017892508,-0.124924675,-0.55819565
1824.1066,1.0271957,1.6879214,-1.1163481,-0.017951263,-0.12558988,-0.5609271
1850.1426,1.0277196,1.6904322,-1.1183119,-0.017996443,-0.12631679,-0.56367874
1876.3824,1.0282313,1.6929103,-1.120353,-0.018057195,-0.12700897,-0.5664199
1902.8256,1.0287774,1.6953564,-1.1224103,-0.018155126,-0.12773255,-0.5691619
1929.466,1.0293729,1.6977811,-1.1245025,-0.018266736,-0.12846997,-0.5718832
1956.3597,1.0300151,1.7002183,-1.1266525,-0.018335758,-0.12924439,-0.57461506
1983.5302,1.0306704,1.7026931,-1.1288356,-0.018367661,-0.13004059,-0.5773428
2010.9171,1.0312955,1.7051346,-1.1310403,-0.018414406,-0.13079461,-0.5800273
2038.5116,1.0319101,1.7075993,-1.1332097,-0.0184952,-0.13152674,-0.5827672
2066.302,1.0325072,1.7101003,-1.1353348,-0.01854561,-0.13222021,-0.58550435
2094.2588,1.0331019,1.712616,-1.1374042,-0.018580211,-0.13290708,-0.5882206
2122.415,1.0337051,1.7151437,-1.1395069,-0.01862569,-0.13358016,-0.590947
2150.8723,1.0343322,1.7177176,-1.1417097,-0.018662883,-0.1342448,-0.59370404
2179.5703,1.0348706,1.7203414,-1.1439203,-0.018690674,-0.13493136,-0.59642345
