,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,9.033e-05,9.702e-04,1.307e-04,7.544e-05,3.072e-05,2.114e-05,3.750e-05
std,3.760e-05,3.958e-04,7.645e-05,5.866e-05,2.427e-05,1.582e-05,2.293e-05
min,1.073e-06,2.384e-06,1.274e-06,2.384e-07,2.384e-07,1.527e-07,2.384e-07
0.1%,1.073e-06,2.384e-06,1.274e-06,2.384e-07,2.384e-07,1.527e-07,2.384e-07
25%,6.956e-05,7.520e-04,5.718e-05,2.712e-05,1.204e-05,9.476e-06,1.933e-05
50%,9.096e-05,1.076e-03,1.404e-04,6.080e-05,2.539e-05,1.869e-05,3.830e-05
75%,1.090e-04,1.287e-03,1.953e-04,1.106e-04,4.178e-05,2.853e-05,5.116e-05
99.9%,2.165e-04,1.493e-03,2.852e-04,2.751e-04,1.354e-04,1.079e-04,1.054e-04
max,2.165e-04,1.493e-03,2.852e-04,2.751e-04,1.354e-04,1.079e-04,1.054e-04
