kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,460.0,1740.0,1.1,0.27,0.0
228.2877,859.36774,462.25787,1740.1342,1.1776024,0.27571872,0.014888048
233.9808,867.7808,464.62488,1740.2715,1.2442079,0.2819327,0.029554427
240.05774,876.2443,467.09778,1740.412,1.3025362,0.28856277,0.044002473
246.48921,884.76276,469.67346,1740.556,1.3546357,0.29554904,0.058235407
253.24405,893.33984,472.34906,1740.7036,1.4020493,0.30284613,0.072256446
260.3127,901.9786,475.1219,1740.8547,1.44594,0.31041965,0.08606875
267.6907,910.6814,477.98953,1741.0099,1.4871837,0.31824338,0.09967542
275.36136,919.4507,480.94968,1741.169,1.5264406,0.32629737,0.11307949
283.30716,928.28815,484.00015,1741.332,1.5642083,0.33456635,0.126284
291.5087,937.1952,487.1389,1741.4994,1.6008619,0.3430386,0.13929194
299.95325,946.1726,490.36404,1741.6711,1.6366841,0.35170498,0.15210623
308.63773,955.2209,493.67377,1741.8473,1.6718874,0.36055848,0.16472971
317.55896,964.3403,497.06628,1742.0281,1.7066317,0.36959353,0.17716527
326.707,973.531,500.54,1742.2136,1.7410369,0.37880573,0.1894157
336.0669,982.79297,504.09335,1742.4038,1.7751927,0.3881915,0.20148373
345.6298,992.12555,507.72476,1742.599,1.8091667,0.39774793,0.21337211
355.41882,1001.52826,511.43277,1742.7993,1.8430084,0.4074726,0.22508347
365.40817,1011.0005,515.216,1743.0045,1.8767544,0.41736344,0.23662049
375.59555,1020.54144,519.073,1743.2152,1.9104316,0.42741865,0.24798572
385.9768,1030.15,523.00244,1743.4312,1.9440596,0.4376366,0.25918174
396.56335,1039.8252,527.003,1743.6525,1.9776517,0.44801587,0.2702111
407.3493,1049.5659,531.07336,1743.8793,2.0112174,0.45855504,0.28107625
418.32782,1059.371,535.2124,1744.1119,2.0447624,0.46925288,0.29177964
429.4942,1069.239,539.4187,1744.3502,2.0782905,0.48010814,0.3023237
440.85886,1079.1687,543.6911,1744.5942,2.1118033,0.49111962,0.31271076
452.41,1089.1586,548.0285,1744.8442,2.145301,0.50228614,0.32294315
464.12488,1099.2072,552.4297,1745.1001,2.1787832,0.5136065,0.33302325
476.00067,1109.3126,556.8934,1745.3623,2.2122476,0.52507955,0.34295326
488.04883,1119.4733,561.41833,1745.6305,2.2456923,0.5367041,0.35273546
500.29224,1129.6871,566.0036,1745.9049,2.2791138,0.5484791,0.36237198
512.7141,1139.9531,570.64795,1746.1858,2.312509,0.56040317,0.37186503
525.3157,1150.2693,575.35016,1746.473,2.3458748,0.5724752,0.38121676
538.0972,1160.6338,580.1092,1746.7668,2.3792076,0.5846939,0.39042926
551.0463,1171.0452,584.9238,1747.0671,2.4125037,0.5970581,0.3995046
564.1889,1181.5015,589.7929,1747.374,2.4457598,0.6095665,0.40844482
577.50916,1192.001,594.71533,1747.6879,2.4789717,0.6222179,0.41725194
591.0107,1202.5421,599.69006,1748.0083,2.512136,0.63501096,0.42592794
604.69604,1213.1228,604.7158,1748.3356,2.5452495,0.64794433,0.43447477
618.56573,1223.7417,609.7916,1748.6699,2.578308,0.66101676,0.44289434
632.61304,1234.3967,614.91626,1749.0112,2.6113093,0.67422694,0.45118856
646.8361,1245.0862,620.0887,1749.3597,2.644249,0.68757343,0.4593593
661.2399,1255.8083,625.30774,1749.7152,2.6771243,0.70105493,0.46740842
675.8208,1266.5614,630.5724,1750.078,2.7099316,0.71467006,0.47533768
690.5734,1277.3435,635.8814,1750.4479,2.7426682,0.72841746,0.48314893
705.49646,1288.153,641.23376,1750.8252,2.7753308,0.7422957,0.49084383
720.59625,1298.9878,646.6283,1751.2098,2.8079166,0.75630325,0.49842417
735.86975,1309.8462,652.0641,1751.602,2.8404229,0.77043885,0.5058917
751.3323,1320.7264,657.53986,1752.0017,2.8728466,0.78470105,0.513248
766.99133,1331.627,663.0545,1752.4089,2.9051855,0.79908836,0.5204948
782.8387,1342.5458,668.60706,1752.8239,2.9374363,0.81359935,0.5276337
798.87305,1353.4816,674.1963,1753.2463,2.9695973,0.8282326,0.53466636
815.0672,1364.4325,679.8212,1753.6765,3.001666,0.8429866,0.54159427
831.4435,1375.3967,685.4807,1754.1144,3.0336401,0.8578599,0.54841906
848.02954,1386.3726,691.17365,1754.5599,3.0655172,0.8728511,0.5551423
864.81757,1397.3584,696.8991,1755.0134,3.0972955,0.8879585,0.5617654
881.78125,1408.353,702.6559,1755.4749,3.128973,0.90318084,0.5682899
898.9386,1419.3544,708.44293,1755.9441,3.1605482,0.9185166,0.5747172
916.3003,1430.361,714.2592,1756.4214,3.1920187,0.9339642,0.58104885
933.8669,1441.3712,720.10364,1756.9067,3.2233834,0.94952214,0.58728623
951.63934,1452.3839,725.97516,1757.4001,3.2546406,0.96518904,0.59343076
969.602,1463.3972,731.87274,1757.9015,3.285789,0.98096335,0.59948385
987.7543,1474.4097,737.79535,1758.411,3.316827,0.99684364,0.60544676
1006.1045,1485.4198,743.742,1758.9288,3.3477533,1.0128284,0.6113209
1024.6637,1496.426,749.7115,1759.4547,3.3785663,1.028916,0.6171076
1043.4246,1507.4269,755.703,1759.9888,3.4092655,1.0451051,0.62280816
1062.3744,1518.4209,761.7154,1760.5311,3.4398494,1.0613942,0.6284238
1081.5204,1529.4067,767.74774,1761.0817,3.470317,1.0777818,0.63395584
1100.8668,1540.3827,773.7991,1761.6404,3.5006669,1.0942664,0.6394055
1120.4047,1551.3475,779.86816,1762.2076,3.530898,1.1108465,0.6447741
1140.0974,1562.2997,785.9542,1762.7831,3.5610101,1.1275207,0.65006274
1159.9534,1573.2377,792.0562,1763.3668,3.5910025,1.1442875,0.65527266
1180.0022,1584.1599,798.17316,1763.9591,3.6208735,1.1611453,0.66040504
1200.2506,1595.0648,804.304,1764.5596,3.6506221,1.1780928,0.665461
1220.6887,1605.9513,810.4479,1765.1687,3.680248,1.1951286,0.6704416
1241.3275,1616.8179,816.6037,1765.786,3.7097502,1.2122511,0.6753481
1262.1786,1627.6633,822.7706,1766.4119,3.7391284,1.2294588,0.6801815
1283.2238,1638.4863,828.9477,1767.0463,3.7683814,1.2467504,0.68494296
1304.4552,1649.2858,835.1339,1767.689,3.797509,1.2641244,0.6896336
1325.8936,1660.0603,841.32825,1768.3402,3.8265104,1.2815795,0.6942544
1347.5197,1670.8087,847.52997,1768.9999,3.8553853,1.2991141,0.6988064
1369.3612,1681.5297,853.73804,1769.6681,3.8841336,1.3167268,0.70329064
1391.4261,1692.2222,859.9515,1770.3447,3.912755,1.3344162,0.7077081
1413.6774,1702.8849,866.16956,1771.0298,3.941249,1.3521808,0.71205986
1436.1396,1713.5168,872.3913,1771.7235,3.9696147,1.3700194,0.71634674
1458.7906,1724.117,878.6157,1772.4257,3.9978523,1.3879306,0.72056985
1481.6364,1734.6838,884.84204,1773.1364,4.0259614,1.405913,0.7247301
1504.6836,1745.2166,891.0694,1773.8557,4.053137,1.4239652,0.7288283
1527.9478,1755.7141,897.29694,1774.5835,4.079575,1.4420801,0.7328656
1551.4393,1766.1752,903.52386,1775.3197,4.1054254,1.4602524,0.7368427
1575.1483,1776.5989,909.7492,1776.0645,4.1307993,1.4784776,0.74076056
1599.0792,1786.9846,915.97217,1776.8175,4.1557803,1.4967521,0.7446202
1623.2278,1797.331,922.19196,1777.5793,4.1804323,1.5150728,0.7484224
1647.5863,1807.6375,928.4078,1778.3495,4.2048025,1.5334373,0.75216794
1672.1622,1817.9027,934.61884,1779.1282,4.228927,1.5518429,0.7558577
1696.9337,1828.126,940.8243,1779.9153,4.252833,1.570288,0.7594925
1721.8894,1838.3063,947.0234,1780.7109,4.27654,1.5887706,0.76307327
1747.071,1848.4426,953.21533,1781.515,4.300063,1.6072893,0.76660067
1772.5006,1858.5343,959.3995,1782.3275,4.3234143,1.6258426,0.77007556
1798.1732,1868.5804,965.5749,1783.1484,4.3466024,1.6444288,0.7734987
1824.0302,1878.5802,971.741,1783.9778,4.369634,1.6630468,0.7768709
1850.065,1888.5328,977.897,1784.8154,4.392514,1.6816952,0.78019285
1876.3043,1898.4374,984.0422,1785.6615,4.415247,1.7003727,0.7834654
1902.7479,1908.2931,990.17584,1786.516,4.4378347,1.7190782,0.78668916
1929.3878,1918.0992,996.29724,1787.3788,4.4602804,1.7378105,0.78986496
1956.2805,1927.855,1002.40564,1788.25,4.4825854,1.7565683,0.7929935
1983.4523,1937.5596,1008.5004,1789.1293,4.504751,1.7753506,0.79607546
2010.8381,1947.2126,1014.58105,1790.0168,4.5267787,1.7941561,0.79911155
2038.4325,1956.8134,1020.64667,1790.9127,4.54867,1.8129839,0.80210245
2066.222,1966.3612,1026.6967,1791.8169,4.5704246,1.8318328,0.8050488
2094.178,1975.8551,1032.7305,1792.7294,4.592044,1.8507017,0.8079513
2122.3347,1985.2947,1038.7474,1793.6498,4.6135283,1.8695896,0.81081057
2150.7915,1994.6792,1044.747,1794.5785,4.634878,1.8884952,0.81362724
2179.489,2004.0083,1050.7284,1795.5153,4.656095,1.9074178,0.81640196
2208.3835,2013.2814,1056.6912,1796.4603,4.6771784,1.9263562,0.8191354
2237.4702,2022.4977,1062.6348,1797.4132,4.6981287,1.9453093,0.8218281
2266.751,2031.6567,1068.5585,1798.3743,4.718947,1.9642762,0.8244808
2296.265,2040.7582,1074.4618,1799.3434,4.7396336,1.9832559,0.82709396
2326.0063,2049.801,1080.3441,1800.3204,4.760189,2.0022473,0.8296682
2355.9624,2058.7852,1086.2047,1801.3054,4.7806134,2.0212495,0.83220416
2386.1074,2067.7102,1092.0436,1802.2982,4.800907,2.0402615,0.8347023
2416.4478,2076.5754,1097.8597,1803.299,4.821071,2.0592823,0.83716327
2447.0159,2085.3806,1103.653,1804.3075,4.841106,2.078311,0.83958757
2477.8047,2094.125,1109.4226,1805.3239,4.8610115,2.0973465,0.8419758
2508.8228,2102.8086,1115.1681,1806.3481,4.880789,2.116388,0.8443285
2540.0635,2111.4304,1120.8889,1807.3801,4.900438,2.1354349,0.8466462
2571.5168,2119.9907,1126.5847,1808.4197,4.919959,2.154486,0.84892935
2603.1833,2128.489,1132.2552,1809.467,4.939353,2.17354,0.8511785
2635.0364,2136.9246,1137.8995,1810.522,4.958621,2.1925964,0.8533942
2667.0754,2145.2974,1143.5175,1811.5846,4.9777627,2.2116544,0.8555769
2699.3193,2153.6067,1149.1086,1812.6548,4.9967785,2.230713,0.85772705
2731.7988,2161.8525,1154.6725,1813.7323,5.015669,2.249771,0.8598452
2764.5105,2170.035,1160.2087,1814.8174,5.0344353,2.2688282,0.86193186
2797.4495,2178.153,1165.7169,1815.91,5.053077,2.2878833,0.86398745
2830.6,2186.207,1171.1965,1817.0098,5.071595,2.3069355,0.8660124
2863.9465,2194.1965,1176.6475,1818.1172,5.0899906,2.325984,0.86800724
2897.4766,2202.1213,1182.069,1819.2317,5.1082635,2.345028,0.86997235
2931.2097,2209.981,1187.461,1820.3535,5.1264143,2.3640666,0.8719082
2965.1443,2217.7754,1192.823,1821.4827,5.1444435,2.383099,0.87381524
2999.2988,2225.5046,1198.1547,1822.619,5.162352,2.4021246,0.8756939
3033.7053,2233.1682,1203.4557,1823.7623,5.18014,2.4211428,0.87754464
