con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.0683,0.0028556,105.17594,104.8756,27.807312,36.845238,25.337843,0.3003404,39.445236
79.5506,0.0031533004,108.63874,108.29617,28.745579,37.4839,26.006409,0.3425706,40.024784
82.11894,0.003426751,112.202866,111.81837,29.699432,38.128773,26.712627,0.38449124,40.61188
84.77463,0.0036809198,115.86682,115.44032,30.66569,38.778385,27.456518,0.42649645,41.205032
87.507126,0.0039202017,119.62697,119.158005,31.650877,39.430756,28.231464,0.46896183,41.80223
90.31863,0.004148321,123.48143,122.9692,32.65057,40.084457,29.044996,0.51224065,42.402016
93.202644,0.0043683625,127.42822,126.87156,33.668915,40.738216,29.891169,0.5566526,43.003075
96.16267,0.0045828363,131.4652,130.86272,34.700054,41.390724,30.769953,0.60248345,43.60408
99.19347,0.0047937636,135.59042,134.94043,35.746964,42.04069,31.68142,0.6499884,44.203728
102.29251,0.0050027636,139.80225,139.10284,36.81034,42.68709,32.62391,0.6993975,44.80094
105.459274,0.005211121,144.0996,143.34868,37.8894,43.329258,33.59833,0.7509204,45.395046
108.68823,0.005419858,148.48163,147.67688,38.988647,43.966248,34.598305,0.8047493,45.98506
111.98205,0.005629782,152.94716,152.08609,40.10404,44.597443,35.62483,0.8610591,46.570362
115.3411,0.00584153,157.49559,156.57558,41.234474,45.2223,36.680454,0.9200153,47.150356
118.76587,0.0060556065,162.12602,161.14427,42.37839,45.840168,37.76519,0.9817714,47.72439
122.254745,0.006272406,166.83714,165.79065,43.535915,46.450203,38.876373,1.0464703,48.291573
125.80135,0.0064922385,171.62901,170.51476,44.7134,47.052376,40.01177,1.1142564,48.851883
129.41092,0.006715345,176.50008,175.3148,45.903885,47.645702,41.17285,1.1852589,49.40429
133.07915,0.0069419146,181.45053,180.1909,47.111767,48.23026,42.359135,1.259614,49.94886
136.7985,0.0071720905,186.48065,185.14319,48.3447,48.805614,43.56749,1.3374561,50.485146
140.57642,0.007405978,191.5911,190.17216,49.59574,49.371883,44.802696,1.4189194,51.013226
144.41443,0.007643661,196.78142,195.2773,50.86287,49.928726,46.06208,1.5041304,51.532745
148.3102,0.007885196,202.0514,200.45818,52.148003,50.475807,47.343807,1.593215,52.043354
152.26186,0.008130621,207.40053,205.71422,53.452374,51.012886,48.646587,1.6862952,52.54479
156.27405,0.008379961,212.82817,211.04466,54.770615,51.539474,49.977856,1.7834917,53.036545
160.34508,0.008633227,218.33554,216.45059,56.10551,52.055973,51.33305,1.8849404,53.519005
164.4751,0.00889042,223.92319,221.93243,57.45735,52.56209,52.70973,1.9907713,53.99186
168.66158,0.00915153,229.59149,227.49037,58.828804,53.05805,54.110798,2.1011133,54.455303
172.90538,0.009416544,235.33704,233.12097,60.21559,53.542637,55.536617,2.2160616,54.908127
177.21353,0.009685438,241.16295,238.82716,61.613632,54.016674,56.98971,2.3357687,55.351116
181.57126,0.009958182,247.06874,244.60837,63.03711,54.479824,58.466583,2.4603558,55.783924
185.98926,0.010234746,253.05522,250.46527,64.47602,54.93227,59.97222,2.589956,56.206715
190.46301,0.010515094,259.12082,256.39615,65.93313,55.373474,61.500465,2.7246797,56.618942
194.99185,0.010799185,265.26843,262.40375,67.41191,55.80399,63.056683,2.8646832,57.02114
199.58212,0.011086974,271.49768,268.48758,68.90547,56.223736,64.637825,3.0100882,57.413216
204.22511,0.011378417,277.8081,274.6471,70.42197,56.63244,66.24161,3.1610162,57.794865
208.9218,0.011673468,284.1983,280.88074,71.95892,57.029755,67.86963,3.31758,58.165752
213.68105,0.011972075,290.67142,287.1915,73.51045,57.41638,69.530594,3.4799402,58.526554
218.50148,0.01227419,297.22693,293.57867,75.0772,57.792027,71.21653,3.6482198,58.87695
