kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.4021,0.9839649,1.2317625,-0.92852783,-0.14035206,-0.03941512,-0.27845266
234.1357,0.99036807,1.2281517,-0.92367494,-0.139298,-0.04043092,-0.2790674
240.26532,0.9957057,1.2247663,-0.91925526,-0.13830836,-0.041413233,-0.27973652
246.75763,1.0000381,1.2216485,-0.91518664,-0.13737492,-0.042295404,-0.28053176
253.59322,1.003622,1.218755,-0.91146517,-0.136582,-0.043053947,-0.28145275
260.75287,1.0064838,1.21628,-0.90810657,-0.13574909,-0.0438167,-0.28239915
268.217,1.0087873,1.2141361,-0.90507644,-0.13504133,-0.04451574,-0.28346166
275.96857,1.010529,1.212236,-0.9023018,-0.13435249,-0.045166843,-0.28456387
283.9935,1.0118368,1.2106069,-0.89972687,-0.13372527,-0.0458633,-0.28569114
292.28043,1.0127866,1.2093,-0.8973961,-0.1331727,-0.046494454,-0.28689057
300.82144,1.0134207,1.2082312,-0.8952941,-0.13266279,-0.047205716,-0.28818253
309.6057,1.0138445,1.2072778,-0.8933997,-0.13215211,-0.047949564,-0.28950936
318.62723,1.0140446,1.206473,-0.8916837,-0.13171141,-0.048668,-0.29093778
327.87686,1.0140392,1.2058933,-0.8901411,-0.13130702,-0.04936286,-0.292381
337.34363,1.0138441,1.2055123,-0.8887678,-0.13094576,-0.0500431,-0.29381463
347.02618,1.0134993,1.2052306,-0.8875424,-0.13057594,-0.050744385,-0.29532194
356.9119,1.0130956,1.2050459,-0.88646305,-0.13028811,-0.051491246,-0.29690665
366.99942,1.0125827,1.2050109,-0.8855865,-0.13001986,-0.052161194,-0.29853278
377.2893,1.0120218,1.20514,-0.8847812,-0.12975235,-0.052798033,-0.30021715
387.78354,1.0115014,1.2053668,-0.88407683,-0.12958805,-0.053489167,-0.30191344
398.47717,1.0109445,1.205727,-0.8834462,-0.1293852,-0.05422666,-0.30361125
409.36658,1.0103428,1.2061332,-0.8830192,-0.12923749,-0.05497652,-0.30538973
420.44647,1.0097272,1.2065885,-0.8826524,-0.12909707,-0.05571265,-0.30718684
431.7107,1.0091196,1.207094,-0.8823483,-0.12895472,-0.05641538,-0.3089863
443.16498,1.0084796,1.2077333,-0.8822123,-0.12887567,-0.057151444,-0.31082305
454.81174,1.0078298,1.2084302,-0.88215744,-0.12883615,-0.05788236,-0.31269717
466.65085,1.0071721,1.2091644,-0.88215244,-0.12879065,-0.058543433,-0.31457472
478.65814,1.0065324,1.2099595,-0.8822642,-0.12870331,-0.059237037,-0.31650862
490.85184,1.0059056,1.2108375,-0.8824437,-0.12864527,-0.059934527,-0.31842223
503.22745,1.0052364,1.2118179,-0.8826945,-0.1286539,-0.060566183,-0.32033023
515.78796,1.0046489,1.2129059,-0.8830236,-0.12869214,-0.0612294,-0.32229835
528.52155,1.0040573,1.2141036,-0.88342655,-0.12865485,-0.061906733,-0.32424888
541.4455,1.0034982,1.2153172,-0.8838618,-0.1286531,-0.06260459,-0.32624796
554.55554,1.0029776,1.2166691,-0.8843671,-0.12866254,-0.06330453,-0.3282976
567.84564,1.0024492,1.2180309,-0.88496673,-0.12869577,-0.063999124,-0.33038673
581.3062,1.0019783,1.2194369,-0.88562596,-0.12875971,-0.06469516,-0.33245194
594.95544,1.0015562,1.2209246,-0.88630015,-0.12882812,-0.065369435,-0.334553
608.78815,1.001122,1.222547,-0.8870487,-0.12896766,-0.06605341,-0.33664322
622.80585,1.000688,1.2241243,-0.8878856,-0.12909012,-0.06680282,-0.3387937
637.01605,1.0003033,1.2257888,-0.8887071,-0.12922193,-0.067547984,-0.34096804
651.4177,0.99997514,1.2274712,-0.8895375,-0.12934281,-0.06828977,-0.34311932
666.0134,0.9996539,1.2291194,-0.8904119,-0.12944789,-0.069076136,-0.34522718
680.7849,0.99935037,1.2307938,-0.8913279,-0.12957938,-0.06980818,-0.34744757
695.728,0.99908066,1.2325195,-0.89227253,-0.12975234,-0.0705218,-0.34965438
710.87787,0.9988227,1.2342925,-0.89332306,-0.12993701,-0.07126867,-0.35181987
726.2198,0.99861836,1.2360988,-0.8944278,-0.1301289,-0.071991675,-0.3539791
741.76044,0.9984122,1.237901,-0.8955368,-0.1303179,-0.072692916,-0.3561623
757.5182,0.9981712,1.2397524,-0.8966523,-0.13049297,-0.07335775,-0.35835212
773.466,0.9980112,1.2417377,-0.8977661,-0.1306689,-0.07408006,-0.36055854
789.6064,0.99785316,1.2437323,-0.89890504,-0.13085018,-0.074773975,-0.36276084
805.9363,0.9977196,1.2456875,-0.90005,-0.13106063,-0.075557284,-0.36498123
822.4674,0.99758524,1.2476264,-0.90120304,-0.13127826,-0.07636954,-0.36718673
839.1939,0.9974489,1.249583,-0.90238243,-0.13147272,-0.07714938,-0.36938563
