foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
1.862e-04,1.402e-03,4.978e-05,2.109e-04,1.432e-04,1.341e-07,4.384e-05
1.947e-04,1.245e-03,7.906e-05,1.712e-04,7.945e-05,1.320e-05,5.731e-05
1.218e-04,1.031e-03,3.218e-05,1.301e-04,7.546e-05,2.880e-05,3.070e-06
1.868e-04,9.027e-04,3.250e-05,1.909e-04,5.752e-05,4.382e-05,4.390e-05
1.638e-04,8.032e-04,8.795e-06,3.111e-05,1.073e-06,5.755e-05,2.801e-06
2.074e-04,7.024e-04,1.652e-05,1.669e-05,4.643e-05,9.581e-06,3.916e-05
1.577e-04,6.669e-04,2.619e-05,3.576e-05,3.684e-05,2.523e-05,4.947e-06
1.615e-04,6.280e-04,3.665e-05,1.061e-05,4.768e-06,1.417e-05,3.436e-05
1.755e-04,6.008e-04,1.099e-06,3.016e-05,1.925e-05,1.281e-05,2.950e-05
1.732e-04,5.767e-04,8.121e-05,6.127e-05,4.303e-05,1.076e-05,6.527e-06
2.270e-04,5.317e-04,1.043e-04,1.395e-05,5.299e-05,3.137e-05,8.285e-06
2.220e-04,5.381e-04,7.341e-05,3.934e-06,4.458e-05,7.302e-07,4.300e-05
1.959e-04,5.240e-04,4.806e-05,4.625e-05,4.655e-05,1.431e-06,8.464e-06
1.523e-04,5.140e-04,3.330e-05,6.819e-05,5.704e-05,6.646e-06,4.780e-05
1.224e-04,5.181e-04,4.783e-05,1.895e-05,5.305e-05,3.436e-05,1.708e-05
1.619e-04,4.666e-04,7.534e-05,1.097e-05,5.347e-05,1.611e-05,2.304e-05
1.303e-04,5.043e-04,4.582e-07,1.276e-05,1.144e-04,6.348e-06,2.182e-05
1.448e-04,4.928e-04,2.363e-05,8.106e-06,5.913e-05,2.040e-05,3.558e-05
2.354e-04,4.587e-04,2.756e-05,1.800e-05,4.220e-05,5.509e-05,1.067e-05
2.322e-04,4.444e-04,5.901e-05,2.539e-05,9.537e-06,8.658e-06,1.764e-05
2.087e-04,4.497e-04,5.380e-05,3.934e-06,1.009e-04,2.223e-05,3.484e-05
2.075e-04,4.532e-04,2.648e-05,1.752e-05,5.525e-05,6.557e-06,2.569e-05
2.217e-04,4.816e-04,1.132e-05,5.424e-05,1.800e-05,1.687e-05,8.643e-07
1.888e-04,5.486e-04,9.175e-06,1.979e-05,8.762e-05,2.548e-05,1.183e-05
1.738e-04,5.465e-04,6.996e-06,1.955e-05,7.468e-05,4.439e-05,2.512e-05
1.551e-04,5.152e-04,6.950e-05,4.125e-05,3.499e-05,1.919e-05,6.557e-07
1.583e-04,4.711e-04,3.712e-05,5.114e-05,6.157e-05,3.971e-05,2.995e-05
1.566e-04,5.748e-04,3.426e-05,3.397e-05,4.488e-05,2.697e-05,1.350e-05
9.537e-05,5.593e-04,8.439e-05,3.850e-05,3.821e-05,2.283e-05,4.694e-05
1.603e-04,5.283e-04,4.374e-05,1.717e-05,4.441e-05,3.605e-05,1.165e-05
1.351e-04,5.214e-04,2.420e-05,1.514e-05,5.120e-05,5.327e-05,5.069e-05
1.485e-04,5.624e-04,2.820e-06,2.956e-05,1.961e-05,3.134e-05,2.143e-05
1.658e-04,5.147e-04,6.184e-07,4.613e-05,3.356e-05,3.323e-05,1.007e-05
1.347e-04,5.040e-04,1.848e-06,2.503e-06,6.825e-05,2.201e-05,3.034e-05
1.708e-04,5.052e-04,2.675e-06,1.323e-05,7.021e-05,3.695e-06,1.100e-05
1.999e-04,5.779e-04,9.462e-06,1.431e-06,3.582e-05,1.103e-05,5.752e-06
1.659e-04,5.744e-04,7.093e-06,6.580e-05,6.723e-05,4.746e-05,2.190e-05
1.446e-04,5.772e-04,6.270e-05,2.027e-06,1.050e-04,1.898e-05,2.748e-05
1.736e-04,5.577e-04,5.044e-05,6.270e-05,5.001e-05,1.711e-05,4.050e-05
2.091e-04,5.257e-04,4.059e-05,5.352e-05,2.307e-05,4.098e-06,7.868e-06
1.934e-04,5.248e-04,6.680e-05,2.420e-05,2.789e-05,2.930e-05,3.859e-05
1.880e-04,5.071e-04,9.082e-06,2.599e-05,3.165e-05,1.226e-05,6.363e-05
2.015e-04,5.667e-04,7.674e-06,4.172e-05,2.640e-05,1.942e-05,3.904e-05
1.945e-04,6.511e-04,1.809e-05,7.617e-05,9.471e-05,2.179e-05,7.987e-06
2.289e-04,5.839e-04,6.326e-06,8.500e-05,1.113e-04,2.006e-05,2.119e-05
2.062e-04,6.061e-04,2.306e-05,4.661e-05,7.987e-05,8.702e-06,6.199e-06
1.491e-04,5.889e-04,4.569e-05,4.005e-05,5.585e-05,1.295e-05,1.147e-05
2.074e-04,4.706e-04,1.191e-05,1.414e-04,3.523e-05,1.949e-05,8.047e-07
1.860e-04,5.043e-04,9.321e-06,1.048e-04,4.166e-05,2.126e-05,1.273e-05
1.884e-04,5.181e-04,6.430e-05,7.284e-05,2.831e-05,4.917e-07,6.765e-06
1.659e-04,5.491e-04,6.941e-05,8.202e-05,1.788e-05,4.023e-07,3.129e-06
1.419e-04,5.264e-04,2.126e-05,1.087e-04,2.617e-05,2.918e-05,6.735e-06
1.396e-04,5.131e-04,4.274e-05,8.416e-05,6.753e-05,4.172e-07,4.682e-05
1.830e-04,5.238e-04,4.120e-05,8.309e-05,1.022e-04,1.356e-06,1.076e-05
1.880e-04,5.751e-04,2.968e-05,3.695e-05,7.790e-05,1.878e-05,1.734e-05
1.386e-04,5.963e-04,6.729e-05,1.478e-05,4.643e-05,2.688e-05,4.637e-05
1.622e-04,5.865e-04,6.445e-06,3.457e-05,9.376e-05,6.659e-05,1.976e-05
