,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,3.066e-04,1.899e-03,3.509e-05,1.284e-04,3.549e-05,1.515e-05,3.397e-05
std,6.576e-05,6.940e-04,3.194e-05,4.935e-05,2.521e-05,1.266e-05,2.121e-05
min,9.537e-05,4.444e-04,1.490e-08,1.431e-06,0.000e+00,5.960e-08,2.384e-07
0.1%,9.537e-05,4.444e-04,1.490e-08,1.431e-06,0.000e+00,5.960e-08,2.384e-07
25%,2.912e-04,1.401e-03,1.187e-05,1.065e-04,1.514e-05,5.748e-06,1.585e-05
50%,3.293e-04,2.233e-03,2.642e-05,1.324e-04,3.093e-05,1.227e-05,3.411e-05
75%,3.459e-04,2.447e-03,4.957e-05,1.620e-04,5.089e-05,2.134e-05,5.041e-05
99.9%,4.132e-04,2.655e-03,1.617e-04,2.506e-04,1.432e-04,6.659e-05,8.899e-05
max,4.132e-04,2.655e-03,1.617e-04,2.506e-04,1.432e-04,6.659e-05,8.899e-05
