kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,628.0,1323.0,1.1,0.27,0.0
228.32054,857.90106,630.85046,1324.0083,1.155917,0.27571872,0.014888048
234.05591,864.7785,633.8622,1325.0369,1.204995,0.28178328,0.029554427
240.18718,871.6467,637.02203,1326.0869,1.2488842,0.28814423,0.044002473
246.68091,878.5176,640.31836,1327.1597,1.2888376,0.29476374,0.058235407
253.51779,885.40125,643.74097,1328.2559,1.3258066,0.3016129,0.072256446
260.6785,892.3063,647.2813,1329.377,1.360515,0.3086696,0.08606875
268.14374,899.2397,650.93164,1330.5233,1.3935134,0.31591684,0.09967542
275.8962,906.2073,654.68536,1331.6962,1.4252213,0.32334146,0.11307949
283.92178,913.2138,658.5367,1332.8961,1.4559585,0.33093342,0.126284
292.20963,920.26306,662.48035,1334.1239,1.4859684,0.33868486,0.13929194
300.75128,927.35803,666.5118,1335.3802,1.5154371,0.34658962,0.15210623
309.53604,934.50104,670.627,1336.6656,1.5445067,0.354643,0.16472971
318.55804,941.6939,674.82245,1337.9807,1.5732846,0.36284116,0.17716527
327.8082,948.93774,679.0947,1339.3262,1.6018536,0.37118113,0.1894157
337.27536,956.2334,683.441,1340.7024,1.6302757,0.3796605,0.20148373
346.95834,963.58105,687.8585,1342.11,1.6585983,0.38827723,0.21337211
356.8443,970.98096,692.345,1343.5493,1.6868566,0.39702973,0.22508347
366.9323,978.4327,696.89795,1345.021,1.715077,0.40591663,0.23662049
377.22235,985.93567,701.5154,1346.5253,1.7432789,0.41493675,0.24798572
387.71683,993.4894,706.1954,1348.0629,1.7714758,0.42408904,0.25918174
398.41074,1001.0929,710.936,1349.634,1.7996776,0.43337256,0.2702111
409.3004,1008.7453,715.7354,1351.2391,1.8278908,0.44278643,0.28107625
420.38043,1016.4455,720.59216,1352.8784,1.8561192,0.45232978,0.29177964
431.64478,1024.1923,725.5044,1354.5525,1.8843648,0.4620019,0.3023237
443.0992,1031.9841,730.47064,1356.2616,1.9126283,0.47180197,0.31271076
454.74597,1039.8196,735.4894,1358.0061,1.9409089,0.48172927,0.32294315
466.58527,1047.6974,740.5591,1359.7863,1.9692047,0.49178302,0.33302325
478.59262,1055.6161,745.6784,1361.6025,1.9975137,0.5019625,0.34295326
490.7864,1063.5739,750.8459,1363.4551,2.025833,0.5122668,0.35273546
503.16208,1071.5691,756.06024,1365.344,2.054159,0.5226953,0.36237198
515.7227,1079.6001,761.3199,1367.27,2.082488,0.5332471,0.37186503
528.45624,1087.6653,766.62354,1369.233,2.110817,0.54392135,0.38121676
541.3801,1095.763,771.9699,1371.2334,2.1391413,0.55471724,0.39042926
554.4902,1103.8915,777.3576,1373.2712,2.167457,0.5656339,0.3995046
567.78046,1112.0491,782.7852,1375.347,2.1957603,0.57667047,0.40844482
581.2408,1120.2341,788.2516,1377.4607,2.224047,0.587826,0.41725194
594.89014,1128.4448,793.7553,1379.6127,2.252313,0.5990996,0.42592794
608.72284,1136.6793,799.29504,1381.803,2.2805543,0.6104902,0.43447477
622.74066,1144.936,804.86957,1384.032,2.308767,0.62199694,0.44289434
636.9506,1153.2135,810.47754,1386.2996,2.3369472,0.6336188,0.45118856
651.3523,1161.5099,816.1177,1388.6062,2.365091,0.6453547,0.4593593
665.9477,1169.8234,821.7888,1390.9518,2.393195,0.6572037,0.46740842
680.71924,1178.1528,827.4895,1393.3364,2.421255,0.66916466,0.47533768
695.66235,1186.4958,833.2186,1395.7604,2.4492683,0.68123657,0.48314893
