con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.47158,0.0017051001,105.17594,104.996605,27.525026,36.845238,30.018724,0.17933552,39.445236
79.97987,0.0018181846,108.68726,108.489655,28.509777,37.50064,30.748901,0.19761352,40.041527
82.59222,0.0019368625,112.3133,112.095764,29.503544,38.1663,31.539167,0.2175354,40.64941
85.29778,0.0020612488,116.04699,115.807785,30.51,38.838684,32.379314,0.23920171,41.26533
88.09165,0.0021914588,119.88686,119.62413,31.532482,39.516422,33.26678,0.2627271,41.887897
90.97284,0.0023276058,123.834274,123.54603,32.573193,40.199,34.204536,0.28823736,42.516556
93.94051,0.0024698032,127.88384,127.568,33.627483,40.883884,35.18813,0.31584793,43.14874
96.986496,0.0026181638,132.03267,131.687,34.700493,41.569386,36.213165,0.34568316,43.782745
100.110535,0.0027727985,136.28035,135.90248,35.79194,42.254612,37.27739,0.37787795,44.417645
103.311424,0.0029338172,140.62569,140.21312,36.901707,42.938522,38.382446,0.4125701,45.052372
106.58696,0.0031013265,145.06631,144.61641,38.029438,43.619938,39.526596,0.449898,45.68573
109.94071,0.0032754333,149.60364,149.11362,39.1729,44.29848,40.70978,0.49001676,46.3173
113.369835,0.0034562405,154.23499,153.70192,40.332085,44.972958,41.931404,0.5330732,46.945873
116.87029,0.003643849,158.95763,158.3784,41.508118,45.642094,43.18949,0.57921755,47.57015
120.44508,0.0038383561,163.77272,163.14412,42.699028,46.30576,44.48388,0.62861806,48.189976
124.08167,0.004039859,168.67809,167.99664,43.914974,46.96275,45.81068,0.68143564,48.804123
127.789055,0.004248448,173.67435,172.93652,45.14747,47.613106,47.17189,0.7378465,49.41261
131.56676,0.0044642137,178.76205,177.964,46.397243,48.256317,48.567387,0.798032,50.014904
135.40942,0.004687241,183.93854,183.07637,47.666954,48.89158,49.999386,0.8621643,50.610184
139.31825,0.0049176128,189.20471,188.27428,48.95602,49.518555,51.465683,0.93043554,51.198086
143.2926,0.0051554083,194.56049,193.55746,50.264874,50.137077,52.961746,1.0030389,51.778416
147.33691,0.005400701,200.00502,198.92487,51.58794,50.746643,54.490715,1.0801674,52.350662
151.45024,0.0056535606,205.53908,204.37704,52.926792,51.34708,56.05693,1.1620276,52.914627
155.622,0.005914056,211.16191,209.91309,54.291103,51.93805,57.651443,1.2488234,53.46995
159.85382,0.0061822487,216.87517,215.5344,55.680565,52.519516,59.275,1.3407763,54.016586
164.15619,0.0064581963,222.67763,221.23953,57.083347,53.09122,60.93519,1.4380958,54.554256
168.53082,0.006741953,228.57011,227.02913,58.498314,53.65288,62.630978,1.5410091,55.082645
172.95781,0.007033568,234.55185,232.90211,59.944286,54.204372,64.35357,1.6497363,55.60163
177.44801,0.007333087,240.62506,238.86055,61.412537,54.74574,66.10898,1.7645245,56.111225
182.0026,0.007640551,246.79054,244.90494,62.90234,55.27717,67.899414,1.8856156,56.61161
186.62068,0.007955995,253.04927,251.03603,64.41533,55.798557,69.72034,2.0132587,57.102657
191.31023,0.008279451,259.3988,257.25113,65.9409,56.309315,71.57764,2.1476798,57.583755
196.0645,0.008610947,265.83932,263.55017,67.48569,56.8092,73.46829,2.289128,58.05467
200.8846,0.008950505,272.37274,269.93488,69.05026,57.298504,75.39189,2.4378736,58.515656
205.77094,0.00929814,278.99835,276.4042,70.63326,57.777035,77.35367,2.5941658,58.966515
210.7235,0.00965387,285.7161,282.95782,72.23434,58.244514,79.345024,2.758266,59.40694
215.73543,0.010017703,292.52716,289.5967,73.861275,58.7011,81.367584,2.9304502,59.837097
220.81369,0.010389642,299.4314,296.32043,75.50674,59.14674,83.42283,3.1109853,60.256916
225.94525,0.010769687,306.4301,303.12994,77.18469,59.581463,85.50487,3.300156,60.666386
231.15007,0.011157837,313.52554,310.02725,78.87718,60.00562,87.62869,3.4982667,61.065872
236.42596,0.011554076,320.71625,317.01068,80.58471,60.4188,89.79284,3.7055802,61.45495
241.76141,0.011958398,328.00024,324.07788,82.31646,60.820667,91.98633,3.922357,61.833256
247.16069,0.012370781,335.38013,331.23123,84.07056,61.211517,94.21197,4.1489143,62.201088
252.62842,0.012791203,342.85837,338.47278,85.84437,61.59181,96.47248,4.385571,62.558872
258.15207,0.013219643,350.4323,345.79974,87.64766,61.96079,98.76137,4.6325903,62.905865
263.73853,0.013656064,358.10327,353.21295,89.47445,62.318836,101.08581,4.8902807,63.242428
269.3901,0.014100439,365.87653,360.71756,91.327415,62.666706,103.44605,5.1590195,63.56929
275.1054,0.014552726,373.74908,368.31,93.20461,63.003765,105.84101,5.4390683,63.885834
280.89322,0.015012881,381.72107,375.99033,95.09711,63.33013,108.27869,5.730733,64.19215
286.75455,0.01548086,389.79138,383.7571,97.00257,63.645313,110.75291,6.0343065,64.487724
292.68652,0.015956616,397.9607,391.6106,98.92406,63.949635,113.26443,6.3501062,64.77288
298.68646,0.016440095,406.22693,399.54852,100.86206,64.2426,115.81366,6.678409,65.047134
304.74634,0.016931238,414.59116,407.5716,102.82525,64.524506,118.39817,7.0195417,65.310745
310.85672,0.017429989,423.05807,415.68417,104.82744,64.79583,121.006454,7.3738976,65.56419
317.03043,0.017936282,431.62854,423.88672,106.85628,65.05689,123.64928,7.741811,65.80779
323.27264,0.018450052,440.305,432.18137,108.908676,65.307785,126.3295,8.123651,66.04161
329.58234,0.018971227,449.08417,440.5645,110.982155,65.54825,129.04373,8.519678,66.26538
335.96387,0.019499738,457.96298,449.03284,113.06895,65.77767,131.80066,8.930158,66.47851
342.42233,0.020035503,466.94528,457.5898,115.16753,65.99666,134.60837,9.355484,66.68156
348.9505,0.020578451,476.03036,466.23438,117.283875,66.20518,137.4512,9.795967,66.874504
355.53345,0.021128496,485.2178,474.96585,119.43241,66.40299,140.31963,10.251922,67.0571
362.17026,0.021685554,494.5072,483.78357,121.61328,66.59016,143.21858,10.723662,67.22939
368.86197,0.022249542,503.90778,492.69604,123.834076,66.76805,146.15451,11.211718,67.392746
375.63028,0.022820365,513.4133,501.69708,126.0668,66.93571,149.1326,11.716279,67.54619
382.48154,0.02339794,523.0236,510.78592,128.30441,67.093,152.16068,12.237674,67.68961
389.4057,0.023982162,532.7392,519.96295,130.55725,67.24029,155.22942,12.776237,67.82333
396.37537,0.024572948,542.55536,529.2232,132.84782,67.37687,158.31241,13.332185,67.946655
403.4237,0.02517019,552.4762,538.57025,135.14655,67.50332,161.44025,13.9059305,68.06015
410.54395,0.0257738,562.50574,548.00775,137.46384,67.62015,164.61246,14.4979105,68.16433
417.70587,0.026383666,572.6438,557.5354,139.82956,67.727394,167.8082,15.108444,68.25919
424.91986,0.026999684,582.88513,567.1474,142.22754,67.824455,171.03156,15.737715,68.344154
432.21686,0.02762176,593.23755,576.8513,144.63448,67.91229,174.30418,16.386265,68.42018
439.58432,0.02824978,603.69855,586.64417,147.05986,67.99065,177.61356,17.054352,68.486984
446.9988,0.028883636,614.26843,596.5261,149.52731,68.05962,180.95525,17.742308,68.54468
454.4936,0.02952322,624.9469,606.49646,152.00287,68.11908,184.3482,18.450443,68.59311
462.0574,0.030168422,635.73285,616.55383,154.49641,68.169235,187.77686,19.179056,68.632484
469.692,0.030819125,646.63074,626.70215,157.01021,68.21048,191.24515,19.928595,68.66319
477.39246,0.031475224,657.6378,636.9385,159.54602,68.24258,194.75293,20.699297,68.685
485.1616,0.0321366,668.75305,647.2616,162.09998,68.26549,198.30054,21.491447,68.69785
492.98715,0.032803148,679.976,657.67065,164.68349,68.27925,201.87593,22.305355,68.70178
500.87955,0.033474743,691.3103,668.1689,167.28932,68.28419,205.48824,23.141436,68.69711
508.82666,0.034151267,702.7536,678.75366,169.92702,68.28034,209.13576,23.999926,68.683876
516.841,0.03483261,714.3056,689.42444,172.58351,68.26756,212.82745,24.88113,68.66193
524.9333,0.035518657,725.96783,700.18243,175.24913,68.24628,216.56493,25.7854,68.631676
533.09766,0.036209285,737.73865,711.0257,177.92804,68.21624,220.3464,26.71299,68.592865
541.3193,0.03690438,749.6154,721.95123,180.63202,68.177345,224.15466,27.664091,68.54542
549.6199,0.037603818,761.602,732.96277,183.34291,68.1301,228.01154,28.63914,68.48979
557.9655,0.03830523,773.6955,744.05884,186.09334,68.074326,231.90396,29.636581,68.425835
566.3594,0.039008502,785.8926,755.236,188.87671,68.0098,235.82555,30.656492,68.35333
574.8362,0.039713502,798.20447,766.505,191.66881,67.93755,239.79543,31.699493,68.27327
583.35974,0.040420126,810.63055,777.86475,194.50497,67.85778,243.79596,32.76579,68.18586
591.9411,0.041128237,823.1685,789.31305,197.37195,67.77017,247.8353,33.85547,68.09079
600.6059,0.041837726,835.82184,800.85297,200.24706,67.67521,251.9267,34.968884,67.98853
609.34796,0.04254847,848.59125,812.485,203.13702,67.57303,256.0599,36.10626,67.879234
618.14417,0.043260355,861.46716,824.19977,206.05563,67.46297,260.2191,37.267376,67.762215
627.00336,0.043973263,874.452,835.99945,208.99611,67.34519,264.41437,38.452507,67.637634
635.9418,0.04468709,887.5493,847.88727,211.94553,67.220375,268.65628,39.661995,67.506165
644.9251,0.045401722,900.7612,859.8651,214.93999,67.08847,272.9278,40.89611,67.36777
653.9757,0.04611705,914.08875,871.9337,217.95798,66.949684,277.23892,42.15507,67.22262
663.077,0.046832945,927.5244,884.0858,221.00879,66.803795,281.58292,43.4387,67.07053
672.2473,0.04754932,941.07477,896.3274,224.08,66.65117,285.97726,44.747463,66.91184
681.4748,0.048266064,954.7433,908.66156,227.18683,66.49235,290.41406,46.081703,66.74709
690.76953,0.048983064,968.5276,921.0861,230.31667,66.32693,294.89212,47.44145,66.57589
700.11725,0.049700204,982.4241,933.5974,233.4802,66.15512,299.405,48.82668,66.398415
709.547,0.05041742,996.4334,946.19574,236.6487,65.97681,303.96515,50.237602,66.21457
719.04706,0.051134568,1010.55676,958.8824,239.83531,65.79234,308.56946,51.674377,66.024704
728.60065,0.051851574,1024.7944,971.6573,243.05661,65.601814,313.2071,53.137207,65.828896
738.2488,0.052568328,1039.1498,984.52344,246.27464,65.40543,317.90778,54.626366,65.627335
747.944,0.053284746,1053.6117,997.4703,249.52634,65.20273,322.64795,56.14143,65.41959
757.69806,0.05400072,1068.1941,1010.51086,252.8128,64.99457,327.42514,57.68325,65.2065
767.5281,0.05471615,1082.8866,1023.63525,256.1072,64.78065,332.2464,59.251385,64.987755
777.43774,0.055430952,1097.689,1036.8431,259.4053,64.56071,337.115,60.84595,64.76311
787.4145,0.056145035,1112.6013,1050.1343,262.71973,64.33523,342.02454,62.467037,64.533035
797.43823,0.056858297,1127.625,1063.5101,266.0719,64.1042,346.9633,64.11484,64.2975
807.50165,0.057570662,1142.7676,1076.9777,269.4761,63.868263,351.93808,65.78989,64.057175
817.6351,0.05828205,1158.0281,1090.5358,272.90076,63.62747,356.9564,67.49225,63.81208
827.82886,0.058992364,1173.4052,1104.1832,276.35443,63.381714,362.01974,69.22195,63.56213
838.0911,0.059701517,1188.8915,1117.9128,279.8217,63.130733,367.12744,70.97862,63.307045
848.41956,0.060409416,1204.4856,1131.7233,283.3037,62.87468,372.2853,72.76227,63.046978
858.82007,0.061115984,1220.1906,1145.6174,286.79736,62.61383,377.48926,74.57315,62.78221
869.26276,0.061821155,1236.012,1159.6003,290.3376,62.348473,382.72574,76.41168,62.513027
879.77484,0.06252484,1251.9435,1173.6659,293.89105,62.07851,388.00592,78.27757,62.239326
890.3507,0.063226976,1267.9856,1187.8147,297.46393,61.804096,393.32626,80.17089,61.961258
901.00946,0.06392747,1284.1384,1202.0468,301.03732,61.525227,398.70514,82.09171,61.678814
911.73773,0.064626254,1300.402,1216.3619,304.62418,61.242054,404.13754,84.040115,61.39215
922.5092,0.065323256,1316.7778,1230.7617,308.25247,60.954823,409.59006,86.01622,61.101505
933.32544,0.06601839,1333.2639,1245.244,311.9186,60.663612,415.07214,88.019936,60.806953
944.1818,0.066711605,1349.862,1259.8105,315.6287,60.368458,420.59216,90.05146,60.50854
955.1109,0.06740282,1366.5715,1274.4607,319.3497,60.06945,426.14865,92.11076,60.206352
966.0939,0.06809196,1383.3954,1289.1973,323.10345,59.766975,431.74866,94.1981,59.90077
977.10443,0.068778984,1400.3466,1304.0321,326.9277,59.461662,437.38397,96.314415,59.592407
988.2229,0.06946379,1417.4229,1318.9634,330.74042,59.15328,443.08597,98.45956,59.28105
999.42957,0.070146345,1434.6125,1333.9797,334.55014,58.841755,448.8507,100.63282,58.966618
1010.7154,0.070826575,1451.9114,1349.0775,338.36215,58.526806,454.67517,102.833916,58.648838
1022.0731,0.071504414,1469.3124,1364.2501,342.17697,58.20827,460.53146,105.062325,58.327526
1033.4398,0.07217983,1486.8157,1379.4977,346.05777,57.886284,466.3924,107.3181,58.002827
1044.8484,0.072852746,1504.4341,1394.8319,349.98355,57.561672,472.27957,109.60216,57.675564
1056.3335,0.073523104,1522.1737,1410.2588,353.92526,57.23443,478.23392,111.91494,57.34573
1067.8981,0.07419085,1540.0244,1425.7688,357.87067,56.904514,484.2417,114.25572,57.013283
1079.5215,0.07485592,1557.9785,1441.3545,361.83295,56.571606,490.2919,116.62392,56.677906
1091.2283,0.07551829,1576.0393,1457.0195,365.79126,56.235992,496.396,119.01979,56.339874
1103.0188,0.07617788,1594.2062,1472.763,369.74402,55.897823,502.5552,121.443245,55.999344
1114.8588,0.07683466,1612.4799,1488.5854,373.7267,55.55715,508.74472,123.89433,55.65636
1126.7257,0.077488564,1630.8634,1504.4902,377.7645,55.214268,514.97345,126.37327,55.311226
1138.6399,0.07813956,1649.3539,1520.4741,381.83435,54.86909,521.25574,128.87979,54.96384
1150.6183,0.07878761,1667.9427,1536.5297,385.91125,54.521465,527.5838,131.41324,54.614063
1162.5793,0.07943263,1686.6261,1552.6531,390.07364,54.171455,533.91376,133.97314,54.261944
1174.6295,0.08007459,1705.4244,1568.8633,394.23383,53.81963,540.307,136.56119,53.908062
1186.7598,0.08071348,1724.3354,1585.1582,398.39847,53.466328,546.7593,139.17712,53.552753
1198.9174,0.081349246,1743.3584,1601.5374,402.62012,53.111298,553.2383,141.82089,53.19576
1211.1416,0.08198184,1762.4924,1618.0002,406.85855,52.754715,559.765,144.49237,52.837254
1223.4644,0.08261121,1781.7363,1634.5449,411.08054,52.396736,566.3357,147.19139,52.477398
1235.8657,0.08323732,1801.0828,1651.1655,415.2998,52.037228,572.9564,149.91731,52.116055
1248.3464,0.083860144,1820.5297,1667.8599,419.51337,51.676033,579.62994,152.66989,51.75307
1260.9036,0.084479675,1840.0781,1684.6288,423.72528,51.313393,586.3566,155.4492,51.388676
1273.4908,0.08509582,1859.725,1701.47,427.9793,50.949505,593.1078,158.25482,51.023075
1286.1003,0.085708596,1879.4753,1718.388,432.2877,50.584328,599.8721,161.08719,50.656223
1298.7848,0.08631795,1899.3353,1735.3885,436.60373,50.218212,606.7006,163.94672,50.28848
1311.4518,0.08692384,1919.2885,1752.4565,441.00485,49.850906,613.5538,166.83192,49.919575
1324.1028,0.08752626,1939.3522,1769.6079,445.50522,49.482773,620.4191,169.74425,49.549873
1336.9205,0.08812518,1959.5411,1786.8563,449.9358,49.114426,627.39545,172.6849,49.180004
1349.8168,0.08872055,1979.8333,1804.1813,454.36462,48.74532,634.4302,175.65189,48.809406
1362.7771,0.08931237,2000.2205,1821.5759,458.7988,48.37541,641.5152,178.64441,48.438038
1375.7924,0.0899006,2020.6967,1839.0347,463.24243,48.00447,648.6384,181.66183,48.065678
1388.834,0.0904852,2041.2634,1856.5591,467.72513,47.632828,655.7825,184.70413,47.69264
1401.921,0.091066174,2061.9263,1874.1547,472.23364,47.260525,662.95715,187.77176,47.31898
1415.0847,0.091643475,2082.701,1891.8351,476.7505,46.888176,670.1949,190.86597,46.945305
1428.3098,0.09221711,2103.5918,1909.6046,481.29483,46.51584,677.47894,193.98714,46.571667
1441.5533,0.092787035,2124.5752,1927.4424,485.8889,46.14311,684.7807,197.13304,46.197666
1454.806,0.09335324,2145.657,1945.3529,490.54684,45.770145,692.09546,200.30402,45.823463
1468.1598,0.09391571,2166.842,1963.3417,495.18173,45.39717,699.4962,203.50052,45.449276
1481.5697,0.094474435,2188.1345,1981.4117,499.8422,45.024315,706.93134,206.72278,45.075233
1495.0447,0.095029406,2209.5156,1999.5465,504.50174,44.651287,714.4038,209.96896,44.70105
1508.5385,0.09558058,2230.9949,2017.7551,509.2166,44.27834,721.90173,213.23978,44.32697
1522.0981,0.096127965,2252.5708,2036.0359,513.93787,43.905525,729.44965,216.53505,43.95305
1535.7417,0.09667152,2274.241,2054.3867,518.6449,43.53295,737.0569,219.85434,43.579395
1549.357,0.097211264,2296.0051,2072.8079,523.45074,43.160526,744.66254,223.19757,43.205914
1563.0442,0.09774716,2317.869,2091.3037,528.2596,42.788578,752.3239,226.56511,42.832935
1576.8214,0.098279215,2339.829,2109.8726,533.0513,42.41697,760.05585,229.95656,42.46032
1590.6859,0.098807395,2361.886,2128.5142,537.82825,42.04584,767.8512,233.3718,42.0882
1604.6082,0.09933169,2384.033,2147.223,542.6146,41.67522,775.6903,236.81004,41.716618
1618.5768,0.09985214,2406.2668,2165.9958,547.41907,41.304974,783.56476,240.27086,41.34543
1632.6005,0.1003687,2428.585,2184.8308,552.2306,40.935272,791.48254,243.7539,40.97481
1646.6299,0.10088137,2450.9883,2203.7295,557.09955,40.56605,799.43384,247.25905,40.604694
1660.655,0.10139015,2473.492,2222.7043,562.0493,40.197712,807.40106,250.78773,40.23547
1674.7455,0.10189502,2496.1,2241.7598,567.0143,39.830353,815.424,254.34016,39.867256
1688.925,0.10239598,2518.809,2260.893,571.968,39.463974,823.5273,257.9159,39.500034
1703.1594,0.10289302,2541.6057,2280.0923,576.9328,39.098442,831.688,261.51346,39.133682
1717.4586,0.103386134,2564.4763,2299.3447,581.8863,38.733585,839.89185,265.13126,38.768024
1731.8394,0.10387535,2587.4329,2318.6624,586.82306,38.3696,848.1545,268.7705,38.403255
1746.2024,0.10436065,2610.4758,2338.045,591.84247,38.006668,856.409,272.43094,38.039562
1760.6531,0.104842,2633.6116,2357.4985,596.84546,37.644825,864.737,276.1131,37.67697
1775.1415,0.10531945,2656.8333,2377.0173,601.8757,37.28414,873.0981,279.81622,37.31556
1789.6105,0.10579297,2680.1333,2396.594,606.98334,36.924435,881.46655,283.53925,36.955135
1804.1185,0.10626257,2703.5186,2416.2356,612.1172,36.565918,889.86816,287.28284,36.595917
1818.7084,0.106728256,2727.0015,2435.9536,617.24524,36.208817,898.32434,291.04813,36.238136
1833.3887,0.10719,2750.5737,2455.7397,622.3511,35.853058,906.8499,294.83398,35.88171
1848.1364,0.10764784,2774.2344,2475.5942,627.4578,35.49862,915.4291,298.64035,35.526623
1862.9204,0.108101785,2797.976,2495.5098,632.5893,35.145504,924.0427,302.46622,35.172867
1877.77,0.10855181,2821.7917,2515.4812,637.7112,34.79368,932.7059,306.3106,34.820423
1892.6775,0.10899794,2845.6821,2535.5085,642.83124,34.44319,941.4128,310.1735,34.46933
1907.6333,0.109440155,2869.6455,2555.5913,647.9578,34.09403,950.15704,314.05447,34.119568
1922.5748,0.10987851,2893.679,2575.7256,653.15063,33.74626,958.8905,317.95312,33.771217
1937.508,0.11031297,2917.7898,2595.92,658.4117,33.400005,967.629,321.87006,33.4244
1952.5024,0.11074353,2941.9827,2616.1772,663.67474,33.055386,976.4254,325.80557,33.079224
1967.5693,0.11117023,2966.251,2636.4922,668.9227,32.712334,985.2776,329.75882,32.73563
1982.7009,0.11159305,2990.593,2656.8635,674.1628,32.37083,994.1798,333.7294,32.393597
1997.85,0.11201204,3015.0085,2677.2913,679.4413,32.03096,1003.1166,337.71725,32.05321
2013.0746,0.11242717,3039.501,2697.7786,684.7039,31.69283,1012.11163,341.72247,31.71457
2028.1948,0.11283848,3064.068,2718.3232,690.1285,31.356354,1021.0542,345.7448,31.377604
