kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.22368,0.97654665,1.4450136,-0.99388355,-0.015788265,-0.25436708,-0.03534114
233.84259,0.9840584,1.4388546,-0.9879191,-0.01566238,-0.25781327,-0.035441473
239.8805,0.99022925,1.4333229,-0.9824551,-0.0155747,-0.26140574,-0.03552018
246.317,0.9953444,1.4282538,-0.97748804,-0.015457726,-0.26508176,-0.035650957
253.15292,0.99956954,1.4236603,-0.97290415,-0.015352308,-0.2688018,-0.03578125
260.3442,1.0029943,1.4196662,-0.9686708,-0.01529128,-0.27263597,-0.03589034
267.8647,1.0057002,1.4161081,-0.9647906,-0.015219948,-0.27647194,-0.036081553
275.70718,1.0078757,1.4129729,-0.96120715,-0.015178091,-0.28037265,-0.03625702
283.8591,1.0095725,1.4101576,-0.9579344,-0.015111706,-0.28431594,-0.036433958
292.29953,1.010853,1.4077373,-0.9550274,-0.01497697,-0.28830418,-0.03665927
301.03516,1.0117887,1.4056756,-0.9523349,-0.014936826,-0.29236627,-0.036817305
310.04382,1.0123662,1.4038686,-0.94994175,-0.014883599,-0.29653272,-0.036995344
319.3049,1.0126586,1.4023498,-0.9478153,-0.014810718,-0.30074677,-0.037206765
328.82233,1.0127459,1.401111,-0.94591606,-0.014735765,-0.3050537,-0.037389025
338.57877,1.0126154,1.4000754,-0.9441805,-0.014657102,-0.30943593,-0.03762803
348.57596,1.0124398,1.399334,-0.9427223,-0.014685876,-0.3138168,-0.037839957
358.8142,1.0121245,1.3987782,-0.94137985,-0.014690614,-0.31820747,-0.0380854
369.2732,1.0116917,1.3984026,-0.9402051,-0.01463922,-0.32256564,-0.03836239
379.9562,1.0112154,1.3983331,-0.9392031,-0.014623358,-0.32706293,-0.038658857
390.8602,1.0106915,1.3984673,-0.9383504,-0.014618724,-0.33166343,-0.03894724
401.97653,1.0101354,1.3986877,-0.9376328,-0.014616883,-0.33626118,-0.039206766
413.30734,1.0095109,1.3990066,-0.9370761,-0.014626346,-0.3408939,-0.039435662
424.8456,1.0088379,1.3995379,-0.93666923,-0.014566666,-0.3456188,-0.039698232
436.5999,1.0082246,1.4001901,-0.93641484,-0.014543823,-0.35038677,-0.04003478
448.55844,1.007655,1.4009494,-0.9362031,-0.014563597,-0.35520136,-0.040330544
460.72452,1.0070382,1.40186,-0.93610156,-0.014567143,-0.36004385,-0.040612645
473.09024,1.0063668,1.4028618,-0.9361661,-0.014570742,-0.36491263,-0.040892966
485.6682,1.005817,1.4039984,-0.9362633,-0.014561786,-0.36979905,-0.04114069
498.46127,1.0052952,1.4052528,-0.9365133,-0.014548122,-0.37475866,-0.041466385
511.47293,1.0047928,1.4066564,-0.9368896,-0.014581597,-0.37971348,-0.041792348
524.684,1.0043194,1.4081088,-0.93728304,-0.014625206,-0.38472027,-0.042082965
538.09357,1.0038165,1.4096427,-0.9377755,-0.014601349,-0.3897681,-0.042400144
