foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
6.032e-05,6.533e-05,2.980e-06,1.669e-05,7.391e-06,9.438e-06,3.129e-07
1.442e-05,7.272e-05,2.638e-05,4.315e-05,1.812e-05,1.288e-05,2.099e-05
9.537e-06,1.695e-04,8.285e-06,1.395e-05,3.362e-05,3.887e-06,4.195e-06
6.974e-05,8.655e-05,9.567e-05,7.474e-05,4.387e-05,2.233e-05,3.668e-05
2.980e-05,6.914e-06,2.450e-05,1.180e-05,5.066e-05,3.774e-05,3.453e-05
7.391e-06,8.249e-05,2.444e-06,1.800e-05,5.364e-07,5.685e-06,1.680e-05
1.860e-05,6.199e-05,4.616e-05,1.132e-05,1.550e-06,1.967e-05,7.227e-07
2.599e-05,7.582e-05,3.138e-05,1.192e-06,1.746e-05,6.150e-06,1.229e-05
3.195e-05,7.153e-05,6.413e-05,1.121e-05,5.174e-05,2.931e-05,5.436e-05
4.208e-05,2.384e-06,1.997e-05,1.860e-05,5.120e-05,2.943e-07,2.422e-05
1.442e-05,2.623e-06,2.199e-05,2.384e-07,1.860e-05,2.112e-05,3.073e-05
3.576e-06,7.463e-05,4.563e-05,2.480e-05,1.943e-05,1.403e-05,3.595e-05
2.086e-05,2.360e-05,1.827e-05,5.162e-05,8.404e-06,6.983e-06,3.471e-05
7.129e-05,8.845e-05,1.419e-05,1.526e-05,7.391e-06,1.170e-05,9.060e-06
2.527e-05,2.551e-05,8.881e-05,3.028e-05,7.391e-06,1.388e-05,4.999e-06
7.153e-06,1.168e-05,4.566e-05,5.674e-05,5.144e-05,2.329e-05,1.490e-05
1.907e-06,4.697e-05,3.162e-05,3.171e-05,4.053e-05,2.235e-05,3.301e-06
5.841e-06,3.433e-05,1.985e-05,3.374e-05,1.734e-05,1.541e-05,7.227e-07
1.895e-05,4.458e-05,6.944e-05,1.740e-05,1.806e-05,1.834e-05,2.835e-06
6.795e-06,1.121e-05,3.368e-06,7.153e-07,1.657e-05,1.207e-05,2.203e-05
2.384e-05,6.175e-05,1.049e-05,1.669e-06,3.070e-05,8.515e-06,5.529e-05
1.097e-05,1.359e-05,2.643e-05,6.795e-06,3.475e-05,1.703e-05,4.428e-05
9.644e-05,2.837e-05,2.715e-05,3.302e-05,4.905e-05,1.354e-05,8.851e-06
2.754e-05,7.725e-05,1.568e-05,1.228e-05,3.439e-05,2.396e-05,4.625e-05
5.722e-06,3.815e-06,1.174e-05,1.788e-06,9.120e-06,1.951e-05,6.068e-06
8.762e-05,2.694e-05,4.905e-05,3.338e-06,5.245e-06,3.832e-05,6.136e-06
3.421e-05,1.178e-04,4.143e-06,7.868e-06,3.648e-05,1.155e-05,2.848e-05
2.909e-05,1.025e-04,1.943e-05,2.837e-05,8.988e-05,1.077e-05,2.532e-05
2.325e-05,6.938e-05,4.590e-06,8.905e-05,2.301e-05,2.894e-05,3.427e-07
2.444e-05,8.225e-05,7.510e-06,7.534e-05,1.466e-05,3.896e-05,2.852e-05
9.775e-06,1.371e-04,4.178e-05,5.424e-05,6.539e-05,4.900e-05,1.989e-05
1.907e-05,1.698e-04,2.635e-05,8.523e-05,7.749e-07,2.035e-05,7.320e-06
1.215e-04,1.495e-04,1.204e-05,8.821e-06,5.335e-05,2.907e-05,4.881e-05
1.168e-04,1.061e-04,2.337e-05,3.135e-05,1.371e-06,1.704e-05,4.092e-05
7.737e-05,1.318e-04,1.037e-05,7.868e-06,1.425e-05,9.477e-06,5.395e-05
1.352e-04,1.853e-04,3.639e-05,4.888e-05,5.668e-05,7.993e-06,2.992e-05
8.607e-05,1.893e-04,2.033e-05,3.147e-05,3.654e-05,3.476e-05,2.647e-05
5.007e-05,1.698e-04,5.475e-05,4.649e-05,4.649e-06,8.025e-05,1.723e-05
1.228e-05,1.621e-04,5.585e-05,5.090e-05,5.692e-05,6.704e-06,2.775e-05
4.411e-06,1.776e-04,1.371e-05,3.803e-05,9.394e-05,2.515e-05,4.539e-05
5.603e-06,2.394e-04,1.138e-05,3.481e-05,3.111e-05,1.556e-05,1.330e-05
9.739e-05,2.785e-04,1.127e-05,9.418e-06,5.209e-05,2.394e-05,3.665e-05
3.541e-05,2.391e-04,4.888e-06,2.408e-05,7.391e-06,2.119e-05,7.153e-06
5.496e-05,2.251e-04,1.809e-05,6.557e-06,4.113e-05,1.479e-05,2.316e-05
4.900e-05,2.825e-04,7.015e-05,2.372e-05,2.724e-05,1.012e-05,5.510e-06
2.801e-05,2.890e-04,2.384e-07,3.827e-05,7.153e-06,1.237e-05,1.813e-05
4.709e-05,2.608e-04,3.055e-05,2.706e-05,5.466e-05,1.011e-05,2.919e-05
3.731e-05,3.045e-04,8.264e-05,1.824e-05,1.520e-05,1.159e-05,1.078e-05
8.285e-05,3.257e-04,1.228e-05,2.146e-05,6.557e-06,6.991e-06,1.667e-05
6.592e-05,2.937e-04,8.762e-05,7.331e-05,1.740e-05,3.265e-05,2.296e-05
9.477e-05,2.990e-04,2.116e-05,8.345e-06,4.345e-05,3.590e-06,1.729e-06
9.763e-05,3.254e-04,3.719e-05,1.717e-05,0.000e+00,2.760e-05,3.985e-05
1.137e-04,3.476e-04,2.503e-06,1.836e-05,1.830e-05,1.719e-05,1.512e-06
7.999e-05,3.049e-04,1.967e-06,5.674e-05,1.287e-05,3.334e-05,3.303e-05
4.971e-05,2.923e-04,1.627e-05,1.276e-05,3.511e-05,1.997e-05,3.907e-05
5.484e-05,3.195e-04,1.848e-06,5.960e-07,1.240e-05,4.179e-05,7.515e-05
5.126e-05,3.126e-04,2.074e-05,1.776e-05,6.706e-05,4.331e-06,3.562e-05
6.843e-05,3.629e-04,5.662e-05,4.435e-05,7.105e-05,1.590e-05,2.205e-05
1.190e-04,3.877e-04,3.201e-05,7.319e-05,2.998e-05,1.342e-05,5.625e-07
6.080e-05,3.800e-04,2.265e-05,6.330e-05,4.649e-06,7.490e-06,2.721e-05
