,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.387e-04,5.214e-04,3.734e-05,2.292e-05,2.229e-05,1.838e-05,1.731e-05
std,5.701e-05,1.617e-04,2.390e-05,1.918e-05,1.963e-05,1.398e-05,1.391e-05
min,8.345e-07,2.384e-06,2.384e-07,0.000e+00,0.000e+00,6.333e-08,2.980e-08
0.1%,8.345e-07,2.384e-06,2.384e-07,0.000e+00,0.000e+00,6.333e-08,2.980e-08
25%,1.031e-04,4.823e-04,1.826e-05,7.629e-06,6.914e-06,8.484e-06,6.048e-06
50%,1.500e-04,5.779e-04,3.585e-05,1.812e-05,1.717e-05,1.488e-05,1.378e-05
75%,1.790e-04,6.305e-04,5.400e-05,3.365e-05,3.284e-05,2.629e-05,2.565e-05
99.9%,2.615e-04,7.343e-04,1.087e-04,1.113e-04,1.007e-04,8.025e-05,7.515e-05
max,2.615e-04,7.343e-04,1.087e-04,1.113e-04,1.007e-04,8.025e-05,7.515e-05
