kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,0.0
228.34729,859.36774,462.25787,1740.1342,0.8777341,0.011016,0.014888048
234.11188,867.7816,464.62488,1740.2715,0.90592736,0.01534959,0.029554427
240.27586,876.24695,467.0978,1740.412,0.9345639,0.01980248,0.044002473
246.80052,884.76825,469.67355,1740.556,0.9636286,0.024376286,0.058235407
253.65665,893.34924,472.34927,1740.7036,0.99310756,0.029072547,0.072256446
260.84506,901.99304,475.12238,1740.8547,1.0229877,0.03389272,0.08606875
268.33618,910.7024,477.99033,1741.0099,1.0532564,0.038838197,0.09967542
276.11884,919.4794,480.95093,1741.169,1.0839018,0.043910287,0.11307949
284.1779,928.3257,484.00204,1741.332,1.1149127,0.049110245,0.126284
292.49417,937.2426,487.14163,1741.4994,1.1462781,0.054439254,0.13929194
301.06516,946.2309,490.3678,1741.6711,1.1779877,0.05989845,0.15210623
309.88678,955.29114,493.67877,1741.8473,1.210031,0.0654889,0.16472971
318.9361,964.4238,497.07278,1742.0281,1.2423981,0.071211606,0.17716527
328.19983,973.6289,500.54825,1742.2136,1.2750795,0.07706754,0.1894157
337.69485,982.9059,504.1036,1742.4038,1.3080658,0.0830576,0.20148373
347.4068,992.2546,507.73734,1742.599,1.3413475,0.08918264,0.21337211
357.32184,1001.67444,511.4479,1742.7993,1.3749154,0.095443465,0.22508347
367.4422,1011.16455,515.234,1743.0045,1.4087605,0.101840824,0.23662049
377.76,1020.7242,519.09424,1743.2152,1.4428743,0.10837542,0.24798572
388.27975,1030.3522,523.02716,1743.4312,1.4772477,0.115047924,0.25918174
398.985,1040.0474,527.0316,1743.6525,1.511872,0.121858925,0.2702111
409.88937,1049.8087,531.1062,1743.8793,1.5467389,0.12880899,0.28107625
420.97882,1059.6349,535.24963,1744.1119,1.5818394,0.13589863,0.29177964
432.25638,1069.5244,539.46075,1744.3502,1.6171654,0.14312834,0.3023237
443.73254,1079.4757,543.73834,1744.5942,1.6527086,0.15049852,0.31271076
455.3897,1089.4878,548.08124,1744.8444,1.6884605,0.15800957,0.32294315
