con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.25112,0.0017051001,105.17594,104.996605,27.745485,36.845238,18.1345,0.17933552,39.445236
79.769135,0.0017812342,108.69786,108.50425,28.735117,37.5043,18.564236,0.19361635,40.04518
82.388374,0.0018610883,112.3356,112.12653,29.73816,38.173878,19.026838,0.2090665,40.65699
85.105415,0.0019447055,116.08289,115.85714,30.751717,38.850697,19.5201,0.22574703,41.277344
87.903885,0.002032129,119.93665,119.692924,31.789043,39.53284,20.039606,0.24372678,41.904312
90.78628,0.0021234048,123.896164,123.63307,32.846794,40.219086,20.589962,0.26308173,42.536636
93.7611,0.0022185787,127.9615,127.6776,33.916496,40.908707,21.167627,0.28389266,43.17356
96.81837,0.0023176977,132.12842,131.82217,35.003807,41.59953,21.76764,0.30623373,43.81289
99.95527,0.002420809,136.3933,136.06313,36.10785,42.289635,22.396551,0.3301821,44.452667
103.175606,0.002527958,140.75699,140.40115,37.225544,42.97861,23.051884,0.35582775,45.09246
106.47082,0.0026391922,145.21945,144.8362,38.365383,43.665993,23.726538,0.38326204,45.73178
109.84057,0.0027545549,149.77808,149.36551,39.524933,44.350132,24.422329,0.41257194,46.368946
113.28925,0.0028740917,154.43042,153.98659,40.69733,45.02995,25.143835,0.44384724,47.002865
116.81116,0.0029978438,159.17566,158.69849,41.887314,45.7047,25.88576,0.47718376,47.632755
120.40515,0.0031258517,164.01292,163.50024,43.095093,46.373676,26.645468,0.51268005,48.257893
124.07081,0.003258156,168.94106,168.39061,44.319798,47.035965,27.4232,0.55043626,48.87734
127.800255,0.0033947916,173.95825,173.36772,45.567455,47.690937,28.220602,0.59055203,49.490444
131.59477,0.0035357943,179.06667,178.43352,46.838753,48.338547,29.036646,0.6331429,50.09713
135.45752,0.003681196,184.26837,183.59004,48.132523,48.97925,29.87143,0.6783279,50.697857
139.38654,0.003831026,189.55858,188.83237,49.445816,49.611168,30.72315,0.7262038,51.2907
143.38274,0.003985312,194.93803,194.16115,50.778416,50.234375,31.593891,0.7768889,51.875713
147.45158,0.004144078,200.40855,199.57805,52.126457,50.84903,32.483685,0.83050865,52.45305
151.58632,0.0043073464,205.96968,205.08249,53.496174,51.454655,33.390297,0.8871828,53.0222
155.78148,0.0044751354,211.62129,210.67427,54.892773,52.051044,34.317554,0.94703394,53.582947
160.04738,0.0046474608,217.36377,216.35359,56.30621,52.63783,35.262375,1.0101895,54.134903
164.3884,0.004824336,223.19781,222.12102,57.732628,53.215244,36.22863,1.0767813,54.678276
