kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.7313,0.9832525,0.8978658,-0.6110358,-0.009476658,-0.16413811,-0.021496935
234.79327,0.98869705,0.89328426,-0.6069034,-0.009397019,-0.16605656,-0.021546265
241.21962,0.99313986,0.8889901,-0.6030344,-0.0093179345,-0.16809149,-0.021607226
247.97415,0.9967672,0.8849703,-0.59940624,-0.00926571,-0.17018472,-0.021626273
255.05632,0.9997058,0.88128805,-0.5960291,-0.009191763,-0.17233257,-0.021746969
262.45923,1.0019554,0.87794274,-0.59289676,-0.009095307,-0.17447923,-0.021795118
270.14618,1.0036861,0.8748825,-0.58999217,-0.009043038,-0.17664255,-0.021810042
278.11996,1.0049936,0.8721354,-0.58726096,-0.008996822,-0.17884783,-0.021920605
286.3557,1.0059128,0.86955833,-0.5846938,-0.008975364,-0.18107094,-0.022037877
294.84262,1.0064194,0.86726475,-0.58236694,-0.008910067,-0.18340689,-0.022134209
303.58,1.0066985,0.86510956,-0.5801655,-0.008845996,-0.18578698,-0.022254584
312.57034,1.0068144,0.86310893,-0.57809794,-0.008796018,-0.18818371,-0.02238247
321.79657,1.00668,0.8612951,-0.5762086,-0.008785833,-0.19060624,-0.022455031
331.24146,1.0063837,0.85974056,-0.5744386,-0.0087810345,-0.19307472,-0.022537993
340.90726,1.0059586,0.85827607,-0.57278794,-0.008786466,-0.19555409,-0.022614231
350.8028,1.00544,0.8570214,-0.5713174,-0.00869729,-0.19805856,-0.022712713
360.9113,1.0047619,0.85581946,-0.5699304,-0.008648265,-0.20058967,-0.022850344
371.21893,1.0040262,0.8547055,-0.5686456,-0.0086281,-0.20319152,-0.022966655
381.72617,1.0032833,0.8537082,-0.56745434,-0.008637164,-0.20576912,-0.023124592
392.43933,1.0024753,0.8528782,-0.5663724,-0.008672919,-0.20833312,-0.023302903
403.35208,1.0016596,0.85212094,-0.56533414,-0.008670513,-0.21098913,-0.023455238
414.47565,1.0008417,0.8515107,-0.5644026,-0.00861406,-0.21370542,-0.023554487
425.79633,1.0000194,0.8509779,-0.5635381,-0.008603964,-0.21641427,-0.023702567
