foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
3.952e-04,1.835e-03,4.447e-05,2.077e-04,1.557e-04,8.326e-07,2.052e-05
4.133e-04,2.023e-03,1.967e-05,1.043e-04,1.112e-04,4.177e-06,2.290e-05
3.699e-04,1.888e-03,2.688e-05,2.217e-05,6.628e-05,1.742e-05,2.685e-05
3.083e-04,1.586e-03,3.262e-05,3.207e-05,5.299e-05,8.927e-06,6.602e-05
3.538e-04,1.507e-03,1.438e-05,6.044e-05,5.382e-05,3.553e-05,1.364e-05
3.227e-04,1.595e-03,4.043e-05,5.716e-05,5.496e-05,4.478e-06,5.283e-05
2.720e-04,1.437e-03,3.897e-05,1.007e-04,2.134e-05,6.611e-06,3.577e-05
2.600e-04,1.443e-03,5.884e-05,1.961e-05,8.225e-06,2.736e-05,3.571e-05
3.346e-04,1.315e-03,1.353e-05,7.766e-05,5.072e-05,1.959e-05,8.950e-06
2.710e-04,1.261e-03,1.864e-05,9.000e-06,6.318e-06,2.120e-05,2.710e-05
1.895e-04,1.261e-03,8.941e-07,2.974e-05,1.836e-05,9.974e-06,2.902e-05
2.431e-04,1.317e-03,9.999e-06,2.307e-05,9.954e-06,2.663e-05,3.052e-05
2.422e-04,1.316e-03,1.669e-06,6.592e-05,6.676e-06,2.894e-05,2.410e-05
2.352e-04,1.224e-03,1.942e-05,2.682e-06,1.651e-05,3.612e-05,3.441e-05
2.180e-04,1.204e-03,2.466e-05,5.764e-05,4.154e-05,5.992e-05,1.590e-05
2.953e-04,1.291e-03,2.721e-05,2.748e-05,8.881e-06,2.163e-05,1.913e-05
2.867e-04,1.321e-03,1.328e-05,6.205e-05,4.768e-07,5.187e-06,5.590e-06
2.396e-04,1.269e-03,3.698e-05,6.509e-05,9.716e-06,3.184e-05,3.188e-05
2.648e-04,1.220e-03,7.357e-05,1.550e-05,3.219e-06,5.569e-05,4.788e-05
2.437e-04,1.262e-03,6.944e-06,4.619e-05,4.280e-05,1.546e-05,1.834e-05
2.270e-04,1.261e-03,2.694e-05,6.318e-06,2.015e-05,3.957e-05,3.676e-05
2.238e-04,1.341e-03,3.934e-06,7.510e-06,3.207e-05,5.009e-06,9.103e-06
2.599e-04,1.327e-03,1.152e-05,1.407e-05,1.258e-05,3.965e-05,1.661e-05
3.622e-04,1.251e-03,1.493e-05,1.305e-05,2.754e-05,4.550e-06,3.666e-05
3.017e-04,1.256e-03,6.846e-05,1.711e-05,4.256e-05,2.969e-05,4.668e-05
1.986e-04,1.308e-03,1.615e-05,2.581e-05,3.606e-05,1.859e-05,6.787e-06
2.129e-04,1.344e-03,9.969e-06,3.135e-05,5.257e-05,6.675e-06,2.207e-05
2.055e-04,1.318e-03,8.613e-06,2.199e-05,6.020e-06,1.926e-05,2.726e-05
2.514e-04,1.286e-03,3.934e-05,2.348e-05,1.836e-05,2.055e-05,1.246e-05
2.822e-04,1.319e-03,6.710e-05,2.766e-05,1.955e-05,5.295e-06,5.167e-05
2.770e-04,1.384e-03,2.007e-05,7.749e-07,4.250e-05,1.414e-05,2.785e-05
2.989e-04,1.327e-03,4.202e-06,3.684e-05,7.623e-05,1.477e-05,1.043e-05
3.034e-04,1.340e-03,2.068e-05,1.478e-05,4.131e-05,1.425e-05,1.320e-05
2.754e-04,1.416e-03,5.081e-06,2.068e-05,3.469e-05,5.495e-05,1.447e-05
2.153e-04,1.372e-03,1.132e-04,3.695e-05,3.040e-06,2.739e-05,2.833e-05
2.567e-04,1.425e-03,2.953e-05,9.000e-06,2.730e-05,1.174e-05,2.142e-05
