,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,3.600e-04,3.095e-03,1.364e-04,1.782e-05,2.115e-05,1.501e-05,1.328e-05
std,5.970e-05,1.088e-03,6.894e-05,1.757e-05,1.791e-05,1.343e-05,1.155e-05
min,1.681e-04,1.204e-03,5.364e-07,0.000e+00,5.960e-08,9.313e-09,7.451e-08
0.1%,1.681e-04,1.204e-03,5.364e-07,0.000e+00,5.960e-08,9.313e-09,7.451e-08
25%,3.233e-04,2.022e-03,7.796e-05,7.212e-06,8.106e-06,5.055e-06,5.127e-06
50%,3.787e-04,3.299e-03,1.499e-04,1.314e-05,1.633e-05,1.233e-05,1.054e-05
75%,4.032e-04,4.245e-03,1.978e-04,2.427e-05,2.854e-05,2.120e-05,1.695e-05
99.9%,4.580e-04,4.422e-03,2.484e-04,2.077e-04,1.557e-04,1.022e-04,6.602e-05
max,4.580e-04,4.422e-03,2.484e-04,2.077e-04,1.557e-04,1.022e-04,6.602e-05
