kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,0.0
228.64961,859.36774,462.25787,1740.1342,0.86876935,0.011016,0.014888048
234.71326,867.7857,464.62488,1740.2715,0.8880297,0.015304767,0.029554427
241.14113,876.25885,467.0979,1740.412,0.90775955,0.019668391,0.044002473
247.89711,884.79126,469.67392,1740.556,0.9279387,0.024108846,0.058235407
254.98047,893.38605,472.35022,1740.7036,0.9485482,0.028627995,0.072256446
262.3844,902.0461,475.12415,1740.8547,0.96957016,0.033227596,0.08606875
270.0723,910.7738,477.99332,1741.0099,0.9909876,0.03790931,0.09967542
278.04715,919.57104,480.9555,1741.169,1.0127845,0.0426747,0.11307949
286.28342,928.43933,484.0086,1741.332,1.0349455,0.04752525,0.126284
294.77118,937.3795,487.15063,1741.4994,1.057456,0.05246235,0.13929194
303.50912,946.3924,490.37976,1741.6711,1.080302,0.057487316,0.15210623
312.49997,955.47845,493.69412,1741.8473,1.1034698,0.06260139,0.16472971
321.7266,964.63794,497.09204,1742.0281,1.1269468,0.06780573,0.17716527
331.1721,973.87085,500.5719,1742.2136,1.1507201,0.07310143,0.1894157
340.83823,983.1769,504.13208,1742.4039,1.1747777,0.07848953,0.20148373
350.73413,992.5554,507.77115,1742.5992,1.1991078,0.08397097,0.21337211
360.84283,1002.00616,511.4876,1742.7996,1.2236989,0.08954666,0.22508347
371.15094,1011.52826,515.28,1743.0049,1.2485399,0.095217414,0.23662049
381.65848,1021.12067,519.1471,1743.2156,1.2736199,0.10098403,0.24798572
392.37183,1030.7823,523.08746,1743.4315,1.2989284,0.10684721,0.25918174
403.28473,1040.5121,527.09973,1743.6531,1.324455,0.11280762,0.2702111
414.4086,1050.3088,531.1826,1743.88,1.3501897,0.118865855,0.28107625
425.72946,1060.1714,535.335,1744.1127,1.3761226,0.12502247,0.29177964
437.2327,1070.0983,539.55554,1744.3512,1.4022439,0.13127798,0.3023237
448.9183,1080.088,543.843,1744.5955,1.4285442,0.1376328,0.31271076
460.7979,1090.139,548.19635,1744.8456,1.4550142,0.14408736,0.32294315
472.8797,1100.2496,552.6142,1745.1018,1.4816449,0.150642,0.33302325
485.15182,1110.4187,557.0954,1745.3641,1.5084273,0.15729702,0.34295326
497.614,1120.6442,561.63885,1745.6328,1.5353527,0.16405267,0.35273546
510.27194,1130.9247,566.2433,1745.9076,1.5624126,0.17090917,0.36237198
523.12823,1141.2584,570.9076,1746.1887,1.5895985,0.17786668,0.37186503
536.1618,1151.644,575.63055,1746.4764,1.6169024,0.18492535,0.38121676
549.38226,1162.0795,580.41113,1746.7705,1.644316,0.19208522,0.39042926
562.8007,1172.563,585.24817,1747.0712,1.6718314,0.19934638,0.3995046
576.3988,1183.0928,590.1405,1747.3785,1.699441,0.20670882,0.40844482
590.20325,1193.6671,595.08704,1747.6929,1.7271371,0.21417248,0.41725194
604.2169,1204.2844,600.0866,1748.0138,1.7549125,0.22173731,0.42592794
618.4075,1214.943,605.1381,1748.3417,1.7827598,0.22940318,0.43447477
632.78595,1225.641,610.2405,1748.6766,1.8106718,0.23716997,0.44289434
647.34924,1236.3765,615.3925,1749.0187,1.8386416,0.24503748,0.45118856
662.101,1247.1476,620.5931,1749.3677,1.8666626,0.2530055,0.4593593
677.045,1257.9525,625.8411,1749.7239,1.894728,0.2610738,0.46740842
692.1991,1268.7897,631.13556,1750.0874,1.922831,0.26924208,0.47533768
707.54205,1279.6571,636.4753,1750.4581,1.9509658,0.27751005,0.48314893
723.0832,1290.5532,641.8591,1750.8363,1.9791257,0.28587735,0.49084383
738.8149,1301.4761,647.2858,1751.2218,2.007305,0.2943436,0.49842417
754.7508,1312.4242,652.7546,1751.6149,2.0354972,0.3029084,0.5058917
770.9112,1323.3956,658.2642,1752.0155,2.0636969,0.31157133,0.513248
787.27527,1334.3888,663.81354,1752.4237,2.0918987,0.32033196,0.5204948
803.82904,1345.4021,669.40155,1752.8397,2.120097,0.32918978,0.5276337
820.5774,1356.4337,675.0271,1753.2632,2.1482859,0.3381443,0.53466636
837.5465,1367.4819,680.6891,1753.6946,2.176461,0.34719503,0.54159427
854.70874,1378.5452,686.38654,1754.1335,2.2046168,0.35634136,0.54841906
872.0616,1389.6215,692.11835,1754.5804,2.232748,0.36558273,0.5551423
889.61176,1400.7092,697.88336,1755.0353,2.2608502,0.37491855,0.5617654
907.36835,1411.8068,703.6806,1755.498,2.2889187,0.3843482,0.5682899
925.3324,1422.9125,709.5089,1755.9688,2.316949,0.39387107,0.5747172
943.50146,1434.0247,715.36725,1756.4476,2.3449364,0.40348643,0.58104885
961.8802,1445.1418,721.25464,1756.9346,2.3728766,0.41319367,0.58728623
980.46204,1456.2622,727.1699,1757.4293,2.400766,0.4229921,0.59343076
999.2585,1467.3843,733.1122,1757.9324,2.4285998,0.432881,0.59948385
1018.2643,1478.5066,739.08014,1758.4437,2.4563746,0.4428596,0.60544676
1037.4629,1489.6273,745.0729,1758.9633,2.4840865,0.45292717,0.6113209
1056.8802,1500.7451,751.0894,1759.4908,2.5117314,0.463083,0.6171076
1076.4823,1511.8584,757.12866,1760.0269,2.5393062,0.47332627,0.62280816
1096.3075,1522.9655,763.1896,1760.5712,2.566807,0.48365617,0.6284238
1116.3269,1534.0651,769.2711,1761.1238,2.5942307,0.49407193,0.63395584
1136.5842,1545.1554,775.3723,1761.6847,2.6215737,0.50457275,0.6394055
1157.0524,1556.2354,781.4922,1762.254,2.648833,0.51515776,0.6447741
1177.7318,1567.3035,787.6296,1762.8317,2.6760058,0.5258261,0.65006274
1198.6301,1578.358,793.7837,1763.4178,2.703089,0.53657705,0.65527266
1219.7563,1589.3981,799.95337,1764.0125,2.73008,0.54740965,0.66040504
1241.0929,1600.4219,806.1377,1764.6155,2.7569754,0.558323,0.665461
1262.6483,1611.4283,812.3357,1765.227,2.7837732,0.5693163,0.6704416
1284.4062,1622.416,818.5463,1765.847,2.8104706,0.5803886,0.6753481
1306.3708,1633.3834,824.7688,1766.4757,2.8370652,0.591539,0.6801815
1328.5383,1644.3293,831.002,1767.1128,2.8635547,0.60276663,0.68494296
1350.9263,1655.2523,837.245,1767.7583,2.889937,0.61407053,0.6896336
1373.5621,1666.1511,843.49695,1768.4125,2.9162095,0.62544984,0.6942544
1396.3973,1677.0248,849.7568,1769.0752,2.9423702,0.63690364,0.6988064
1419.4491,1687.8716,856.0236,1769.7466,2.9684172,0.648431,0.70329064
1442.7139,1698.6908,862.2965,1770.4264,2.9943488,0.66003096,0.7077081
1466.2284,1709.4808,868.57465,1771.1149,3.0201626,0.67170256,0.71205986
1489.9617,1720.2408,874.857,1771.812,3.045857,0.6834449,0.71634674
1513.9146,1730.9696,881.14276,1772.5176,3.0714307,0.695257,0.72056985
1538.088,1741.6659,887.43097,1773.2317,3.0968819,0.7071379,0.7247301
1562.4839,1752.3286,893.7208,1773.9545,3.1220908,0.7190866,0.7288283
1587.1149,1762.9568,900.0115,1774.686,3.1470602,0.73110163,0.7328656
1611.9591,1773.5491,906.30206,1775.426,3.1717927,0.74318147,0.7368427
1637.0283,1784.1047,912.59155,1776.1747,3.1962914,0.7553245,0.74076056
1662.3069,1794.6224,918.87933,1776.9319,3.2205584,0.7675293,0.7446202
1687.8076,1805.1013,925.1645,1777.6975,3.2445962,0.77979445,0.7484224
1713.4812,1815.5402,931.4461,1778.4718,3.2684076,0.79211843,0.75216794
1739.3829,1825.9381,937.7235,1779.2548,3.2919946,0.80449986,0.7558577
1765.5146,1836.294,943.99585,1780.0464,3.3153596,0.8169373,0.7594925
1791.8976,1846.6068,950.2623,1780.8463,3.3385053,0.8294294,0.76307327
1818.5151,1856.8761,956.52203,1781.6549,3.361433,0.84197474,0.76660067
1845.3634,1867.1008,962.77435,1782.472,3.3841455,0.854572,0.77007556
1872.4441,1877.2799,969.0184,1783.2976,3.4066446,0.86721987,0.7734987
1899.7594,1887.4127,975.25354,1784.1317,3.4289322,0.87991697,0.7768709
1927.3105,1897.4983,981.47894,1784.9744,3.4510107,0.89266205,0.78019285
1955.0977,1907.5358,987.6939,1785.8254,3.4728818,0.9054538,0.7834654
1983.101,1917.5245,993.89764,1786.6849,3.494547,0.9182909,0.78668916
2011.3292,1927.4637,1000.08954,1787.5529,3.5160086,0.9311722,0.78986496
2039.7869,1937.3525,1006.26886,1788.4292,3.5372682,0.9440964,0.7929935
2068.4775,1947.1904,1012.4348,1789.314,3.558328,0.9570623,0.79607546
2097.399,1956.9763,1018.58685,1790.207,3.579189,0.97006863,0.79911155
2126.5532,1966.7097,1024.7241,1791.1085,3.5998535,0.98311424,0.80210245
2155.93,1976.3899,1030.8462,1792.0182,3.6203232,0.99619794,0.8050488
2185.5542,1986.016,1036.9524,1792.9362,3.6405993,1.0093186,0.8079513
2215.4238,1995.5876,1043.0419,1793.8625,3.6606836,1.022475,0.81081057
2245.4885,2005.1042,1049.114,1794.7972,3.6805778,1.035666,0.81362724
2275.7495,2014.565,1055.1683,1795.7401,3.700283,1.0488906,0.81640196
2306.2139,2023.9691,1061.2042,1796.6912,3.7198014,1.0621475,0.8191354
2336.887,2033.3162,1067.2211,1797.6505,3.739134,1.0754358,0.8218281
2367.7603,2042.6053,1073.2184,1798.6177,3.7582824,1.0887543,0.8244808
2398.8772,2051.8362,1079.1953,1799.5933,3.777248,1.1021019,0.82709396
2430.2246,2061.0083,1085.1514,1800.5768,3.7960322,1.1154777,0.8296682
2461.8147,2070.1208,1091.086,1801.5684,3.8146367,1.1288805,0.83220416
2493.6875,2079.1738,1096.9987,1802.5681,3.8330624,1.1423092,0.8347023
2525.831,2088.1665,1102.8889,1803.5757,3.8513112,1.1557629,0.83716327
2558.2395,2097.0986,1108.7561,1804.5912,3.869384,1.1692407,0.83958757
2590.901,2105.9697,1114.5999,1805.6146,3.8872826,1.1827415,0.8419758
2623.7654,2114.7795,1120.4194,1806.646,3.905008,1.1962641,0.8443285
2656.835,2123.5273,1126.2144,1807.6852,3.9225616,1.2098079,0.8466462
2690.1216,2132.2131,1131.9845,1808.7322,3.9399445,1.2233716,0.84892935
2723.6208,2140.8362,1137.729,1809.7869,3.9571583,1.2369545,0.8511785
2757.3613,2149.3962,1143.4476,1810.8495,3.974204,1.2505554,0.8533942
2791.3433,2157.8928,1149.1398,1811.9198,3.9910831,1.2641736,0.8555769
2825.5981,2166.326,1154.805,1812.9977,4.007797,1.2778082,0.85772705
2860.0554,2174.695,1160.443,1814.0833,4.024346,1.2914581,0.8598452
2894.7168,2182.9998,1166.0532,1815.1763,4.040732,1.3051225,0.86193186
2929.5972,2191.24,1171.6354,1816.2767,4.0569563,1.3188006,0.86398745
2964.7288,2199.4158,1177.189,1817.385,4.07302,1.3324914,0.8660124
