kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,851.0,460.0,1740.0,0.85,0.0068,1.0,0.0,0.0
227.8262,859.3678,462.25787,1740.1342,0.88419974,0.011016,1.0,0.0,0.014888048
233.15314,867.7816,464.62488,1740.2715,0.918953,0.015381918,1.0,0.0,0.029554427
238.91367,876.2482,467.0978,1740.412,0.9542457,0.019899774,1.0,0.0,0.044002473
245.08841,884.77295,469.67358,1740.556,0.99006474,0.024571504,1.0,0.0,0.058235407
251.67564,893.36053,472.3494,1740.7036,1.026398,0.02939897,1.0,0.0,0.072256446
258.6193,902.0153,475.12274,1740.8547,1.0632339,0.034383968,1.0,0.0,0.08606875
265.90933,910.74054,477.99124,1741.0099,1.1005619,0.039528217,1.0,0.0,0.09967542
273.51974,919.53906,480.95273,1741.169,1.1383718,0.044833384,1.0,0.0,0.11307949
281.4415,928.41296,484.00522,1741.332,1.1766539,0.05030108,1.0,0.0,0.126284
289.65213,937.3642,487.14676,1741.4994,1.2153989,0.055932842,1.0,0.0,0.13929194
298.13785,946.39404,490.37564,1741.6711,1.2545978,0.061730172,1.0,0.0,0.15210623
306.9045,955.5035,493.6902,1741.8473,1.2942418,0.06769451,1.0,0.0,0.16472971
315.92435,964.69324,497.08884,1742.0281,1.3343223,0.073827244,1.0,0.0,0.17716527
325.18994,973.9637,500.57013,1742.2136,1.374831,0.08012972,1.0,0.0,0.1894157
334.6965,983.3148,504.13263,1742.4039,1.4157596,0.086603224,1.0,0.0,0.20148373
344.42926,992.7464,507.77496,1742.5992,1.4570999,0.09324901,1.0,0.0,0.21337211
354.39676,1002.2582,511.49582,1742.7996,1.4988439,0.10006826,1.0,0.0,0.22508347
364.6009,1011.84955,515.29395,1743.0049,1.5409834,0.10706214,1.0,0.0,0.23662049
375.02728,1021.5199,519.16815,1743.2157,1.5835105,0.11423174,1.0,0.0,0.24798572
385.65744,1031.2683,523.1172,1743.4316,1.626417,0.121578135,1.0,0.0,0.25918174
396.49356,1041.0939,527.13995,1743.6533,1.669695,0.12910232,1.0,0.0,0.2702111
407.53436,1050.9952,531.2353,1743.8804,1.7133366,0.13680528,1.0,0.0,0.28107625
418.78406,1060.9714,535.402,1744.1132,1.7573335,0.14468794,1.0,0.0,0.29177964
430.23138,1071.0209,539.639,1744.3517,1.8016778,0.15275116,1.0,0.0,0.3023237
441.8753,1081.1423,543.94525,1744.5961,1.8463614,0.1609958,1.0,0.0,0.31271076
453.7219,1091.3342,548.3197,1744.8464,1.8913763,0.16942263,1.0,0.0,0.32294315
465.76773,1101.5953,552.76117,1745.1028,1.9367142,0.1780324,1.0,0.0,0.33302325
477.99765,1111.9237,557.26874,1745.3654,1.982367,0.1868258,1.0,0.0,0.34295326
490.42062,1122.3179,561.84125,1745.6342,2.0283267,0.19580351,1.0,0.0,0.35273546
503.0425,1132.776,566.47766,1745.9092,2.074585,0.20496613,1.0,0.0,0.36237198
515.8623,1143.2965,571.1769,1746.1908,2.1211338,0.21431422,1.0,0.0,0.37186503
528.86926,1153.8776,575.93787,1746.4788,2.167965,0.22384831,1.0,0.0,0.38121676
542.0825,1164.5177,580.75964,1746.7733,2.2150702,0.23356889,1.0,0.0,0.39042926
555.4727,1175.2151,585.6411,1747.0745,2.2624416,0.24347639,1.0,0.0,0.3995046
569.05676,1185.9677,590.5812,1747.3826,2.3100705,0.2535712,1.0,0.0,0.40844482
582.844,1196.7738,595.57886,1747.6974,2.357949,0.26385373,1.0,0.0,0.41725194
596.8093,1207.6316,600.633,1748.019,2.406069,0.2743242,1.0,0.0,0.42592794
610.9673,1218.5392,605.7427,1748.3478,2.4544222,0.28498292,1.0,0.0,0.43447477
625.31586,1229.4949,610.9068,1748.6836,2.5030005,0.29583013,1.0,0.0,0.44289434
639.8473,1240.4967,616.12427,1749.0265,2.5517957,0.306866,1.0,0.0,0.45118856
654.5706,1251.5427,621.39404,1749.3767,2.6008,0.31809062,1.0,0.0,0.4593593
669.4798,1262.6309,626.7151,1749.734,2.6500049,0.32950416,1.0,0.0,0.46740842
684.5713,1273.7595,632.0863,1750.0988,2.6994026,0.34110665,1.0,0.0,0.47533768
699.878,1284.9265,637.5066,1750.4707,2.748985,0.35289815,1.0,0.0,0.48314893
715.36163,1296.1304,642.97504,1750.8503,2.7987442,0.3648786,1.0,0.0,0.49084383
731.0144,1307.3693,648.49036,1751.2374,2.8486726,0.37704793,1.0,0.0,0.49842417
746.8535,1318.6407,654.05164,1751.6321,2.898762,0.38940606,1.0,0.0,0.5058917
762.89,1329.9432,659.6578,1752.0344,2.949005,0.40195286,1.0,0.0,0.513248
779.14124,1341.2748,665.3077,1752.4445,2.9993932,0.41468814,1.0,0.0,0.5204948
795.6028,1352.6337,671.0003,1752.8623,3.0499196,0.42761168,1.0,0.0,0.5276337
812.2389,1364.0184,676.7345,1753.2881,3.1005762,0.44072324,1.0,0.0,0.53466636
829.04944,1375.4269,682.5092,1753.7217,3.1513555,0.4540225,1.0,0.0,0.54159427
846.066,1386.8572,688.3234,1754.1632,3.20225,0.46750918,1.0,0.0,0.54841906
863.282,1398.3076,694.1761,1754.6129,3.2532525,0.48118287,1.0,0.0,0.5551423
880.66315,1409.7764,700.06604,1755.0706,3.3043554,0.49504322,1.0,0.0,0.5617654
898.255,1421.2615,705.9923,1755.5364,3.355552,0.50908977,1.0,0.0,0.5682899
916.04315,1432.7612,711.9536,1756.0104,3.4068346,0.52332205,1.0,0.0,0.5747172
934.0173,1444.274,717.94916,1756.4927,3.458196,0.53773963,1.0,0.0,0.58104885
952.1769,1455.798,723.97766,1756.9832,3.5096292,0.55234194,1.0,0.0,0.58728623
970.5096,1467.3314,730.0382,1757.4818,3.5611277,0.56712836,1.0,0.0,0.59343076
989.0258,1478.8724,736.12964,1757.9889,3.6126842,0.58209836,1.0,0.0,0.59948385
1007.7656,1490.4193,742.25085,1758.5044,3.6642923,0.5972513,1.0,0.0,0.60544676
1026.6643,1501.9703,748.4008,1759.0283,3.7159452,0.6125865,1.0,0.0,0.6113209
1045.7747,1513.5238,754.5785,1759.5605,3.7676363,0.6281033,1.0,0.0,0.6171076
1065.1083,1525.0781,760.7827,1760.1014,3.8193588,0.643801,1.0,0.0,0.62280816
1084.5862,1536.6318,767.0126,1760.6509,3.8711066,0.65967876,1.0,0.0,0.6284238
1104.2385,1548.183,773.267,1761.2087,3.9228735,0.6757359,1.0,0.0,0.63395584
1124.0868,1559.73,779.5448,1761.7753,3.974653,0.69197154,1.0,0.0,0.6394055
1144.125,1571.2711,785.84503,1762.3505,4.026439,0.70838493,1.0,0.0,0.6447741
1164.3342,1582.8048,792.1666,1762.9342,4.0782256,0.72497517,1.0,0.0,0.65006274
1184.7125,1594.3295,798.5086,1763.5267,4.1300063,0.7417414,1.0,0.0,0.65527266
1205.2722,1605.8434,804.8698,1764.1278,4.181776,0.7586827,1.0,0.0,0.66040504
1226.0566,1617.3452,811.2493,1764.7377,4.233528,0.7757982,1.0,0.0,0.665461
1247.0426,1628.8335,817.646,1765.3563,4.285258,0.7930868,1.0,0.0,0.6704416
1268.1625,1640.3069,824.05884,1765.9836,4.3369594,0.81054765,1.0,0.0,0.6753481
1289.4387,1651.7633,830.4869,1766.6199,4.388627,0.8281797,1.0,0.0,0.6801815
1310.9219,1663.2014,836.92914,1767.265,4.440255,0.84598196,1.0,0.0,0.68494296
1332.5776,1674.6198,843.3845,1767.9188,4.491839,0.86395335,1.0,0.0,0.6896336
1354.43,1686.0172,849.852,1768.5815,4.543373,0.8820928,1.0,0.0,0.6942544
1376.4913,1697.3921,856.3306,1769.2532,4.5948524,0.9003992,1.0,0.0,0.6988064
1398.7129,1708.7432,862.81946,1769.9336,4.646272,0.91887146,1.0,0.0,0.70329064
1421.1051,1720.0691,869.3174,1770.6229,4.6976275,0.9375085,1.0,0.0,0.7077081
1443.6644,1731.3683,875.8236,1771.3212,4.7489133,0.95630914,1.0,0.0,0.71205986
