kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.42224,0.98247266,0.5254953,-0.39397198,-0.07358476,-0.012643704,-0.17373
234.26495,0.98921204,0.5236403,-0.39219534,-0.07302847,-0.012337172,-0.17409109
240.56279,0.9946747,0.5227046,-0.390522,-0.07253801,-0.012116754,-0.17466363
247.2702,0.99911416,0.5220254,-0.3889763,-0.072094426,-0.012268165,-0.17534408
254.34267,1.0028536,0.52142817,-0.387622,-0.07165401,-0.0124552045,-0.17599483
261.7602,1.0057138,0.5209582,-0.3864251,-0.07119395,-0.012633631,-0.17661855
269.5139,1.0078511,0.52059525,-0.38530752,-0.07074264,-0.012862572,-0.17726251
277.58118,1.0095196,0.52020586,-0.38422924,-0.070423186,-0.01312151,-0.17801315
285.94907,1.0107352,0.5197886,-0.383163,-0.07012364,-0.013400311,-0.17878813
294.60703,1.0116168,0.51939446,-0.38226137,-0.0698295,-0.013646806,-0.1796509
303.55142,1.01208,0.51905626,-0.38144937,-0.0695761,-0.01387001,-0.18050893
312.7657,1.0123092,0.51881397,-0.38072994,-0.069296226,-0.014020303,-0.1814045
322.235,1.0123296,0.51863074,-0.38011473,-0.06908531,-0.014159987,-0.18230322
331.95883,1.0121638,0.5185071,-0.37950993,-0.06887061,-0.0143918935,-0.1832554
341.94373,1.0118201,0.51841944,-0.37897858,-0.06867817,-0.014616827,-0.18420674
352.17664,1.0113425,0.51844895,-0.37855107,-0.06851143,-0.014772141,-0.18526286
362.64758,1.010716,0.5184337,-0.3781337,-0.06840566,-0.0149842,-0.18632223
373.34146,1.0099891,0.51840985,-0.3777562,-0.06830624,-0.01522241,-0.18737634
384.2584,1.0091867,0.51844364,-0.37749124,-0.06816333,-0.015427956,-0.18839493
395.41147,1.008294,0.51853955,-0.37719938,-0.06799627,-0.015625903,-0.1894013
406.78772,1.0074154,0.5187234,-0.3769629,-0.06787352,-0.015768448,-0.19047014
418.38242,1.0065167,0.5189835,-0.37679896,-0.067759514,-0.015921498,-0.19159669
430.20532,1.0056303,0.51926893,-0.3766802,-0.067628965,-0.01612326,-0.19275422
442.2566,1.0047044,0.51960397,-0.3766237,-0.067570835,-0.016293386,-0.19390962
454.52737,1.0037515,0.51995945,-0.37653962,-0.06752014,-0.016493777,-0.19505818
467.0118,1.0027993,0.5203415,-0.37649596,-0.06748293,-0.016709844,-0.19624725
479.714,1.0018319,0.52077955,-0.376454,-0.06747204,-0.016888166,-0.19742352
492.63058,1.0008268,0.52126443,-0.376431,-0.06739783,-0.017105708,-0.19861518
505.76718,0.9998312,0.521754,-0.37647077,-0.067365006,-0.01732702,-0.19985045
519.11707,0.9988893,0.5222635,-0.37658572,-0.06735857,-0.017532552,-0.20112501
532.67975,0.9979621,0.52278715,-0.37670887,-0.067364864,-0.017728532,-0.20239086
546.455,0.99704736,0.52331114,-0.376846,-0.06738646,-0.017934212,-0.20365945
560.445,0.9961677,0.52381325,-0.37698975,-0.06739316,-0.018179486,-0.20491028
574.663,0.9952947,0.5242723,-0.37709025,-0.0673821,-0.018420527,-0.20612709
589.09576,0.99441814,0.52473664,-0.37729177,-0.06737045,-0.018626148,-0.20737465
603.75305,0.9936002,0.5252199,-0.37754887,-0.067424476,-0.018850917,-0.20864479
618.63245,0.99282706,0.5257338,-0.3777715,-0.06747873,-0.019036496,-0.20993158
633.73517,0.99205065,0.5262605,-0.37797382,-0.067528725,-0.019209394,-0.21122403
