foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
8.512e-05,4.911e-05,1.591e-04,1.442e-04,3.248e-06,2.581e-05,1.355e-05
1.037e-04,8.440e-05,3.457e-04,2.864e-04,6.595e-05,6.589e-05,7.236e-05
1.143e-04,4.768e-07,4.787e-04,3.640e-04,7.063e-06,6.420e-05,7.214e-05
7.832e-05,8.392e-05,3.639e-04,1.796e-04,3.004e-05,7.458e-06,6.768e-05
8.404e-05,4.768e-05,3.580e-04,8.959e-05,2.941e-05,1.887e-05,1.620e-05
6.557e-05,5.698e-05,2.678e-04,1.664e-04,4.196e-05,6.331e-05,8.097e-05
2.992e-05,1.214e-04,1.828e-04,7.695e-05,7.313e-05,1.408e-05,6.323e-05
1.353e-04,1.280e-04,1.192e-04,1.514e-05,6.893e-05,9.745e-06,4.396e-05
4.888e-05,2.074e-05,7.515e-05,1.109e-05,3.657e-05,2.034e-05,6.333e-06
1.644e-04,5.102e-05,3.838e-05,5.537e-05,3.180e-05,6.845e-05,1.132e-05
8.750e-05,1.454e-05,4.349e-06,2.104e-05,3.791e-05,3.738e-05,1.645e-05
4.900e-05,1.192e-05,5.807e-05,1.973e-05,1.553e-05,1.828e-05,4.305e-05
3.469e-05,4.506e-05,1.207e-04,6.729e-05,1.349e-04,5.431e-05,4.849e-05
5.352e-05,2.718e-05,8.429e-05,7.451e-06,2.941e-05,2.039e-05,6.858e-05
1.502e-05,7.153e-07,6.505e-05,3.541e-05,8.196e-06,1.270e-05,1.957e-05
4.947e-05,2.623e-06,3.855e-05,6.813e-05,1.848e-06,3.322e-05,1.603e-05
7.319e-05,1.884e-05,7.026e-05,3.928e-05,9.745e-06,1.453e-05,7.272e-06
3.803e-05,6.890e-05,9.828e-05,3.517e-06,9.254e-05,2.036e-05,1.502e-05
1.836e-05,6.056e-05,2.408e-05,3.099e-06,2.003e-05,3.677e-05,1.243e-05
2.074e-05,8.035e-05,4.240e-05,3.171e-05,4.381e-06,3.496e-05,3.365e-05
1.788e-05,3.958e-05,9.140e-05,1.192e-06,1.705e-05,1.723e-05,5.761e-05
3.815e-05,2.646e-05,9.198e-05,3.237e-05,4.023e-06,6.571e-06,4.803e-05
6.056e-05,3.266e-05,9.154e-05,2.837e-05,1.237e-05,1.202e-05,1.758e-05
6.664e-05,5.388e-05,1.136e-04,1.526e-05,1.973e-05,2.008e-05,8.360e-06
5.126e-05,6.461e-05,1.471e-04,1.812e-05,1.281e-06,7.465e-06,1.603e-05
3.219e-05,5.865e-05,1.668e-04,8.166e-06,3.701e-05,2.173e-05,7.004e-06
2.599e-05,6.294e-05,1.417e-04,2.551e-05,7.224e-05,5.364e-07,1.463e-05
2.515e-05,6.127e-05,1.438e-04,5.960e-08,7.340e-05,1.040e-05,1.518e-05
1.729e-05,2.170e-05,1.590e-04,2.676e-05,3.278e-07,1.592e-05,2.074e-05
1.192e-07,2.170e-05,1.502e-04,5.198e-05,1.019e-05,5.342e-06,4.768e-05
1.168e-05,3.219e-05,1.639e-04,4.852e-05,6.557e-06,4.321e-07,8.145e-05
2.372e-05,9.632e-05,1.641e-04,5.358e-05,1.818e-05,1.048e-05,6.033e-05
2.658e-05,1.450e-04,1.559e-04,6.384e-05,3.365e-05,1.106e-05,5.528e-05
1.645e-05,1.726e-04,1.545e-04,1.144e-05,3.779e-05,5.104e-06,5.257e-05
2.444e-05,1.771e-04,1.265e-04,6.378e-06,9.030e-06,4.882e-05,6.759e-05
3.970e-05,1.235e-04,1.320e-04,1.150e-05,7.302e-06,2.320e-05,4.563e-05
3.314e-05,1.326e-04,1.363e-04,2.575e-05,4.515e-05,2.291e-05,2.536e-05
1.490e-05,1.333e-04,1.138e-04,3.088e-05,7.573e-05,2.005e-05,1.158e-05
1.490e-05,8.249e-05,9.550e-05,2.146e-05,9.862e-05,1.111e-05,3.320e-05
2.623e-05,5.579e-05,8.641e-05,5.609e-05,1.397e-04,2.900e-05,3.798e-05
2.015e-05,1.357e-04,1.011e-04,2.861e-05,1.615e-04,2.874e-05,5.268e-05
1.884e-05,1.507e-04,8.593e-05,2.027e-06,1.505e-04,2.697e-05,4.680e-05
2.432e-05,1.481e-04,6.657e-05,2.384e-05,1.269e-04,1.965e-05,3.777e-05
9.894e-06,1.369e-04,4.433e-05,2.432e-05,1.003e-04,1.545e-05,1.395e-05
7.153e-06,1.256e-04,5.826e-05,7.153e-07,9.915e-05,1.489e-05,7.451e-06
2.313e-05,1.314e-04,6.692e-05,4.202e-05,5.654e-05,1.106e-05,7.032e-05
1.538e-05,1.438e-04,1.409e-04,5.037e-05,3.305e-05,2.503e-06,6.177e-05
2.015e-05,1.314e-04,1.490e-04,1.550e-06,1.872e-05,1.390e-05,1.794e-05
8.345e-07,1.502e-04,1.168e-04,1.967e-05,2.241e-05,4.292e-06,3.196e-05
1.025e-05,1.588e-04,8.890e-05,2.915e-05,9.775e-06,2.356e-05,2.915e-05
1.788e-06,1.671e-04,6.489e-05,1.013e-06,3.815e-05,2.813e-05,2.363e-05
2.855e-05,1.514e-04,7.400e-05,2.813e-05,8.827e-05,7.078e-07,6.889e-05
2.432e-05,1.543e-04,7.374e-05,2.772e-05,7.698e-05,8.941e-08,6.367e-05
1.156e-05,1.426e-04,7.140e-05,1.180e-05,5.656e-05,1.263e-05,1.387e-05
1.687e-05,1.752e-04,6.988e-05,3.934e-06,2.277e-05,5.212e-05,6.512e-06
2.265e-06,1.805e-04,6.701e-05,3.850e-05,2.798e-05,5.742e-05,1.886e-05
3.457e-05,1.550e-04,9.798e-05,1.079e-05,2.652e-05,4.222e-05,7.749e-06
7.045e-05,1.223e-04,9.732e-05,7.331e-06,6.229e-06,4.556e-05,1.240e-05
8.303e-05,1.791e-04,9.498e-05,4.530e-06,7.063e-06,5.868e-05,7.540e-06
8.404e-05,1.638e-04,7.294e-05,7.749e-06,4.053e-06,4.459e-05,7.987e-06
4.250e-05,1.488e-04,8.025e-05,1.192e-07,3.040e-05,1.756e-05,4.637e-05
2.009e-05,1.976e-04,7.325e-05,5.901e-06,3.636e-05,2.210e-05,2.360e-05
1.192e-05,1.707e-04,7.860e-05,2.426e-05,3.088e-05,1.706e-05,1.836e-05
1.788e-06,1.373e-04,8.503e-05,3.487e-05,2.992e-05,2.681e-05,1.873e-05
3.719e-05,1.054e-04,1.016e-04,1.830e-05,5.156e-05,2.886e-05,1.229e-05
2.962e-05,1.373e-04,6.204e-05,2.122e-05,5.603e-05,7.533e-06,4.962e-06
1.335e-05,1.564e-04,3.193e-05,5.269e-05,3.394e-05,2.498e-05,1.730e-05
2.992e-05,1.528e-04,5.438e-05,6.253e-05,2.176e-05,2.645e-06,2.876e-06
3.409e-05,1.683e-04,5.084e-05,6.902e-05,1.505e-05,1.096e-05,3.368e-06
2.611e-05,1.857e-04,4.644e-05,7.540e-05,1.201e-05,9.343e-06,7.927e-06
1.729e-06,1.931e-04,4.161e-05,7.057e-05,6.971e-05,1.226e-05,3.278e-07
7.826e-05,1.605e-04,4.208e-05,5.013e-05,6.026e-05,2.030e-05,4.727e-05
9.799e-05,1.638e-04,3.103e-05,4.470e-05,4.950e-05,1.173e-05,3.931e-05
9.835e-05,1.800e-04,2.067e-05,4.572e-05,3.177e-05,3.755e-06,1.082e-05
9.549e-05,1.822e-04,1.555e-05,5.430e-05,2.980e-05,3.718e-06,1.407e-05
9.370e-05,1.695e-04,1.023e-05,6.145e-05,2.673e-05,3.397e-06,1.729e-05
9.269e-05,1.459e-04,4.560e-06,6.747e-05,2.351e-05,3.383e-06,2.059e-05
4.166e-05,1.113e-04,4.802e-06,5.341e-05,2.882e-05,6.236e-06,2.086e-07
3.022e-05,1.364e-04,1.809e-05,8.291e-05,2.390e-05,7.264e-06,2.140e-05
1.079e-05,1.941e-04,2.762e-05,8.970e-05,4.831e-05,1.150e-05,2.116e-05
1.609e-06,2.158e-04,4.405e-05,8.267e-05,4.679e-05,1.460e-05,2.253e-05
1.985e-05,1.621e-04,2.900e-05,7.570e-05,2.557e-05,2.103e-05,3.070e-05
1.812e-05,1.674e-04,1.711e-05,8.333e-05,4.324e-05,3.657e-05,2.128e-05
1.669e-05,1.729e-04,1.828e-05,9.823e-05,3.099e-05,2.851e-05,1.216e-05
1.496e-05,1.719e-04,1.621e-05,1.128e-04,2.533e-05,2.805e-05,3.070e-06
1.907e-06,1.628e-04,1.108e-05,9.489e-05,3.877e-05,2.917e-05,1.580e-05
1.454e-05,1.428e-04,2.107e-06,7.236e-05,2.730e-05,2.760e-05,8.315e-06
9.596e-06,1.378e-04,1.024e-05,9.084e-05,3.135e-05,2.556e-05,1.162e-06
1.484e-05,1.559e-04,8.676e-06,9.286e-05,2.253e-05,2.369e-05,1.162e-05
1.717e-05,1.721e-04,8.272e-06,7.081e-05,2.110e-05,2.760e-05,3.150e-05
2.182e-05,1.881e-04,1.521e-05,5.215e-05,1.559e-05,1.896e-05,6.288e-06
2.187e-05,1.593e-04,3.080e-05,7.963e-05,4.828e-06,2.950e-06,3.761e-05
2.933e-05,1.476e-04,3.590e-05,7.582e-05,2.375e-05,1.148e-05,5.060e-05
3.076e-05,1.662e-04,2.585e-05,6.765e-05,2.089e-05,1.052e-05,4.956e-05
2.629e-05,1.838e-04,1.358e-05,6.700e-05,2.065e-05,1.377e-05,5.656e-05
5.722e-06,1.881e-04,7.898e-06,7.802e-05,6.229e-06,2.689e-05,6.381e-05
3.219e-06,1.822e-04,8.024e-06,7.850e-05,2.325e-06,2.443e-05,5.576e-05
2.086e-06,1.779e-04,6.940e-06,7.915e-05,3.576e-07,2.331e-05,5.108e-05
2.265e-05,1.731e-04,5.031e-06,9.561e-05,1.964e-05,7.741e-06,3.773e-05
2.372e-05,1.893e-04,8.268e-06,1.057e-04,7.093e-06,1.184e-05,4.810e-05
5.364e-06,2.103e-04,1.479e-05,8.208e-05,3.383e-05,2.424e-05,1.079e-04
2.044e-05,2.153e-04,3.129e-07,9.137e-05,5.394e-05,6.004e-05,7.248e-05
2.378e-05,2.236e-04,2.578e-05,1.013e-04,4.378e-05,4.981e-05,5.940e-05
1.764e-05,2.377e-04,3.061e-05,1.077e-04,4.357e-05,4.869e-05,5.350e-05
1.204e-05,2.487e-04,3.579e-05,1.135e-04,4.348e-05,4.788e-05,4.712e-05
7.868e-06,2.568e-04,4.593e-05,1.073e-04,5.081e-05,3.202e-05,3.883e-05
1.049e-05,2.494e-04,4.707e-05,9.024e-05,5.129e-05,2.339e-06,3.231e-05
1.109e-05,2.422e-04,3.597e-05,7.659e-05,4.855e-05,2.079e-06,3.225e-05
1.311e-05,2.353e-04,2.429e-05,6.485e-05,4.858e-05,2.794e-06,2.566e-05
2.408e-05,2.286e-04,9.134e-06,6.241e-05,6.330e-05,3.517e-05,1.761e-05
2.372e-05,2.291e-04,7.425e-06,5.889e-05,5.847e-05,3.394e-05,1.991e-05
2.170e-05,2.294e-04,4.638e-06,8.261e-05,4.545e-05,7.026e-06,1.359e-05
2.164e-05,2.167e-04,5.104e-06,9.429e-05,4.020e-05,8.367e-06,2.635e-05
2.128e-05,2.222e-04,2.988e-05,9.459e-05,4.974e-05,2.151e-05,8.321e-05
2.551e-05,2.654e-04,7.946e-05,9.066e-05,4.959e-05,5.854e-05,5.490e-05
2.402e-05,3.288e-04,7.635e-05,8.118e-05,5.224e-05,2.498e-05,7.397e-05
2.086e-05,3.021e-04,6.413e-05,7.045e-05,5.114e-05,2.399e-05,7.096e-05
2.223e-05,2.782e-04,5.364e-05,5.615e-05,5.493e-05,1.096e-05,6.935e-05
2.992e-05,2.606e-04,4.576e-05,3.582e-05,7.737e-05,1.809e-05,5.350e-05
2.748e-05,2.558e-04,2.678e-05,1.895e-05,7.579e-05,1.725e-05,4.658e-05
4.202e-05,2.503e-04,1.172e-05,4.995e-05,8.059e-05,1.495e-05,2.852e-05
3.964e-05,2.816e-04,3.904e-06,6.515e-05,7.704e-05,1.515e-05,3.219e-05
3.457e-05,3.061e-04,2.623e-05,8.273e-05,4.312e-05,4.724e-06,1.556e-05
3.779e-05,3.092e-04,3.264e-05,1.062e-04,2.372e-05,2.096e-05,1.091e-05
