,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,3.401e-05,2.004e-04,7.597e-05,1.134e-04,5.928e-05,1.937e-05,1.768e-05
std,2.736e-05,5.831e-05,5.541e-05,5.220e-05,4.103e-05,1.442e-05,1.662e-05
min,1.192e-07,4.768e-07,2.235e-08,5.960e-08,2.980e-07,8.941e-08,0.000e+00
0.1%,1.192e-07,4.768e-07,2.235e-08,5.960e-08,2.980e-07,8.941e-08,0.000e+00
25%,1.137e-05,1.828e-04,3.095e-05,8.544e-05,2.375e-05,7.730e-06,6.661e-06
50%,2.542e-05,1.984e-04,6.998e-05,1.141e-04,5.476e-05,1.707e-05,1.365e-05
75%,5.238e-05,2.289e-04,1.140e-04,1.426e-04,8.714e-05,2.910e-05,2.063e-05
99.9%,1.644e-04,3.867e-04,4.787e-04,3.640e-04,1.615e-04,7.170e-05,1.079e-04
max,1.644e-04,3.867e-04,4.787e-04,3.640e-04,1.615e-04,7.170e-05,1.079e-04
