kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,850.0,770.0,1444.0,1.1,0.27,0.0
228.56252,856.00165,773.38586,1445.3722,0.98131764,0.2776443,0.014888048
234.5852,861.99207,776.9179,1446.7709,0.9459087,0.28412515,0.029554427
241.0083,867.98444,780.5841,1448.1974,0.9427288,0.29022017,0.044002473
247.79318,873.9893,784.37427,1449.6528,0.9520136,0.29622978,0.058235407
254.90619,880.0155,788.2799,1451.1383,0.9661177,0.30226955,0.072256446
262.33755,886.0696,792.2936,1452.6547,0.9820891,0.30838358,0.08606875
270.07922,892.1573,796.4088,1454.203,0.9987924,0.3145884,0.09967542
278.10812,898.2833,800.6203,1455.784,1.0157945,0.32088992,0.11307949
286.4037,904.451,804.92334,1457.3987,1.0329328,0.32728997,0.126284
294.9544,910.66296,809.3137,1459.0475,1.0501484,0.33378896,0.13929194
303.7525,916.9211,813.7878,1460.7313,1.067421,0.34038663,0.15210623
312.78458,923.2267,818.3423,1462.4506,1.0847447,0.3470826,0.16472971
322.04416,929.5806,822.97437,1464.2059,1.102118,0.35387647,0.17716527
331.5311,935.9832,827.6814,1465.9982,1.1195409,0.36076778,0.1894157
341.23907,942.43463,832.46106,1467.8278,1.1370132,0.3677561,0.20148373
351.16513,948.93445,837.3111,1469.6952,1.1545346,0.37484095,0.21337211
361.30466,955.4823,842.2295,1471.6011,1.1721034,0.38202193,0.22508347
371.65234,962.07764,847.21436,1473.5459,1.1897185,0.38929856,0.23662049
382.20932,968.7195,852.2638,1475.53,1.2073779,0.39667043,0.24798572
392.96747,975.4069,857.3762,1477.554,1.2250794,0.40413707,0.25918174
403.92896,982.13873,862.55,1479.6182,1.2428205,0.41169795,0.2702111
415.0919,988.91376,867.7834,1481.7229,1.2605982,0.41935262,0.28107625
426.45386,995.7308,873.07495,1483.8689,1.27841,0.4271005,0.29177964
438.01343,1002.58826,878.42316,1486.0562,1.2962525,0.43494108,0.3023237
449.7724,1009.485,883.8265,1488.2853,1.3141228,0.44287378,0.31271076
461.73117,1016.4193,889.2835,1490.5566,1.3320179,0.450898,0.32294315
473.88623,1023.38983,894.79266,1492.8705,1.3499341,0.4590131,0.33302325
486.23764,1030.395,900.35266,1495.227,1.3678689,0.4672185,0.34295326
498.79208,1037.4332,905.96204,1497.627,1.3858188,0.4755135,0.35273546
511.53888,1044.503,911.6194,1500.0701,1.4037807,0.4838974,0.36237198
524.4784,1051.6028,917.3232,1502.5569,1.4217515,0.4923695,0.37186503
537.60254,1058.731,923.0721,1505.0876,1.4397283,0.5009291,0.38121676
550.9149,1065.8856,928.86475,1507.6625,1.4577078,0.5095755,0.39042926
564.4202,1073.0654,934.6997,1510.2819,1.475687,0.51830775,0.3995046
578.1217,1080.2684,940.5755,1512.946,1.4936628,0.5271252,0.40844482
592.0259,1087.4932,946.4908,1515.6549,1.5116323,0.536027,0.41725194
606.13025,1094.7383,952.44415,1518.4089,1.529593,0.54501235,0.42592794
620.43677,1102.002,958.4342,1521.208,1.5475419,0.55408037,0.43447477
634.9549,1109.2827,964.45953,1524.0526,1.5654765,0.56323016,0.44289434
649.6775,1116.5793,970.51874,1526.9426,1.5833943,0.5724609,0.45118856
664.58026,1123.8899,976.6104,1529.8784,1.6012931,0.58177155,0.4593593
679.67816,1131.2129,982.7333,1532.8599,1.6191703,0.5911614,0.46740842
694.9761,1138.5469,988.8858,1535.8873,1.6370234,0.6006293,0.47533768
710.4759,1145.8901,995.06665,1538.9608,1.6548501,0.61017454,0.48314893
726.18097,1153.2413,1001.2745,1542.0804,1.6726483,0.619796,0.49084383
742.0907,1160.5988,1007.50806,1545.246,1.6904156,0.62949276,0.49842417
758.208,1167.9612,1013.7657,1548.4579,1.7081501,0.63926387,0.5058917
774.5327,1175.3269,1020.0463,1551.716,1.7258499,0.6491083,0.513248
791.05646,1182.6948,1026.3485,1555.0203,1.7435126,0.6590251,0.5204948
807.7862,1190.0631,1032.6709,1558.3708,1.7611368,0.6690132,0.5276337
824.7247,1197.4307,1039.0121,1561.7677,1.7787204,0.67907166,0.53466636
841.8775,1204.7959,1045.3708,1565.2108,1.7962615,0.68919945,0.54159427
859.2344,1212.1575,1051.7458,1568.7001,1.8137589,0.6993955,0.54841906
876.8005,1219.5142,1058.1359,1572.2356,1.8312106,0.7096588,0.5551423
894.57086,1226.8645,1064.5394,1575.8174,1.8486152,0.7199883,0.5617654
912.5541,1234.2069,1070.9553,1579.4451,1.8659711,0.730383,0.5682899
930.75684,1241.5404,1077.3822,1583.1189,1.8832767,0.74084175,0.5747172
949.1899,1248.8636,1083.819,1586.8387,1.9005306,0.7513636,0.58104885
967.83386,1256.1754,1090.264,1590.6042,1.9177314,0.7619474,0.58728623
986.71643,1263.4744,1096.7167,1594.4156,1.934878,0.7725921,0.59343076
1005.8397,1270.7594,1103.1753,1598.2726,1.9519689,0.7832968,0.59948385
1025.1748,1278.0293,1109.6385,1602.175,1.9690034,0.79406035,0.60544676
1044.7443,1285.2831,1116.1056,1606.1227,1.9859802,0.8048816,0.6113209
1064.5493,1292.5193,1122.5751,1610.1156,2.0028982,0.8157595,0.6171076
1084.5903,1299.7369,1129.0459,1614.1536,2.0197558,0.826693,0.62280816
1104.837,1306.9349,1135.5167,1618.2366,2.036553,0.8376811,0.6284238
1125.2958,1314.1122,1141.9867,1622.364,2.0532885,0.8487227,0.63395584
1145.9872,1321.2672,1148.4546,1626.536,2.069961,0.85981673,0.6394055
1166.9113,1328.3992,1154.9192,1630.7522,2.0865698,0.8709622,0.6447741
1188.0703,1335.507,1161.3793,1635.0126,2.1031137,0.882158,0.65006274
1209.4678,1342.5894,1167.8339,1639.3168,2.1195922,0.893403,0.65527266
1231.1155,1349.6456,1174.2819,1643.6646,2.1360044,0.90469617,0.66040504
1252.9796,1356.6746,1180.7222,1648.0558,2.1523495,0.9160365,0.665461
1275.0477,1363.6753,1187.1538,1652.49,2.1686268,0.92742294,0.6704416
1297.3274,1370.6466,1193.5757,1656.967,2.1848354,0.9388544,0.6753481
1319.824,1377.5874,1199.9868,1661.4867,2.200975,0.9503299,0.6801815
1342.5433,1384.4968,1206.3861,1666.0487,2.2170444,0.9618484,0.68494296
1365.4902,1391.3738,1212.7725,1670.6527,2.2330432,0.97340876,0.6896336
1388.6543,1398.2173,1219.145,1675.2985,2.2489703,0.98501,0.6942544
1412.0225,1405.0267,1225.5028,1679.9856,2.2648256,0.9966511,0.6988064
1435.615,1411.8008,1231.8447,1684.7139,2.2806082,1.008331,0.70329064
1459.4708,1418.5386,1238.1699,1689.4829,2.2963176,1.0200486,0.7077081
1483.5559,1425.2396,1244.4773,1694.2925,2.3119535,1.031803,0.71205986
1507.8694,1431.903,1250.7659,1699.1421,2.3275154,1.0435932,0.71634674
1532.4138,1438.5278,1257.035,1704.0316,2.3430023,1.0554181,0.72056985
1557.1931,1445.1134,1263.2836,1708.9604,2.3584144,1.0672767,0.7247301
1582.2172,1451.6589,1269.5109,1713.9283,2.3724985,1.0791681,0.7288283
