con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.30508,0.0028556,105.17594,104.8756,27.570528,36.845238,38.078487,0.3003404,39.445236
79.75923,0.0034985412,108.61837,108.23836,28.479132,37.47687,39.13245,0.38000587,40.017754
82.29731,0.0041083214,112.16131,111.700516,29.403206,38.11465,40.237396,0.46079472,40.59776
84.92696,0.004681664,115.7986,115.25648,30.329512,38.755554,41.392048,0.5421301,41.1822
87.633026,0.0052191373,119.53169,118.90783,31.274807,39.399353,42.59444,0.62385225,41.77083
90.41144,0.0057234126,123.36063,122.65458,32.24314,40.04524,43.840946,0.7060437,42.36279
93.263596,0.0061981864,127.28091,126.49199,33.228394,40.69112,45.141163,0.7889108,42.95598
96.19021,0.006647523,131.28966,130.4169,34.226692,41.335453,46.487244,0.87275094,43.54881
99.18756,0.0070754676,135.38583,134.42792,35.240353,41.97726,47.880726,0.9579181,44.140293
102.25605,0.0074858307,139.56874,138.52396,36.26791,42.615795,49.323223,1.044788,44.729645
105.381325,0.007882079,143.837,142.7033,37.32196,43.25031,50.803658,1.1337347,45.316097
108.58324,0.008267298,148.18744,146.96233,38.379086,43.879135,52.33402,1.2251097,45.89795
111.84878,0.008644192,152.62086,151.30157,39.452793,44.502296,53.907787,1.3192838,46.475212
115.18349,0.009015094,157.13618,155.7196,40.536118,45.1191,55.52525,1.4165975,47.047153
118.56703,0.009382008,161.7321,160.21474,41.647694,45.72879,57.17741,1.5173718,47.613007
122.006096,0.009746638,166.40865,164.78673,42.78063,46.330902,58.866978,1.6219248,48.172276
125.505066,0.010110428,171.16734,169.43678,43.931717,46.925808,60.59731,1.7305752,48.72531
129.07149,0.010474588,176.0059,174.16232,45.090828,47.512302,62.37184,1.8435894,49.27089
132.69661,0.010840139,180.91968,178.9585,46.261894,48.08916,64.191345,1.9611945,49.807762
136.3801,0.011207929,185.9109,183.82722,47.44713,48.6565,66.0552,2.083676,50.33603
140.11371,0.011578666,190.98087,188.76956,48.655853,49.214638,67.95256,2.2113037,50.855972
143.90237,0.011952925,196.13011,193.78578,49.883408,49.763474,69.8867,2.3443284,51.367493
147.752,0.012331189,201.35791,198.87492,51.12294,50.30256,71.86233,2.4829824,51.870106
151.65927,0.012713846,206.66443,204.03693,52.377644,50.831833,73.87911,2.6274998,52.363735
155.61578,0.0131012155,212.04996,209.27184,53.656048,51.351017,75.93617,2.7781122,52.848087
159.62889,0.013493554,217.5136,214.57857,54.94968,51.860004,78.03199,2.9350314,53.32304
163.70331,0.013891063,223.05641,219.95795,56.254627,52.358635,80.16775,3.0984907,53.7884
167.82599,0.014293902,228.67642,225.40773,57.58175,52.846573,82.34345,3.2686782,54.243835
172.01483,0.01470219,234.37787,230.932,58.91718,53.324417,84.56847,3.445868,54.689903
176.25833,0.015116016,240.1582,236.52797,60.269623,53.79163,86.83779,3.6302354,55.126072
180.55753,0.015535445,246.01775,242.19574,61.63823,54.24807,89.14385,3.8219953,55.55217
184.90233,0.015960515,251.95511,247.93378,63.031445,54.69346,91.48516,4.021333,55.967903
189.30641,0.016391246,257.9699,253.74147,64.43506,55.12753,93.86647,4.2284484,56.372997
193.76201,0.016827643,264.06613,259.62253,65.86052,55.551064,96.28188,4.4436107,56.768215
198.2654,0.017269695,270.24246,265.57547,67.31006,55.96379,98.74056,4.6670046,57.153263
202.81993,0.017717378,276.49854,271.5997,68.77976,56.365467,101.236565,4.8988285,57.5279
207.43016,0.01817066,282.8384,277.69904,70.268875,56.756866,103.76597,5.1393604,57.892864
212.10216,0.018629503,289.25986,283.8711,71.76895,57.13755,106.34035,5.388767,58.247723
216.82588,0.01909386,295.763,290.11575,73.289894,57.50738,108.95503,5.647258,58.592304
221.6032,0.019563671,302.34674,296.4317,74.82852,57.866104,111.60709,5.9150124,58.926357
226.44049,0.02003889,309.01227,302.82,76.37952,58.213924,114.30572,6.192263,59.250076
231.33707,0.020519443,315.76154,309.2823,77.94521,58.551247,117.04907,6.479251,59.563835
236.28209,0.021005271,322.59442,315.8182,79.53612,58.877934,119.82924,6.7761827,59.867496
241.285,0.021496298,329.50754,322.42438,81.13938,59.193436,122.65167,7.083193,60.1605
246.33817,0.021992458,336.4999,329.09946,82.76131,59.49737,125.514854,7.4004607,60.44245
251.44997,0.02249367,343.57602,335.84775,84.397766,59.79075,128.42088,7.728286,60.71434
256.6224,0.022999857,350.73608,342.6692,86.046776,60.07347,131.37157,8.066879,60.976055
261.834,0.023510935,357.97925,349.56284,87.72881,60.345417,134.35655,8.416427,61.22748
267.09637,0.02402682,365.30725,356.5301,89.4337,60.60697,137.3822,8.777171,61.468983
272.42453,0.024547433,372.71942,363.57007,91.14555,60.857788,140.45567,9.149304,61.7002
277.79794,0.025072688,380.21774,370.68466,92.88671,61.09845,143.56683,9.53308,61.9217
283.22803,0.025602499,387.80402,377.87524,94.64725,61.32912,146.7181,9.928753,62.13366
288.7182,0.026136776,395.4752,385.1387,96.420525,61.549408,149.91219,10.336447,62.335655
294.2696,0.026675437,403.23074,392.4744,98.204796,61.759068,153.15462,10.756356,62.527428
299.88235,0.0272184,411.07108,399.88242,100.00006,61.95839,156.43454,11.188698,62.709282
305.55505,0.02776557,418.996,407.36237,101.8073,62.147163,159.75766,11.633663,62.88098
311.27985,0.02831687,427.00528,414.91382,103.63397,62.32562,163.12878,12.091453,63.042763
317.04364,0.028872201,435.09384,422.5317,105.4881,62.49296,166.53949,12.562117,63.19379
322.86917,0.02943148,443.2713,430.22522,107.35602,62.650646,169.998,13.046131,63.335545
328.75497,0.029994614,451.53714,437.99347,109.238495,62.79872,173.5054,13.543682,63.46805
334.69147,0.030561516,459.8922,445.83722,111.14574,62.937134,177.05573,14.055003,63.59124
340.68735,0.031132089,468.33527,453.75497,113.067665,63.06584,180.64827,14.580254,63.705074
346.72278,0.031706255,476.86966,461.7499,115.02717,63.18549,184.2846,15.119751,63.810184
352.79904,0.03228392,485.49146,469.81796,117.01888,63.29542,187.95325,15.67357,63.90592
358.93857,0.032865003,494.20288,477.96088,119.02232,63.39591,191.67212,16.24198,63.992523
365.1349,0.03344941,503.00397,486.17877,121.04391,63.48722,195.4426,16.825188,64.070274
371.38998,0.03403707,511.8934,494.47006,123.080086,63.56913,199.26166,17.423351,64.138916
377.70883,0.034627885,520.8714,502.8347,125.12585,63.64173,203.14142,18.036674,64.19857
384.08212,0.035221767,529.9385,511.2731,127.191,63.705173,207.06487,18.665369,64.249344
390.51276,0.035818648,539.0946,519.785,129.2722,63.75949,211.03888,19.309639,64.29128
396.97855,0.036418427,548.3388,528.36914,131.39058,63.804646,215.04378,19.969637,64.324356
403.5075,0.037021026,557.67474,537.02905,133.52158,63.84114,219.10011,20.64569,64.34903
