kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.25934,0.97959775,1.8453315,-1.3995407,-0.27484357,-0.06359469,-0.40133956
233.84683,0.986614,1.8430066,-1.3935137,-0.27288863,-0.06593737,-0.40233895
239.79417,0.992578,1.8407222,-1.3880426,-0.27110633,-0.068088,-0.40349457
246.10309,0.9974382,1.8382441,-1.3830539,-0.269627,-0.07002383,-0.40498415
252.76709,1.001532,1.8360445,-1.378339,-0.26809862,-0.07173777,-0.40627518
259.74936,1.004986,1.8339422,-1.3741846,-0.2668115,-0.073391676,-0.4076638
267.02502,1.0078315,1.8324562,-1.3705293,-0.26563364,-0.07485099,-0.4092485
274.58304,1.0101094,1.8310683,-1.3672936,-0.26452118,-0.076305605,-0.41091502
282.4155,1.011924,1.8300539,-1.3644116,-0.26343605,-0.0776336,-0.4126146
290.50897,1.0133102,1.8294091,-1.3619379,-0.2625383,-0.0788838,-0.41434515
298.83926,1.0145079,1.8290691,-1.3597975,-0.26164693,-0.08007399,-0.4161807
307.4096,1.0152663,1.8289452,-1.3579798,-0.26093975,-0.08121751,-0.4181769
316.21005,1.0157971,1.8289746,-1.35646,-0.2602209,-0.08250334,-0.42020077
325.22873,1.0160518,1.8292013,-1.3552022,-0.2596068,-0.083689295,-0.42217347
334.4643,1.0163105,1.8297143,-1.3541155,-0.25905693,-0.08490194,-0.42432448
343.92438,1.0164957,1.8304965,-1.3533005,-0.25859654,-0.08603434,-0.42657915
353.59177,1.0165653,1.831513,-1.3526849,-0.258236,-0.08712133,-0.42885968
363.43277,1.016446,1.8327303,-1.3522278,-0.25783664,-0.08811999,-0.43123308
373.4607,1.0162548,1.8342252,-1.3520831,-0.25760186,-0.089213155,-0.43366256
383.68185,1.016004,1.8359824,-1.3521316,-0.25739068,-0.090366445,-0.43618307
394.09796,1.0157889,1.8378808,-1.3523939,-0.25720572,-0.09150412,-0.43872938
404.70184,1.01556,1.8398967,-1.3527958,-0.2570316,-0.092640094,-0.4412906
415.493,1.0152632,1.8420562,-1.3534406,-0.2568532,-0.09373959,-0.44385
426.4713,1.0149384,1.8444121,-1.3540695,-0.25683868,-0.09481196,-0.44651377
437.62823,1.0146712,1.8469677,-1.3549352,-0.2567942,-0.09600148,-0.4491991
448.96973,1.0143929,1.849612,-1.355971,-0.25681886,-0.097197704,-0.45192844
460.48,1.0140644,1.8523502,-1.3570703,-0.25688544,-0.098309,-0.45468083
472.18588,1.0138072,1.8553236,-1.3583766,-0.25695503,-0.09944823,-0.4575396
484.06802,1.0134658,1.8584661,-1.3597579,-0.25701073,-0.100559354,-0.46044806
496.1273,1.0131451,1.8617581,-1.3612602,-0.25710142,-0.101770274,-0.46342915
508.3514,1.0128382,1.8650224,-1.362927,-0.25730443,-0.10303485,-0.4663426
520.73706,1.0126268,1.8684931,-1.3646371,-0.25758713,-0.10420798,-0.46930918
533.3084,1.0124004,1.8720013,-1.3663666,-0.2578038,-0.10536495,-0.47223443
546.055,1.0122217,1.8755393,-1.3681939,-0.2580173,-0.10648071,-0.47520748
558.9719,1.0121168,1.8792253,-1.3700705,-0.25839916,-0.107754625,-0.47819895
572.08575,1.0120598,1.8829528,-1.372051,-0.25869972,-0.109064944,-0.4811994
585.379,1.0120163,1.8866482,-1.3741122,-0.25903904,-0.11028074,-0.48427394
598.85077,1.011946,1.8903811,-1.3762099,-0.25936976,-0.11152805,-0.48743433
612.4917,1.0119206,1.894215,-1.3784052,-0.25969815,-0.112772785,-0.4906286
626.3087,1.0119264,1.8981004,-1.3807168,-0.2600369,-0.113954455,-0.4937827
640.31165,1.0119219,1.9020488,-1.3830574,-0.2604669,-0.11518627,-0.49697733
654.4998,1.0119141,1.9060283,-1.3854661,-0.2609296,-0.11645841,-0.50022244
668.8481,1.0119723,1.9101329,-1.3879968,-0.26140258,-0.11760931,-0.5034027
683.3475,1.0120363,1.9142617,-1.3905706,-0.26189756,-0.11877055,-0.5066482
698.0267,1.012153,1.9184643,-1.3932658,-0.26243982,-0.11996179,-0.509931
712.8862,1.0122714,1.922652,-1.3959049,-0.26298663,-0.12121266,-0.5131706
727.91785,1.0123816,1.9268802,-1.3986044,-0.26352137,-0.122423716,-0.5164003
743.1316,1.0126061,1.9312129,-1.4013488,-0.26406157,-0.1236349,-0.5196432
758.5224,1.0128757,1.9356046,-1.4041243,-0.264654,-0.12484852,-0.5228795
774.10144,1.0131077,1.9399714,-1.4069127,-0.26520565,-0.12609635,-0.52616906
789.87964,1.0134138,1.944393,-1.409727,-0.26579428,-0.1273668,-0.5294945
805.83405,1.013732,1.9487805,-1.41257,-0.26636326,-0.12864561,-0.5327834
821.96063,1.014045,1.9531496,-1.4154198,-0.2669367,-0.12992102,-0.53605884
838.26,1.0143486,1.9575459,-1.4184775,-0.2675882,-0.13120086,-0.5394713
854.7286,1.0146434,1.9619056,-1.4215236,-0.26827374,-0.13235493,-0.5428059
871.3645,1.0149382,1.9662569,-1.4245571,-0.2689676,-0.13350026,-0.5461348
888.1322,1.0152705,1.9707146,-1.4276776,-0.26971298,-0.13466944,-0.54949844
905.0947,1.0156995,1.9752791,-1.430876,-0.27036276,-0.13589823,-0.5528822
922.2465,1.0161178,1.9798508,-1.4341018,-0.27101362,-0.13712348,-0.55622506
939.5928,1.0165335,1.9844615,-1.437341,-0.27167648,-0.13833967,-0.55958575
957.12476,1.0169892,1.9891319,-1.4406267,-0.2724207,-0.13952392,-0.56296194
974.8642,1.0174457,1.9937677,-1.4439356,-0.2731082,-0.14068742,-0.56637055
992.77936,1.0179876,1.9985645,-1.4472884,-0.27379042,-0.14182225,-0.5697495
1010.8884,1.0186071,2.003364,-1.4505848,-0.27446407,-0.14296678,-0.5731297
1029.1887,1.0192075,2.0081668,-1.4538814,-0.27514252,-0.144112,-0.5765154
1047.6688,1.0198166,2.0130177,-1.4572115,-0.27591407,-0.14530016,-0.57994014
1066.3315,1.020427,2.0178685,-1.4605732,-0.27673113,-0.14652327,-0.5833994
1085.1791,1.0210186,2.0227907,-1.4640231,-0.27748966,-0.14779796,-0.5868658
1104.2064,1.0216289,2.0277374,-1.4675092,-0.27830103,-0.14901283,-0.59031475
1123.4095,1.0222473,2.0327425,-1.4709957,-0.27908596,-0.1501975,-0.5937878
1142.8108,1.0229559,2.0377285,-1.4744966,-0.2799281,-0.15144928,-0.59716225
1162.413,1.023648,2.042712,-1.4780624,-0.2807788,-0.15268719,-0.60048956
1182.2133,1.0243156,2.0477052,-1.4816284,-0.28161287,-0.15393938,-0.6038368
1202.2102,1.0249614,2.0526958,-1.4851928,-0.28244987,-0.15519173,-0.6071861
1222.4,1.0255864,2.0576816,-1.4887531,-0.28328943,-0.15644388,-0.61053693
1242.7898,1.0262278,2.062682,-1.4923223,-0.28410864,-0.15772177,-0.61389136
1263.3341,1.0268828,2.067601,-1.4958146,-0.28495458,-0.15894885,-0.6171793
1284.0217,1.027545,2.072445,-1.4993677,-0.28589186,-0.1601549,-0.6204309
1304.833,1.0282335,2.077264,-1.5029761,-0.28681234,-0.16133668,-0.62370825
1325.8231,1.0289708,2.0822015,-1.5065972,-0.28774378,-0.16255395,-0.6270003
1346.9845,1.0296894,2.0871367,-1.5102241,-0.28866792,-0.16380572,-0.63029087
1368.3123,1.0303901,2.0920525,-1.5138451,-0.28959608,-0.16506363,-0.63357866
1389.8563,1.0312936,2.096856,-1.5175444,-0.29047912,-0.16621129,-0.63687205
1411.6329,1.0322452,2.1016378,-1.5212615,-0.29134104,-0.16731118,-0.64016926
1433.5986,1.0331241,2.1064408,-1.525041,-0.2922179,-0.16839853,-0.64343107
1455.6884,1.033935,2.1113245,-1.5288584,-0.2931487,-0.16947804,-0.64667827
1478.0242,1.0349004,2.1162655,-1.5327058,-0.2940345,-0.1706378,-0.6499829
1500.5907,1.035832,2.1212656,-1.5365281,-0.29498008,-0.17179316,-0.6532669
