foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
2.073e-04,1.683e-04,3.228e-05,3.724e-04,1.751e-04,8.580e-05,1.208e-04
2.151e-04,9.656e-05,6.488e-05,2.649e-04,8.535e-05,6.115e-05,2.512e-05
4.280e-05,6.914e-06,3.413e-05,4.631e-04,7.129e-05,1.019e-04,2.357e-04
9.429e-05,3.424e-04,2.940e-05,3.152e-04,2.251e-04,7.543e-05,4.041e-05
1.585e-04,7.789e-04,2.664e-05,3.242e-04,9.036e-05,4.470e-05,1.740e-05
1.552e-04,9.205e-04,5.808e-05,6.425e-05,2.050e-05,4.143e-05,9.328e-05
1.097e-04,9.475e-04,1.106e-05,1.574e-05,5.746e-05,2.146e-06,9.617e-05
9.465e-05,1.027e-03,4.707e-05,1.130e-04,5.543e-05,6.729e-05,4.679e-05
4.661e-05,1.152e-03,6.587e-05,2.083e-04,1.286e-04,2.798e-05,4.470e-06
1.860e-04,1.272e-03,7.267e-05,2.203e-04,1.451e-04,5.072e-05,1.785e-05
1.848e-05,1.152e-03,7.387e-05,1.391e-04,1.650e-04,5.180e-05,9.495e-05
2.313e-05,1.257e-03,7.343e-05,1.261e-04,1.680e-04,3.517e-05,5.624e-05
6.139e-05,1.335e-03,1.360e-05,1.074e-04,1.476e-04,1.907e-06,6.309e-05
1.103e-04,1.421e-03,1.564e-05,2.034e-04,6.175e-05,5.454e-06,5.057e-05
1.724e-04,1.435e-03,5.125e-05,2.401e-04,9.060e-05,1.970e-05,8.553e-05
1.613e-04,1.514e-03,7.911e-05,2.211e-04,6.366e-05,5.773e-05,4.265e-05
5.221e-05,1.486e-03,1.370e-04,1.183e-04,1.216e-05,3.800e-05,6.178e-05
5.221e-05,1.299e-03,3.367e-05,1.681e-04,1.221e-04,7.090e-05,5.469e-05
5.090e-05,1.261e-03,2.161e-05,2.469e-04,1.281e-04,4.214e-05,8.920e-05
1.338e-04,1.304e-03,3.882e-06,2.077e-04,1.589e-04,1.910e-05,6.011e-05
1.522e-04,1.326e-03,3.576e-07,1.535e-04,1.240e-04,1.609e-05,2.304e-05
1.047e-04,1.303e-03,3.354e-05,1.156e-04,1.922e-04,6.291e-05,3.055e-05
