kx,MATx,MUOx,MLOx,TATx,TOCx,zetax,chix,taux
223.00183,850.0,770.0,1444.0,1.1,0.26,1.0,0.0,0.0
228.09947,856.00165,773.38586,1445.3722,1.216705,0.26563638,1.0,0.0,0.014888048
233.61539,861.99286,776.9179,1446.7709,1.317867,0.27201805,1.0,0.0,0.029554427
239.51862,867.9864,780.58417,1448.1974,1.4063779,0.2790357,1.0,0.0,0.044002473
245.79234,873.9931,784.37445,1449.6528,1.484596,0.28660014,1.0,0.0,0.058235407
252.42502,880.022,788.2804,1451.1383,1.554446,0.2946387,1.0,0.0,0.072256446
259.38654,886.08057,792.29443,1452.6547,1.6174978,0.303092,1.0,0.0,0.08606875
266.68692,892.17487,796.41046,1454.203,1.6750321,0.31191167,1.0,0.0,0.09967542
274.3083,898.31,800.623,1455.784,1.7280941,0.3210582,1.0,0.0,0.11307949
282.22235,904.4903,804.9276,1457.3987,1.777536,0.33049944,1.0,0.0,0.126284
290.40283,910.7187,809.32025,1459.0475,1.8240529,0.34020907,1.0,0.0,0.13929194
298.8638,916.9973,813.7976,1460.7313,1.8682114,0.35016567,1.0,0.0,0.15210623
307.60196,923.32806,818.35645,1462.4507,1.9104728,0.36035174,1.0,0.0,0.16472971
316.5891,929.71216,822.99426,1464.2062,1.9512129,0.37075305,1.0,0.0,0.17716527
325.8127,936.15045,827.7086,1465.9987,1.9907377,0.38135794,1.0,0.0,0.1894157
335.27563,942.643,832.4974,1467.8286,2.0292954,0.39215687,1.0,0.0,0.20148373
344.98785,949.18976,837.3585,1469.6964,2.067088,0.40314206,1.0,0.0,0.21337211
354.92416,955.7908,842.29034,1471.6028,2.1042786,0.41430715,1.0,0.0,0.22508347
365.08676,962.4453,847.2912,1473.5482,2.1409996,0.42564687,1.0,0.0,0.23662049
375.46292,969.15283,852.3594,1475.533,2.1773577,0.43715692,1.0,0.0,0.24798572
386.04984,975.9122,857.49347,1477.5577,2.2134387,0.44883367,1.0,0.0,0.25918174
396.8617,982.7223,862.692,1479.623,2.2493114,0.46067417,1.0,0.0,0.2702111
407.8804,989.5823,867.9536,1481.7291,2.2850304,0.47267592,1.0,0.0,0.28107625
419.1067,996.4908,873.27686,1483.8767,2.3206394,0.48483682,1.0,0.0,0.29177964
430.5407,1003.4465,878.6604,1486.0659,2.3561726,0.49715507,1.0,0.0,0.3023237
442.1853,1010.4479,884.1029,1488.2972,2.3916562,0.5096291,1.0,0.0,0.31271076
454.01837,1017.4936,889.6031,1490.5712,2.4271111,0.5222575,1.0,0.0,0.32294315
466.04526,1024.582,895.1596,1492.8878,2.462553,0.53503907,1.0,0.0,0.33302325
478.27075,1031.7115,900.7712,1495.2478,2.497993,0.5479727,1.0,0.0,0.34295326
490.6956,1038.8806,906.4365,1497.6515,2.5334387,0.5610573,1.0,0.0,0.35273546
503.32135,1046.0874,912.1542,1500.0991,2.5688956,0.574292,1.0,0.0,0.36237198
516.1425,1053.3306,917.9229,1502.5908,2.6043673,0.5876758,1.0,0.0,0.37186503
529.1745,1060.6084,923.7414,1505.1271,2.6398544,0.6012078,1.0,0.0,0.38121676
542.4158,1067.9194,929.60834,1507.7083,2.6753578,0.6148871,1.0,0.0,0.39042926
555.8429,1075.2622,935.52234,1510.3346,2.710876,0.6287129,1.0,0.0,0.3995046
569.4705,1082.6346,941.482,1513.0062,2.7464073,0.6426842,1.0,0.0,0.40844482
583.29535,1090.0354,947.4861,1515.7235,2.781949,0.6568002,1.0,0.0,0.41725194
597.3145,1097.4626,953.5332,1518.4866,2.8174987,0.67105997,1.0,0.0,0.42592794
611.5365,1104.9148,959.62195,1521.2959,2.8530521,0.68546253,1.0,0.0,0.43447477
625.9486,1112.3904,965.751,1524.1515,2.8886056,0.7000071,1.0,0.0,0.44289434
640.5644,1119.8875,971.919,1527.0533,2.924155,0.7146926,1.0,0.0,0.45118856
655.37604,1127.4045,978.1246,1530.002,2.959696,0.72951806,1.0,0.0,0.4593593
670.3793,1134.9402,984.36633,1532.9973,2.9952245,0.7444826,1.0,0.0,0.46740842
685.59656,1142.4924,990.64294,1536.0398,3.0307357,0.7595851,1.0,0.0,0.47533768
701.0221,1150.0599,996.95306,1539.1294,3.0662255,0.7748245,1.0,0.0,0.48314893
716.6542,1157.6411,1003.2953,1542.2661,3.1016893,0.7901998,1.0,0.0,0.49084383
732.4919,1165.2346,1009.6681,1545.4502,3.137123,0.8057099,1.0,0.0,0.49842417
748.5264,1172.8387,1016.0704,1548.6818,3.1725225,0.8213537,1.0,0.0,0.5058917
764.7641,1180.4519,1022.5006,1551.9607,3.2078831,0.83713,1.0,0.0,0.513248
781.197,1188.0726,1028.9575,1555.2874,3.2432008,0.8530378,1.0,0.0,0.5204948
797.8396,1195.6996,1035.4397,1558.6616,3.2784717,0.8690758,1.0,0.0,0.5276337
814.6685,1203.3309,1041.9458,1562.0836,3.313692,0.8852428,1.0,0.0,0.53466636
831.70337,1210.9651,1048.4746,1565.5533,3.3488574,0.9015377,1.0,0.0,0.54159427
848.9564,1218.6006,1055.0244,1569.0708,3.383964,0.9179592,1.0,0.0,0.54841906
866.4185,1226.2363,1061.5941,1572.636,3.4190085,0.9345061,1.0,0.0,0.5551423
884.08905,1233.8706,1068.1825,1576.2489,3.453987,0.9511771,1.0,0.0,0.5617654
901.95685,1241.5023,1074.7881,1579.9094,3.488896,0.96797097,1.0,0.0,0.5682899
920.03284,1249.1296,1081.4094,1583.6178,3.5237324,0.9848864,1.0,0.0,0.5747172
938.31415,1256.7516,1088.0455,1587.3738,3.5584927,1.001922,1.0,0.0,0.58104885
956.79803,1264.3662,1094.6948,1591.1772,3.5931742,1.0190766,1.0,0.0,0.58728623
975.49976,1271.9728,1101.3561,1595.0283,3.6277738,1.0363488,1.0,0.0,0.59343076
994.41833,1279.5695,1108.028,1598.9268,3.662288,1.0537374,1.0,0.0,0.59948385
1013.56476,1287.1552,1114.7094,1602.8726,3.6967142,1.0712408,1.0,0.0,0.60544676
1032.9102,1294.7286,1121.3988,1606.8656,3.7310493,1.0888578,1.0,0.0,0.6113209
1052.4584,1302.2885,1128.0951,1610.9058,3.7652912,1.1065869,1.0,0.0,0.6171076
1072.2289,1309.8333,1134.7971,1614.9929,3.7994375,1.1244268,1.0,0.0,0.62280816
1092.203,1317.3622,1141.5033,1619.1271,3.8334854,1.1423762,1.0,0.0,0.6284238
1112.3728,1324.8737,1148.2129,1623.3077,3.8674324,1.1604337,1.0,0.0,0.63395584
1132.7418,1332.3665,1154.9244,1627.535,3.9012766,1.1785976,1.0,0.0,0.6394055
1153.3195,1339.8392,1161.6366,1631.8086,3.9350157,1.1968668,1.0,0.0,0.6447741
1174.1422,1347.2908,1168.3484,1636.1284,3.9686475,1.2152396,1.0,0.0,0.65006274
1195.2104,1354.7201,1175.0586,1640.4943,4.0021696,1.2337149,1.0,0.0,0.65527266
1216.5035,1362.1263,1181.766,1644.9058,4.03558,1.2522912,1.0,0.0,0.66040504
1238.0416,1369.5083,1188.4692,1649.3629,4.0688777,1.2709671,1.0,0.0,0.665461
1259.798,1376.8647,1195.1675,1653.8654,4.102061,1.289741,1.0,0.0,0.6704416
1281.753,1384.1951,1201.8595,1658.413,4.135127,1.3086118,1.0,0.0,0.6753481
1303.9319,1391.4977,1208.5441,1663.0054,4.1680756,1.3275777,1.0,0.0,0.6801815
1326.3385,1398.7717,1215.2202,1667.6423,4.200904,1.3466375,1.0,0.0,0.68494296
1348.9675,1406.0161,1221.8868,1672.3237,4.233612,1.3657897,1.0,0.0,0.6896336
1371.7804,1413.2297,1228.543,1677.0492,4.266197,1.3850328,1.0,0.0,0.6942544
1394.8029,1420.4116,1235.1874,1681.8184,4.298659,1.4043654,1.0,0.0,0.6988064
1418.0369,1427.5605,1241.8191,1686.6311,4.3309956,1.4237862,1.0,0.0,0.70329064
1441.4863,1434.6757,1248.4371,1691.487,4.363206,1.4432936,1.0,0.0,0.7077081
1465.1484,1441.756,1255.0404,1696.3859,4.395289,1.4628862,1.0,0.0,0.71205986
1489.0118,1448.8005,1261.628,1701.3271,4.4272428,1.4825627,1.0,0.0,0.71634674
1513.0958,1455.8083,1268.1989,1706.3108,4.4590673,1.5023215,1.0,0.0,0.72056985
1537.4001,1462.7787,1274.752,1711.3363,4.4907603,1.5221612,1.0,0.0,0.7247301
1561.9327,1469.7104,1281.2861,1716.4033,4.5214157,1.5420805,1.0,0.0,0.7288283
1586.7036,1476.6029,1287.8007,1721.5117,4.5511994,1.5620718,1.0,0.0,0.7328656
1611.7006,1483.4554,1294.2946,1726.6609,4.5802464,1.5821289,1.0,0.0,0.7368427
