con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.2154,0.0028556,105.17594,104.8756,27.66021,36.845238,14.465466,0.3003404,39.445236
79.737595,0.002278755,108.63632,108.38877,28.65118,37.483063,14.820357,0.24755555,40.023945
82.36108,0.0021306989,112.21029,111.9712,29.610125,38.131294,15.229166,0.23908634,40.614407
85.06161,0.0021321492,115.88691,115.63981,30.578205,38.785103,15.663299,0.2470882,41.211754
87.84902,0.0021906174,119.66082,119.39869,31.549662,39.441914,16.126032,0.26213107,41.81339
90.70511,0.002272229,123.5302,123.24951,32.544395,40.10029,16.602112,0.2806889,42.417843
93.63363,0.0023640434,127.493866,127.19246,33.558834,40.759205,17.092646,0.30140102,43.024063
96.62015,0.0024610688,131.55045,131.22668,34.60654,41.41756,17.593721,0.3237547,43.630917
99.70198,0.002561404,135.69402,135.34647,35.644485,42.07282,18.116812,0.3475672,44.23585
102.83877,0.0026643516,139.92607,139.55325,36.714493,42.724895,18.647926,0.37281224,44.838745
106.05018,0.002769679,144.2452,143.84567,37.795506,43.373035,19.199688,0.3995129,45.438828
109.3259,0.0028773327,148.64955,148.22183,38.895935,44.015976,19.76616,0.42771423,46.03479
112.65765,0.0029873187,153.13832,152.68086,40.0232,44.653183,20.341356,0.45747298,46.6261
116.05297,0.0030996646,157.71036,157.22151,41.168545,45.28396,20.932043,0.48884925,47.212017
119.51195,0.003214399,162.36632,161.84439,42.332447,45.90811,21.5368,0.52191013,47.792328
123.050446,0.003331545,167.10524,166.54852,43.498066,46.524845,22.17055,0.5567186,48.36622
126.64483,0.003451122,171.92442,171.33109,44.686253,47.133358,22.815449,0.5933322,48.932865
130.30473,0.0035731446,176.8234,176.19159,45.886868,47.732983,23.471497,0.63181555,49.491566
134.02222,0.0036976195,181.8034,181.13115,47.108936,48.324055,24.138195,0.67223984,50.042656
137.79893,0.0038245516,186.8639,186.14925,48.350296,48.905926,24.817753,0.71467066,50.58545
141.6289,0.0039539374,192.00531,191.24612,49.61723,49.478622,25.50718,0.75917697,51.11996
145.51593,0.004085774,197.22684,196.42102,50.905087,50.041748,26.20724,0.8058244,51.645763
149.45998,0.0042200526,202.52834,201.67365,52.21368,50.59495,26.917885,0.85468024,52.1625
153.46771,0.0043567643,207.90959,207.00377,53.536068,51.138096,27.641668,0.9058131,52.67
157.55473,0.004495896,213.37105,212.41176,54.85701,51.670937,28.383257,0.959294,53.168007
161.69142,0.0046374323,218.91426,217.89906,56.20764,52.193954,29.133316,1.0152,53.656982
165.88277,0.004781356,224.53717,223.46356,57.580803,52.70621,29.896809,1.0735922,54.13598
170.13287,0.0049276496,230.24031,229.10577,58.972897,53.20799,30.67264,1.1345435,54.605244
174.44144,0.0050762924,236.02393,234.82579,60.384365,53.698914,31.459774,1.1981263,55.0644
178.80597,0.0052272617,241.8881,240.62369,61.817734,54.179096,32.258377,1.2644124,55.51354
183.23396,0.005380534,247.83263,246.49915,63.265175,54.648262,33.071842,1.3334719,55.95236
187.72739,0.0055360855,253.85847,252.45306,64.725685,55.106632,33.900497,1.4053822,56.38108
192.28194,0.0056938888,259.9657,258.48547,66.20355,55.554028,34.74172,1.4802159,56.79949
196.89423,0.0058539193,266.15457,264.59653,67.70229,55.9904,35.593864,1.5580474,57.20755
201.55872,0.0060161487,272.42578,270.7868,69.22813,56.415924,36.45374,1.6389539,57.605404
206.2856,0.006180548,278.78314,277.06012,70.77451,56.831196,37.32771,1.7230325,57.99363
211.07178,0.00634709,285.2238,283.41345,72.34168,57.235542,38.213554,1.810341,58.371544
215.9161,0.0065157455,291.74747,289.84653,73.93044,57.628933,39.10935,1.9009525,58.7391
220.82228,0.006686485,298.35434,296.35938,75.53712,58.01123,40.02138,1.9949418,59.09616
225.78864,0.006859278,305.04483,302.95242,77.16377,58.382492,40.950783,2.092387,59.44275
230.82027,0.0070340945,311.82,309.6266,78.80635,58.742863,41.891056,2.1933713,59.77902
235.90747,0.0072109043,318.6803,316.3823,80.47482,59.09247,42.847828,2.297973,60.105064
241.05603,0.0073896716,325.624,323.21774,82.16172,59.43088,43.81919,2.4062545,60.420444
246.26254,0.0075703664,332.6536,330.13528,83.87274,59.7586,44.805466,2.5183096,60.725666
251.52208,0.007752955,339.7686,337.13437,85.6123,60.075317,45.80102,2.6342103,61.020393
256.83582,0.007937404,346.97165,344.21756,87.38176,60.381664,46.806908,2.754054,61.305256
262.2083,0.008123682,354.26593,351.38797,89.17968,60.678062,47.82474,2.8779438,61.58065
267.64798,0.008311757,361.65045,358.64447,90.996506,60.964275,48.85926,3.0059505,61.846336
273.1522,0.008501595,369.1221,365.98398,92.83177,61.239876,49.9128,3.1381264,62.101887
278.71936,0.008693162,376.683,373.40845,94.68911,61.50497,50.982254,3.2745667,62.347374
284.36105,0.00888643,384.3379,380.9225,96.56144,61.76054,52.07135,3.415392,62.58379
290.0709,0.009081364,392.0809,388.52026,98.44941,62.00548,53.17536,3.5606296,62.810013
295.83975,0.009277931,399.91202,396.2017,100.361946,62.239937,54.288258,3.7103565,63.026184
301.67715,0.0094761,407.83212,403.96747,102.290306,62.463818,55.420174,3.8646579,63.232178
307.57053,0.009675835,415.84393,411.8203,104.24978,62.67777,56.56029,4.0236373,63.42867
313.52975,0.0098771,423.94623,419.75888,106.22912,62.881393,57.716972,4.1873593,63.61522
319.53662,0.0100798635,432.13855,427.78262,108.24599,63.074863,58.882328,4.355898,63.792004
325.62488,0.010284093,440.42343,435.89407,110.269226,63.258453,60.058895,4.529356,63.95929
331.76743,0.010489755,448.80142,444.09357,112.32615,63.432247,61.25298,4.707817,64.11714
337.97144,0.01069681,457.27008,452.37878,114.40731,63.59605,62.458855,4.891331,64.26537
344.2533,0.010905236,465.83118,460.7512,116.49785,63.749897,63.676792,5.079999,64.404
350.5986,0.0111149885,474.48703,469.2131,118.61453,63.894245,64.909294,5.273918,64.53348
357.00613,0.011326038,483.2341,477.76102,120.75486,64.02877,66.16476,5.473128,64.653465
363.48227,0.011538356,492.06805,486.3904,122.908134,64.15283,67.43238,5.677656,64.76332
370.02267,0.011751902,500.99292,495.10535,125.08267,64.26693,68.71334,5.8876204,64.86354
376.61993,0.011966648,510.01334,503.91016,127.290245,64.37192,70.01765,6.1031494,64.954956
383.2853,0.012182557,519.1298,512.80554,129.52023,64.46778,71.33889,6.324329,65.037575
389.9977,0.012399595,528.3416,521.79034,131.79265,64.554474,72.67768,6.551222,65.111305
396.78183,0.012617734,537.64746,530.8635,134.08174,64.631874,74.03793,6.783892,65.17605
403.6487,0.012836941,547.0494,540.0269,136.37827,64.700294,75.42374,7.0224404,65.2321
410.57614,0.0130571835,556.54614,549.27924,138.7031,64.75965,76.82204,7.2669253,65.27936
417.5723,0.013278431,566.13885,558.6214,141.04909,64.8101,78.235374,7.5174356,65.31798
424.64304,0.013500654,575.8278,568.0538,143.41077,64.85175,79.66164,7.774052,65.34808
431.7912,0.013723815,585.6144,577.5775,145.7863,64.88481,81.106834,8.036863,65.36986
438.99423,0.013947886,595.4947,587.1888,148.19453,64.90879,82.56652,8.305892,65.38282
446.25275,0.014172844,605.4667,596.8855,150.63275,64.92381,84.043884,8.581185,65.38706
453.5793,0.01439865,615.5327,606.66986,153.09053,64.93008,85.538536,8.862841,65.38279
