foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
2.178e-04,3.052e-04,5.760e-05,5.561e-05,4.005e-05,5.886e-07,8.094e-05
3.707e-05,7.958e-04,2.449e-04,2.387e-04,9.686e-05,4.233e-05,5.032e-05
2.142e-04,1.188e-03,2.440e-04,1.681e-04,1.771e-04,5.391e-05,5.908e-05
1.528e-04,1.401e-03,3.851e-04,2.096e-04,2.904e-04,6.220e-05,1.240e-04
3.477e-04,1.769e-03,2.064e-04,2.340e-04,3.105e-04,7.185e-05,5.865e-05
4.207e-04,2.093e-03,1.083e-04,2.118e-04,2.890e-04,4.154e-05,1.709e-05
6.714e-04,2.395e-03,2.277e-05,2.350e-04,4.319e-04,2.469e-05,1.156e-04
3.101e-04,2.211e-03,9.945e-05,2.813e-04,3.346e-04,2.296e-05,1.202e-04
5.418e-04,2.487e-03,1.747e-04,1.836e-04,3.260e-04,1.375e-05,1.371e-04
4.489e-04,2.585e-03,2.103e-04,3.216e-04,3.951e-04,3.608e-05,9.885e-05
4.854e-04,2.688e-03,2.165e-04,3.110e-04,4.054e-04,3.958e-05,1.097e-04
6.109e-04,2.768e-03,2.592e-04,1.988e-04,3.790e-04,4.697e-05,9.403e-05
6.118e-04,2.741e-03,2.677e-04,1.990e-04,3.225e-04,4.675e-05,1.018e-04
5.962e-04,2.778e-03,2.340e-04,8.029e-05,3.197e-04,7.510e-06,5.040e-05
3.748e-04,2.786e-03,1.091e-04,2.671e-04,3.727e-04,4.175e-05,6.908e-05
4.445e-04,2.806e-03,1.607e-04,2.742e-04,3.626e-04,3.396e-05,1.381e-04
3.917e-04,2.774e-03,2.155e-04,2.006e-04,4.294e-04,4.773e-05,2.130e-04
4.253e-04,2.850e-03,2.364e-04,1.474e-04,4.172e-04,3.389e-05,2.177e-04
4.328e-04,2.881e-03,2.373e-04,1.401e-04,3.097e-04,2.847e-05,1.976e-04
4.971e-04,2.926e-03,2.597e-04,1.163e-04,3.464e-04,2.611e-05,1.824e-04
5.139e-04,2.884e-03,2.892e-04,1.010e-04,3.558e-04,3.580e-05,1.839e-04
5.275e-04,2.812e-03,3.101e-04,7.957e-05,3.517e-04,3.787e-05,1.839e-04
4.736e-04,2.718e-03,3.208e-04,7.677e-05,3.403e-04,2.535e-05,1.742e-04
2.747e-04,2.674e-03,3.477e-04,9.871e-05,3.226e-04,2.550e-05,1.027e-04
3.600e-04,2.815e-03,3.768e-04,6.235e-05,3.180e-04,1.128e-05,1.256e-04
3.947e-04,2.794e-03,3.358e-04,5.555e-05,3.175e-04,3.046e-05,1.154e-04
3.910e-04,2.762e-03,3.290e-04,3.648e-05,3.246e-04,1.878e-06,1.116e-04
3.909e-04,2.729e-03,3.335e-04,1.037e-05,3.267e-04,4.224e-06,1.093e-04
4.122e-04,2.686e-03,3.326e-04,1.013e-06,3.168e-04,4.825e-05,8.719e-05
3.729e-04,2.609e-03,3.280e-04,2.515e-05,3.237e-04,7.574e-05,1.094e-04
3.225e-04,2.584e-03,3.430e-04,6.229e-05,3.878e-04,3.759e-05,9.312e-05
3.092e-04,2.586e-03,3.583e-04,6.950e-05,4.005e-04,2.477e-05,8.215e-05
3.246e-04,2.591e-03,3.797e-04,6.121e-05,3.774e-04,7.823e-06,9.926e-05
3.798e-04,2.603e-03,3.818e-04,7.868e-06,3.764e-04,8.017e-06,1.327e-04
3.564e-04,2.689e-03,3.386e-04,3.242e-05,3.996e-04,1.617e-05,1.456e-04
3.566e-04,2.678e-03,3.394e-04,3.201e-05,3.754e-04,2.458e-05,1.541e-04
