,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,1.243e-04,1.062e-03,2.215e-04,2.095e-04,8.809e-05,1.574e-05,9.727e-05
std,1.065e-04,5.673e-04,5.786e-05,7.440e-05,1.031e-04,1.662e-05,3.286e-05
min,6.557e-07,3.052e-04,7.600e-07,1.013e-06,5.364e-07,2.980e-08,5.662e-07
0.1%,6.557e-07,3.052e-04,7.600e-07,1.013e-06,5.364e-07,2.980e-08,5.662e-07
25%,7.457e-05,7.256e-04,2.032e-04,1.669e-04,3.062e-05,5.122e-06,8.331e-05
50%,9.182e-05,9.420e-04,2.226e-04,2.208e-04,4.831e-05,1.049e-05,1.015e-04
75%,1.141e-04,1.067e-03,2.464e-04,2.700e-04,7.230e-05,2.085e-05,1.163e-04
99.9%,6.714e-04,2.926e-03,3.851e-04,3.226e-04,4.319e-04,1.452e-04,2.177e-04
max,6.714e-04,2.926e-03,3.851e-04,3.226e-04,4.319e-04,1.452e-04,2.177e-04
