con,Omega,ygross,ynet,inv,Eind,scc,Dam,Emissions
77.61829,0.0028556,105.17594,104.8756,27.257309,36.845238,49.846046,0.3003404,39.445236
80.07439,0.003498102,108.65021,108.27014,28.195753,37.487858,51.138454,0.3800695,40.02874
82.6234,0.004116357,112.233246,111.77125,29.14785,38.139095,52.504833,0.46199208,40.622208
85.26532,0.0047068605,115.92323,115.3776,30.11228,38.79726,53.94672,0.5456345,41.22391
87.99294,0.005269565,119.71785,119.08699,31.094042,39.460712,55.4575,0.630861,41.832184
90.808495,0.005806398,123.61583,122.89807,32.08958,40.12809,57.041077,0.7177627,42.44564
93.70451,0.006320307,127.61468,126.80812,33.103603,40.797836,58.690075,0.80656403,43.062687
96.68381,0.0068146703,131.71257,130.81499,34.131184,41.468605,60.405216,0.89757776,43.681965
99.74385,0.007292941,135.90814,134.91698,35.17312,42.139202,62.185932,0.99117005,44.302235
102.8816,0.007758434,140.19885,139.11115,36.229538,42.808197,64.0329,1.0877236,44.922047
106.09201,0.008214214,144.58292,143.3953,37.303272,43.474586,65.939964,1.187635,45.540375
109.36905,0.008663046,149.05923,147.76791,38.398865,44.137276,67.90524,1.291307,46.15609
112.716675,0.009107383,153.62874,152.22958,39.5129,44.79618,69.92662,1.3991557,46.769093
116.13888,0.009549364,158.29198,156.7804,40.641514,45.450966,72.00855,1.511588,47.379017
119.62789,0.009990845,163.04541,161.41646,41.788563,46.100124,74.1479,1.6289614,47.984337
123.179146,0.010433424,167.88814,166.13649,42.957344,46.742817,76.340225,1.7516482,48.584187
126.7975,0.0108784605,172.82265,170.9426,44.1451,47.3796,78.58869,1.8800441,49.179108
130.495,0.011327114,177.84761,175.83313,45.33812,48.009464,80.90469,2.0145001,49.76805
134.2554,0.011780359,182.95767,180.80235,46.54695,48.63086,83.271385,2.155307,50.34946
138.07425,0.012239019,188.156,185.85315,47.7789,49.244087,85.687195,2.302845,50.92362
141.95702,0.01270378,193.4424,190.98494,49.027927,49.84895,88.15352,2.4574497,51.49029
145.90256,0.013175208,198.81708,196.19762,50.295055,50.445225,90.67281,2.6194563,52.049244
