kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.10374,0.97786456,2.449759,-2.0793002,-0.2939949,-0.06588354,-0.44595385
233.53229,0.98525226,2.4439318,-2.0701287,-0.29184783,-0.06839284,-0.44760537
239.34573,0.99151,2.4382856,-2.0616157,-0.28987065,-0.07064915,-0.44932753
245.51979,0.99687135,2.4330735,-2.0537698,-0.2880474,-0.07272385,-0.45114112
252.0332,1.0013468,2.4284725,-2.0467093,-0.28638524,-0.0746381,-0.45308363
258.8759,1.0051205,2.4239497,-2.0400236,-0.28480166,-0.076523684,-0.45514506
266.0081,1.0082023,2.4197972,-2.033883,-0.2831774,-0.07831966,-0.45727217
273.43683,1.0107627,2.416184,-2.0284169,-0.28182057,-0.079961285,-0.4595558
281.12817,1.0128715,2.4131374,-2.0237453,-0.28068605,-0.08144681,-0.46183512
289.07993,1.0146581,2.4105945,-2.0196035,-0.27960226,-0.08298148,-0.4642442
297.2759,1.016064,2.408267,-2.0158288,-0.27869368,-0.08443363,-0.46683583
305.70563,1.0171916,2.4063945,-2.0124457,-0.27782413,-0.08584237,-0.46945876
314.36252,1.0179334,2.4047923,-2.0094423,-0.27710757,-0.08718227,-0.47208428
323.25015,1.0186193,2.4035356,-2.006817,-0.2763505,-0.088585876,-0.47485596
332.35846,1.0191092,2.4027247,-2.004591,-0.27571294,-0.08991127,-0.47777936
341.67383,1.0194384,2.4023013,-2.0028262,-0.27513897,-0.09129687,-0.4807836
351.18814,1.0196517,2.4021308,-2.0014493,-0.27466446,-0.092693575,-0.4837992
360.8984,1.0197475,2.4023292,-2.0002909,-0.2742588,-0.09402867,-0.48686308
370.78546,1.019773,2.4027963,-1.9994341,-0.27381715,-0.09538172,-0.4899189
380.85855,1.0197358,2.4035292,-1.9988784,-0.27347496,-0.096758924,-0.49319988
391.11166,1.0197146,2.4044456,-1.9985733,-0.2732193,-0.09810229,-0.49651915
401.56424,1.0197259,2.405734,-1.9985024,-0.27300996,-0.099380165,-0.4998932
412.2001,1.0197073,2.4072702,-1.9986144,-0.27281561,-0.100699216,-0.503369
423.01572,1.0196222,2.409029,-1.9989322,-0.27273098,-0.10217924,-0.506857
434.01102,1.019523,2.4110222,-1.9994813,-0.27266735,-0.10363523,-0.5103909
445.17282,1.019442,2.413091,-2.0000937,-0.27264068,-0.10508085,-0.51396686
456.51614,1.0194492,2.415352,-2.0009599,-0.27261594,-0.106550604,-0.51758766
468.05493,1.01948,2.4177935,-2.0019915,-0.27263728,-0.10800192,-0.5212607
479.76923,1.0194165,2.42028,-2.0031962,-0.27268147,-0.10949765,-0.52499264
491.6627,1.0194032,2.4228823,-2.0046058,-0.27278587,-0.11099871,-0.52875924
503.73285,1.0194618,2.4256172,-2.0061321,-0.2730237,-0.11250383,-0.53256226
515.97943,1.0195113,2.428388,-2.0078511,-0.2732053,-0.11397523,-0.53640133
528.3925,1.0194858,2.4313838,-2.0098023,-0.2733822,-0.115375616,-0.54030704
540.97797,1.0196052,2.4346519,-2.011861,-0.27366254,-0.11688807,-0.5442443
553.7184,1.0196928,2.4379501,-2.0139415,-0.27394512,-0.11838706,-0.5482111
566.6226,1.0197904,2.4412994,-2.016189,-0.27421096,-0.1198717,-0.55217934
579.661,1.0198542,2.4446642,-2.018583,-0.274514,-0.12128934,-0.5561248
