,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
count,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04,1.000e+04
mean,8.629e-05,7.017e-05,1.180e-04,9.631e-05,9.093e-05,3.818e-05,4.082e-05
std,7.654e-05,8.581e-05,1.188e-04,7.109e-05,5.828e-05,3.064e-05,3.084e-05
min,0.000e+00,2.384e-07,3.874e-07,0.000e+00,7.153e-07,1.788e-07,2.384e-07
0.1%,0.000e+00,2.384e-07,3.874e-07,0.000e+00,7.153e-07,1.788e-07,2.384e-07
25%,3.216e-05,2.378e-05,4.289e-05,3.719e-05,4.482e-05,1.323e-05,1.487e-05
50%,6.008e-05,5.221e-05,8.534e-05,8.130e-05,8.178e-05,3.049e-05,3.296e-05
75%,1.163e-04,8.541e-05,1.427e-04,1.493e-04,1.317e-04,5.689e-05,6.571e-05
99.9%,3.498e-04,9.704e-04,6.658e-04,4.284e-04,2.756e-04,2.348e-04,1.572e-04
max,3.498e-04,9.704e-04,6.658e-04,4.284e-04,2.756e-04,2.348e-04,1.572e-04
