kx,MATx,MUOx,MLOx,TATx,TOCx,taux
223.00183,851.0,403.0,894.0,1.1,0.27,0.0
228.02231,858.8709,405.18665,894.7022,1.2183225,0.2755693,0.014888048
233.45277,866.6882,407.56543,895.4199,1.3222208,0.2818952,0.029554427
239.26794,874.4797,410.10913,896.15466,1.4143252,0.28887576,0.044002473
245.44357,882.2678,412.79553,896.90765,1.4967952,0.29642755,0.058235407
251.9583,890.0708,415.6067,897.68,1.5714023,0.304482,0.072256446
258.80212,897.9031,418.52777,898.47266,1.6396003,0.31298307,0.08606875
265.93536,905.77637,421.54688,899.2865,1.7025807,0.32188466,0.09967542
273.36514,913.6997,424.6541,900.1222,1.7613202,0.33114913,0.11307949
281.05728,921.68024,427.84152,900.98035,1.8166184,0.3407456,0.126284
289.00983,929.7234,431.1024,901.86163,1.86913,0.3506487,0.13929194
297.20654,937.8334,434.43134,902.7665,1.9193902,0.3608377,0.15210623
305.63687,946.01306,437.8238,903.69543,1.9678365,0.37129557,0.16472971
314.2942,954.2645,441.27597,904.6489,2.0148253,0.38200837,0.17716527
323.18237,962.5892,444.78476,905.62726,2.060648,0.39296457,0.1894157
332.2912,970.98773,448.34735,906.6309,2.1055408,0.40415472,0.20148373
341.60706,979.4606,451.9615,907.6603,2.1496964,0.41557103,0.21337211
351.12167,988.00757,455.62515,908.71564,2.1932702,0.42720702,0.22508347
360.8323,996.6279,459.33658,909.79736,2.2363887,0.4390573,0.23662049
370.71967,1005.3209,463.09415,910.9057,2.279153,0.45111737,0.24798572
380.793,1014.08527,466.89645,912.04095,2.321645,0.4633835,0.25918174
391.04648,1022.9197,470.74216,913.2035,2.363929,0.47585243,0.2702111
401.49927,1031.8226,474.63007,914.3935,2.406057,0.48852143,0.28107625
412.13525,1040.793,478.559,915.6112,2.4480689,0.5013881,0.29177964
422.951,1049.829,482.52783,916.85693,2.4899967,0.5144503,0.3023237
433.9467,1058.929,486.53552,918.1309,2.5318646,0.52770627,0.31271076
445.10843,1068.0912,490.5811,919.43335,2.5736918,0.54115415,0.32294315
456.45206,1077.3136,494.66348,920.7645,2.615491,0.5547925,0.33302325
467.99088,1086.5944,498.78174,922.1246,2.657272,0.5686198,0.34295326
479.70526,1095.9319,502.93494,923.5137,2.6990418,0.5826347,0.35273546
491.5989,1105.3242,507.12204,924.9321,2.7408042,0.5968358,0.36237198
503.66907,1114.7694,511.34216,926.3801,2.7825613,0.6112218,0.37186503
515.9157,1124.2655,515.5943,927.8577,2.8243139,0.6257915,0.38121676
528.32874,1133.8107,519.8776,929.3652,2.8660603,0.6405436,0.39042926
540.9142,1143.4026,524.19116,930.90265,2.9077992,0.6554768,0.3995046
553.65485,1153.0396,528.5339,932.47034,2.9495275,0.6705899,0.40844482
566.5591,1162.7192,532.9049,934.0683,2.991242,0.68588156,0.41725194
579.5975,1172.4397,537.3034,935.6967,3.0329385,0.7013505,0.42592794
592.7893,1182.1985,541.72833,937.3558,3.0746126,0.7169954,0.43447477
606.13336,1191.9937,546.1788,939.04553,3.1162596,0.732815,0.44289434
619.65643,1201.8231,550.6537,940.7662,3.157875,0.7488079,0.45118856
633.334,1211.6848,555.15216,942.51764,3.1994536,0.76497275,0.4593593
647.1686,1221.5768,559.6733,944.3002,3.24099,0.7813081,0.46740842
661.1794,1231.4972,564.2159,946.1139,3.2824795,0.7978126,0.47533768
675.3625,1241.444,568.7793,947.9588,3.3239174,0.8144847,0.48314893
689.70575,1251.4154,573.36237,949.8351,3.3652985,0.83132297,0.49084383
704.22003,1261.4092,577.96423,951.7427,3.406618,0.84832597,0.49842417
718.9055,1271.4236,582.58405,953.6817,3.4478717,0.8654921,0.5058917
733.75305,1281.4569,587.22064,955.6522,3.4890552,0.8828199,0.513248
748.776,1291.5071,591.87335,957.6543,3.5301633,0.9003078,0.5204948
763.9653,1301.5723,596.5411,959.6879,3.5711927,0.91795415,0.5276337
779.3152,1311.6506,601.223,961.7532,3.612139,0.93575734,0.53466636
794.83417,1321.7401,605.9181,963.8501,3.652998,0.95371586,0.54159427
810.5422,1331.8392,610.62555,965.97864,3.6937659,0.97182804,0.54841906
826.39453,1341.946,615.3445,968.1388,3.734439,0.9900922,0.5551423
842.4465,1352.0585,620.07385,970.3306,3.775014,1.0085068,0.5617654
858.65936,1362.1753,624.813,972.55414,3.8154871,1.02707,0.5682899
875.0283,1372.2946,629.56085,974.80927,3.8558552,1.0457803,0.5747172
891.57056,1382.4143,634.3167,977.096,3.8961148,1.064636,0.58104885
