kplusy,lambd_haty,nuAT_haty,nuUO_haty,nuLO_haty,etaAT_haty,etaOC_haty
228.58122,0.985074,0.59954786,-0.4529661,-0.06693371,-0.012537056,-0.18125775
234.56837,0.9907401,0.5980361,-0.45078242,-0.06636587,-0.011942004,-0.18181255
240.9553,0.99521285,0.5972965,-0.44872522,-0.06595676,-0.011868124,-0.18246736
247.7018,0.99866205,0.5967686,-0.44687825,-0.06551947,-0.012058747,-0.1831958
254.78023,1.0014706,0.5962445,-0.4451679,-0.06505785,-0.012310208,-0.18400583
262.1916,1.0036564,0.59580696,-0.44349897,-0.06460677,-0.012642478,-0.18486162
269.9047,1.0054028,0.59533966,-0.44195437,-0.06417028,-0.012976349,-0.18572678
277.90805,1.0066415,0.5948362,-0.44047558,-0.06381508,-0.013306414,-0.18656191
286.18805,1.0074005,0.5943065,-0.439144,-0.06348817,-0.013609753,-0.18739426
294.72214,1.0079685,0.59369516,-0.43791234,-0.06314134,-0.013970275,-0.1882976
303.51263,1.0081394,0.59306973,-0.43677247,-0.06292974,-0.014211626,-0.18928017
312.53745,1.0080593,0.5924367,-0.4357347,-0.06265195,-0.014488396,-0.19018863
321.79492,1.0077759,0.5918645,-0.43479097,-0.06240864,-0.014763684,-0.19107936
331.28128,1.0073856,0.5912511,-0.43388855,-0.0621612,-0.014989843,-0.19205451
340.99606,1.0068588,0.59081495,-0.43305635,-0.061971456,-0.015193013,-0.19303937
350.92932,1.0062491,0.5904566,-0.43228298,-0.06181325,-0.01540801,-0.19402426
361.0766,1.0055482,0.59011126,-0.43153346,-0.061647303,-0.015591894,-0.19504409
371.42755,1.0047101,0.58981764,-0.43084127,-0.06147605,-0.015757903,-0.19608746
381.97467,1.0038486,0.58956677,-0.4302504,-0.061365232,-0.01593351,-0.19723174
392.72525,1.0029471,0.58939606,-0.42977145,-0.061262146,-0.016123407,-0.19834188
403.68076,1.0019724,0.5892926,-0.4293496,-0.061118037,-0.016352192,-0.19944844
414.8308,1.0010387,0.58925855,-0.4289804,-0.061029784,-0.01653593,-0.20058878
426.17276,1.000092,0.58929867,-0.42866176,-0.060956657,-0.016694639,-0.201751
437.71368,0.9991153,0.58941,-0.4283933,-0.06087286,-0.016899697,-0.20292732
449.44693,0.99817574,0.5895394,-0.42817625,-0.060752496,-0.017114162,-0.20414075
461.36786,0.99723417,0.5896865,-0.4279776,-0.060650125,-0.017330404,-0.20537254
473.48352,0.99628234,0.58985716,-0.4278432,-0.0605705,-0.01755628,-0.20657778
485.79575,0.9953704,0.5900308,-0.42773616,-0.06050273,-0.017774753,-0.20778576
498.30923,0.9944754,0.5902043,-0.4276378,-0.060448438,-0.018009752,-0.2090326
511.02213,0.99362326,0.5903979,-0.42757022,-0.06041822,-0.018215865,-0.21029295
523.9349,0.99278516,0.5906035,-0.42753008,-0.060384333,-0.018426038,-0.21156454
537.04663,0.99194,0.59083474,-0.42751193,-0.060331836,-0.018647164,-0.21284997
550.3471,0.99106777,0.59110284,-0.42754465,-0.060328953,-0.018846951,-0.21411572
563.83575,0.99025726,0.59139085,-0.4275933,-0.060310975,-0.019041166,-0.2154329
577.51624,0.9894248,0.5917396,-0.4276381,-0.060264483,-0.019217283,-0.21680215
591.38934,0.98859465,0.5921678,-0.4277542,-0.06027007,-0.019406922,-0.21816729
605.4457,0.9877771,0.59265256,-0.42790014,-0.06026555,-0.01958913,-0.21956012
619.6989,0.98699844,0.5931698,-0.4280847,-0.06026662,-0.019775469,-0.2209419
634.1723,0.98625624,0.5937318,-0.4282669,-0.06027767,-0.019931674,-0.22231427
648.8303,0.9855503,0.59432906,-0.42844474,-0.06032505,-0.020155497,-0.2236792
663.67755,0.9848721,0.5949393,-0.42864352,-0.060377315,-0.020377327,-0.22505003
678.73035,0.984207,0.5955242,-0.42882955,-0.06045772,-0.020607796,-0.22643466
694.0007,0.983539,0.59609,-0.42903835,-0.060547747,-0.020844482,-0.22784457
709.47217,0.9828925,0.5966657,-0.42930156,-0.060614526,-0.02106522,-0.22924605
725.1336,0.9822746,0.5972541,-0.42961025,-0.060663454,-0.021273367,-0.23064083
740.9901,0.9816816,0.59785545,-0.4299377,-0.060716666,-0.021479119,-0.23204044
757.05255,0.98108876,0.5984857,-0.4302039,-0.060776435,-0.021658812,-0.23345995
773.33594,0.98055005,0.59908557,-0.43050835,-0.060842924,-0.021861574,-0.23487483
789.8293,0.9800446,0.5996805,-0.43083084,-0.06088759,-0.022085845,-0.23630899
806.53406,0.97955406,0.6002851,-0.43117186,-0.0609373,-0.02230744,-0.23774904
823.44196,0.9790579,0.6009207,-0.43148783,-0.060975656,-0.022518314,-0.23915565
840.5535,0.97853017,0.60156447,-0.43178853,-0.061000094,-0.022729337,-0.24051909
