foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_TOCplus
1.284e-04,1.628e-04,4.164e-06,1.627e-04,1.258e-05,3.234e-05,2.131e-05
1.919e-05,4.060e-04,3.648e-04,3.237e-04,1.156e-05,8.855e-05,9.581e-06
1.582e-04,4.413e-04,5.104e-04,2.824e-04,1.066e-04,2.629e-05,1.550e-06
3.481e-05,5.529e-04,4.943e-04,1.333e-04,1.315e-04,2.891e-05,3.853e-05
5.126e-06,5.727e-04,4.783e-04,1.783e-04,7.752e-05,4.706e-05,6.276e-05
1.091e-04,8.175e-04,3.934e-04,1.283e-04,1.068e-04,5.889e-05,5.470e-05
6.628e-05,8.132e-04,3.082e-04,8.249e-05,8.193e-05,3.241e-06,1.062e-05
2.360e-05,8.631e-04,2.168e-04,3.219e-05,1.351e-04,1.118e-06,9.224e-06
1.194e-04,9.520e-04,1.756e-04,1.466e-05,1.369e-04,4.038e-05,6.026e-05
3.219e-06,8.276e-04,3.083e-05,6.628e-05,1.320e-04,7.264e-05,1.102e-04
2.432e-05,8.993e-04,1.771e-05,8.470e-05,1.363e-04,1.292e-05,1.982e-05
3.445e-05,8.526e-04,3.198e-05,2.897e-05,1.366e-04,3.085e-06,1.149e-05
2.003e-05,8.702e-04,9.822e-05,1.221e-04,8.535e-05,1.818e-05,4.792e-05
1.407e-05,8.779e-04,1.243e-04,2.551e-05,7.591e-05,2.284e-05,2.904e-05
3.552e-05,9.279e-04,1.226e-04,1.079e-05,6.199e-05,3.800e-05,5.588e-06
2.658e-05,9.162e-04,1.444e-04,9.066e-05,1.788e-05,1.515e-05,1.071e-05
4.852e-05,9.072e-04,1.422e-04,1.473e-04,1.144e-05,4.072e-06,1.505e-06
2.074e-05,8.934e-04,1.173e-04,1.941e-04,4.852e-05,4.238e-05,7.124e-05
2.038e-05,8.302e-04,9.670e-05,1.823e-04,9.668e-05,3.703e-05,1.194e-05
6.568e-05,8.478e-04,7.565e-05,1.376e-04,9.373e-05,1.526e-05,5.648e-06
4.053e-06,9.220e-04,1.098e-04,1.392e-04,9.102e-05,2.899e-05,3.934e-06
4.768e-06,8.912e-04,1.082e-04,1.619e-04,9.093e-05,3.293e-05,3.710e-06
2.813e-05,8.571e-04,6.374e-05,1.360e-04,9.462e-05,1.196e-05,6.750e-06
1.109e-05,8.988e-04,6.109e-05,1.485e-04,9.942e-05,3.326e-05,1.587e-05
6.318e-06,8.764e-04,6.684e-05,1.571e-04,7.439e-05,2.384e-05,2.101e-05
9.537e-06,8.340e-04,7.097e-05,1.458e-04,9.447e-05,9.350e-06,1.471e-05
2.313e-05,8.540e-04,8.709e-05,1.596e-04,7.865e-05,5.420e-06,2.183e-05
2.909e-05,8.664e-04,8.888e-05,1.565e-04,4.661e-05,3.017e-07,1.132e-05
5.782e-05,9.015e-04,1.177e-04,1.615e-04,3.824e-05,1.659e-05,1.270e-05
5.400e-05,9.017e-04,1.159e-04,1.677e-04,2.742e-05,5.569e-06,1.355e-05
2.646e-05,9.031e-04,1.137e-04,1.482e-04,1.326e-05,1.930e-05,2.018e-05
2.325e-05,9.117e-04,1.312e-04,1.374e-04,2.864e-05,2.335e-05,1.040e-05
1.824e-05,8.950e-04,1.286e-04,1.479e-04,1.121e-05,2.109e-06,2.831e-05
2.515e-05,8.469e-04,1.272e-04,1.387e-04,1.976e-05,3.169e-05,6.250e-05
4.387e-05,8.452e-04,1.026e-04,9.733e-05,2.563e-05,1.451e-05,4.485e-05
5.162e-05,8.595e-04,9.425e-05,8.696e-05,3.251e-05,8.829e-07,5.718e-05
3.040e-05,8.323e-04,7.677e-05,9.531e-05,4.873e-05,3.874e-07,3.278e-05
1.180e-05,8.578e-04,7.487e-05,1.224e-04,2.906e-05,4.727e-06,3.770e-06
3.099e-06,9.744e-04,1.667e-05,9.507e-05,1.213e-05,3.554e-05,6.095e-06
1.204e-05,9.081e-04,2.676e-05,9.078e-05,2.119e-05,3.514e-05,2.474e-06
6.914e-06,8.583e-04,3.151e-05,1.146e-04,2.056e-06,5.742e-05,1.134e-05
1.431e-05,8.824e-04,4.255e-05,1.233e-04,8.345e-06,6.133e-05,3.807e-05
1.311e-05,9.673e-04,6.591e-05,1.151e-04,4.750e-05,3.336e-05,2.812e-05
3.695e-06,9.727e-04,7.819e-05,1.132e-04,7.543e-05,1.133e-05,1.754e-05
3.695e-06,9.227e-04,7.877e-05,1.125e-04,7.719e-05,1.175e-05,1.837e-05
1.276e-05,8.883e-04,8.709e-05,1.242e-04,7.868e-06,1.421e-05,2.800e-05
2.646e-05,9.084e-04,6.020e-05,1.686e-04,3.389e-05,1.702e-05,1.927e-05
4.268e-05,9.532e-04,4.787e-05,1.663e-04,3.862e-05,7.972e-06,3.959e-05
3.988e-05,9.375e-04,5.808e-05,1.507e-04,4.402e-05,6.083e-06,4.630e-05
1.657e-05,9.263e-04,7.034e-05,1.263e-04,1.112e-05,2.018e-05,1.246e-05
3.266e-05,8.945e-04,7.297e-05,1.253e-04,8.970e-06,3.649e-05,2.927e-05
1.073e-05,8.960e-04,8.882e-05,1.609e-04,3.543e-05,5.173e-05,1.647e-05
8.941e-07,9.115e-04,5.782e-05,1.679e-04,4.631e-05,2.757e-06,3.757e-05
8.047e-06,9.062e-04,3.936e-05,1.520e-04,6.300e-05,4.722e-05,8.370e-05
3.576e-06,9.043e-04,6.815e-05,1.255e-04,7.263e-05,5.333e-05,7.521e-05
1.788e-07,9.019e-04,9.767e-05,1.633e-04,5.296e-05,9.619e-06,4.838e-05
1.568e-05,9.043e-04,9.657e-05,1.627e-04,7.591e-05,1.367e-05,2.570e-05
8.464e-06,9.055e-04,1.130e-04,1.804e-04,7.555e-05,2.000e-05,2.213e-05
3.761e-05,9.272e-04,6.750e-05,1.184e-04,8.354e-05,6.106e-05,3.019e-05
7.451e-06,8.867e-04,5.644e-05,1.199e-04,9.054e-05,9.467e-05,7.600e-06
1.293e-05,9.327e-04,3.326e-05,1.318e-04,9.874e-05,5.980e-05,1.907e-05
2.050e-05,9.553e-04,1.372e-05,8.893e-05,6.729e-05,2.254e-05,1.982e-05
2.360e-05,9.456e-04,1.165e-05,8.345e-05,6.452e-05,1.575e-05,5.561e-05
2.438e-05,9.420e-04,9.529e-06,1.056e-04,1.056e-04,1.046e-05,7.194e-05
1.520e-05,9.344e-04,1.635e-05,9.805e-05,9.942e-05,7.417e-06,2.307e-05
1.639e-05,8.605e-04,1.999e-06,1.198e-04,1.102e-04,1.212e-05,4.679e-06
2.307e-05,8.497e-04,1.204e-05,8.756e-05,1.281e-04,1.343e-05,4.017e-05
1.097e-05,9.186e-04,9.824e-06,9.078e-05,1.390e-04,1.161e-05,7.987e-06
1.007e-05,9.389e-04,9.667e-07,8.452e-05,1.546e-04,2.886e-05,3.654e-05
1.389e-05,9.105e-04,2.367e-05,7.147e-05,1.075e-04,6.800e-05,1.988e-05
1.252e-05,8.967e-04,4.105e-05,5.841e-05,8.467e-05,2.044e-05,1.910e-05
2.855e-05,9.007e-04,6.599e-06,1.089e-04,6.810e-05,1.036e-05,9.865e-06
2.265e-05,9.191e-04,2.197e-05,1.094e-04,7.239e-05,9.820e-06,2.474e-05
1.979e-05,9.303e-04,1.497e-05,1.010e-04,8.380e-05,1.071e-05,2.339e-05
2.337e-05,9.379e-04,1.701e-05,1.100e-04,1.051e-04,8.859e-06,2.527e-05
1.949e-05,9.282e-04,1.026e-06,1.220e-04,1.103e-04,9.082e-06,2.509e-05
1.651e-05,9.229e-04,1.697e-05,1.349e-04,1.205e-04,3.092e-05,2.518e-05
1.669e-05,9.196e-04,4.591e-05,1.447e-04,1.108e-04,4.154e-05,1.201e-05
1.544e-05,9.334e-04,8.702e-05,9.829e-05,1.066e-04,6.634e-05,3.287e-05
2.235e-05,9.685e-04,5.089e-05,1.049e-04,9.304e-05,3.674e-05,2.202e-05
4.077e-05,9.561e-04,3.327e-05,1.138e-04,8.178e-05,4.850e-06,8.762e-06
3.904e-05,9.127e-04,3.033e-05,9.453e-05,8.750e-05,4.105e-06,1.043e-06
5.376e-05,8.934e-04,2.282e-05,9.388e-05,8.848e-05,1.989e-05,9.090e-06
3.749e-05,9.360e-04,3.049e-05,6.801e-05,1.031e-04,1.579e-05,1.353e-05
3.487e-05,9.561e-04,2.693e-05,4.613e-05,1.128e-04,1.425e-05,5.275e-06
2.646e-05,9.725e-04,4.254e-06,6.360e-05,1.509e-04,4.697e-05,4.342e-05
3.546e-05,9.704e-04,1.711e-05,5.579e-05,1.923e-04,3.705e-05,1.988e-05
2.706e-05,9.537e-04,1.864e-05,9.900e-05,1.619e-04,9.634e-06,1.603e-05
1.913e-05,9.356e-04,2.898e-05,1.319e-04,1.315e-04,1.933e-05,9.656e-06
4.637e-05,9.637e-04,4.381e-05,1.140e-04,1.521e-04,2.570e-05,2.769e-05
3.910e-05,9.966e-04,4.966e-05,1.068e-04,1.457e-04,1.749e-05,4.351e-06
3.582e-05,9.904e-04,6.869e-05,7.766e-05,1.105e-04,1.252e-05,2.906e-05
7.784e-05,9.642e-04,2.241e-05,8.249e-05,1.751e-04,3.154e-05,3.436e-05
4.965e-05,9.887e-04,1.031e-05,8.303e-05,1.728e-04,3.578e-05,3.347e-05
2.086e-05,1.000e-03,8.034e-06,1.044e-04,1.362e-04,3.806e-05,3.237e-05
5.782e-06,1.020e-03,4.875e-06,1.062e-04,1.379e-04,2.885e-05,3.144e-05
3.850e-05,1.010e-03,4.156e-06,1.159e-04,1.097e-04,4.664e-06,1.702e-05
1.258e-05,9.696e-04,1.099e-05,1.195e-04,8.780e-05,2.767e-05,9.298e-06
7.212e-06,9.532e-04,1.561e-05,1.168e-04,6.908e-05,4.428e-05,3.535e-05
4.053e-06,9.649e-04,7.052e-06,1.128e-04,7.886e-05,4.446e-05,4.089e-05
6.557e-07,9.735e-04,1.017e-06,1.090e-04,8.756e-05,4.437e-05,4.622e-05
8.225e-06,9.804e-04,1.476e-05,9.853e-05,9.534e-05,3.158e-05,4.572e-05
7.391e-06,9.573e-04,2.426e-05,1.081e-04,1.123e-04,1.176e-05,2.319e-05
